date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,25.9,25.95,25.67,25.67,25.67,53668.0,0.0,1.0
2021-04-15,25.87,25.9,25.8,25.9,25.9,13038.0,0.0,1.0
2021-04-14,25.93,25.93,25.75,25.75,25.75,14798.0,0.0,1.0
2021-04-13,25.79,25.95,25.76,25.86,25.86,29064.0,0.0,1.0
2021-04-12,25.81,25.95,25.8,25.8958,25.8958,15524.0,0.0,1.0
2021-04-09,25.9001,25.9118,25.8,25.81,25.81,19544.0,0.0,1.0
2021-04-08,25.915,25.995,25.9,25.93,25.93,16849.0,0.0,1.0
2021-04-07,25.93,25.96,25.8027,25.94,25.94,13036.0,0.0,1.0
2021-04-06,25.56,25.97,25.5599,25.925,25.925,25114.0,0.0,1.0
2021-04-05,25.6,25.63,25.5441,25.55,25.55,27653.0,0.0,1.0
2021-04-01,25.56,25.62,25.5119,25.55,25.55,11394.0,0.0,1.0
2021-03-31,25.55,25.61,25.5,25.56,25.56,17592.0,0.0,1.0
2021-03-30,25.7,25.7,25.4576,25.56,25.56,12994.0,0.0,1.0
2021-03-29,25.5,25.56,25.42,25.5,25.5,23976.0,0.0,1.0
2021-03-26,25.6699,25.67,25.46,25.535,25.535,20666.0,0.0,1.0
2021-03-25,25.52,25.59,25.44,25.4975,25.4975,16592.0,0.0,1.0
2021-03-24,25.5416,25.5493,25.45,25.5199,25.5199,11721.0,0.0,1.0
2021-03-23,25.55,25.6,25.41,25.5,25.5,19604.0,0.125,1.0
2021-03-22,25.53,25.637,25.46,25.58,25.4552195122,19858.0,0.0,1.0
2021-03-19,25.45,25.5,25.41,25.5,25.3756097561,15274.0,0.0,1.0
2021-03-18,25.43,25.5982,25.42,25.45,25.3258536585,13325.0,0.0,1.0
2021-03-17,25.59,25.6,25.42,25.55,25.4253658537,29875.0,0.0,1.0
2021-03-16,25.66,25.73,25.51,25.64,25.5149268293,20741.0,0.0,1.0
2021-03-15,25.84,25.84,25.6,25.75,25.6243902439,13498.0,0.0,1.0
2021-03-12,25.6,25.6737,25.5,25.62,25.4950243902,15050.0,0.0,1.0
2021-03-11,25.7,25.73,25.53,25.65,25.5248780488,20950.0,0.0,1.0
2021-03-10,25.7,25.7,25.5,25.525,25.4004878049,25071.0,0.0,1.0
2021-03-09,26.0,26.0,25.5195,25.56,25.4353170732,19141.0,0.0,1.0
2021-03-08,25.42,25.47,25.3101,25.4,25.276097561,27991.0,0.0,1.0
2021-03-05,25.28,25.4899,25.28,25.3,25.1765853659,30116.0,0.0,1.0
2021-03-04,25.45,25.4995,25.27,25.27,25.1467317073,43810.0,0.0,1.0
2021-03-03,25.39,25.45,25.2796,25.45,25.3258536585,23526.0,0.0,1.0
2021-03-02,25.3,25.35,25.25,25.315,25.1915121951,35041.0,0.0,1.0
2021-03-01,25.4,25.41,25.23,25.27,25.1467317073,54716.0,0.0,1.0
2021-02-26,25.4,25.4205,25.3,25.35,25.2263414634,16602.0,0.0,1.0
2021-02-25,25.53,25.53,25.22,25.375,25.2512195122,31444.0,0.0,1.0
2021-02-24,25.39,25.39,25.3,25.34,25.2163902439,22052.0,0.0,1.0
2021-02-23,25.31,25.46,25.3,25.3717,25.2479356098,23474.0,0.125,1.0
2021-02-22,25.49,25.5499,25.37,25.38,25.13237422,30462.0,0.0,1.0
2021-02-19,25.36,25.54,25.36,25.37,25.1224717873,42095.0,0.0,1.0
2021-02-18,25.5776,25.6996,25.4503,25.49,25.2413009798,9912.0,0.0,1.0
2021-02-17,25.45,25.7619,25.415,25.44,25.1917888163,12043.0,0.0,1.0
2021-02-16,25.45,25.45,25.35,25.36,25.1125693546,36674.0,0.0,1.0
2021-02-12,25.4,25.43,25.31,25.36,25.1125693546,15501.0,0.0,1.0
2021-02-11,25.31,25.37,25.305,25.33,25.0828620565,15461.0,0.0,1.0
2021-02-10,25.28,25.36,25.27,25.3394,25.0921703432,21444.0,0.0,1.0
2021-02-09,25.21,25.44,25.21,25.32,25.0729596238,44514.0,0.0,1.0
2021-02-08,25.42,25.45,25.25,25.31,25.063057191,45006.0,0.0,1.0
2021-02-05,25.3347,25.4,25.3,25.3508,25.1034591165,15013.0,0.0,1.0
2021-02-04,25.29,25.38,25.16,25.33,25.0828620565,85544.0,0.0,1.0
2021-02-03,25.3,25.37,25.15,25.16,24.9145207004,50047.0,0.0,1.0
2021-02-02,25.29,25.3,25.2,25.215,24.9689840803,19177.0,0.0,1.0
2021-02-01,25.2,25.4,25.14,25.18,24.9343255658,34702.0,0.0,1.0
