date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,12.63,12.63,11.63,11.63,11.63,13399.0,0.0,1.0
2021-04-15,12.25,12.57,11.7,12.44,12.44,14121.0,0.0,1.0
2021-04-14,13.0,13.29,12.15,12.15,12.15,47075.0,0.0,1.0
2021-04-13,13.85,13.85,11.85,11.86,11.86,31062.0,0.0,1.0
2021-04-12,15.87,15.87,11.59,12.99,12.99,45089.0,0.0,1.0
2021-04-09,16.13,16.32,16.0,16.0,16.0,22346.0,0.0,1.0
2021-04-08,16.0,16.36,16.0,16.0,16.0,115640.0,0.0,1.0
2021-04-07,18.15,18.1523,15.24,15.24,15.24,53568.0,0.0,1.0
2021-04-06,17.5,18.95,16.14,17.3,17.3,79465.0,0.0,1.0
2021-04-05,16.26,16.73,16.2063,16.67,16.67,82099.0,0.0,1.0
2021-04-01,16.0,16.5,15.74,16.04,16.04,47230.0,0.0,1.0
2021-03-31,16.05,16.525,16.0,16.38,16.38,11279.0,0.0,1.0
2021-03-30,16.28,16.28,16.0001,16.11,16.11,1412.0,0.0,1.0
2021-03-29,16.33,16.33,16.0,16.0201,16.0201,2690.0,0.0,1.0
2021-03-26,16.0101,16.6425,16.0,16.5,16.5,16354.0,0.0,1.0
2021-03-25,16.1416,16.5,16.0,16.42,16.42,31306.0,0.0,1.0
2021-03-24,16.5,16.73,16.5,16.5,16.5,14821.0,0.0,1.0
2021-03-23,16.5,16.74,16.5,16.6,16.6,4049.0,0.0,1.0
2021-03-22,16.13,17.062,16.0,16.05,16.05,19523.0,0.0,1.0
2021-03-19,15.99,16.89,15.99,16.25,16.25,69922.0,0.0,1.0
2021-03-18,16.0,16.29,16.0,16.0,16.0,77951.0,0.0,1.0
2021-03-17,16.45,16.6,16.0,16.0,16.0,39804.0,0.0,1.0
2021-03-16,16.355,16.93,16.0,16.5,16.5,203306.0,0.0,1.0
2021-03-15,16.15,17.48,16.15,16.89,16.89,187328.0,0.0,1.0
2021-03-12,16.0,17.6,15.5,16.65,16.65,1967893.0,0.0,1.0
