date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.9601,9.97,9.95,9.95,9.95,8283.0,0.0,1.0
2021-04-15,9.9601,10.05,9.96,9.96,9.96,375.0,0.0,1.0
2021-04-14,9.96,10.0,9.96,9.96,9.96,3035.0,0.0,1.0
2021-04-13,10.0,10.0,10.0,10.0,10.0,263.0,0.0,1.0
2021-04-12,10.0292,10.0292,9.9,10.0,10.0,15924.0,0.0,1.0
2021-04-09,9.9,10.0,9.86,10.0,10.0,282976.0,0.0,1.0
2021-04-08,9.95,10.05,9.95,10.05,10.05,65939.0,0.0,1.0
2021-04-07,9.95,9.95,9.7,9.9,9.9,124761.0,0.0,1.0
2021-04-06,9.91,10.03,9.88,9.965,9.965,71758.0,0.0,1.0
2021-04-05,9.85,10.05,9.85,9.96,9.96,41718.0,0.0,1.0
2021-04-01,9.9,9.9,9.7998,9.9,9.9,75537.0,0.0,1.0
2021-03-31,9.9099,9.915,9.85,9.9,9.9,6838.0,0.0,1.0
2021-03-30,9.87,10.08,9.85,9.9101,9.9101,41135.0,0.0,1.0
2021-03-29,9.8,9.98,9.75,9.87,9.87,19331.0,0.0,1.0
2021-03-26,9.9,9.97,9.9,9.94,9.94,3264.0,0.0,1.0
2021-03-25,9.78,9.93,9.64,9.93,9.93,30496.0,0.0,1.0
2021-03-24,9.9,9.925,9.9,9.92,9.92,97133.0,0.0,1.0
2021-03-23,10.0,10.0,9.9,9.9001,9.9001,14258.0,0.0,1.0
2021-03-22,9.95,9.975,9.93,9.93,9.93,5875.0,0.0,1.0
2021-03-19,10.0,10.0,9.99,10.0,10.0,720.0,0.0,1.0
2021-03-18,10.02,10.02,9.93,9.97,9.97,2143.0,0.0,1.0
2021-03-17,9.91,10.005,9.91,9.97,9.97,265650.0,0.0,1.0
2021-03-16,10.01,10.01,9.95,9.95,9.95,427387.0,0.0,1.0
2021-03-15,9.98,10.0874,9.93,9.96,9.96,105290.0,0.0,1.0
2021-03-12,10.11,10.11,9.96,10.0,10.0,155546.0,0.0,1.0
2021-03-11,10.03,10.03,9.93,9.96,9.96,105792.0,0.0,1.0
2021-03-10,10.1,10.1,10.0,10.01,10.01,57642.0,0.0,1.0
2021-03-09,10.03,10.05,10.0,10.01,10.01,157641.0,0.0,1.0
2021-03-08,10.046,10.15,10.0,10.0,10.0,1469020.0,0.0,1.0
2021-03-05,10.0,10.06,9.99,10.02,10.02,2884739.0,0.0,1.0
