date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,14.13,14.14,13.86,14.0,14.0,652147.0,0.0,1.0
2021-04-15,14.07,14.2,13.92,14.01,14.01,500660.0,0.0,1.0
2021-04-14,13.75,14.17,13.27,13.91,13.91,399924.0,0.0,1.0
2021-04-13,13.84,14.04,13.64,13.755,13.755,523625.0,0.0,1.0
2021-04-12,14.2,14.2,13.87,13.945,13.945,540456.0,0.0,1.0
2021-04-09,13.96,14.14,13.8,14.05,14.05,469507.0,0.0,1.0
2021-04-08,13.79,14.07,13.56,14.02,14.02,545393.0,0.0,1.0
2021-04-07,13.79,13.97,13.71,13.795,13.795,445923.0,0.0,1.0
2021-04-06,13.43,13.81,13.395,13.75,13.75,474526.0,0.0,1.0
2021-04-05,13.52,13.67,13.34,13.49,13.49,443926.0,0.0,1.0
2021-04-01,12.92,13.38,12.86,13.37,13.37,585837.0,0.0,1.0
2021-03-31,13.21,13.53,12.98,12.98,12.98,950041.0,0.0,1.0
2021-03-30,13.2,13.59,13.15,13.23,13.23,656989.0,0.0,1.0
2021-03-29,13.6,13.63,13.125,13.26,13.26,595245.0,0.0,1.0
2021-03-26,14.0,14.24,13.48,13.67,13.67,527061.0,0.0,1.0
2021-03-25,13.56,13.8,13.26,13.75,13.75,354149.0,0.0,1.0
2021-03-24,14.05,14.36,13.55,13.58,13.58,464621.0,0.0,1.0
2021-03-23,14.26,14.54,13.5,13.94,13.94,1127174.0,0.0,1.0
2021-03-22,14.35,14.565,13.48,14.47,14.47,429499.0,0.0,1.0
2021-03-19,14.15,14.635,13.85,14.44,14.44,2213433.0,0.0,1.0
2021-03-18,14.35,14.65,14.04,14.105,14.105,945640.0,0.0,1.0
2021-03-17,13.97,14.61,13.8,14.54,14.54,680770.0,0.0,1.0
2021-03-16,14.21,14.42,13.97,14.1,14.1,838725.0,0.0,1.0
2021-03-15,14.52,14.93,14.34,14.5,14.5,586043.0,0.0,1.0
2021-03-12,14.06,14.575,13.92,14.55,14.55,789064.0,0.0,1.0
2021-03-11,14.31,14.4,13.8,13.88,13.88,959139.0,0.0,1.0
2021-03-10,13.7068,14.5,13.59,14.31,14.31,1141202.0,0.0,1.0
2021-03-09,13.54,13.9,13.12,13.58,13.58,918086.0,0.0,1.0
2021-03-08,13.01,13.56,12.74,13.42,13.42,1274123.0,0.0,1.0
2021-03-05,12.83,13.35,12.645,12.98,12.98,975300.0,0.0,1.0
2021-03-04,13.0,13.23,12.6,12.655,12.655,978692.0,0.0,1.0
2021-03-03,12.54,13.15,12.43,12.98,12.98,785928.0,0.0,1.0
2021-03-02,12.41,12.91,12.21,12.525,12.525,875466.0,0.0,1.0
2021-03-01,11.23,12.49,11.13,12.475,12.475,1095990.0,0.0,1.0
2021-02-26,10.84,11.19,10.61,10.96,10.96,1024446.0,0.0,1.0
2021-02-25,11.11,11.3,10.59,10.74,10.74,867819.0,0.0,1.0
2021-02-24,11.53,11.67,11.15,11.18,11.18,863976.0,0.0,1.0
2021-02-23,11.53,11.62,11.25,11.45,11.45,714011.0,0.0,1.0
2021-02-22,11.42,11.6982,11.27,11.57,11.57,681383.0,0.0,1.0
2021-02-19,11.49,11.6,11.37,11.48,11.48,566624.0,0.0,1.0
2021-02-18,11.74,11.94,11.45,11.49,11.49,619035.0,0.0,1.0
2021-02-17,11.6,11.955,11.5,11.83,11.83,837710.0,0.0,1.0
2021-02-16,11.41,11.75,11.41,11.62,11.62,844195.0,0.0,1.0
