date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.54,9.59,9.22,9.58,9.58,93485.0,0.0,1.0
2021-04-15,9.56,9.56,9.23,9.5,9.5,52845.0,0.0,1.0
2021-04-14,9.57,9.6,9.41,9.5,9.5,46415.0,0.0,1.0
2021-04-13,9.51,9.81,9.43,9.6,9.6,52189.0,0.0,1.0
2021-04-12,9.84,9.99,9.52,9.84,9.84,66608.0,0.0,1.0
2021-04-09,9.66,9.85,9.45,9.82,9.82,37991.0,0.0,1.0
2021-04-08,9.8,9.8,9.44,9.62,9.62,34069.0,0.0,1.0
2021-04-07,9.94,9.99,9.66,9.75,9.75,42050.0,0.0,1.0
2021-04-06,9.7,9.99,9.64,9.99,9.99,46939.0,0.0,1.0
2021-04-05,9.7,9.8581,9.48,9.78,9.78,50161.0,0.0,1.0
2021-04-01,9.6,9.72,9.36,9.66,9.66,62665.0,0.0,1.0
2021-03-31,9.66,9.75,9.43,9.56,9.56,98957.0,0.0,1.0
2021-03-30,9.62,9.81,9.46,9.69,9.69,64151.0,0.0,1.0
2021-03-29,9.61,10.01,9.5,9.71,9.71,52547.0,0.0,1.0
2021-03-26,9.84,9.98,9.59,9.98,9.98,148901.0,0.0,1.0
2021-03-25,9.42,9.87,9.2,9.78,9.78,76211.0,0.0,1.0
2021-03-24,9.52,9.88,9.46,9.49,9.49,132775.0,0.0,1.0
2021-03-23,9.74,9.99,9.48,9.71,9.71,131481.0,0.0,1.0
2021-03-22,9.55,9.9,9.42,9.85,9.85,158201.0,0.0,1.0
2021-03-19,9.7,10.0,9.42,9.66,9.66,440678.0,0.0,1.0
2021-03-18,9.72,9.92,9.42,9.62,9.62,160039.0,0.0,1.0
2021-03-17,9.34,9.77,9.18,9.77,9.77,207405.0,0.0,1.0
2021-03-16,9.2,9.58,9.07,9.34,9.34,188604.0,0.0,1.0
2021-03-15,9.04,9.34,9.02,9.2,9.2,127424.0,0.0,1.0
2021-03-12,8.99,9.1,8.8,9.03,9.03,188958.0,0.0,1.0
2021-03-11,8.88,9.0,8.72,8.84,8.84,120047.0,0.0,1.0
2021-03-10,8.38,8.8892,8.38,8.83,8.83,140119.0,0.0,1.0
2021-03-09,8.575,8.7,8.36,8.4,8.4,137233.0,0.0,1.0
2021-03-08,8.55,8.68,8.31,8.4,8.4,151151.0,0.0,1.0
2021-03-05,8.55,8.55,8.05,8.5,8.5,126886.0,0.0,1.0
2021-03-04,8.81,8.81,8.045,8.47,8.47,185655.0,0.0,1.0
2021-03-03,9.3,9.3,8.64,8.81,8.81,85826.0,0.0,1.0
2021-03-02,8.91,9.13,8.83,8.9,8.9,150092.0,0.0,1.0
2021-03-01,8.98,9.17,8.84,9.01,9.01,94159.0,0.0,1.0
2021-02-26,8.89,9.05,8.71,8.98,8.98,109008.0,0.0,1.0
2021-02-25,9.25,9.34,8.8,8.82,8.82,170552.0,0.0,1.0
2021-02-24,9.23,9.35,8.88,9.34,9.34,145701.0,0.0,1.0
2021-02-23,9.03,9.23,8.8,8.98,8.98,115893.0,0.0,1.0
2021-02-22,8.95,9.2,8.77,9.09,9.09,267388.0,0.0,1.0
2021-02-19,8.825,9.15,8.8,8.94,8.94,445842.0,0.0,1.0
2021-02-18,8.78,9.04,8.58,8.8,8.8,282405.0,0.0,1.0
2021-02-17,9.035,9.14,8.52,8.7,8.7,227021.0,0.0,1.0
2021-02-16,8.85,9.04,8.76,8.85,8.85,109180.0,0.0,1.0
2021-02-12,9.01,9.15,8.84,8.84,8.84,240496.0,0.0,1.0
2021-02-11,9.4,9.56,8.84,9.01,9.01,364770.0,0.0,1.0
2021-02-10,9.29,9.5,9.18,9.34,9.34,296534.0,0.0,1.0
2021-02-09,9.39,9.45,9.11,9.29,9.29,60914.0,0.0,1.0
2021-02-08,9.13,9.48,9.07,9.45,9.45,118790.0,0.0,1.0
2021-02-05,9.31,9.4,9.235,9.32,9.32,348988.0,0.0,1.0
2021-02-04,9.44,9.44,9.3,9.34,9.34,46046.0,0.0,1.0
2021-02-03,9.18,9.47,9.14,9.365,9.365,37562.0,0.0,1.0
2021-02-02,8.97,9.21,8.97,9.18,9.18,67128.0,0.0,1.0
2021-02-01,8.93,9.3399,8.8,8.92,8.92,32299.0,0.0,1.0
2021-01-29,9.2,9.5,8.91,8.92,8.92,175961.0,0.0,1.0
2021-01-28,9.6,9.87,9.14,9.21,9.21,179730.0,0.0,1.0
2021-01-27,9.76,9.84,9.4,9.68,9.68,330638.0,0.0,1.0
2021-01-26,9.81,10.0,9.66,9.74,9.74,249643.0,0.0,1.0
2021-01-25,10.01,10.23,9.57,9.76,9.76,96233.0,0.0,1.0
2021-01-22,9.98,10.17,9.8236,10.05,10.05,147076.0,0.0,1.0
2021-01-21,9.86,9.95,9.6,9.9,9.9,150391.0,0.0,1.0
2021-01-20,9.38,9.77,9.38,9.75,9.75,113603.0,0.0,1.0
2021-01-19,9.65,9.8,9.3,9.41,9.41,140362.0,0.0,1.0
2021-01-15,9.39,9.64,9.049,9.55,9.55,102778.0,0.0,1.0
2021-01-14,9.0,9.39,8.9,9.37,9.37,238802.0,0.0,1.0
2021-01-13,9.55,9.67,8.4,8.95,8.95,503934.0,0.0,1.0
2021-01-12,9.94,9.94,9.19,9.19,9.19,146825.0,0.0,1.0
2021-01-11,10.2,10.21,9.94,10.0,10.0,232264.0,0.0,1.0
2021-01-08,10.5,10.65,9.15,10.15,10.15,926499.0,0.0,1.0
2021-01-07,10.57,10.61,10.4701,10.53,10.53,89428.0,0.0,1.0
2021-01-06,10.67,10.79,10.5,10.58,10.58,25313.0,0.0,1.0
2021-01-05,10.7,10.78,10.58,10.58,10.58,41139.0,0.0,1.0
2021-01-04,10.7,10.7,10.5,10.6,10.6,84122.0,0.0,1.0
2020-12-31,10.61,10.735,10.47,10.62,10.62,128670.0,0.0,1.0
2020-12-30,10.6,10.63,10.5,10.57,10.57,64255.0,0.0,1.0
2020-12-29,10.59,10.634,10.5,10.57,10.57,129552.0,0.0,1.0
2020-12-28,10.57,10.69,10.55,10.6,10.6,182966.0,0.0,1.0
2020-12-24,10.6627,10.79,10.55,10.58,10.58,62469.0,0.0,1.0
2020-12-23,10.61,10.69,10.56,10.56,10.56,67460.0,0.0,1.0
2020-12-22,10.74,10.74,10.53,10.57,10.57,105865.0,0.0,1.0
2020-12-21,10.69,10.71,10.6,10.71,10.71,98122.0,0.0,1.0
2020-12-18,10.57,10.81,10.57,10.81,10.81,97801.0,0.0,1.0
2020-12-17,10.56,10.59,10.56,10.57,10.57,682645.0,0.0,1.0
2020-12-16,10.57,10.59,10.56,10.57,10.57,1495999.0,0.0,1.0
2020-12-15,10.63,10.64,10.57,10.57,10.57,119393.0,0.0,1.0
2020-12-14,10.66,10.66,10.57,10.6,10.6,249034.0,0.0,1.0
2020-12-11,10.74,10.85,10.57,10.66,10.66,371321.0,0.0,1.0
2020-12-10,10.57,10.7,10.5655,10.65,10.65,819205.0,0.0,1.0
2020-12-09,10.58,10.6,10.55,10.58,10.58,3327076.0,0.0,1.0
2020-12-08,10.74,10.74,10.55,10.58,10.58,1976318.0,0.0,1.0
2020-12-07,11.0,11.05,10.6,10.68,10.68,709535.0,0.0,1.0
2020-12-04,10.98,10.99,10.75,10.9,10.9,451600.0,0.0,1.0
2020-12-03,10.59,11.15,10.5598,11.0106,11.0106,1564078.0,0.0,1.0
2020-12-02,10.58,10.59,10.55,10.59,10.59,504792.0,0.0,1.0
2020-12-01,10.58,10.59,10.55,10.5755,10.5755,58699.0,0.0,1.0
2020-11-30,10.58,10.6,10.555,10.5912,10.5912,44618.0,0.0,1.0
2020-11-27,10.54,10.56,10.52,10.53,10.53,23935.0,0.0,1.0
2020-11-25,10.5599,10.56,10.52,10.54,10.54,32725.0,0.0,1.0
2020-11-24,10.58,10.6,10.55,10.55,10.55,19978.0,0.0,1.0
2020-11-23,10.57,10.62,10.57,10.6,10.6,18484.0,0.0,1.0
2020-11-20,10.58,10.58,10.58,10.58,10.58,23.0,0.0,1.0
2020-11-19,10.57,10.58,10.5073,10.58,10.58,3086.0,0.0,1.0
2020-11-18,10.5795,10.58,10.545,10.57,10.57,22307.0,0.0,1.0
2020-11-17,10.57,10.57,10.51,10.5345,10.5345,11956.0,0.0,1.0
2020-11-16,10.57,10.58,10.57,10.58,10.58,891.0,0.0,1.0
2020-11-13,10.54,10.55,10.54,10.55,10.55,762.0,0.0,1.0
2020-11-12,10.49,10.53,10.49,10.53,10.53,75548.0,0.0,1.0
2020-11-11,10.52,10.53,10.52,10.53,10.53,494.0,0.0,1.0
2020-11-10,10.46,10.55,10.46,10.55,10.55,818.0,0.0,1.0
2020-11-09,10.535,10.57,10.5001,10.51,10.51,6952.0,0.0,1.0
2020-11-06,10.5,10.555,10.5,10.51,10.51,3318.0,0.0,1.0
2020-11-05,10.5,10.5399,10.5,10.51,10.51,2208.0,0.0,1.0
2020-11-04,10.53,10.54,10.52,10.54,10.54,2504.0,0.0,1.0
2020-11-03,10.52,10.52,10.5,10.5,10.5,3065.0,0.0,1.0
2020-11-02,10.45,10.52,10.45,10.52,10.52,1172.0,0.0,1.0
2020-10-30,10.41,10.495,10.38,10.45,10.45,252745.0,0.0,1.0
2020-10-29,10.38,10.503,10.31,10.5,10.5,103530.0,0.0,1.0
2020-10-28,10.48,10.52,10.48,10.52,10.52,5329.0,0.0,1.0
2020-10-27,10.4095,10.53,10.4095,10.5021,10.5021,3207.0,0.0,1.0
2020-10-26,10.5,10.56,10.458,10.56,10.56,305518.0,0.0,1.0
2020-10-23,10.52,10.52,10.51,10.5121,10.5121,5358.0,0.0,1.0
2020-10-22,10.549,10.5585,10.5,10.5,10.5,8354.0,0.0,1.0
2020-10-21,10.54,10.6,10.5,10.5,10.5,516363.0,0.0,1.0
2020-10-20,10.5398,10.5399,10.45,10.52,10.52,50164.0,0.0,1.0
2020-10-19,10.56,10.6,10.53,10.53,10.53,4063.0,0.0,1.0
2020-10-16,10.55,10.58,10.53,10.53,10.53,42296.0,0.0,1.0
2020-10-15,10.565,10.6,10.56,10.56,10.56,3793.0,0.0,1.0
