date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,46.49,46.49,46.49,46.49,46.49,0.0,0.0,1.0
2021-04-15,46.49,46.49,46.49,46.49,46.49,0.0,0.0,1.0
2021-04-14,46.49,46.49,46.49,46.49,46.49,10.0,0.0,1.0
2021-04-13,46.49,46.49,46.49,46.49,46.49,28.0,0.0,1.0
2021-04-12,46.49,46.49,46.49,46.49,46.49,0.0,0.0,1.0
2021-04-09,46.59,46.59,46.18,46.49,46.49,3751.0,0.0,1.0
2021-04-08,50.01,50.01,50.01,50.01,50.01,5.0,0.0,1.0
2021-04-07,50.01,50.01,50.01,50.01,50.01,47.0,0.0,1.0
2021-04-06,50.01,50.01,50.01,50.01,50.01,62.0,0.0,1.0
2021-04-05,50.01,50.01,50.01,50.01,50.01,186.0,0.0,1.0
2021-04-01,48.56,50.01,48.56,50.01,50.01,1746.0,0.0,1.0
2021-03-31,45.2113,45.2113,45.2113,45.2113,45.2113,3.0,0.0,1.0
2021-03-30,45.2113,45.2113,45.2113,45.2113,45.2113,0.0,0.0,1.0
2021-03-29,45.2113,45.2113,45.2113,45.2113,45.2113,2.0,0.0,1.0
2021-03-26,45.2113,45.2113,45.2113,45.2113,45.2113,9.0,0.0,1.0
2021-03-25,45.2113,45.2113,45.2113,45.2113,45.2113,1.0,0.0,1.0
2021-03-24,45.2113,45.2113,45.2113,45.2113,45.2113,0.0,0.0,1.0
2021-03-23,45.2113,45.2113,45.2113,45.2113,45.2113,0.0,0.0,1.0
2021-03-22,45.2113,45.2113,45.2113,45.2113,45.2113,0.0,0.0,1.0
2021-03-19,45.2113,45.2113,45.2113,45.2113,45.2113,0.0,0.0,1.0
2021-03-18,45.2113,45.2113,45.2113,45.2113,45.2113,1.0,0.0,1.0
2021-03-17,45.2113,45.2113,45.2113,45.2113,45.2113,0.0,0.0,1.0
2021-03-16,45.2113,45.2113,45.2113,45.2113,45.2113,0.0,0.0,1.0
2021-03-15,45.2113,45.2113,45.2113,45.2113,45.2113,6.0,0.0,1.0
2021-03-12,45.2113,45.2113,45.2113,45.2113,45.2113,0.0,0.0,1.0
2021-03-11,45.2113,45.2113,45.2113,45.2113,45.2113,0.0,0.0,1.0
2021-03-10,45.2113,45.2113,45.2113,45.2113,45.2113,1.0,0.0,1.0
