date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.7,11.0,10.51,10.51,10.51,10301.0,0.0,1.0
2021-04-15,10.8,10.86,10.6,10.6,10.6,31356.0,0.0,1.0
2021-04-14,11.0875,11.0875,10.68,10.785,10.785,5119.0,0.0,1.0
2021-04-13,11.24,11.25,10.7433,10.75,10.75,13135.0,0.0,1.0
2021-04-12,10.81,10.9,10.8,10.85,10.85,3385.0,0.0,1.0
2021-04-09,10.53,10.9,10.53,10.9,10.9,1437.0,0.0,1.0
2021-04-08,10.72,10.925,10.51,10.925,10.925,7901.0,0.0,1.0
2021-04-07,10.6234,10.65,10.53,10.56,10.56,3577.0,0.0,1.0
2021-04-06,10.51,10.8,10.51,10.75,10.75,1885.0,0.0,1.0
2021-04-05,10.92,10.92,10.7,10.75,10.75,4483.0,0.0,1.0
2021-04-01,10.72,10.95,10.7,10.95,10.95,7298.0,0.0,1.0
2021-03-31,10.75,10.75,10.51,10.69,10.69,4052.0,0.0,1.0
2021-03-30,10.56,10.69,10.56,10.61,10.61,12211.0,0.0,1.0
2021-03-29,10.655,10.75,10.5201,10.675,10.675,8145.0,0.0,1.0
2021-03-26,10.75,10.8703,10.5401,10.8236,10.8236,6647.0,0.0,1.0
2021-03-25,10.55,10.7,10.38,10.53,10.53,29554.0,0.0,1.0
2021-03-24,10.6,10.79,10.51,10.74,10.74,48096.0,0.0,1.0
2021-03-23,10.8869,11.0,10.51,10.6,10.6,232239.0,0.0,1.0
2021-03-22,10.88,11.06,10.8691,10.8691,10.8691,3650.0,0.0,1.0
2021-03-19,11.205,11.205,10.72,10.83,10.83,42391.0,0.0,1.0
2021-03-18,10.91,11.02,10.86,10.93,10.93,34112.0,0.0,1.0
2021-03-17,11.4867,11.4867,11.01,11.13,11.13,71752.0,0.0,1.0
2021-03-16,11.29,11.35,10.946,10.96,10.96,6345.0,0.0,1.0
2021-03-15,11.49,11.49,11.25,11.35,11.35,12719.0,0.0,1.0
2021-03-12,11.44,11.55,11.44,11.47,11.47,2568.0,0.0,1.0
2021-03-11,11.28,11.79,11.24,11.24,11.24,7891.0,0.0,1.0
2021-03-10,11.29,11.45,11.14,11.14,11.14,93092.0,0.0,1.0
2021-03-09,11.08,11.31,10.9301,11.31,11.31,16856.0,0.0,1.0
2021-03-08,11.265,11.2858,10.77,11.05,11.05,120105.0,0.0,1.0
2021-03-05,11.15,11.45,11.0,11.39,11.39,707112.0,0.0,1.0
2021-03-04,11.16,11.5099,11.0,11.15,11.15,117549.0,0.0,1.0
2021-03-03,11.99,12.3323,11.5,11.6,11.6,68297.0,0.0,1.0
2021-03-02,12.49,12.54,11.74,11.79,11.79,334705.0,0.0,1.0
2021-03-01,12.62,12.86,12.4,12.46,12.46,40167.0,0.0,1.0
2021-02-26,12.3914,12.87,12.21,12.73,12.73,16518.0,0.0,1.0
2021-02-25,13.11,13.11,12.01,12.3,12.3,75430.0,0.0,1.0
2021-02-24,13.3,13.52,12.9,12.9,12.9,51205.0,0.0,1.0
2021-02-23,13.65,13.65,12.02,13.33,13.33,89141.0,0.0,1.0
2021-02-22,14.0,14.1,13.77,13.87,13.87,16220.0,0.0,1.0
2021-02-19,13.79,14.44,13.79,14.19,14.19,62561.0,0.0,1.0
2021-02-18,13.98,13.98,13.42,13.72,13.72,84094.0,0.0,1.0
2021-02-17,14.1,14.49,13.78,13.89,13.89,83941.0,0.0,1.0
2021-02-16,14.09,14.175,13.25,13.73,13.73,64406.0,0.0,1.0
2021-02-12,12.94,14.18,12.72,13.55,13.55,201514.0,0.0,1.0
2021-02-11,13.76,13.76,12.51,12.8,12.8,218561.0,0.0,1.0
2021-02-10,12.76,13.25,12.5,12.85,12.85,586332.0,0.0,1.0
2021-02-09,12.75,12.75,12.53,12.75,12.75,56649.0,0.0,1.0
2021-02-08,12.49,12.75,12.42,12.5,12.5,183030.0,0.0,1.0
2021-02-05,12.5,13.14,12.0,12.21,12.21,129698.0,0.0,1.0
2021-02-04,12.5,13.34,12.24,12.63,12.63,40987.0,0.0,1.0
2021-02-03,12.25,12.68,12.0,12.4,12.4,33347.0,0.0,1.0
2021-02-02,12.0,12.25,11.8,12.14,12.14,37214.0,0.0,1.0
2021-02-01,12.24,12.24,11.55,11.81,11.81,31049.0,0.0,1.0
2021-01-29,11.73,11.8,11.39,11.52,11.52,17859.0,0.0,1.0
2021-01-28,11.22,11.8,11.2,11.8,11.8,123668.0,0.0,1.0
2021-01-27,11.5,11.7499,11.15,11.25,11.25,371408.0,0.0,1.0
2021-01-26,12.09,12.1,11.49,11.5,11.5,186117.0,0.0,1.0
2021-01-25,11.98,12.2,11.67,12.0,12.0,397586.0,0.0,1.0
2021-01-22,11.7,11.7299,11.5,11.7,11.7,69966.0,0.0,1.0
2021-01-21,11.78,11.85,11.68,11.68,11.68,172705.0,0.0,1.0
2021-01-20,11.92,11.92,11.7384,11.78,11.78,70944.0,0.0,1.0
2021-01-19,11.74,11.81,11.5575,11.8,11.8,43710.0,0.0,1.0
2021-01-15,11.86,11.9492,11.51,11.56,11.56,81892.0,0.0,1.0
2021-01-14,11.5,12.13,11.5,11.71,11.71,70946.0,0.0,1.0
2021-01-13,11.58,11.8,11.55,11.6,11.6,30855.0,0.0,1.0
2021-01-12,11.42,11.83,11.3,11.56,11.56,38749.0,0.0,1.0
2021-01-11,11.4,11.6898,11.26,11.48,11.48,31880.0,0.0,1.0
2021-01-08,11.85,11.85,11.5,11.6,11.6,15909.0,0.0,1.0
2021-01-07,11.65,11.65,11.4362,11.65,11.65,612033.0,0.0,1.0
2021-01-06,11.6,11.79,11.52,11.64,11.64,142730.0,0.0,1.0
2021-01-05,11.777,11.7999,11.75,11.76,11.76,27261.0,0.0,1.0
2021-01-04,11.55,11.85,11.3295,11.76,11.76,54425.0,0.0,1.0
2020-12-31,11.43,11.84,11.35,11.5,11.5,15718.0,0.0,1.0
2020-12-30,11.6,11.85,11.31,11.5,11.5,545357.0,0.0,1.0
2020-12-29,11.55,11.7,11.12,11.55,11.55,85572.0,0.0,1.0
2020-12-28,11.79,11.8,11.41,11.6,11.6,33972.0,0.0,1.0
2020-12-24,11.41,11.84,11.2802,11.56,11.56,113629.0,0.0,1.0
2020-12-23,11.38,11.6498,11.37,11.5,11.5,288903.0,0.0,1.0
2020-12-22,11.35,11.4,11.01,11.24,11.24,142733.0,0.0,1.0
2020-12-21,11.39,11.39,11.21,11.25,11.25,361243.0,0.0,1.0
2020-12-18,11.2,11.25,11.2,11.24,11.24,33625.0,0.0,1.0
2020-12-17,11.4,11.4,11.2,11.25,11.25,35971.0,0.0,1.0
2020-12-16,11.22,11.4,11.0801,11.4,11.4,14049.0,0.0,1.0
2020-12-15,11.3,11.4,11.21,11.3,11.3,87191.0,0.0,1.0
2020-12-14,11.39,11.39,11.22,11.34,11.34,129966.0,0.0,1.0
2020-12-11,11.22,11.3,11.01,11.2499,11.2499,186384.0,0.0,1.0
2020-12-10,10.97,11.25,10.86,11.02,11.02,445001.0,0.0,1.0
2020-12-09,10.97,11.46,10.92,11.05,11.05,195475.0,0.0,1.0
2020-12-08,11.19,11.25,10.775,10.86,10.86,132117.0,0.0,1.0
2020-12-07,10.7,11.77,10.6,11.77,11.77,490619.0,0.0,1.0
2020-12-04,10.7867,10.7867,10.6706,10.71,10.71,59997.0,0.0,1.0
2020-12-03,10.58,10.8,10.52,10.73,10.73,435730.0,0.0,1.0
2020-12-02,10.5498,10.645,10.47,10.6,10.6,83693.0,0.0,1.0
2020-12-01,10.4,10.55,10.4,10.5,10.5,59260.0,0.0,1.0
2020-11-30,10.36,10.5,10.36,10.39,10.39,315395.0,0.0,1.0
2020-11-27,10.5,10.5,10.35,10.38,10.38,101062.0,0.0,1.0
2020-11-25,10.3,10.5,10.3,10.35,10.35,304924.0,0.0,1.0
2020-11-24,10.44,10.44,10.22,10.32,10.32,293842.0,0.0,1.0
2020-11-23,10.33,10.45,10.25,10.36,10.36,559808.0,0.0,1.0
2020-11-20,10.2821,10.34,10.22,10.3178,10.3178,14195.0,0.0,1.0
2020-11-19,10.28,10.35,10.26,10.26,10.26,47069.0,0.0,1.0
2020-11-18,10.27,10.3,10.215,10.27,10.27,63432.0,0.0,1.0
2020-11-17,10.3,10.3,10.27,10.27,10.27,32391.0,0.0,1.0
2020-11-16,10.2922,10.3,10.275,10.28,10.28,52707.0,0.0,1.0
2020-11-13,10.31,10.34,10.3,10.3,10.3,18454.0,0.0,1.0
2020-11-12,10.26,10.35,10.26,10.3,10.3,32906.0,0.0,1.0
2020-11-11,10.375,10.4,10.3,10.3,10.3,493808.0,0.0,1.0
2020-11-10,10.44,10.44,10.378,10.4,10.4,25383.0,0.0,1.0
2020-11-09,10.5,10.5,10.2969,10.42,10.42,27095.0,0.0,1.0
2020-11-06,10.42,10.45,10.388,10.42,10.42,431605.0,0.0,1.0
2020-11-05,10.4,10.4,10.335,10.36,10.36,46700.0,0.0,1.0
2020-11-04,10.3,10.425,10.28,10.38,10.38,250044.0,0.0,1.0
2020-11-03,10.24,10.37,10.16,10.3,10.3,216655.0,0.0,1.0
2020-11-02,10.15,10.8,10.125,10.2,10.2,336887.0,0.0,1.0
2020-10-30,10.14,10.15,10.07,10.15,10.15,64901.0,0.0,1.0
2020-10-29,10.15,10.15,10.08,10.1,10.1,281473.0,0.0,1.0
2020-10-28,10.1,10.13,10.0,10.1,10.1,319809.0,0.0,1.0
2020-10-27,10.0,10.07,10.0,10.01,10.01,5536192.0,0.0,1.0
