date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,85.96,87.89,85.44,87.3,87.3,270274.0,0.0,1.0
2021-04-15,85.16,85.86,84.25,85.56,85.56,99883.0,0.0,1.0
2021-04-14,85.43,86.075,84.3101,84.85,84.85,145108.0,0.0,1.0
2021-04-13,86.24,86.46,84.875,85.39,85.39,141114.0,0.0,1.0
2021-04-12,86.43,86.53,85.28,86.22,86.22,133967.0,0.0,1.0
2021-04-09,86.36,87.17,85.915,86.72,86.72,76278.0,0.0,1.0
2021-04-08,86.88,87.0,85.68,86.25,86.25,98032.0,0.0,1.0
2021-04-07,87.68,87.74,86.17,86.37,86.37,113029.0,0.0,1.0
2021-04-06,88.89,88.91,87.35,87.8,87.8,91408.0,0.0,1.0
2021-04-05,87.5,89.19,86.7544,88.89,88.89,94503.0,0.0,1.0
2021-04-01,86.685,87.67,86.14,86.71,86.71,96774.0,0.0,1.0
2021-03-31,86.61,88.28,86.3446,86.95,86.95,239482.0,0.0,1.0
2021-03-30,87.15,87.66,86.32,86.67,86.67,183249.0,0.0,1.0
2021-03-29,86.65,88.79,86.11,87.2,87.2,160499.0,0.0,1.0
2021-03-26,86.61,87.235,85.56,86.92,86.92,214739.0,0.0,1.0
2021-03-25,85.2,87.02,84.17,86.7,86.7,152065.0,0.0,1.0
2021-03-24,84.44,86.67,84.27,85.14,85.14,135419.0,0.0,1.0
2021-03-23,83.71,85.78,83.14,84.41,84.41,121912.0,0.0,1.0
2021-03-22,84.73,85.7822,83.63,84.32,84.32,112609.0,0.0,1.0
2021-03-19,85.87,86.9,83.39,85.02,85.02,434039.0,0.0,1.0
2021-03-18,84.23,86.97,84.23,86.37,86.37,142200.0,0.0,1.0
2021-03-17,81.85,84.88,81.37,84.55,84.55,268016.0,0.0,1.0
2021-03-16,81.71,82.39,80.585,81.81,81.81,176708.0,0.0,1.0
2021-03-15,81.62,82.75,81.225,82.04,82.04,116307.0,0.0,1.0
2021-03-12,80.7,82.37,80.7,82.02,82.02,141368.0,0.0,1.0
2021-03-11,81.35,82.18,80.91,81.1,81.1,156849.0,0.38,1.0
2021-03-10,80.55,81.85,80.21,81.32,80.9407461954,157742.0,0.0,1.0
2021-03-09,79.89,81.115,79.84,80.13,79.7562960236,170008.0,0.0,1.0
2021-03-08,79.34,81.04,78.7496,79.74,79.3681148748,152035.0,0.0,1.0
2021-03-05,78.23,79.54,76.64,79.23,78.8604933726,265144.0,0.0,1.0
2021-03-04,77.59,79.22,76.85,77.62,77.2580019637,329033.0,0.0,1.0
2021-03-03,77.73,78.69,75.63,77.27,76.9096342661,301714.0,0.0,1.0
2021-03-02,80.26,81.12,76.93,76.93,76.5712199313,202080.0,0.0,1.0
2021-03-01,77.88,80.5,77.75,80.2,79.8259695631,223927.0,0.0,1.0
2021-02-26,79.22,80.59,77.88,78.16,77.7954835542,520745.0,0.0,1.0
2021-02-25,79.9,81.06,79.13,79.62,79.2486745214,281429.0,0.0,1.0
2021-02-24,80.21,80.82,79.22,80.35,79.9752700049,217689.0,0.0,1.0
2021-02-23,80.33,81.2,79.15,80.54,80.1643838979,226124.0,0.0,1.0
2021-02-22,82.07,82.07,80.32,80.56,80.1842906235,219371.0,0.0,1.0
2021-02-19,82.83,84.4459,81.65,82.46,82.0754295533,215923.0,0.0,1.0
2021-02-18,87.09,87.575,80.0,82.81,82.4237972509,372793.0,0.0,1.0
2021-02-17,82.62,82.63,81.23,81.55,81.1696735395,184659.0,0.0,1.0
2021-02-16,85.2,85.495,83.15,83.26,82.8716985763,99673.0,0.0,1.0
2021-02-12,86.55,86.55,84.71,85.06,84.6633038783,175045.0,0.0,1.0
2021-02-11,85.95,87.41,85.95,86.48,86.0766813942,222154.0,0.0,1.0
2021-02-10,88.97,89.07,85.7,85.93,85.5292464408,160852.0,0.0,1.0
2021-02-09,88.6,89.135,87.72,88.71,88.296281296,606178.0,0.0,1.0
2021-02-08,89.11,89.76,88.6,89.76,89.3413843888,182195.0,0.0,1.0
2021-02-05,89.53,91.465,88.41,88.77,88.3560014728,190442.0,0.0,1.0
2021-02-04,88.81,89.875,88.46,89.42,89.002970054,175633.0,0.0,1.0
2021-02-03,89.14,89.42,87.55,88.43,88.0175871379,158868.0,0.0,1.0
2021-02-02,89.75,90.525,88.87,89.49,89.0726435935,177670.0,0.0,1.0
2021-02-01,90.12,91.19,87.55,88.87,88.4555351006,217898.0,0.0,1.0
2021-01-29,91.72,92.76,89.04,89.69,89.2717108493,292049.0,0.0,1.0
2021-01-28,96.79,96.79,91.62,92.02,91.590844379,144063.0,0.0,1.0
