date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,3.16,3.1601,2.98,3.05,3.05,1597963.0,0.0,1.0
2021-04-15,3.2,3.245,3.14,3.17,3.17,1087232.0,0.0,1.0
2021-04-14,3.2,3.2713,3.13,3.18,3.18,1599719.0,0.0,1.0
2021-04-13,3.09,3.169,3.05,3.15,3.15,1275764.0,0.0,1.0
2021-04-12,3.22,3.22,3.04,3.09,3.09,1469243.0,0.0,1.0
2021-04-09,3.46,3.47,3.17,3.19,3.19,2416988.0,0.0,1.0
2021-04-08,3.22,3.53,3.18,3.48,3.48,3764798.0,0.0,1.0
2021-04-07,3.34,3.35,3.18,3.18,3.18,1349181.0,0.0,1.0
2021-04-06,3.32,3.42,3.31,3.33,3.33,1176169.0,0.0,1.0
2021-04-05,3.39,3.39,3.275,3.32,3.32,963949.0,0.0,1.0
2021-04-01,3.33,3.41,3.28,3.35,3.35,1670897.0,0.0,1.0
2021-03-31,3.2,3.34,3.175,3.32,3.32,1911714.0,0.0,1.0
2021-03-30,3.06,3.22,2.95,3.19,3.19,2321109.0,0.0,1.0
2021-03-29,3.25,3.3,3.06,3.07,3.07,2176224.0,0.0,1.0
2021-03-26,3.45,3.45,3.11,3.24,3.24,2461086.0,0.0,1.0
2021-03-25,3.09,3.46,3.04,3.46,3.46,3488574.0,0.0,1.0
2021-03-24,3.33,3.38,3.045,3.07,3.07,2764951.0,0.0,1.0
2021-03-23,3.52,3.52,3.26,3.31,3.31,2338195.0,0.0,1.0
2021-03-22,3.56,3.62,3.48,3.54,3.54,1554922.0,0.0,1.0
2021-03-19,3.49,3.56,3.35,3.54,3.54,2345003.0,0.0,1.0
2021-03-18,3.51,3.69,3.37,3.42,3.42,3435680.0,0.0,1.0
2021-03-17,3.53,3.595,3.44,3.51,3.51,1864923.0,0.0,1.0
2021-03-16,3.78,3.79,3.45,3.63,3.63,2871272.0,0.0,1.0
2021-03-15,3.66,3.825,3.61,3.73,3.73,4205797.0,0.0,1.0
2021-03-12,3.44,3.45,3.3,3.43,3.43,1661422.0,0.0,1.0
2021-03-11,3.43,3.57,3.365,3.52,3.52,2626979.0,0.0,1.0
2021-03-10,3.42,3.42,3.21,3.41,3.41,3164050.0,0.0,1.0
2021-03-09,3.12,3.4109,3.09,3.36,3.36,3046105.0,0.0,1.0
2021-03-08,3.21,3.23,2.95,3.02,3.02,1778743.0,0.0,1.0
2021-03-05,3.15,3.18,2.785,3.17,3.17,4565367.0,0.0,1.0
2021-03-04,3.35,3.42,3.01,3.12,3.12,4032501.0,0.0,1.0
2021-03-03,3.55,3.6,3.36,3.37,3.37,2645768.0,0.0,1.0
2021-03-02,3.63,3.7,3.53,3.59,3.59,2030440.0,0.0,1.0
2021-03-01,3.6,3.65,3.55,3.64,3.64,1372684.0,0.0,1.0
2021-02-26,3.54,3.64,3.34,3.53,3.53,3287885.0,0.0,1.0
2021-02-25,3.64,3.725,3.3714,3.45,3.45,3115870.0,0.0,1.0
2021-02-24,3.65,3.86,3.61,3.71,3.71,1998664.0,0.0,1.0
2021-02-23,3.69,3.83,3.4101,3.68,3.68,3426667.0,0.0,1.0
2021-02-22,4.04,4.1183,3.81,3.82,3.82,2279947.0,0.0,1.0
2021-02-19,4.02,4.195,4.0,4.09,4.09,1946509.0,0.0,1.0
2021-02-18,4.01,4.08,3.8599,3.96,3.96,1983244.0,0.0,1.0
2021-02-17,4.1,4.17,3.95,4.11,4.11,2981929.0,0.0,1.0
2021-02-16,4.46,4.46,4.08,4.1,4.1,3160956.0,0.0,1.0
2021-02-12,4.4,4.44,4.2,4.4,4.4,2660959.0,0.0,1.0
2021-02-11,4.64,4.7,4.33,4.41,4.41,3045511.0,0.0,1.0
2021-02-10,4.77,4.81,4.47,4.64,4.64,2552785.0,0.0,1.0
2021-02-09,4.84,4.89,4.72,4.77,4.77,2120324.0,0.0,1.0
2021-02-08,4.7,4.84,4.6,4.775,4.775,2703300.0,0.0,1.0
2021-02-05,4.68,4.6801,4.51,4.67,4.67,2128825.0,0.0,1.0
2021-02-04,4.54,4.74,4.405,4.64,4.64,3007901.0,0.0,1.0
2021-02-03,4.5,4.65,4.35,4.47,4.47,3963749.0,0.0,1.0
2021-02-02,4.4635,4.51,4.22,4.35,4.35,3609565.0,0.0,1.0
2021-02-01,4.17,4.245,4.01,4.21,4.21,2233625.0,0.0,1.0
2021-01-29,4.21,4.39,3.86,4.17,4.17,4259209.0,0.0,1.0
2021-01-28,4.16,4.3399,4.08,4.22,4.22,3268825.0,0.0,1.0
2021-01-27,4.35,4.51,4.06,4.15,4.15,4281216.0,0.0,1.0
2021-01-26,4.8822,4.9,4.47,4.49,4.49,3051579.0,0.0,1.0
2021-01-25,5.2,5.22,4.1,4.79,4.79,7247334.0,0.0,1.0
2021-01-22,4.8925,5.19,4.88,5.16,5.16,5524679.0,0.0,1.0
2021-01-21,5.05,5.05,4.775,4.8,4.8,2921608.0,0.0,1.0
2021-01-20,4.88,5.12,4.67,4.93,4.93,5397302.0,0.0,1.0
2021-01-19,4.66,4.83,4.47,4.71,4.71,2539045.0,0.0,1.0
2021-01-15,4.74,4.87,4.3619,4.52,4.52,3247175.0,0.0,1.0
2021-01-14,4.46,4.8399,4.36,4.71,4.71,3658744.0,0.0,1.0
2021-01-13,4.36,4.48,4.23,4.45,4.45,2393845.0,0.0,1.0
2021-01-12,4.43,4.56,4.26,4.36,4.36,3162785.0,0.0,1.0
2021-01-11,4.1,4.44,3.975,4.39,4.39,4320339.0,0.0,1.0
2021-01-08,4.19,4.22,3.92,4.16,4.16,2996687.0,0.0,1.0
2021-01-07,4.01,4.25,3.95,4.19,4.19,3539109.0,0.0,1.0
2021-01-06,4.23,4.29,3.85,3.98,3.98,4460787.0,0.0,1.0
2021-01-05,4.0,4.36,3.905,4.21,4.21,5147332.0,0.0,1.0
2021-01-04,3.81,4.01,3.66,3.95,3.95,3282235.0,0.0,1.0
2020-12-31,3.95,3.95,3.7676,3.785,3.785,1451315.0,0.0,1.0
2020-12-30,3.8216,3.97,3.76,3.92,3.92,1720313.0,0.0,1.0
2020-12-29,4.0,4.1,3.73,3.78,3.78,3677819.0,0.0,1.0
2020-12-28,4.19,4.28,3.91,3.96,3.96,4293768.0,0.0,1.0
2020-12-24,4.045,4.24,3.65,4.18,4.18,6385767.0,0.0,1.0
2020-12-23,3.58,4.2,3.52,4.0,4.0,18630640.0,0.0,1.0
2020-12-22,3.24,3.485,3.06,3.36,3.36,5624649.0,0.0,1.0
2020-12-21,3.11,3.28,3.06,3.25,3.25,2594155.0,0.0,1.0
2020-12-18,3.05,3.29,3.025,3.08,3.08,5730444.0,0.0,1.0
2020-12-17,2.98,3.07,2.93,3.05,3.05,1809252.0,0.0,1.0
2020-12-16,2.99,3.1,2.88,3.0,3.0,2430817.0,0.0,1.0
2020-12-15,2.9334,3.06,2.84,2.97,2.97,5698088.0,0.0,1.0
2020-12-14,2.84,2.84,2.55,2.7,2.7,4104225.0,0.0,1.0
2020-12-11,2.88,2.96,2.69,2.77,2.77,3798095.0,0.0,1.0
2020-12-10,2.88,3.07,2.78,2.87,2.87,2710494.0,0.0,1.0
2020-12-09,3.07,3.16,2.82,2.88,2.88,4632130.0,0.0,1.0
2020-12-08,3.21,3.23,2.87,3.09,3.09,5750377.0,0.0,1.0
2020-12-07,3.84,3.935,3.0,3.11,3.11,10239230.0,0.0,1.0
2020-12-04,3.9,3.99,3.82,3.84,3.84,3048262.0,0.0,1.0
2020-12-03,3.9,3.99,3.83,3.86,3.86,2904305.0,0.0,1.0
2020-12-02,3.74,3.91,3.68,3.88,3.88,2782468.0,0.0,1.0
2020-12-01,3.8,3.94,3.6745,3.72,3.72,3080531.0,0.0,1.0
2020-11-30,3.49,3.8,3.34,3.7,3.7,4511814.0,0.0,1.0
2020-11-27,3.39,3.49,3.35,3.46,3.46,928261.0,0.0,1.0
2020-11-25,3.21,3.445,3.13,3.4,3.4,2420435.0,0.0,1.0
2020-11-24,3.38,3.4,3.17,3.2,3.2,2042725.0,0.0,1.0
2020-11-23,3.33,3.39,3.21,3.36,3.36,2141379.0,0.0,1.0
2020-11-20,3.17,3.28,3.13,3.26,3.26,1268381.0,0.0,1.0
2020-11-19,3.1,3.22,3.0199,3.19,3.19,1248675.0,0.0,1.0
2020-11-18,3.06,3.1682,2.99,3.09,3.09,1623654.0,0.0,1.0
2020-11-17,3.04,3.095,2.84,3.03,3.03,1589394.0,0.0,1.0
2020-11-16,3.1,3.12,2.93,3.03,3.03,1317546.0,0.0,1.0
2020-11-13,2.98,3.08,2.92,3.05,3.05,1023321.0,0.0,1.0
2020-11-12,3.0,3.03,2.9,2.95,2.95,873149.0,0.0,1.0
2020-11-11,2.9,3.0,2.81,3.0,3.0,1139467.0,0.0,1.0
2020-11-10,2.79,2.86,2.64,2.86,2.86,1315130.0,0.0,1.0
2020-11-09,2.75,2.9,2.72,2.76,2.76,1505115.0,0.0,1.0
2020-11-06,2.81,2.82,2.63,2.7,2.7,1002363.0,0.0,1.0
2020-11-05,2.91,2.94,2.71,2.8,2.8,1348315.0,0.0,1.0
2020-11-04,2.9,2.94,2.7901,2.91,2.91,1272779.0,0.0,1.0
2020-11-03,2.75,2.81,2.63,2.77,2.77,964096.0,0.0,1.0
2020-11-02,2.71,2.765,2.65,2.75,2.75,658901.0,0.0,1.0
2020-10-30,2.82,2.86,2.595,2.665,2.665,1191558.0,0.0,1.0
2020-10-29,2.8,2.915,2.62,2.82,2.82,1308291.0,0.0,1.0
2020-10-28,2.66,2.84,2.56,2.76,2.76,1656571.0,0.0,1.0
