date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.13,1.18,1.1,1.1,1.1,13475.0,0.0,1.0
2021-04-15,1.14,1.2,1.14,1.15,1.15,15082.0,0.0,1.0
2021-04-14,1.15,1.1587,1.15,1.15,1.15,10421.0,0.0,1.0
2021-04-13,1.11,1.18,1.11,1.15,1.15,12460.0,0.0,1.0
2021-04-12,1.11,1.155,1.1,1.11,1.11,25090.0,0.0,1.0
2021-04-09,1.1,1.1999,0.99,1.1,1.1,114584.0,0.0,1.0
2021-04-08,1.1,1.1,1.0,1.08,1.08,10150.0,0.0,1.0
2021-04-07,0.91,1.1,0.91,1.03,1.03,11866.0,0.0,1.0
2021-04-06,1.2,1.2,1.0,1.0,1.0,44411.0,0.0,1.0
2021-04-05,1.2,1.25,1.15,1.25,1.25,28521.0,0.0,1.0
2021-04-01,1.2999,1.3,1.11,1.2,1.2,50290.0,0.0,1.0
2021-03-31,1.2001,1.25,1.16,1.16,1.16,19180.0,0.0,1.0
2021-03-30,1.17,1.17,1.17,1.17,1.17,19.0,0.0,1.0
2021-03-29,1.13,1.26,1.06,1.17,1.17,5636.0,0.0,1.0
2021-03-26,1.36,1.55,1.25,1.3,1.3,27965.0,0.0,1.0
2021-03-25,1.25,1.36,1.2,1.36,1.36,28567.0,0.0,1.0
2021-03-24,1.47,1.47,1.25,1.27,1.27,41147.0,0.0,1.0
2021-03-23,1.34,1.45,1.34,1.37,1.37,2471.0,0.0,1.0
2021-03-22,1.52,1.64,1.46,1.466,1.466,26292.0,0.0,1.0
2021-03-19,1.4,1.49,1.33,1.475,1.475,42824.0,0.0,1.0
2021-03-18,1.2501,1.43,1.15,1.43,1.43,70273.0,0.0,1.0
2021-03-17,1.2499,1.3,1.19,1.3,1.3,33996.0,0.0,1.0
2021-03-16,1.3,1.4,1.3,1.3,1.3,20164.0,0.0,1.0
2021-03-15,1.5,1.5,1.3001,1.41,1.41,28038.0,0.0,1.0
