date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,65.6,66.35,65.2925,66.14,66.14,252530.0,0.0,1.0
2021-04-15,65.41,65.46,64.58,65.12,65.12,325697.0,0.0,1.0
2021-04-14,64.17,65.45,64.17,65.07,65.07,212542.0,0.0,1.0
2021-04-13,63.66,64.14,63.26,64.01,64.01,195283.0,0.0,1.0
2021-04-12,63.74,64.15,63.01,63.89,63.89,268819.0,0.0,1.0
2021-04-09,63.77,64.265,63.5,63.8,63.8,226269.0,0.0,1.0
2021-04-08,62.8,63.61,62.52,63.53,63.53,264007.0,0.0,1.0
2021-04-07,62.14,62.95,61.79,62.93,62.93,286161.0,0.0,1.0
2021-04-06,61.59,62.23,61.26,62.21,62.21,638763.0,0.0,1.0
2021-04-05,61.81,62.15,60.95,61.59,61.59,247824.0,0.0,1.0
2021-04-01,60.61,61.58,60.2,61.57,61.57,218446.0,0.0,1.0
2021-03-31,61.3,61.88,60.79,60.81,60.81,234668.0,0.0,1.0
2021-03-30,60.78,61.73,60.62,61.4,61.4,373065.0,0.0,1.0
2021-03-29,61.04,61.77,60.47,60.71,60.71,280456.0,0.0,1.0
2021-03-26,61.33,61.54,60.44,61.52,61.52,278568.0,0.0,1.0
2021-03-25,60.19,61.6,60.19,60.68,60.68,610816.0,0.0,1.0
2021-03-24,60.51,61.32,60.1,60.19,60.19,428366.0,0.0,1.0
2021-03-23,59.76,60.68,59.6,60.0,60.0,303121.0,0.0,1.0
2021-03-22,60.6,60.77,59.74,60.17,60.17,544187.0,0.0,1.0
2021-03-19,61.22,61.34,60.35,60.57,60.57,1077314.0,0.0,1.0
2021-03-18,61.5,61.99,61.04,61.36,61.36,258595.0,0.0,1.0
2021-03-17,60.21,61.25,59.64,61.19,61.19,372065.0,0.0,1.0
2021-03-16,61.0,61.15,59.085,59.88,59.88,377637.0,0.6325,1.0
2021-03-15,63.2,63.2,61.06,61.9,61.2529973146,373799.0,0.0,1.0
2021-03-12,64.77,65.0,63.28,63.43,62.7670051642,318358.0,0.0,1.0
2021-03-11,65.6,65.89,64.5,64.81,64.1325808717,272448.0,0.0,1.0
2021-03-10,64.67,65.98,64.37,65.73,65.0429646767,171357.0,0.0,1.0
2021-03-09,64.01,65.16,63.23,64.71,64.0336261103,282392.0,0.0,1.0
2021-03-08,63.0,64.41,60.51,64.13,63.4596884941,351063.0,0.0,1.0
2021-03-05,60.9,62.79,60.8959,62.72,62.0644263582,204157.0,0.0,1.0
2021-03-04,60.51,61.575,60.0,60.41,59.7785713696,193403.0,0.0,1.0
2021-03-03,60.0,61.43,59.95,60.67,60.0358537492,206007.0,0.0,1.0
2021-03-02,59.79,60.37,59.3118,60.01,59.3827523239,170119.0,0.0,1.0
2021-03-01,59.17,60.2,59.1,59.77,59.1452608965,357425.0,0.0,1.0
2021-02-26,59.04,59.39,58.22,58.4,57.7895806652,191660.0,0.0,1.0
2021-02-25,60.38,60.895,59.14,59.23,58.6109051849,236136.0,0.0,1.0
2021-02-24,60.0,61.1699,60.0,60.34,59.7093030366,200155.0,0.0,1.0
2021-02-23,59.6,60.77,59.3801,59.85,59.2244247056,267462.0,0.0,1.0
2021-02-22,57.76,59.54,57.41,59.35,58.7296508986,267244.0,0.0,1.0
2021-02-19,56.78,57.72,56.7,57.55,56.9484651931,360004.0,0.0,1.0
2021-02-18,56.81,56.92,56.13,56.67,56.0776632927,264790.0,0.0,1.0
2021-02-17,55.02,56.88,54.46,56.85,56.2557818633,310540.0,0.0,1.0
2021-02-16,56.35,56.35,54.65,54.85,54.276686635,239178.0,0.0,1.0
2021-02-12,56.24,56.8168,55.87,55.97,55.3849799628,183757.0,0.0,1.0
2021-02-11,55.67,56.54,55.42,56.5,55.9094401983,195007.0,0.0,1.0
2021-02-10,55.5,57.66,54.75,55.74,55.1573840116,303609.0,0.0,1.0
2021-02-09,54.45,55.67,54.21,55.35,54.7714604421,302494.0,0.0,1.0
2021-02-08,54.4,54.41,53.86,54.38,53.8115992564,142359.0,0.0,1.0
2021-02-05,54.03,54.45,53.7,54.15,53.5840033051,124855.0,0.0,1.0
2021-02-04,53.32,53.92,53.0,53.79,53.227766164,184154.0,0.0,1.0
2021-02-03,53.04,53.38,52.25,53.19,52.6340375955,215102.0,0.0,1.0
2021-02-02,53.28,53.41,52.55,53.21,52.6538285478,154603.0,0.0,1.0
2021-02-01,53.67,53.74,52.31,52.79,52.2382185499,389176.0,0.0,1.0
2021-01-29,54.49,54.5511,53.0,53.01,52.455919025,698719.0,0.0,1.0
2021-01-28,53.96,55.0,53.48,54.64,54.068881636,445492.0,0.0,1.0
2021-01-27,52.38,54.7,52.28,53.67,53.1090204503,480996.0,0.0,1.0
2021-01-26,52.8,53.78,52.049,52.93,52.3767552159,270996.0,0.0,1.0
2021-01-25,53.09,53.24,52.17,52.75,52.1986366453,240003.0,0.0,1.0
2021-01-22,53.11,53.76,52.81,53.38,52.8220516422,130473.0,0.0,1.0
2021-01-21,54.25,54.5,53.11,53.43,52.8715290229,184719.0,0.0,1.0
2021-01-20,53.84,54.39,53.22,54.25,53.6829580665,243359.0,0.0,1.0
2021-01-19,52.77,53.89,52.5235,53.55,52.9902747366,185173.0,0.0,1.0
2021-01-15,51.64,53.09,51.55,52.73,52.178845693,209921.0,0.0,1.0
2021-01-14,52.59,52.93,51.9,52.02,51.476266887,217760.0,0.0,1.0
2021-01-13,52.97,53.27,52.29,52.59,52.0403090271,141147.0,0.0,1.0
2021-01-12,52.55,53.3,52.37,52.97,52.4163371204,121462.0,0.0,1.0
2021-01-11,52.29,52.71,51.84,52.27,51.7236537905,168771.0,0.0,1.0
2021-01-08,53.0,53.17,51.67,52.27,51.7236537905,244586.0,0.0,1.0
2021-01-07,54.02,54.09,52.87,52.87,52.317382359,279661.0,0.0,1.0
2021-01-06,51.88,53.95,51.88,53.92,53.3564073539,432898.0,0.0,1.0
2021-01-05,50.97,51.9799,50.7,51.48,50.9419111754,292119.0,0.0,1.0
2021-01-04,52.23,52.38,50.835,51.15,50.6153604627,306039.0,0.0,1.0
2020-12-31,51.66,52.41,51.3065,52.21,51.6642809337,169605.0,0.0,1.0
2020-12-30,51.56,52.33,51.56,51.68,51.1398206982,178540.0,0.0,1.0
2020-12-29,51.74,51.74,51.02,51.44,50.9023292708,176230.0,0.0,1.0
2020-12-28,52.12,52.43,51.25,51.76,51.2189845073,225214.0,0.0,1.0
2020-12-24,51.59,51.81,51.08,51.79,51.2486709358,73914.0,0.0,1.0
2020-12-23,51.57,51.99,51.19,51.38,50.842956414,146907.0,0.0,1.0
2020-12-22,51.58,51.97,51.12,51.42,50.8825383185,194435.0,0.0,1.0
2020-12-21,51.11,51.6625,50.4,51.62,51.0804478414,300357.0,0.0,1.0
2020-12-18,51.71,52.13,51.01,51.1,50.565883082,689793.0,0.0,1.0
2020-12-17,51.71,52.0,50.5686,51.23,50.6945242718,383337.0,0.0,1.0
2020-12-16,51.36,52.4847,51.25,51.61,51.0705523652,343412.0,0.0,1.0
2020-12-15,50.25,51.36,50.0,51.36,50.8231654617,432903.0,0.6325,1.0
2020-12-14,54.11,55.71,50.0,50.46,49.3251320709,1061813.0,0.0,1.0
2020-12-11,46.08,47.18,46.08,46.77,45.7181218184,212521.0,0.0,1.0
2020-12-10,45.78,46.62,45.725,46.53,45.4835195255,128318.0,0.0,1.0
2020-12-09,45.5,46.16,45.2,45.99,44.9556643666,163364.0,0.0,1.0
2020-12-08,44.61,45.523,44.61,45.23,44.212757106,160383.0,0.0,1.0
2020-12-07,45.62,45.62,44.79,44.91,43.8999540488,146736.0,0.0,1.0
2020-12-04,45.43,45.785,45.24,45.6,44.5744356408,114381.0,0.0,1.0
2020-12-03,44.75,45.36,44.61,45.13,44.1150061506,90321.0,0.0,1.0
2020-12-02,44.97,45.3,44.24,44.92,43.9097291444,144129.0,0.0,1.0
2020-12-01,45.16,45.322,44.51,45.01,43.9977050042,182659.0,0.0,1.0
2020-11-30,46.01,46.01,44.41,44.47,43.4698498453,182366.0,0.0,1.0
2020-11-27,46.1,46.23,45.5361,46.01,44.9752145577,34523.0,0.0,1.0
2020-11-25,46.36,46.51,45.63,46.22,45.180491564,162166.0,0.0,1.0
2020-11-24,45.85,46.77,45.54,46.66,45.6105957675,141903.0,0.0,1.0
2020-11-23,45.68,45.68,45.21,45.43,44.4082590167,103817.0,0.0,1.0
2020-11-20,45.1,45.37,44.56,45.29,44.2714076792,162589.0,0.0,1.0
2020-11-19,44.65,45.2,44.515,45.18,44.1638816283,127406.0,0.0,1.0
2020-11-18,45.48,45.8,44.95,45.03,44.0172551953,162933.0,0.0,1.0
2020-11-17,46.16,46.35,45.31,45.49,44.4669095899,277901.0,0.0,1.0
2020-11-16,45.65,46.67,45.65,46.39,45.3466681881,232526.0,0.0,1.0
2020-11-13,44.31,45.02,44.15,44.95,43.939054431,254520.0,0.0,1.0
2020-11-12,43.44,44.1,43.245,44.01,43.0201954507,215368.0,0.0,1.0
2020-11-11,43.89,43.975,43.05,43.67,42.6878422025,117645.0,0.0,1.0
2020-11-10,42.97,43.99,42.8259,43.8,42.8149184444,187052.0,0.0,1.0
2020-11-09,44.43,44.55,42.0,42.69,41.72988284,290414.0,0.0,1.0
2020-11-06,41.65,41.87,41.335,41.71,40.7719234776,111269.0,0.0,1.0
2020-11-05,41.18,41.59,40.65,41.42,40.488445707,155521.0,0.0,1.0
2020-11-04,40.44,41.88,40.11,41.07,40.1463173633,249305.0,0.0,1.0
2020-11-03,41.88,41.99,40.85,41.19,40.2636185097,182501.0,0.0,1.0
2020-11-02,41.16,41.68,40.55,41.2,40.2733936053,191307.0,0.0,1.0
2020-10-30,40.1,41.01,40.1,40.71,39.794413924,236972.0,0.0,1.0
2020-10-29,40.1,40.98,39.6013,40.25,39.3447595294,307929.0,0.0,1.0
2020-10-28,39.54,40.415,39.48,40.15,39.2470085741,220775.0,0.0,1.0
2020-10-27,40.97,41.23,40.14,40.15,39.2470085741,126151.0,0.0,1.0
2020-10-26,41.24,41.24,40.69,41.04,40.1169920767,127594.0,0.0,1.0
2020-10-23,41.95,41.95,41.25,41.64,40.7034978088,87916.0,0.0,1.0
2020-10-22,40.76,41.68,40.76,41.58,40.6448472356,141364.0,0.0,1.0
2020-10-21,40.41,41.08,40.25,40.82,39.9019399749,109408.0,0.0,1.0
2020-10-20,40.64,41.01,40.27,40.43,39.520711249,141858.0,0.0,1.0
