date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,0.7005,0.7007,0.6995,0.7,0.7,7300.0,0.0,1.0
2021-04-15,0.8357,0.8357,0.6402,0.8357,0.8357,2451.0,0.0,1.0
2021-04-14,0.7,0.7,0.68,0.68,0.68,761.0,0.0,1.0
2021-04-13,0.78,0.78,0.630001,0.630001,0.630001,1014.0,0.0,1.0
2021-04-12,0.88,0.88,0.7467,0.78,0.78,966.0,0.0,1.0
2021-04-09,0.7794,0.78,0.7794,0.78,0.78,640.0,0.0,1.0
2021-04-08,0.78,0.78,0.721,0.7796,0.7796,1881.0,0.0,1.0
2021-04-07,0.84,0.84,0.84,0.84,0.84,240.0,0.0,1.0
2021-04-06,0.72,0.85,0.7001,0.84,0.84,3660.0,0.0,1.0
2021-04-05,0.88,0.9,0.86,0.9,0.9,588.0,0.0,1.0
2021-04-01,0.72,0.88,0.71,0.85,0.85,1790.0,0.0,1.0
2021-03-31,0.8853,0.8853,0.86,0.86,0.86,695.0,0.0,1.0
2021-03-30,0.95,0.95,0.5038,0.91,0.91,2402.0,0.0,1.0
2021-03-29,0.91,0.91,0.69,0.85,0.85,721.0,0.0,1.0
2021-03-26,0.72,0.72,0.72,0.72,0.72,20.0,0.0,1.0
2021-03-25,0.85,0.85,0.72,0.72,0.72,2580.0,0.0,1.0
2021-03-24,0.77,0.78,0.71,0.71,0.71,8273.0,0.0,1.0
2021-03-23,0.79,0.84,0.79,0.84,0.84,1203.0,0.0,1.0
2021-03-22,0.89,0.9,0.89,0.9,0.9,491.0,0.0,1.0
2021-03-19,0.800101,0.869899,0.79,0.869899,0.869899,4270.0,0.0,1.0
2021-03-18,1.0,1.0,0.7003,0.71,0.71,18163.0,0.0,1.0
2021-03-17,0.89,0.9,0.88,0.9,0.9,1425.0,0.0,1.0
2021-03-16,0.88,0.88,0.88,0.88,0.88,74.0,0.0,1.0
2021-03-15,0.67,0.88,0.67,0.88,0.88,1290.0,0.0,1.0
2021-03-12,0.85,0.85,0.701,0.701,0.701,5498.0,0.0,1.0
2021-03-11,0.9,0.9,0.85,0.85,0.85,6310.0,0.0,1.0
2021-03-10,0.95,0.95,0.95,0.95,0.95,1100.0,0.0,1.0
2021-03-09,0.8,0.82,0.79,0.82,0.82,1793.0,0.0,1.0
2021-03-08,0.84,0.889999,0.799999,0.8,0.8,2294.0,0.0,1.0
2021-03-05,0.8,0.8,0.7,0.79,0.79,7794.0,0.0,1.0
2021-03-04,0.99,0.99,0.77,0.84,0.84,2520.0,0.0,1.0
2021-03-03,1.0,1.0,0.76,0.99,0.99,5163.0,0.0,1.0
2021-03-02,1.05,1.05,0.85,1.0,1.0,407.0,0.0,1.0
2021-03-01,0.95,1.05,0.95,1.0,1.0,3582.0,0.0,1.0
2021-02-26,0.92,0.92,0.76,0.86,0.86,2112.0,0.0,1.0
2021-02-25,0.9301,0.94,0.7609,0.9,0.9,10442.0,0.0,1.0
2021-02-24,0.99,1.03,0.86,0.86,0.86,10343.0,0.0,1.0
2021-02-23,0.91,0.95,0.8,0.9,0.9,11097.0,0.0,1.0
2021-02-22,1.0,1.0,0.9,0.9105,0.9105,10994.0,0.0,1.0
2021-02-19,1.15,1.15,0.9999,0.9999,0.9999,28569.0,0.0,1.0
2021-02-18,1.0,1.0,1.0,1.0,1.0,645.0,0.0,1.0
2021-02-17,1.0,1.1,1.0,1.09,1.09,5422.0,0.0,1.0
2021-02-16,1.0,1.15,0.98,1.0,1.0,71227.0,0.0,1.0
2021-02-12,1.02,1.02,1.0,1.0,1.0,1299.0,0.0,1.0
2021-02-11,1.1001,1.2,1.1,1.1,1.1,9743.0,0.0,1.0
2021-02-10,1.06,1.25,1.06,1.09,1.09,332914.0,0.0,1.0
2021-02-09,1.2,1.25,1.0,1.24,1.24,23559.0,0.0,1.0
2021-02-08,1.05,1.23,0.99,1.21,1.21,8088.0,0.0,1.0
2021-02-05,0.9,1.08,0.9,1.08,1.08,16195.0,0.0,1.0
2021-02-04,1.13,1.15,1.08,1.0801,1.0801,11409.0,0.0,1.0
2021-02-03,1.02,1.0804,1.01,1.05,1.05,5127.0,0.0,1.0
2021-02-02,1.08,1.08,1.0,1.08,1.08,5223.0,0.0,1.0
2021-02-01,1.1,1.12,0.93,1.05,1.05,41346.0,0.0,1.0
2021-01-29,1.12,1.12,0.97,1.02,1.02,14606.0,0.0,1.0
2021-01-28,1.07,1.25,0.83,1.13,1.13,12484.0,0.0,1.0
2021-01-27,1.14,1.14,0.87001,1.08,1.08,13332.0,0.0,1.0
2021-01-26,1.08,1.15,0.95,1.15,1.15,41656.0,0.0,1.0
2021-01-25,1.0,1.09,0.8499,0.92,0.92,55199.0,0.0,1.0
2021-01-22,0.7,0.89,0.6999,0.81,0.81,39003.0,0.0,1.0
2021-01-21,0.650001,0.8,0.44,0.7999,0.7999,13460.0,0.0,1.0
2021-01-20,0.83,0.83,0.569899,0.73,0.73,74519.0,0.0,1.0
2021-01-19,0.715,0.81,0.6,0.6687,0.6687,18713.0,0.0,1.0
2021-01-15,0.6,0.654,0.55,0.654,0.654,51044.0,0.0,1.0
2021-01-14,0.5945,0.6,0.501,0.6,0.6,37167.0,0.0,1.0
2021-01-13,0.52,0.56,0.5,0.5257,0.5257,13188.0,0.0,1.0
2021-01-12,0.5,0.58,0.5,0.5257,0.5257,28079.0,0.0,1.0
2021-01-11,0.406,0.525,0.406,0.47,0.47,66841.0,0.0,1.0
2021-01-08,0.4622,0.63,0.4501,0.46,0.46,287560.0,0.0,1.0
2021-01-07,0.42,0.42,0.35,0.4,0.4,13658.0,0.0,1.0
2021-01-06,0.39,0.39,0.3899,0.39,0.39,3695.0,0.0,1.0
2021-01-05,0.38,0.38,0.35,0.37,0.37,22031.0,0.0,1.0
2021-01-04,0.39,0.39,0.36,0.375001,0.375001,14185.0,0.0,1.0
2020-12-31,0.38,0.38,0.38,0.38,0.38,6733.0,0.0,1.0
2020-12-30,0.39,0.39,0.38,0.38,0.38,2283.0,0.0,1.0
2020-12-29,0.4,0.4,0.4,0.4,0.4,375.0,0.0,1.0
2020-12-28,0.41,0.45,0.3011,0.43,0.43,4325.0,0.0,1.0
2020-12-24,0.4,0.48,0.290101,0.4,0.4,3300.0,0.0,1.0
2020-12-23,0.35,0.35,0.35,0.35,0.35,500.0,0.0,1.0
2020-12-22,0.39,0.39,0.335,0.35,0.35,40758.0,0.0,1.0
2020-12-21,0.44,0.44,0.3603,0.43,0.43,28034.0,0.0,1.0
2020-12-18,0.44,0.44,0.44,0.44,0.44,30.0,0.0,1.0
2020-12-17,0.35,0.44,0.35,0.44,0.44,2113.0,0.0,1.0
2020-12-16,0.4528,0.4528,0.4528,0.4528,0.4528,136.0,0.0,1.0
2020-12-15,0.46,0.5,0.4,0.4528,0.4528,17480.0,0.0,1.0
2020-12-14,0.4,0.4444,0.4,0.4444,0.4444,3444.0,0.0,1.0
2020-12-11,0.4002,0.4444,0.4002,0.4444,0.4444,490.0,0.0,1.0
2020-12-10,0.4002,0.45,0.4002,0.45,0.45,4668.0,0.0,1.0
2020-12-09,0.4,0.48,0.4,0.4,0.4,11056.0,0.0,1.0
2020-12-08,0.4,0.43,0.4,0.43,0.43,300.0,0.0,1.0
2020-12-07,0.4,0.43,0.36,0.43,0.43,7740.0,0.0,1.0
2020-12-04,0.419999,0.44,0.35,0.4202,0.4202,2384.0,0.0,1.0
2020-12-03,0.37,0.37,0.37,0.37,0.37,300.0,0.0,1.0
2020-12-02,0.3001,0.37,0.3,0.37,0.37,5303.0,0.0,1.0
2020-12-01,0.4,0.5,0.370801,0.4,0.4,10894.0,0.0,1.0
2020-11-30,0.5,0.5,0.4101,0.4101,0.4101,9140.0,0.0,1.0
2020-11-27,0.45,0.45,0.45,0.45,0.45,20.0,0.0,1.0
