date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,3.02,3.2,2.81,3.06,3.06,20799.0,0.0,1.0
2021-04-15,3.36,3.45,3.1108,3.28,3.28,32931.0,0.0,1.0
2021-04-14,3.405,3.51,3.22,3.33,3.33,14873.0,0.0,1.0
2021-04-13,3.61,3.61,3.3207,3.5,3.5,19736.0,0.0,1.0
2021-04-12,3.9,3.94,3.6,3.7,3.7,46272.0,0.0,1.0
2021-04-09,3.84,3.99,3.8057,3.95,3.95,26030.0,0.0,1.0
2021-04-08,3.71,3.9,3.5,3.85,3.85,95257.0,0.0,1.0
2021-04-07,3.33,3.65,3.3,3.61,3.61,103245.0,0.0,1.0
2021-04-06,3.2,3.48,3.19,3.21,3.21,64684.0,0.0,1.0
2021-04-05,2.69,3.21,2.69,3.2,3.2,85999.0,0.0,1.0
2021-04-01,2.2301,2.905,2.23,2.62,2.62,54359.0,0.0,1.0
2021-03-31,2.27,2.3957,2.2427,2.34,2.34,31696.0,0.0,1.0
2021-03-30,2.54,2.54,2.3,2.33,2.33,46520.0,0.0,1.0
2021-03-29,2.42,2.57,2.335,2.5198,2.5198,33494.0,0.0,1.0
2021-03-26,2.26,2.48,2.26,2.44,2.44,38077.0,0.0,1.0
2021-03-25,2.3053,2.58,2.23,2.3599,2.3599,34045.0,0.0,1.0
2021-03-24,2.41,2.54,2.2514,2.34,2.34,67242.0,0.0,1.0
2021-03-23,2.95,3.03,2.6,2.65,2.65,52631.0,0.0,1.0
2021-03-22,3.1,3.18,2.85,2.99,2.99,51879.0,0.0,1.0
2021-03-19,3.24,3.2489,3.05,3.11,3.11,9217.0,0.0,1.0
2021-03-18,3.19,3.28,3.0319,3.18,3.18,28443.0,0.0,1.0
2021-03-17,3.1,3.27,3.0,3.22,3.22,26521.0,0.0,1.0
2021-03-16,3.08,3.97,3.03,3.2,3.2,118111.0,0.0,1.0
2021-03-15,3.19,3.25,2.85,2.945,2.945,105407.0,0.0,1.0
2021-03-12,3.85,3.905,3.1599,3.25,3.25,203874.0,0.0,1.0
2021-03-11,4.0,4.0,3.77,3.84,3.84,20611.0,0.0,1.0
2021-03-10,4.65,4.65,4.0,4.0,4.0,46954.0,0.0,1.0
2021-03-09,3.51,4.25,3.5,4.08,4.08,71429.0,0.0,1.0
2021-03-08,3.59,4.0,3.06,3.5,3.5,94364.0,0.0,1.0
2021-03-05,3.0,3.59,2.15,3.59,3.59,130597.0,0.0,1.0
2021-03-04,3.41,3.41,2.77,2.84,2.84,66468.0,0.0,1.0
2021-03-03,3.59,3.6,3.4315,3.45,3.45,36882.0,0.0,1.0
2021-03-02,4.91,4.91,3.29,3.45,3.45,227981.0,0.0,1.0
2021-03-01,6.65,6.7209,5.11,5.21,5.21,62326.0,0.0,1.0
2021-02-26,6.93,7.41,6.51,6.51,6.51,21472.0,0.0,1.0
2021-02-25,6.78,6.97,6.53,6.9,6.9,44587.0,0.0,1.0
2021-02-24,7.1,7.1,6.73,6.78,6.78,48947.0,0.0,1.0
2021-02-23,7.21,7.3746,7.2,7.2,7.2,14108.0,0.0,1.0
2021-02-22,7.42,7.42,7.25,7.3925,7.3925,12806.0,0.0,1.0
2021-02-19,7.21,7.4678,7.11,7.22,7.22,30623.0,0.0,1.0
2021-02-18,7.47,7.47,7.35,7.35,7.35,18103.0,0.0,1.0
2021-02-17,7.35,7.76,7.35,7.47,7.47,22601.0,0.0,1.0
2021-02-16,7.83,8.04,7.36,7.52,7.52,62604.0,0.0,1.0
2021-02-12,7.64,7.97,7.64,7.905,7.905,18903.0,0.0,1.0
2021-02-11,7.94,8.0072,7.79,7.96,7.96,24804.0,0.0,1.0
2021-02-10,8.23,8.23,8.05,8.05,8.05,16171.0,0.0,1.0
2021-02-09,8.08,8.23,8.08,8.17,8.17,8201.0,0.0,1.0
2021-02-08,7.95,8.23,7.95,8.12,8.12,8573.0,0.0,1.0
2021-02-05,7.96,7.96,7.9,7.9242,7.9242,8858.0,0.0,1.0
2021-02-04,8.05,8.05,7.923,7.96,7.96,13166.0,0.0,1.0
2021-02-03,8.07,8.145,7.9,8.05,8.05,20008.0,0.0,1.0
2021-02-02,7.1,8.2,6.53,7.78,7.78,198911.0,0.0,1.0
2021-02-01,8.54,8.7,8.5001,8.68,8.68,13363.0,0.0,1.0
2021-01-29,8.75,8.78,8.45,8.54,8.54,17748.0,0.0,1.0
2021-01-28,8.5,8.8,8.41,8.75,8.75,25002.0,0.0,1.0
2021-01-27,8.36,8.75,8.29,8.34,8.34,45664.0,0.0,1.0
2021-01-26,8.3355,8.398,8.2,8.3,8.3,18502.0,0.0,1.0
2021-01-25,8.42,8.42,8.19,8.291,8.291,8159.0,0.0,1.0
2021-01-22,8.39,8.434,8.1688,8.41,8.41,10757.0,0.0,1.0
2021-01-21,8.8,8.8,8.0514,8.25,8.25,23281.0,0.0,1.0
2021-01-20,8.33,8.33,7.81,8.14,8.14,32740.0,0.0,1.0
2021-01-19,8.43,8.493,8.27,8.36,8.36,23886.0,0.0,1.0
2021-01-15,8.41,8.55,8.22,8.425,8.425,21435.0,0.0,1.0
2021-01-14,8.1701,8.8,8.1701,8.56,8.56,50723.0,0.448,1.0
2021-01-13,8.4,8.7,8.4,8.7,8.26731793961,46594.0,0.0,1.0
2021-01-12,8.65,8.7235,8.315,8.44,8.02024866785,41156.0,0.0,1.0
2021-01-11,8.73,8.73,8.5275,8.65,8.21980461812,21081.0,0.0,1.0
2021-01-08,8.48,8.88,8.1913,8.74,8.3053285968,35895.0,0.0,1.0
2021-01-07,8.26,8.43,8.16,8.4,7.98223801066,14400.0,0.0,1.0
2021-01-06,8.14,8.5455,7.7,8.24,7.83019538188,41045.0,0.0,1.0
2021-01-05,7.9,8.29,7.77,8.071,7.66960035524,11944.0,0.0,1.0
2021-01-04,7.69,7.885,7.69,7.885,7.49285079929,11171.0,0.0,1.0
2020-12-31,7.46,7.86,7.35,7.8584,7.46757371226,16811.0,0.0,1.0
2020-12-30,7.33,7.57,7.26,7.385,7.01771758437,16671.0,0.0,1.0
2020-12-29,7.5,7.5,7.31,7.33,6.96545293073,12310.0,0.0,1.0
2020-12-28,7.42,7.58,7.41,7.49,7.1174955595,38174.0,0.0,1.0
2020-12-24,7.32,7.465,7.32,7.42,7.05097690941,3075.0,0.0,1.0
2020-12-23,7.45,7.7601,7.3,7.3219,6.95775577265,19848.0,0.0,1.0
2020-12-22,7.59,7.59,7.44,7.5,7.1269982238,9531.0,0.0,1.0
2020-12-21,7.45,7.76,7.34,7.5,7.1269982238,14428.0,0.0,1.0
2020-12-18,7.5,7.54,7.45,7.46,7.08898756661,18864.0,0.0,1.0
2020-12-17,7.54,7.69,7.49,7.49,7.1174955595,2228.0,0.0,1.0
2020-12-16,7.6,7.78,7.5053,7.58,7.20301953819,13505.0,0.0,1.0
2020-12-15,7.33,7.676,7.16,7.6,7.22202486679,11733.0,0.0,1.0
2020-12-14,7.68,7.8,7.22,7.22,6.86092362345,19665.0,0.0,1.0
2020-12-11,7.55,7.74,7.2,7.6517,7.27115364121,29299.0,0.0,1.0
2020-12-10,7.7,7.79,7.38,7.75,7.36456483126,11593.0,0.0,1.0
2020-12-09,7.815,7.87,7.73,7.8,7.41207815275,6284.0,0.0,1.0
2020-12-08,7.73,7.826,7.72,7.826,7.43678507993,7479.0,0.0,1.0
2020-12-07,7.75,7.99,7.68,7.79,7.40257548845,22965.0,0.0,1.0
2020-12-04,7.85,8.0,7.77,7.79,7.40257548845,27751.0,0.0,1.0
2020-12-03,8.13,8.25,7.79,7.79,7.40257548845,65373.0,0.0,1.0
2020-12-02,8.15,8.285,8.05,8.09,7.68765541741,8461.0,0.0,1.0
2020-12-01,8.05,8.35,8.05,8.25,7.83969804618,8713.0,0.0,1.0
2020-11-30,8.26,8.35,8.05,8.05,7.64964476021,8182.0,0.0,1.0
2020-11-27,8.15,8.64,8.15,8.37,7.95373001776,5880.0,0.0,1.0
2020-11-25,8.11,8.43,7.7675,8.25,7.83969804618,59196.0,0.0,1.0
2020-11-24,7.88,8.3161,7.82,8.04,7.64014209591,25953.0,0.0,1.0
2020-11-23,7.63,8.0,7.57,7.8,7.41207815275,26619.0,0.0,1.0
2020-11-20,7.62,7.68,7.56,7.57,7.19351687389,9702.0,0.0,1.0
2020-11-19,7.65,7.77,7.55,7.605,7.22677619893,12927.0,0.0,1.0
2020-11-18,7.84,7.9365,7.65,7.65,7.26953818828,22281.0,0.0,1.0
2020-11-17,7.95,8.0195,7.5,7.6043,7.22611101243,28651.0,0.0,1.0
2020-11-16,8.0,8.0899,7.76,8.0338,7.63425044405,3748.0,0.0,1.0
2020-11-13,7.7,7.76,7.52,7.76,7.37406749556,6022.0,0.0,1.0
2020-11-12,7.6,7.7,7.5,7.5,7.1269982238,5061.0,0.0,1.0
2020-11-11,7.7499,7.7499,7.49,7.6,7.22202486679,2874.0,0.0,1.0
2020-11-10,7.6,7.9299,7.26,7.26,6.89893428064,7691.0,0.0,1.0
2020-11-09,7.5,8.13,7.398,7.83,7.44058614565,14860.0,0.0,1.0
2020-11-06,7.22,7.5899,7.2,7.26,6.89893428064,2458.0,0.0,1.0
2020-11-05,7.39,7.59,7.13,7.23,6.87042628774,9810.0,0.0,1.0
2020-11-04,7.45,7.45,7.3,7.3292,6.96469271758,7244.0,0.0,1.0
2020-11-03,7.2,7.4,7.18,7.3045,6.94122113677,17216.0,0.0,1.0
2020-11-02,6.65,7.2,6.65,7.2,6.84191829485,8147.0,0.0,1.0
2020-10-30,6.92,7.6,6.7389,6.99,6.64236234458,15725.0,0.0,1.0
2020-10-29,7.2,7.21,6.31,6.46,6.13872113677,27150.0,0.0,1.0
2020-10-28,7.4,7.4,7.12,7.24,6.87992895204,7162.0,0.0,1.0
2020-10-27,7.4,7.6,7.39,7.51,7.1365008881,18246.0,0.0,1.0
2020-10-26,7.57,7.6,7.1,7.36,6.99396092362,15302.0,0.0,1.0
2020-10-23,7.41,7.6,7.41,7.6,7.22202486679,9941.0,0.0,1.0
2020-10-22,7.53,7.54,7.4,7.54,7.16500888099,8767.0,0.0,1.0
2020-10-21,7.41,7.57,7.41,7.5301,7.15560124334,8135.0,0.0,1.0
2020-10-20,7.47,7.578,7.35,7.555,7.17926287744,12180.0,0.0,1.0
2020-10-19,7.64,7.94,7.36,7.64,7.26003552398,20261.0,0.0,1.0
2020-10-16,7.46,7.85,7.4,7.85,7.45959147425,12630.0,0.0,1.0
2020-10-15,7.75,7.94,7.41,7.8401,7.45018383659,5491.0,0.0,1.0
2020-10-14,8.4,8.4,7.66,8.1,7.69715808171,10031.0,0.4531,1.0
2020-10-13,8.13,8.8799,7.8836,8.085,7.27588139897,28987.0,0.0,1.0
2020-10-12,10.64,10.64,7.8601,8.0,7.19938790251,44010.0,0.0,1.0
2020-10-09,9.0,10.05,7.6,8.29,7.46036571397,33755.0,0.0,1.0
2020-10-08,7.98,8.612,7.92,8.612,7.75014107705,38702.0,0.0,1.0
2020-10-07,7.9067,7.99,7.8158,7.99,7.19038866763,11845.0,0.0,1.0
2020-10-06,7.99,7.99,7.65,7.92,7.12739402348,12572.0,0.0,1.0
2020-10-05,7.23,8.0,7.205,7.75,6.97440703055,28519.0,0.0,1.0
2020-10-02,7.43,7.43,6.9,7.185,6.46595025994,14533.0,0.0,1.0
2020-10-01,7.37,7.78,7.2544,7.43,6.68643151445,7530.0,0.0,1.0
2020-09-30,7.35,7.7,7.2722,7.42,6.67743227958,7380.0,0.0,1.0
2020-09-29,6.42,7.5,6.34,7.15,6.43445293787,44882.0,0.0,1.0
2020-09-28,6.25,6.42,6.25,6.42,5.77750879176,2903.0,0.0,1.0
2020-09-25,6.2125,6.27,6.18,6.18,5.56152715469,2174.0,0.0,1.0
2020-09-24,6.3,6.3,6.21,6.2301,5.60661332143,4363.0,0.0,1.0
