date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,15.95,16.13,15.9201,16.01,16.01,24607.0,0.0,1.0
2021-04-15,15.95,16.15,15.91,15.95,15.95,33274.0,0.0,1.0
2021-04-14,15.98,16.13,15.78,15.81,15.81,25788.0,0.0,1.0
2021-04-13,15.98,16.06,15.9,15.99,15.99,71329.0,0.0,1.0
2021-04-12,16.05,16.12,15.94,15.98,15.98,50148.0,0.0,1.0
2021-04-09,16.07,16.08,15.87,16.05,16.05,29910.0,0.0,1.0
2021-04-08,16.12,16.1945,15.91,16.07,16.07,46651.0,0.0,1.0
2021-04-07,15.98,16.01,15.7,15.85,15.85,27764.0,0.0,1.0
2021-04-06,15.61,16.1,15.58,16.04,16.04,42819.0,0.0,1.0
2021-04-05,15.7,15.81,15.19,15.59,15.59,123603.0,0.0,1.0
2021-04-01,15.57,15.89,15.53,15.71,15.71,56632.0,0.0,1.0
2021-03-31,15.61,15.7841,15.17,15.21,15.21,84168.0,0.0,1.0
2021-03-30,15.61,15.68,15.3305,15.5,15.5,18494.0,0.0,1.0
2021-03-29,15.76,15.92,15.65,15.7,15.7,20166.0,0.0,1.0
2021-03-26,15.9,16.19,15.7101,15.87,15.87,11514.0,0.0,1.0
2021-03-25,16.0,16.15,15.5701,15.83,15.83,29243.0,0.0,1.0
2021-03-24,16.6,16.75,16.1,16.19,16.19,28967.0,0.21,1.0
2021-03-23,16.82,16.87,16.6004,16.67,16.4565426829,25996.0,0.0,1.0
2021-03-22,16.84,17.03,16.69,16.69,16.4762865854,38967.0,0.0,1.0
2021-03-19,16.75,16.9993,16.51,16.58,16.367695122,27335.0,0.0,1.0
2021-03-18,17.0,17.0,16.55,16.74,16.5256463415,25823.0,0.0,1.0
2021-03-17,16.93,17.2499,16.72,17.07,16.8514207317,25653.0,0.0,1.0
2021-03-16,17.28,17.48,16.91,16.92,16.7033414634,33617.0,0.0,1.0
2021-03-15,17.05,17.14,16.85,17.06,16.8415487805,30839.0,0.0,1.0
2021-03-12,16.86,17.15,16.61,17.05,16.8316768293,47940.0,0.0,1.0
2021-03-11,16.7,16.95,16.68,16.92,16.7033414634,44325.0,0.0,1.0
2021-03-10,16.85,16.94,16.26,16.49,16.278847561,42234.0,0.0,1.0
2021-03-09,16.46,17.0,16.41,16.78,16.5651341463,70016.0,0.0,1.0
2021-03-08,16.67,16.77,15.95,16.08,15.874097561,69612.0,0.0,1.0
2021-03-05,15.52,15.66,14.91,15.56,15.3607560976,54214.0,0.0,1.0
2021-03-04,16.14,16.14,15.5,15.5,15.3015243902,54745.0,0.0,1.0
2021-03-03,16.0,16.21,15.695,15.79,15.5878109756,37930.0,0.0,1.0
