date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,13.53,13.64,13.52,13.64,13.64,1060.0,0.0,1.0
2021-04-15,13.59,13.6201,13.5,13.59,13.59,17609.0,0.0,1.0
2021-04-14,13.56,13.6,13.56,13.6,13.6,1528.0,0.0,1.0
2021-04-13,13.6,13.65,13.55,13.64,13.64,13964.0,0.0,1.0
2021-04-12,13.6203,13.67,13.55,13.56,13.56,3861.0,0.0,1.0
2021-04-09,13.57,13.9,13.55,13.9,13.9,8935.0,0.0,1.0
2021-04-08,13.7608,13.7608,13.5201,13.6243,13.6243,6000.0,0.0,1.0
2021-04-07,14.17,14.17,13.71,13.72,13.72,4640.0,0.0894,1.0
2021-04-06,13.54,14.25,13.48,13.8,13.7107045397,22243.0,0.0,1.0
2021-04-05,13.4591,13.54,13.4591,13.54,13.452386918,9121.0,0.0,1.0
2021-04-01,13.48,13.48,13.3725,13.3725,13.2859707578,1686.0,0.0,1.0
2021-03-31,13.3347,13.3347,13.3347,13.3347,13.2484153497,2010.0,0.0,1.0
2021-03-30,13.36,13.36,13.34,13.34,13.2536810551,774.0,0.0,1.0
2021-03-29,13.26,13.26,13.26,13.26,13.1741987099,212.0,0.0,1.0
2021-03-26,13.29,13.29,13.26,13.2665,13.1806566505,2489.0,0.0,1.0
2021-03-25,13.45,13.48,13.28,13.3,13.2139398825,9056.0,0.0,1.0
2021-03-24,13.3,13.34,13.3,13.33,13.2437457619,2180.0,0.0,1.0
2021-03-23,13.35,13.35,13.3279,13.34,13.2536810551,1837.0,0.0,1.0
2021-03-22,13.5,13.5,13.3,13.35,13.2636163482,19702.0,0.0,1.0
2021-03-19,13.32,13.33,13.24,13.3,13.2139398825,9778.0,0.0,1.0
2021-03-18,13.51,13.53,13.37,13.37,13.2834869345,14486.0,0.0,1.0
2021-03-17,13.74,13.74,13.53,13.56,13.4722575043,1837.0,0.0,1.0
2021-03-16,13.833,13.833,13.75,13.75,13.661028074,1409.0,0.0,1.0
2021-03-15,13.9,13.9,13.56,13.8,13.7107045397,1464.0,0.0,1.0
2021-03-12,14.32,14.51,13.65,13.8,13.7107045397,10371.0,0.043,1.0
2021-03-11,13.7,15.0,13.51,14.65,14.5099921626,26463.0,0.0,1.0
2021-03-10,13.6178,14.02,13.6178,14.02,13.8860129775,1735.0,0.0,1.0
2021-03-09,13.6,14.0365,13.6,13.69,13.5591667376,1413.0,0.0,1.0
2021-03-08,13.6,13.6,13.6,13.6,13.470026854,604.0,0.0,1.0
2021-03-05,13.73,13.73,13.52,13.6,13.470026854,1924.0,0.0,1.0
2021-03-04,13.94,13.94,13.7258,13.7258,13.5946246024,1596.0,0.0,1.0
2021-03-03,14.2,14.2,13.93,13.945,13.8117297411,3846.0,0.0,1.0
2021-03-02,13.94,14.24,13.93,14.2,14.0642927447,1454.0,0.0,1.0
2021-03-01,14.03,14.335,13.9713,14.2,14.0642927447,2705.0,0.0,1.0
2021-02-26,14.12,15.0,13.95,13.95,13.8166819569,4783.0,0.0,1.0
2021-02-25,13.85,13.85,13.55,13.55,13.4205046965,5207.0,0.0,1.0
2021-02-24,13.93,14.0,13.51,13.8,13.6681154842,13103.0,0.0,1.0
2021-02-23,14.12,14.12,14.12,14.12,13.9850572926,78.0,0.0,1.0
2021-02-22,14.28,14.48,14.12,14.12,13.9850572926,1173.0,0.0,1.0
2021-02-19,14.98,14.98,14.27,14.51,14.3713301215,2634.0,0.0,1.0
2021-02-18,14.36,14.36,14.36,14.36,14.2227636488,3271.0,0.0,1.0
2021-02-17,14.37,14.63,14.37,14.63,14.4901832996,677.0,0.0,1.0
2021-02-16,14.6973,14.6973,14.39,14.39,14.2524769433,717.0,0.0,1.0
2021-02-12,15.79,15.79,14.4,14.4,14.2623813749,5479.0,0.043,1.0
2021-02-11,14.31,15.1,14.03,15.1,14.9111651845,18059.0,0.0,1.0
2021-02-10,14.42,14.5,14.39,14.4,14.2199191164,4734.0,0.0,1.0
2021-02-09,14.5,14.5,14.4473,14.4473,14.2666276007,660.0,0.0,1.0
2021-02-08,14.45,14.5,14.28,14.5,14.3186685547,1109.0,0.0,1.0
2021-02-05,14.08,14.99,14.08,14.55,14.3680432738,11825.0,0.0,1.0
2021-02-04,14.19,14.19,14.1,14.15,13.9730455206,658.0,0.0,1.0
2021-02-03,14.1,14.1,14.1,14.1,13.9236708015,773.0,0.0,1.0
2021-02-02,14.0628,14.08,13.9014,14.08,13.9039209138,2208.0,0.0,1.0
2021-02-01,14.19,14.19,13.5603,14.08,13.9039209138,5687.0,0.0,1.0
2021-01-29,13.69,14.5,13.6603,14.08,13.9039209138,12252.0,0.0,1.0
2021-01-28,13.74,13.94,13.537,13.92,13.7459218125,4712.0,0.0,1.0
2021-01-27,13.6387,13.6875,13.52,13.6875,13.5163293684,3046.0,0.0,1.0
2021-01-26,13.6,14.11,13.05,13.82,13.6471723742,27575.0,0.0,1.0
2021-01-25,13.74,13.74,13.6,13.61,13.4397985538,1876.0,0.0,1.0
2021-01-22,13.64,13.64,13.64,13.64,13.4694233852,320.0,0.0,1.0
2021-01-21,13.55,13.681,13.55,13.6,13.4299236099,2826.0,0.0,1.0
2021-01-20,13.63,13.86,13.55,13.55,13.3805488908,6306.0,0.0,1.0
2021-01-19,13.48,13.74,13.48,13.74,13.5681728236,4700.0,0.0,1.0
2021-01-15,13.23,13.5,13.23,13.5,13.3311741716,3324.0,0.0,1.0
2021-01-14,13.52,13.52,13.4336,13.4336,13.2656045446,3458.0,0.043,1.0
2021-01-13,13.45,13.47,13.4499,13.47,13.259107877,2505.0,0.0,1.0
2021-01-12,13.4,13.49,13.4,13.45,13.2394210056,8298.0,0.0,1.0
2021-01-11,13.39,13.39,13.3549,13.38,13.1705169558,3648.0,0.0,1.0
2021-01-08,13.31,13.5,13.31,13.39,13.1803603915,6833.0,0.0,1.0
2021-01-07,13.32,13.32,13.25,13.29,13.0819260346,6329.0,0.0,1.0
2021-01-06,13.36,13.36,13.337,13.35,13.1409866487,4345.0,0.0,1.0
2021-01-05,13.39,13.45,13.37,13.45,13.2394210056,1153.0,0.0,1.0
2021-01-04,13.32,13.439,13.32,13.39,13.1803603915,2257.0,0.0,1.0
2020-12-31,13.4,13.46,13.28,13.44,13.2295775699,14533.0,0.0,1.0
2020-12-30,13.23,13.37,13.23,13.3,13.0917694703,14557.0,0.0,1.0
2020-12-29,13.4,13.4,13.22,13.29,13.0819260346,7144.0,0.0,1.0
2020-12-28,13.38,13.39,13.33,13.33,13.1212997773,2240.0,0.0,1.0
2020-12-24,13.29,13.4,13.29,13.4,13.1902038272,1250.0,0.0,1.0
2020-12-23,13.29,13.31,13.29,13.31,13.1016129059,1341.0,0.0,1.0
2020-12-22,13.4,13.4,13.35,13.4,13.1902038272,10827.0,0.0,1.0
2020-12-21,13.31,13.3496,13.29,13.3496,13.1405929113,3088.0,0.0,1.0
2020-12-18,13.26,13.36,13.26,13.32,13.1114563416,2087.0,0.0,1.0
2020-12-17,13.2927,13.3484,13.29,13.3,13.0917694703,1703.0,0.0,1.0
2020-12-16,13.2271,13.2902,13.2271,13.265,13.0573174453,4477.0,0.0,1.0
2020-12-15,13.35,13.35,13.2,13.2,12.9933351133,2414.0,0.0,1.0
2020-12-14,13.4638,13.5,13.36,13.37,13.1606735201,8175.0,0.043,1.0
2020-12-11,13.48,13.48,13.48,13.48,13.2264131105,27.0,0.0,1.0
2020-12-10,13.48,13.48,13.48,13.48,13.2264131105,57.0,0.0,1.0
2020-12-09,13.5,13.5,13.48,13.48,13.2264131105,336.0,0.0,1.0
2020-12-08,13.55,13.55,13.5,13.5,13.2460368688,2245.0,0.0,1.0
2020-12-07,13.6,13.6,13.5446,13.545,13.290190325,1339.0,0.0,1.0
2020-12-04,13.52,13.62,13.5,13.62,13.3637794188,1262.0,0.0,1.0
2020-12-03,13.62,13.701,13.4034,13.6444,13.3877204039,11829.0,0.0,1.0
2020-12-02,13.7584,13.7584,13.7584,13.7584,13.4995758264,265.0,0.0,1.0
2020-12-01,13.78,13.78,13.6999,13.6999,13.4421763333,4846.0,0.0,1.0
2020-11-30,13.61,13.61,13.61,13.61,13.3539675396,382.0,0.0,1.0
2020-11-27,13.52,13.61,13.52,13.61,13.3539675396,419.0,0.0,1.0
2020-11-25,13.39,13.4028,13.39,13.4028,13.1506654034,1404.0,0.0,1.0
2020-11-24,13.4,13.4,13.4,13.4,13.1479180772,5.0,0.0,1.0
2020-11-23,13.35,13.4,13.35,13.4,13.1479180772,500.0,0.0,1.0
2020-11-20,13.4467,13.4467,13.4467,13.4467,13.1937395529,301.0,0.0,1.0
2020-11-19,13.51,13.88,13.2,13.52,13.2656606271,9171.0,0.0,1.0
2020-11-18,13.53,13.53,13.53,13.53,13.2754725063,103.0,0.0,1.0
2020-11-17,13.4,13.88,13.4,13.6,13.3441556604,4978.0,0.0,1.0
2020-11-16,13.4567,13.4567,13.4567,13.4567,13.203551432,3901.0,0.0,1.0
2020-11-13,13.34,13.54,13.34,13.54,13.2852843855,1665.0,0.043,1.0
2020-11-12,13.53,13.53,13.47,13.47,13.1747611479,612.0,0.0,1.0
2020-11-11,13.5,13.5,13.5,13.5,13.2041036004,601.0,0.0,1.0
2020-11-10,13.45,13.5002,13.36,13.4332,13.1387677396,5397.0,0.0,1.0
2020-11-09,13.54,13.54,13.54,13.54,13.2432268703,412.0,0.0,1.0
2020-11-06,13.5784,13.5784,13.55,13.55,13.2530076878,1948.0,0.0,1.0
2020-11-05,13.57,13.57,13.3385,13.44,13.1454186955,1553.0,0.0,1.0
2020-11-04,13.55,13.55,13.52,13.52,13.2236652353,1102.0,0.0,1.0
2020-11-03,13.355,13.58,13.355,13.5,13.2041036004,4465.0,0.0,1.0
2020-11-02,13.47,13.47,13.22,13.22,12.9302407109,1260.0,0.0,1.0
2020-10-30,13.3144,13.385,13.2038,13.2735,12.9825680844,2934.0,0.0,1.0
2020-10-29,13.33,13.33,13.22,13.2761,12.9851110969,2191.0,0.0,1.0
2020-10-28,13.2,13.2,13.2,13.2,12.9106790759,235.0,0.0,1.0
2020-10-27,13.2012,13.2012,13.2012,13.2012,12.911852774,40.0,0.0,1.0
2020-10-26,13.34,13.3591,13.2,13.2012,12.911852774,5817.0,0.0,1.0
2020-10-23,13.3806,13.3806,13.3806,13.3806,13.0873206396,1108.0,0.0,1.0
2020-10-22,13.26,13.5387,13.2,13.5387,13.241955364,8883.0,0.0,1.0
2020-10-21,13.3606,13.3606,13.3606,13.3606,13.0677590047,154.0,0.0,1.0
2020-10-20,13.37,13.37,13.37,13.37,13.0769529731,289.0,0.0,1.0
2020-10-19,13.5699,13.5699,13.5699,13.5699,13.2724715146,127.0,0.0,1.0
