date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,14.39,14.39,14.2,14.22,14.22,59055.0,0.0,1.0
2021-04-15,14.36,14.37,14.3,14.37,14.37,25068.0,0.0,1.0
2021-04-14,14.27,14.34,14.255,14.32,14.32,26078.0,0.0545,1.0
2021-04-13,14.25,14.28,14.24,14.28,14.2258582907,57669.0,0.0,1.0
2021-04-12,14.23,14.27,14.218,14.246,14.1919871996,49758.0,0.0,1.0
2021-04-09,14.23,14.23,14.1974,14.215,14.1611047341,21582.0,0.0,1.0
2021-04-08,14.22,14.25,14.19,14.25,14.1959720338,31752.0,0.0,1.0
2021-04-07,14.18,14.2,14.17,14.19,14.13619952,53051.0,0.0,1.0
2021-04-06,14.08,14.19,14.08,14.19,14.13619952,40031.0,0.0,1.0
2021-04-05,14.1,14.12,14.05,14.06,14.0066924067,64576.0,0.0,1.0
2021-04-01,14.03,14.08,14.03,14.07,14.0166544923,52577.0,0.0,1.0
2021-03-31,14.06,14.09,14.0,14.09,14.0365786636,55710.0,0.0,1.0
2021-03-30,14.03,14.0665,13.9509,14.03,13.9768061498,56694.0,0.0,1.0
2021-03-29,14.04,14.055,13.98,13.99,13.9369578072,72710.0,0.0,1.0
2021-03-26,14.08,14.08,13.945,14.01,13.9568819785,48571.0,0.0,1.0
2021-03-25,13.97,14.08,13.945,14.08,14.026616578,53920.0,0.0,1.0
2021-03-24,13.95,13.96,13.9267,13.94,13.887147379,75772.0,0.0,1.0
2021-03-23,13.88,13.93,13.79,13.91,13.8572611221,75532.0,0.0,1.0
2021-03-22,13.94,13.99,13.78,13.99,13.9369578072,32057.0,0.0,1.0
2021-03-19,13.77,13.945,13.73,13.94,13.887147379,57994.0,0.0,1.0
2021-03-18,13.91,13.95,13.75,13.78,13.7277540088,72555.0,0.0,1.0
2021-03-17,13.96,14.05,13.86,14.0,13.9469198929,27081.0,0.0,1.0
2021-03-16,14.05,14.065,13.93,14.02,13.9668440641,91896.0,0.0,1.0
2021-03-15,14.02,14.05,14.0,14.02,13.9668440641,43038.0,0.0,1.0
2021-03-12,13.98,14.0,13.94,14.0,13.9469198929,32381.0,0.0545,1.0
2021-03-11,14.0,14.05,14.0,14.05,13.9424543381,14519.0,0.0,1.0
2021-03-10,14.0,14.045,13.97,13.99,13.8829136078,45982.0,0.0,1.0
2021-03-09,14.01,14.0361,13.97,14.01,13.9027605179,30233.0,0.0,1.0
2021-03-08,13.96,13.96,13.913,13.96,13.8531432427,39849.0,0.0,1.0
