date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,8.4,8.69,7.94,7.97,7.97,2218636.0,0.0,1.0
2021-04-15,8.78,8.78,7.88,8.35,8.35,3168531.0,0.0,1.0
2021-04-14,8.62,9.13,8.55,8.6,8.6,1892548.0,0.0,1.0
2021-04-13,8.82,9.1166,8.5,8.62,8.62,1503364.0,0.0,1.0
2021-04-12,9.4,9.6,8.63,8.7,8.7,1910727.0,0.0,1.0
2021-04-09,9.91,9.91,9.04,9.43,9.43,3513654.0,0.0,1.0
2021-04-08,10.04,10.325,9.85,9.94,9.94,1147371.0,0.0,1.0
2021-04-07,10.57,10.61,9.75,9.81,9.81,1348913.0,0.0,1.0
2021-04-06,10.7503,10.8,10.36,10.64,10.64,982609.0,0.0,1.0
2021-04-05,10.74,10.77,9.8825,10.23,10.23,1404383.0,0.0,1.0
2021-04-01,10.5,11.26,10.41,10.5,10.5,955751.0,0.0,1.0
2021-03-31,10.19,11.44,10.04,10.29,10.29,1937910.0,0.0,1.0
2021-03-30,11.48,11.535,11.05,11.23,11.23,1434781.0,0.0,1.0
2021-03-29,12.07,12.32,11.3311,11.44,11.44,770675.0,0.0,1.0
2021-03-26,12.41,12.9,11.75,12.32,12.32,1027355.0,0.0,1.0
2021-03-25,12.9,12.9,11.705,12.48,12.48,1782075.0,0.0,1.0
2021-03-24,14.9,14.92,13.1585,13.34,13.34,1238741.0,0.0,1.0
2021-03-23,14.35,15.22,14.1,14.9,14.9,1442147.0,0.0,1.0
2021-03-22,14.25,14.61,14.06,14.35,14.35,1388344.0,0.0,1.0
2021-03-19,13.42,14.32,12.76,14.21,14.21,5493507.0,0.0,1.0
2021-03-18,13.26,14.28,13.26,13.44,13.44,1504609.0,0.0,1.0
2021-03-17,12.55,13.55,12.55,13.51,13.51,1516807.0,0.0,1.0
2021-03-16,13.52,14.0,12.71,12.78,12.78,1136555.0,0.0,1.0
2021-03-15,13.38,14.39,13.3,13.38,13.38,1580054.0,0.0,1.0
2021-03-12,12.0,13.69,11.9663,13.16,13.16,1523282.0,0.0,1.0
2021-03-11,12.15,12.71,11.53,12.51,12.51,1514980.0,0.0,1.0
2021-03-10,11.04,11.83,10.83,11.67,11.67,1728759.0,0.0,1.0
2021-03-09,10.02,10.79,9.9,10.61,10.61,1867444.0,0.0,1.0
2021-03-08,10.5,10.84,9.16,9.46,9.46,2867456.0,0.0,1.0
2021-03-05,11.25,11.4,9.25,10.45,10.45,3868886.0,0.0,1.0
2021-03-04,12.0,12.34,10.81,11.16,11.16,2551003.0,0.0,1.0
2021-03-03,14.1,14.22,11.57,12.03,12.03,4841129.0,0.0,1.0
2021-03-02,14.75,15.3,14.21,14.35,14.35,1952121.0,0.0,1.0
2021-03-01,15.0714,15.3,14.28,14.7,14.7,1125733.0,0.0,1.0
2021-02-26,15.37,15.54,14.0,14.995,14.995,2129000.0,0.0,1.0
2021-02-25,17.06,17.44,14.96,15.37,15.37,2443276.0,0.0,1.0
2021-02-24,17.14,17.74,16.68,16.98,16.98,1335957.0,0.0,1.0
2021-02-23,17.76,17.86,15.02,17.16,17.16,2414915.0,0.0,1.0
2021-02-22,19.29,19.42,18.62,19.01,19.01,1297722.0,0.0,1.0
2021-02-19,19.97,20.03,19.24,19.3,19.3,1444759.0,0.0,1.0
2021-02-18,19.89,19.89,18.405,19.53,19.53,1500926.0,0.0,1.0
2021-02-17,19.795,20.39,19.1,19.97,19.97,1508851.0,0.0,1.0
2021-02-16,17.9,19.865,17.7,19.74,19.74,3546165.0,0.0,1.0
2021-02-12,17.4,17.6,16.9,17.23,17.23,850193.0,0.0,1.0
2021-02-11,17.5,17.985,16.55,17.4,17.4,1679448.0,0.0,1.0
2021-02-10,17.83,19.99,17.0,17.0,17.0,2027833.0,0.0,1.0
2021-02-09,19.65,19.75,17.26,18.0,18.0,2219279.0,0.0,1.0
2021-02-08,18.0,19.37,17.75,19.04,19.04,1962591.0,0.0,1.0
2021-02-05,17.36,17.75,16.7,17.55,17.55,835659.0,0.0,1.0
2021-02-04,17.82,18.35,17.0108,17.02,17.02,894556.0,0.0,1.0
2021-02-03,17.48,18.37,17.11,17.95,17.95,956273.0,0.0,1.0
2021-02-02,17.35,17.68,16.6,17.28,17.28,1226094.0,0.0,1.0
2021-02-01,15.17,17.79,14.8,16.8,16.8,3418405.0,0.0,1.0
2021-01-29,14.77,15.43,13.6,14.74,14.74,1016906.0,0.0,1.0
2021-01-28,14.75,15.15,14.11,14.97,14.97,1050726.0,0.0,1.0
2021-01-27,15.75,15.75,14.1,14.6,14.6,1719341.0,0.0,1.0
2021-01-26,16.36,16.96,15.84,16.27,16.27,799127.0,0.0,1.0
2021-01-25,16.75,17.2,15.5,16.3,16.3,1693273.0,0.0,1.0
2021-01-22,16.51,16.99,16.11,16.3,16.3,914163.0,0.0,1.0
2021-01-21,17.2,17.35,16.55,16.85,16.85,745643.0,0.0,1.0
2021-01-20,18.5,18.6499,16.85,17.57,17.57,845674.0,0.0,1.0
2021-01-19,18.0,18.09,17.25,17.79,17.79,1231612.0,0.0,1.0
2021-01-15,17.02,18.0,16.08,17.65,17.65,1512677.0,0.0,1.0
2021-01-14,16.4,17.88,16.31,17.68,17.68,1757860.0,0.0,1.0
2021-01-13,16.17,16.89,15.87,16.3,16.3,864378.0,0.0,1.0
2021-01-12,16.47,17.06,15.62,16.02,16.02,1300205.0,0.0,1.0
2021-01-11,16.5,16.5,15.8,16.34,16.34,578490.0,0.0,1.0
2021-01-08,16.01,16.9,15.55,16.46,16.46,998268.0,0.0,1.0
2021-01-07,15.09,16.6,14.67,16.49,16.49,1948463.0,0.0,1.0
2021-01-06,14.12,15.61,13.75,14.89,14.89,1587139.0,0.0,1.0
2021-01-05,14.52,14.8,14.05,14.25,14.25,827204.0,0.0,1.0
2021-01-04,15.4,15.4805,14.19,14.24,14.24,1631212.0,0.0,1.0
2020-12-31,15.24,15.58,14.81,15.55,15.55,546128.0,0.0,1.0
