date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,24.7,24.95,24.7,24.95,24.95,3363.0,0.0,1.0
2021-04-15,25.0,25.2997,24.5,24.6265,24.6265,16470.0,0.0,1.0
2021-04-14,25.305,25.305,25.1017,25.2,25.2,2015.0,0.5625,1.0
2021-04-13,25.72,25.76,25.405,25.7,25.1388646288,7217.0,0.0,1.0
2021-04-12,25.25,25.4,25.01,25.4,24.8454148472,2120.0,0.0,1.0
2021-04-09,25.25,25.45,25.0001,25.25,24.6986899563,4230.0,0.0,1.0
2021-04-08,25.155,25.355,24.91,25.09,24.5421834061,3524.0,0.0,1.0
2021-04-07,25.76,25.76,25.0,25.2067,24.6563353712,1606.0,0.0,1.0
2021-04-06,25.2,26.0,25.2,25.3037,24.7512174672,9545.0,0.0,1.0
2021-04-05,25.0,25.0,24.91,25.0,24.4541484716,3880.0,0.0,1.0
2021-04-01,24.93,24.9399,24.5,24.91,24.3661135371,2594.0,0.0,1.0
2021-03-31,24.6511,24.6511,24.6511,24.6511,24.1128663755,108.0,0.0,1.0
2021-03-30,24.53,24.657,24.5,24.6511,24.1128663755,1369.0,0.0,1.0
2021-03-29,24.3601,24.8193,24.3601,24.7519,24.2114655022,2640.0,0.0,1.0
2021-03-26,24.7,24.85,24.7,24.85,24.3074235808,2737.0,0.0,1.0
2021-03-25,24.64,24.7699,24.585,24.75,24.2096069869,3656.0,0.0,1.0
2021-03-24,24.635,24.73,24.635,24.73,24.1900436681,1296.0,0.0,1.0
2021-03-23,24.52,24.52,24.4902,24.4902,23.955479476,4250.0,0.0,1.0
2021-03-22,24.7299,24.73,24.42,24.43,23.8965938865,3917.0,0.0,1.0
2021-03-19,24.4,24.77,24.4,24.77,24.2291703057,747.0,0.0,1.0
2021-03-18,24.9499,24.9499,24.4,24.4,23.8672489083,1189.0,0.0,1.0
2021-03-17,24.775,24.775,24.775,24.775,24.2340611354,510.0,0.0,1.0
2021-03-16,24.35,24.6927,24.35,24.5,23.9650655022,4431.0,0.0,1.0
2021-03-15,23.93,24.44,23.92,24.44,23.9063755459,2007.0,0.0,1.0
2021-03-12,23.8614,23.8614,23.6904,23.6904,23.1731423581,1351.0,0.0,1.0
2021-03-11,23.69,23.7699,23.69,23.7699,23.2509065502,1912.0,0.0,1.0
2021-03-10,23.691,23.691,23.691,23.691,23.1737292576,1051.0,0.0,1.0
2021-03-09,23.48,23.48,23.48,23.48,22.9673362445,123.0,0.0,1.0
2021-03-08,23.4399,23.605,23.27,23.48,22.9673362445,884.0,0.0,1.0
2021-03-05,23.23,23.76,23.21,23.385,22.8744104803,2271.0,0.0,1.0
2021-03-04,23.2357,23.35,23.2357,23.25,22.7423580786,1567.0,0.0,1.0
2021-03-03,23.17,23.5,23.17,23.287,22.7785502183,971.0,0.0,1.0
2021-03-02,23.5,23.5329,23.03,23.34,22.8303930131,6455.0,0.0,1.0
2021-03-01,23.6733,23.76,23.585,23.585,23.0700436681,760.0,0.0,1.0
2021-02-26,23.5,23.53,23.2556,23.5,22.9868995633,7658.0,0.0,1.0
2021-02-25,23.155,23.5,23.15,23.49,22.9771179039,5260.0,0.0,1.0
2021-02-24,23.2,23.34,23.18,23.25,22.7423580786,1247.0,0.0,1.0
2021-02-23,23.27,23.31,23.0,23.115,22.6103056769,6099.0,0.0,1.0
2021-02-22,23.0,23.535,23.0,23.2075,22.7007860262,9735.0,0.0,1.0
2021-02-19,22.96,23.11,22.96,23.08,22.576069869,7626.0,0.0,1.0
2021-02-18,23.07,23.116,22.81,22.88,22.3804366812,11645.0,0.0,1.0
2021-02-17,23.15,23.15,22.695,23.06,22.5565065502,8291.0,0.0,1.0
2021-02-16,22.73,23.1381,22.7,23.0,22.4978165939,6014.0,0.0,1.0
2021-02-12,22.8,22.8099,22.62,22.74,22.2434934498,5103.0,0.0,1.0
2021-02-11,22.7,22.98,22.7,22.8033,22.3054113537,5360.0,0.0,1.0
2021-02-10,22.75,23.0,22.66,23.0,22.4978165939,9060.0,0.0,1.0
2021-02-09,22.6899,22.9499,22.55,22.8,22.3021834061,3972.0,0.0,1.0
2021-02-08,22.9499,22.9499,22.7,22.7,22.2043668122,3224.0,0.0,1.0
2021-02-05,22.87,22.9,22.87,22.87,22.3706550218,2783.0,0.0,1.0
2021-02-04,23.14,23.14,22.7377,22.9,22.4,5181.0,0.0,1.0
2021-02-03,22.89,22.95,22.5301,22.75,22.2532751092,3197.0,0.0,1.0
2021-02-02,22.73,23.16,22.535,23.16,22.6543231441,2862.0,0.0,1.0
2021-02-01,22.48,22.99,22.48,22.99,22.4880349345,1691.0,0.0,1.0
2021-01-29,22.49,22.4999,22.45,22.4678,21.9772366812,1033.0,0.0,1.0
