date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.3,10.3,10.3,10.3,10.3,0.0,0.0,1.0
2021-04-15,10.3,10.3,10.3,10.3,10.3,0.0,0.0,1.0
2021-04-14,10.15,10.4,10.15,10.3,10.3,1501.0,0.0,1.0
2021-04-13,10.3,10.3,10.3,10.3,10.3,0.0,0.0,1.0
2021-04-12,10.3,10.3,10.3,10.3,10.3,500.0,0.0,1.0
2021-04-09,10.15,10.15,10.15,10.15,10.15,0.0,0.0,1.0
2021-04-08,10.15,10.15,10.15,10.15,10.15,0.0,0.0,1.0
2021-04-07,10.15,10.15,10.15,10.15,10.15,0.0,0.0,1.0
2021-04-06,10.15,10.15,10.15,10.15,10.15,0.0,0.0,1.0
2021-04-05,10.15,10.15,10.15,10.15,10.15,302.0,0.0,1.0
2021-04-01,10.11,10.15,10.11,10.15,10.15,5790.0,0.0,1.0
2021-03-31,10.15,10.16,10.15,10.16,10.16,576.0,0.0,1.0
2021-03-30,10.29,10.29,10.29,10.29,10.29,76.0,0.0,1.0
2021-03-29,10.0401,10.35,10.0401,10.29,10.29,22619.0,0.0,1.0
2021-03-26,10.0301,10.0301,10.0301,10.0301,10.0301,570.0,0.0,1.0
2021-03-25,9.8601,10.5,9.8601,10.5,10.5,1380.0,0.0,1.0
2021-03-24,10.05,10.1,10.05,10.06,10.06,528.0,0.0,1.0
2021-03-23,10.29,10.29,10.1,10.12,10.12,12229.0,0.0,1.0
2021-03-22,10.2,10.29,10.2,10.29,10.29,1414.0,0.0,1.0
2021-03-19,10.13,10.35,10.12,10.203,10.203,4544.0,0.0,1.0
2021-03-18,10.3,10.3,10.2067,10.2067,10.2067,731.0,0.0,1.0
2021-03-17,10.25,10.33,10.25,10.33,10.33,3054.0,0.0,1.0
2021-03-16,10.97,10.97,10.3831,10.4,10.4,1696.0,0.0,1.0
2021-03-15,10.21,10.21,10.21,10.21,10.21,6315.0,0.0,1.0
2021-03-12,10.35,10.35,10.35,10.35,10.35,158.0,0.0,1.0
2021-03-11,10.46,10.46,10.2415,10.35,10.35,112123.0,0.0,1.0
2021-03-10,10.33,10.33,10.065,10.065,10.065,37444.0,0.0,1.0
2021-03-09,10.49,10.5999,10.1,10.2,10.2,44278.0,0.0,1.0
2021-03-08,10.17,10.59,10.17,10.52,10.52,2183.0,0.0,1.0
2021-03-05,10.15,10.62,10.15,10.455,10.455,18617.0,0.0,1.0
2021-03-04,10.563,10.563,10.21,10.28,10.28,12153.0,0.0,1.0
2021-03-03,10.6314,10.819,10.5,10.5,10.5,7185.0,0.0,1.0
2021-03-02,10.6412,10.6412,10.6412,10.6412,10.6412,71.0,0.0,1.0
2021-03-01,10.55,10.75,10.55,10.6412,10.6412,3208.0,0.0,1.0
2021-02-26,10.65,10.75,10.65,10.75,10.75,1064.0,0.0,1.0
2021-02-25,10.81,10.81,10.75,10.75,10.75,1901.0,0.0,1.0
2021-02-24,10.68,10.95,10.68,10.95,10.95,5455.0,0.0,1.0
2021-02-23,10.8,10.84,10.8,10.84,10.84,918.0,0.0,1.0
2021-02-22,11.05,11.05,10.84,10.84,10.84,5015.0,0.0,1.0
2021-02-19,11.12,11.12,11.12,11.12,11.12,249.0,0.0,1.0
2021-02-18,11.1496,11.1496,10.9,10.91,10.91,5522.0,0.0,1.0
2021-02-17,10.96,10.97,10.95,10.97,10.97,23274.0,0.0,1.0
2021-02-16,10.8025,10.89,10.8,10.88,10.88,4606.0,0.0,1.0
2021-02-12,11.14,11.14,11.14,11.14,11.14,1057.0,0.0,1.0
2021-02-11,11.08,11.21,10.9,10.9,10.9,25013.0,0.0,1.0
2021-02-10,10.97,10.99,10.91,10.91,10.91,14853.0,0.0,1.0
2021-02-09,10.98,10.98,10.89,10.95,10.95,12877.0,0.0,1.0
2021-02-08,11.1,11.1,10.88,10.88,10.88,9376.0,0.0,1.0
2021-02-05,11.1,11.1,10.92,11.09,11.09,26083.0,0.0,1.0
2021-02-04,11.09,11.1,11.0,11.0,11.0,22030.0,0.0,1.0
2021-02-03,10.91,10.99,10.81,10.81,10.81,16733.0,0.0,1.0
2021-02-02,10.815,10.83,10.81,10.82,10.82,1628.0,0.0,1.0
2021-02-01,10.62,10.75,10.62,10.75,10.75,20815.0,0.0,1.0
2021-01-29,10.8299,10.8299,10.55,10.55,10.55,1632.0,0.0,1.0
2021-01-28,10.675,10.75,10.54,10.54,10.54,6024.0,0.0,1.0
2021-01-27,10.85,10.85,10.6,10.6,10.6,10537.0,0.0,1.0
2021-01-26,10.95,10.95,10.89,10.89,10.89,1911.0,0.0,1.0
2021-01-25,10.95,10.95,10.8699,10.95,10.95,16811.0,0.0,1.0
2021-01-22,10.8,10.9499,10.8,10.9,10.9,28655.0,0.0,1.0
2021-01-21,10.73,10.85,10.72,10.75,10.75,6105.0,0.0,1.0
2021-01-20,10.75,10.75,10.75,10.75,10.75,510.0,0.0,1.0
2021-01-19,10.82,10.94,10.73,10.88,10.88,54838.0,0.0,1.0
2021-01-15,10.8,10.8,10.7,10.75,10.75,16377.0,0.0,1.0
2021-01-14,10.83,10.87,10.8,10.8,10.8,35300.0,0.0,1.0
2021-01-13,10.77,10.79,10.76,10.76,10.76,14525.0,0.0,1.0
2021-01-12,10.74,10.95,10.55,10.7,10.7,24000.0,0.0,1.0
2021-01-11,10.54,10.65,10.54,10.56,10.56,40439.0,0.0,1.0
2021-01-08,10.54,10.6001,10.54,10.54,10.54,7294.0,0.0,1.0
2021-01-07,10.61,10.6547,10.6,10.6,10.6,13429.0,0.0,1.0
2021-01-06,10.45,10.62,10.45,10.6,10.6,174800.0,0.0,1.0
2021-01-05,10.585,10.61,10.585,10.61,10.61,1644.0,0.0,1.0
2021-01-04,10.75,10.75,10.41,10.505,10.505,15599.0,0.0,1.0
2020-12-31,10.64,10.64,10.34,10.62,10.62,12611.0,0.0,1.0
2020-12-30,10.46,10.65,10.46,10.51,10.51,21149.0,0.0,1.0
2020-12-29,10.4992,10.66,10.48,10.56,10.56,69294.0,0.0,1.0
2020-12-28,10.46,10.7,10.46,10.6,10.6,37306.0,0.0,1.0
2020-12-24,10.58,10.59,10.4,10.5898,10.5898,6222.0,0.0,1.0
2020-12-23,10.55,10.55,10.5,10.54,10.54,58769.0,0.0,1.0
2020-12-22,10.41,10.41,10.41,10.41,10.41,200.0,0.0,1.0
2020-12-21,10.41,10.4406,10.39,10.4,10.4,36150.0,0.0,1.0
2020-12-18,10.43,10.4616,10.4015,10.4015,10.4015,2410.0,0.0,1.0
2020-12-17,10.35,10.41,10.35,10.41,10.41,25468.0,0.0,1.0
2020-12-16,10.3673,10.3673,10.3673,10.3673,10.3673,192.0,0.0,1.0
2020-12-15,10.47,10.47,10.32,10.32,10.32,51034.0,0.0,1.0
2020-12-14,10.3,10.505,10.3,10.505,10.505,26234.0,0.0,1.0
2020-12-11,10.3,10.34,10.265,10.34,10.34,31328.0,0.0,1.0
2020-12-10,10.17,10.28,10.17,10.28,10.28,37701.0,0.0,1.0
2020-12-09,10.19,10.25,10.16,10.22,10.22,40264.0,0.0,1.0
