date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,31.66,31.88,30.7,30.98,30.98,189652.0,0.0,1.0
2021-04-15,31.46,31.78,30.85,31.33,31.33,128579.0,0.0,1.0
2021-04-14,31.39,32.47,31.3,31.6,31.6,207867.0,0.0,1.0
2021-04-13,30.78,32.09,28.67,31.21,31.21,438580.0,0.0,1.0
2021-04-12,28.6,30.79,28.6,30.51,30.51,207747.0,0.0,1.0
2021-04-09,28.89,28.99,28.5,28.6,28.6,115539.0,0.0,1.0
2021-04-08,28.17,28.99,27.3425,28.89,28.89,132452.0,0.0,1.0
2021-04-07,28.55,28.7778,27.34,28.11,28.11,160936.0,0.0,1.0
2021-04-06,28.53,29.31,28.28,28.51,28.51,147735.0,0.2,1.0
2021-04-05,28.28,28.97,27.74,28.95,28.7483281087,161013.0,0.0,1.0
2021-04-01,28.5,28.98,27.13,27.9,27.7056426332,154493.0,0.0,1.0
2021-03-31,28.15,29.32,28.15,28.45,28.2518112156,248420.0,0.0,1.0
2021-03-30,27.77,28.52,27.04,28.04,27.8446673633,199542.0,0.0,1.0
2021-03-29,28.11,29.78,27.62,27.62,27.4275931731,304634.0,0.0,1.0
2021-03-26,26.15,28.5,25.7165,28.11,27.9141797283,534732.0,0.0,1.0
2021-03-25,22.94,26.23,22.01,25.49,25.3124312086,890873.0,0.0,1.0
2021-03-24,22.34,22.83,21.47,21.49,21.3402960641,112526.0,0.0,1.0
2021-03-23,23.18,23.33,22.21,22.25,22.0950017416,85652.0,0.0,1.0
2021-03-22,24.15,24.51,23.26,23.42,23.2568512713,87255.0,0.0,1.0
2021-03-19,24.57,25.46,23.74,24.18,24.0115569488,240090.0,0.0,1.0
2021-03-18,24.61,25.52,23.991,24.6,24.428631139,98687.0,0.0,1.0
2021-03-17,24.95,25.325,24.43,24.57,24.3988401254,230174.0,0.0,1.0
2021-03-16,25.34,25.59,24.3,25.02,24.8457053292,111396.0,0.0,1.0
2021-03-15,25.21,25.78,24.66,25.63,25.4514559387,58614.0,0.0,1.0
2021-03-12,25.24,25.5,24.885,25.25,25.0741031,74324.0,0.0,1.0
2021-03-11,25.56,25.56,24.68,25.24,25.0641727621,141895.0,0.0,1.0
2021-03-10,25.15,26.22,24.99,25.25,25.0741031,179474.0,0.0,1.0
