date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,17.41,17.41,16.46,16.65,16.65,461096.0,0.0,1.0
2021-04-15,17.08,17.56,16.98,17.27,17.27,712748.0,0.0,1.0
2021-04-14,16.32,17.86,16.32,17.14,17.14,681338.0,0.0,1.0
2021-04-13,16.02,16.21,15.65,16.16,16.16,401518.0,0.0,1.0
2021-04-12,15.67,16.24,15.37,15.86,15.86,910364.0,0.0,1.0
2021-04-09,16.46,16.46,15.66,15.81,15.81,425868.0,0.0,1.0
2021-04-08,16.53,16.88,15.99,16.1,16.1,603976.0,0.0,1.0
2021-04-07,16.983,17.18,16.25,16.28,16.28,442889.0,0.0,1.0
2021-04-06,17.77,17.96,17.06,17.06,17.06,550137.0,0.0,1.0
2021-04-05,17.61,18.08,17.37,18.07,18.07,840984.0,0.0,1.0
2021-04-01,16.59,17.48,16.37,17.47,17.47,653367.0,0.0,1.0
2021-03-31,15.39,16.26,15.07,16.18,16.18,2380843.0,0.0,1.0
2021-03-30,15.77,16.19,15.21,15.31,15.31,711844.0,0.0,1.0
2021-03-29,16.49,16.54,15.77,15.97,15.97,803694.0,0.0,1.0
2021-03-26,16.94,16.94,15.7,16.63,16.63,950093.0,0.0,1.0
2021-03-25,15.8,17.05,15.42,16.98,16.98,1239108.0,0.0,1.0
2021-03-24,16.58,17.085,16.0,16.25,16.25,951524.0,0.0,1.0
2021-03-23,17.47,17.47,16.24,16.35,16.35,712936.0,0.0,1.0
2021-03-22,17.5,18.0,17.25,17.44,17.44,277749.0,0.0,1.0
2021-03-19,16.98,17.63,16.82,17.5,17.5,1500474.0,0.0,1.0
2021-03-18,17.92,18.25,17.08,17.11,17.11,415277.0,0.0,1.0
2021-03-17,17.37,18.325,17.32,18.17,18.17,310596.0,0.0,1.0
2021-03-16,18.16,18.36,17.08,17.67,17.67,460471.0,0.0,1.0
2021-03-15,18.17,18.7282,17.8,18.04,18.04,428374.0,0.0,1.0
2021-03-12,18.46,18.48,17.73,18.0,18.0,309805.0,0.0,1.0
2021-03-11,18.32,18.94,18.02,18.67,18.67,652954.0,0.0,1.0
2021-03-10,18.48,18.74,17.63,17.79,17.79,487191.0,0.0,1.0
2021-03-09,17.78,18.74,17.46,18.33,18.33,647299.0,0.0,1.0
2021-03-08,18.46,18.58,17.29,17.3,17.3,563797.0,0.0,1.0
2021-03-05,18.14,18.49,17.25,18.41,18.41,1184988.0,0.0,1.0
2021-03-04,18.36,18.92,17.63,18.09,18.09,975594.0,0.0,1.0
2021-03-03,19.09,19.51,18.29,18.32,18.32,638427.0,0.0,1.0
2021-03-02,19.77,20.28,19.08,19.21,19.21,833065.0,0.0,1.0
2021-03-01,18.7,20.16,18.42,19.78,19.78,790647.0,0.0,1.0
2021-02-26,18.21,18.96,17.39,18.18,18.18,909589.0,0.0,1.0
2021-02-25,19.25,19.685,18.1,18.37,18.37,1142237.0,0.0,1.0
2021-02-24,19.0,19.34,18.66,19.21,19.21,905527.0,0.0,1.0
2021-02-23,19.24,19.65,18.64,19.05,19.05,1219922.0,0.0,1.0
2021-02-22,20.02,20.37,19.63,19.68,19.68,537461.0,0.0,1.0
2021-02-19,20.49,21.0,19.85,20.26,20.26,781361.0,0.0,1.0
2021-02-18,21.33,21.49,20.13,20.4,20.4,902969.0,0.0,1.0
2021-02-17,21.96,22.07,21.0,21.6,21.6,811585.0,0.0,1.0
2021-02-16,22.75,22.97,21.98,22.09,22.09,693153.0,0.0,1.0
2021-02-12,23.01,23.16,22.29,22.55,22.55,480437.0,0.0,1.0
2021-02-11,23.74,23.74,22.62,22.96,22.96,667747.0,0.0,1.0
2021-02-10,23.72,24.29,22.72,23.49,23.49,446284.0,0.0,1.0
2021-02-09,23.81,24.38,23.12,23.44,23.44,399691.0,0.0,1.0
2021-02-08,23.91,24.12,23.43,23.91,23.91,679761.0,0.0,1.0
2021-02-05,22.35,23.73,22.1,23.58,23.58,910823.0,0.0,1.0
2021-02-04,21.63,22.4861,21.4,21.94,21.94,619157.0,0.0,1.0
2021-02-03,21.02,22.23,21.02,21.65,21.65,732749.0,0.0,1.0
2021-02-02,20.76,21.3,20.15,21.02,21.02,1059223.0,0.0,1.0
2021-02-01,19.43,20.5,19.11,20.49,20.49,895604.0,0.0,1.0
2021-01-29,18.69,19.6281,18.45,19.06,19.06,1061777.0,0.0,1.0
2021-01-28,18.46,20.89,18.41,18.63,18.63,1209450.0,0.0,1.0
2021-01-27,19.1,19.96,18.0,18.47,18.47,994059.0,0.0,1.0
2021-01-26,20.75,21.5999,19.49,19.6,19.6,2298793.0,0.0,1.0
2021-01-25,19.78,20.16,18.84,20.03,20.03,852507.0,0.0,1.0
2021-01-22,19.9,20.17,19.53,19.83,19.83,925677.0,0.0,1.0
2021-01-21,21.18,21.2275,19.3,20.04,20.04,1397938.0,0.0,1.0
2021-01-20,21.83,21.96,21.1644,21.22,21.22,893670.0,0.0,1.0
2021-01-19,21.28,22.02,21.28,21.67,21.67,1291862.0,0.0,1.0
2021-01-15,20.46,21.28,20.06,21.09,21.09,1143724.0,0.0,1.0
2021-01-14,19.2,20.83,19.05,20.76,20.76,1245614.0,0.0,1.0
2021-01-13,19.28,19.88,18.41,19.12,19.12,1945443.0,0.0,1.0
2021-01-12,18.48,18.685,17.7709,18.12,18.12,977067.0,0.0,1.0
2021-01-11,18.2,18.98,17.94,18.33,18.33,1219613.0,0.0,1.0
2021-01-08,18.15,18.82,17.71,18.63,18.63,1391867.0,0.0,1.0
2021-01-07,17.99,18.5,17.75,18.16,18.16,1546648.0,0.0,1.0
2021-01-06,18.75,19.28,17.83,18.19,18.19,2761975.0,0.0,1.0
2021-01-05,26.58,27.13,17.51,18.7,18.7,10864512.0,0.0,1.0
2021-01-04,26.76,27.2766,25.38,26.52,26.52,926732.0,0.0,1.0
2020-12-31,26.76,27.12,26.1101,26.61,26.61,837066.0,0.0,1.0
2020-12-30,26.93,27.58,26.08,26.58,26.58,536792.0,0.0,1.0
2020-12-29,27.38,29.09,26.41,27.08,27.08,1514728.0,0.0,1.0
2020-12-28,27.33,27.91,25.93,27.22,27.22,629928.0,0.0,1.0
2020-12-24,27.94,27.94,26.73,26.8,26.8,341485.0,0.0,1.0
2020-12-23,27.49,28.2,26.97,27.59,27.59,896953.0,0.0,1.0
2020-12-22,26.74,27.67,26.31,27.58,27.58,1255027.0,0.0,1.0
2020-12-21,25.23,26.83,25.0752,26.77,26.77,1294441.0,0.0,1.0
2020-12-18,25.48,25.98,25.05,25.68,25.68,2519303.0,0.0,1.0
2020-12-17,24.68,25.66,24.47,25.61,25.61,925740.0,0.0,1.0
2020-12-16,23.57,24.79,23.12,24.64,24.64,703509.0,0.0,1.0
2020-12-15,24.81,25.1,22.79,23.56,23.56,863358.0,0.0,1.0
2020-12-14,24.84,26.36,24.4,25.52,25.52,1053292.0,0.0,1.0
2020-12-11,24.39,24.95,23.1,24.26,24.26,614602.0,0.0,1.0
2020-12-10,22.85,24.66,22.78,24.43,24.43,568420.0,0.0,1.0
2020-12-09,24.98,25.0,23.5,23.77,23.77,856693.0,0.0,1.0
2020-12-08,23.83,24.81,23.07,24.76,24.76,655259.0,0.0,1.0
2020-12-07,23.31,24.45,23.16,23.84,23.84,623329.0,0.0,1.0
2020-12-04,23.18,24.13,22.54,23.32,23.32,975261.0,0.0,1.0
2020-12-03,24.0,24.325,22.41,22.99,22.99,990713.0,0.0,1.0
2020-12-02,25.17,25.35,23.04,23.54,23.54,1938442.0,0.0,1.0
2020-12-01,25.65,26.39,25.54,25.9,25.9,807190.0,0.0,1.0
2020-11-30,25.17,26.71,24.75,25.48,25.48,822734.0,0.0,1.0
2020-11-27,25.01,25.24,24.37,25.11,25.11,598377.0,0.0,1.0
2020-11-25,25.35,25.88,24.77,24.89,24.89,496050.0,0.0,1.0
2020-11-24,24.11,26.29,24.11,25.51,25.51,1147715.0,0.0,1.0
2020-11-23,23.52,24.23,23.38,23.87,23.87,666351.0,0.0,1.0
2020-11-20,23.25,23.67,22.54,23.35,23.35,754479.0,0.0,1.0
2020-11-19,22.61,23.58,22.3801,23.47,23.47,631245.0,0.0,1.0
2020-11-18,23.91,24.1,22.58,22.73,22.73,701067.0,0.0,1.0
2020-11-17,23.5099,24.23,23.08,23.87,23.87,815762.0,0.0,1.0
2020-11-16,22.92,23.87,22.48,23.77,23.77,864429.0,0.0,1.0
2020-11-13,22.6729,22.685,22.09,22.54,22.54,563094.0,0.0,1.0
2020-11-12,21.89,22.68,21.72,22.42,22.42,633835.0,0.0,1.0
2020-11-11,21.46,22.66,21.01,21.96,21.96,1506656.0,0.0,1.0
2020-11-10,23.0,23.37,21.14,21.44,21.44,1008753.0,0.0,1.0
