date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.73,1.75,1.62,1.71,1.71,241417.0,0.0,1.0
2021-04-15,1.94,1.94,1.76,1.78,1.78,219701.0,0.0,1.0
2021-04-14,1.93,2.03,1.87,1.94,1.94,464955.0,0.0,1.0
2021-04-13,1.93,1.97,1.8601,1.9,1.9,196719.0,0.0,1.0
2021-04-12,2.15,2.15,1.84,1.91,1.91,506667.0,0.0,1.0
2021-04-09,2.17,2.22,2.12,2.17,2.17,233988.0,0.0,1.0
2021-04-08,2.19,2.28,2.0801,2.18,2.18,492313.0,0.0,1.0
2021-04-07,2.52,2.53,2.15,2.2,2.2,871882.0,0.0,1.0
2021-04-06,2.46,2.64,2.4,2.52,2.52,331035.0,0.0,1.0
2021-04-05,2.53,2.5842,2.42,2.465,2.465,239784.0,0.0,1.0
2021-04-01,2.6,2.6,2.48,2.51,2.51,123901.0,0.0,1.0
2021-03-31,2.5,2.59,2.4401,2.56,2.56,236685.0,0.0,1.0
2021-03-30,2.33,2.48,2.26,2.45,2.45,327726.0,0.0,1.0
2021-03-29,2.38,2.5,2.295,2.34,2.34,382526.0,0.0,1.0
2021-03-26,2.48,2.6,2.36,2.42,2.42,253499.0,0.0,1.0
2021-03-25,2.33,2.51,2.24,2.42,2.42,364127.0,0.0,1.0
2021-03-24,2.6,2.6495,2.41,2.43,2.43,465751.0,0.0,1.0
2021-03-23,2.75,2.79,2.56,2.59,2.59,507963.0,0.0,1.0
2021-03-22,2.86,2.97,2.76,2.78,2.78,558342.0,0.0,1.0
2021-03-19,2.85,3.03,2.78,2.83,2.83,456469.0,0.0,1.0
2021-03-18,3.01,3.34,2.78,2.83,2.83,4030965.0,0.0,1.0
2021-03-17,2.56,3.1,2.54,2.98,2.98,1176601.0,0.0,1.0
2021-03-16,2.86,2.88,2.56,2.68,2.68,596525.0,0.0,1.0
2021-03-15,2.84,2.93,2.76,2.8,2.8,415472.0,0.0,1.0
2021-03-12,2.61,2.96,2.58,2.83,2.83,1520806.0,0.0,1.0
2021-03-11,2.79,2.8,2.57,2.76,2.76,1083830.0,0.0,1.0
2021-03-10,2.59,2.8,2.35,2.66,2.66,2038384.0,0.0,1.0
2021-03-09,2.47,2.52,2.3,2.47,2.47,683640.0,0.0,1.0
2021-03-08,2.4,2.44,2.245,2.32,2.32,297294.0,0.0,1.0
2021-03-05,2.26,2.34,2.1,2.25,2.25,603503.0,0.0,1.0
2021-03-04,2.41,2.5199,2.2,2.26,2.26,801672.0,0.0,1.0
2021-03-03,2.73,2.813,2.47,2.5,2.5,559997.0,0.0,1.0
2021-03-02,3.01,3.025,2.7,2.7,2.7,690300.0,0.0,1.0
2021-03-01,2.95,3.1699,2.9401,3.05,3.05,473829.0,0.0,1.0
2021-02-26,2.89,3.19,2.8,2.84,2.84,815197.0,0.0,1.0
2021-02-25,3.42,3.5,2.82,2.94,2.94,1016093.0,0.0,1.0
2021-02-24,3.56,3.71,3.42,3.45,3.45,1140354.0,0.0,1.0
2021-02-23,3.25,3.8,2.98,3.44,3.44,2076377.0,0.0,1.0
2021-02-22,3.915,4.1361,3.87,3.9,3.9,3069897.0,0.0,1.0
2021-02-19,4.91,5.52,4.33,4.52,4.52,14615551.0,0.0,1.0
2021-02-18,3.72,4.62,3.58,3.91,3.91,3974370.0,0.0,1.0
2021-02-17,3.38,5.94,3.3244,4.96,4.96,27036247.0,0.0,1.0
2021-02-16,3.05,4.1,2.94,3.67,3.67,5894843.0,0.0,1.0
2021-02-12,2.76,2.9299,2.6,2.89,2.89,1141260.0,0.0,1.0
2021-02-11,2.7,3.0,2.65,2.83,2.83,783896.0,0.0,1.0
2021-02-10,3.0241,3.0241,2.55,2.73,2.73,1157591.0,0.0,1.0
2021-02-09,2.63,3.0,2.56,2.85,2.85,1813820.0,0.0,1.0
2021-02-08,2.75,2.8,2.5,2.65,2.65,1615963.0,0.0,1.0
2021-02-05,2.68,2.68,2.38,2.58,2.58,3794036.0,0.0,1.0
2021-02-04,2.26,2.47,2.13,2.42,2.42,2544726.0,0.0,1.0
2021-02-03,2.0,2.2205,1.99,2.12,2.12,1442460.0,0.0,1.0
2021-02-02,2.03,2.07,1.85,2.02,2.02,500005.0,0.0,1.0
2021-02-01,2.17,2.17,1.97,2.03,2.03,749503.0,0.0,1.0
2021-01-29,1.99,2.17,1.93,2.07,2.07,1927017.0,0.0,1.0
2021-01-28,2.0,2.04,1.88,1.93,1.93,584613.0,0.0,1.0
2021-01-27,2.06,2.15,1.8973,1.96,1.96,1044350.0,0.0,1.0
2021-01-26,2.29,2.35,2.13,2.18,2.18,947860.0,0.0,1.0
2021-01-25,2.4,2.85,2.1,2.35,2.35,3187490.0,0.0,1.0
2021-01-22,1.96,3.39,1.91,2.44,2.44,17450584.0,0.0,1.0
2021-01-21,1.98,2.0,1.8,1.9,1.9,1000078.0,0.0,1.0
2021-01-20,2.11,2.15,1.99,2.05,2.05,471748.0,0.0,1.0
2021-01-19,1.97,2.24,1.97,2.14,2.14,1068101.0,0.0,1.0
2021-01-15,2.08,2.18,1.9081,1.96,1.96,555638.0,0.0,1.0
2021-01-14,2.19,2.36,1.97,2.11,2.11,1904352.0,0.0,1.0
2021-01-13,1.8,2.29,1.75,2.16,2.16,4200775.0,0.0,1.0
2021-01-12,1.71,1.83,1.67,1.8,1.8,387052.0,0.0,1.0
2021-01-11,1.63,1.83,1.6,1.69,1.69,676863.0,0.0,1.0
2021-01-08,1.95,1.95,1.71,1.75,1.75,928295.0,0.0,1.0
2021-01-07,1.57,2.12,1.57,1.81,1.81,3299693.0,0.0,1.0
2021-01-06,1.57,1.72,1.51,1.54,1.54,804177.0,0.0,1.0
2021-01-05,1.51,1.6,1.45,1.57,1.57,268626.0,0.0,1.0
2021-01-04,1.49,1.5099,1.42,1.48,1.48,366063.0,0.0,1.0
2020-12-31,1.57,1.58,1.45,1.47,1.47,349536.0,0.0,1.0
2020-12-30,1.51,1.64,1.5049,1.55,1.55,467927.0,0.0,1.0
2020-12-29,1.6,1.64,1.49,1.51,1.51,443634.0,0.0,1.0
2020-12-28,1.52,1.66,1.52,1.6198,1.6198,646531.0,0.0,1.0
2020-12-24,1.61,1.6178,1.4,1.49,1.49,397214.0,0.0,1.0
2020-12-23,1.64,1.675,1.6,1.6,1.6,371881.0,0.0,1.0
2020-12-22,1.54,1.67,1.54,1.65,1.65,528839.0,0.0,1.0
2020-12-21,1.59,1.66,1.53,1.56,1.56,474442.0,0.0,1.0
2020-12-18,1.63,1.63,1.51,1.58,1.58,345590.0,0.0,1.0
2020-12-17,1.6,1.68,1.4898,1.6,1.6,999132.0,0.0,1.0
2020-12-16,1.39,1.59,1.36,1.52,1.52,1070815.0,0.0,1.0
2020-12-15,1.41,1.4142,1.309,1.36,1.36,239968.0,0.0,1.0
2020-12-14,1.41,1.5,1.375,1.39,1.39,262138.0,0.0,1.0
2020-12-11,1.43,1.46,1.37,1.42,1.42,297398.0,0.0,1.0
2020-12-10,1.45,1.4899,1.41,1.4301,1.4301,256612.0,0.0,1.0
