date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,21.19,21.24,21.19,21.1992,21.1992,8928.0,0.0,1.0
2021-04-15,21.2,21.2,21.19,21.19,21.19,26113.0,0.0,1.0
2021-04-14,21.17,21.195,21.16,21.16,21.16,42084.0,0.0,1.0
2021-04-13,21.2,21.2,21.16,21.17,21.17,22571.0,0.0,1.0
2021-04-12,21.17,21.18,21.16,21.16,21.16,6273.0,0.0,1.0
2021-04-09,21.2,21.2,21.16,21.1701,21.1701,5863.0,0.0,1.0
2021-04-08,21.16,21.2,21.16,21.18,21.18,17256.0,0.0,1.0
2021-04-07,21.17,21.19,21.15,21.16,21.16,15269.0,0.0,1.0
2021-04-06,21.15,21.18,21.15,21.15,21.15,10501.0,0.0,1.0
2021-04-05,21.14,21.18,21.14,21.165,21.165,17178.0,0.0,1.0
2021-04-01,21.21,21.21,21.13,21.15,21.15,12965.0,0.0,1.0
2021-03-31,21.12,21.171,21.11,21.13,21.13,8312.0,0.0,1.0
2021-03-30,21.12,21.13,21.05,21.1,21.1,11776.0,0.0,1.0
2021-03-29,21.09,21.09,21.05,21.05,21.05,12245.0,0.0,1.0
2021-03-26,21.02,21.06,21.02,21.05,21.05,9421.0,0.0,1.0
2021-03-25,20.99,21.11,20.99,21.11,21.11,6452.0,0.0,1.0
2021-03-24,21.02,21.075,21.02,21.03,21.03,32574.0,0.0,1.0
2021-03-23,21.11,21.11,21.02,21.02,21.02,57516.0,0.049,1.0
2021-03-22,21.1,21.127,21.02,21.12,21.0708813897,19003.0,0.0,1.0
2021-03-19,21.09,21.164,21.081,21.1,21.0509279036,15425.0,0.0,1.0
2021-03-18,21.11,21.11,21.03,21.05,21.0010441881,7195.0,0.0,1.0
2021-03-17,21.09,21.12,21.08,21.08,21.0309744174,7768.0,0.0,1.0
2021-03-16,21.08,21.15,21.08,21.09,21.0409511605,10603.0,0.0,1.0
2021-03-15,21.15,21.15,21.02,21.08,21.0309744174,30943.0,0.0,1.0
2021-03-12,21.12,21.15,21.0,21.07,21.0209976743,6444.0,0.0,1.0
2021-03-11,21.21,21.21,21.08,21.115,21.0658930182,12909.0,0.0,1.0
2021-03-10,21.05,21.2,21.05,21.18,21.1307418482,21106.0,0.0,1.0
2021-03-09,21.04,21.09,20.93,21.06,21.0110209312,19176.0,0.0,1.0
2021-03-08,20.91,20.93,20.9,20.91,20.861369785,28687.0,0.0,1.0
2021-03-05,20.93,20.97,20.9,20.9,20.8513930419,40701.0,0.0,1.0
2021-03-04,20.89,20.955,20.89,20.92,20.8713465281,26634.0,0.0,1.0
2021-03-03,20.91,20.948,20.9,20.9,20.8513930419,11706.0,0.0,1.0
2021-03-02,20.89,21.01,20.89,20.93,20.8813232712,23933.0,0.0,1.0
2021-03-01,21.09,21.09,20.885,20.89,20.8414162988,31971.0,0.0,1.0
2021-02-26,21.0,21.06,20.92,20.96,20.9112535004,19905.0,0.0,1.0
2021-02-25,20.95,20.995,20.92,20.93,20.8813232712,36752.0,0.0,1.0
2021-02-24,21.14,21.14,20.98,20.98,20.9312069866,83135.0,0.0,1.0
2021-02-23,21.18,21.2,21.13,21.15,21.100811619,30394.0,0.0,1.0
2021-02-22,21.4,21.405,21.04,21.2,21.1506953344,70307.0,0.0,1.0
2021-02-19,21.45,21.455,21.395,21.41,21.3602069391,177620.0,0.0,1.0
2021-02-18,21.4,21.49,21.4,21.48,21.4300441407,10477.0,0.049,1.0
2021-02-17,21.51,21.51,21.45,21.45,21.3514072561,16407.0,0.0,1.0
2021-02-16,21.48,21.51,21.46,21.46,21.3613612922,21842.0,0.0,1.0
2021-02-12,21.47,21.51,21.45,21.45,21.3514072561,20414.0,0.0,1.0
2021-02-11,21.46,21.59,21.46,21.47,21.3713153282,36508.0,0.0,1.0
2021-02-10,21.42,21.48,21.42,21.46,21.3613612922,13657.0,0.0,1.0
2021-02-09,21.42,21.52,21.42,21.44,21.3414532201,22283.0,0.0,1.0
