date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,14.52,14.57,14.43,14.44,14.44,36116.0,0.0,1.0
2021-04-15,14.5,14.505,14.43,14.5,14.5,18129.0,0.0,1.0
2021-04-14,14.5,14.5,14.3896,14.48,14.48,23125.0,0.052,1.0
2021-04-13,14.49,14.5,14.47,14.5,14.4481145059,32189.0,0.0,1.0
2021-04-12,14.37,14.49,14.37,14.47,14.4182218552,15799.0,0.0,1.0
2021-04-09,14.49,14.49,14.35,14.38,14.3285439031,35539.0,0.0,1.0
2021-04-08,14.45,14.48,14.43,14.47,14.4182218552,43792.0,0.0,1.0
2021-04-07,14.44,14.44,14.3604,14.38,14.3285439031,10177.0,0.0,1.0
2021-04-06,14.41,14.45,14.38,14.39,14.33850812,12838.0,0.0,1.0
2021-04-05,14.3,14.49,14.3,14.38,14.3285439031,51062.0,0.0,1.0
2021-04-01,14.39,14.39,14.27,14.3,14.2488301679,57309.0,0.0,1.0
2021-03-31,14.19,14.29,14.18,14.25,14.1990090834,18660.0,0.0,1.0
2021-03-30,14.1,14.25,14.1,14.22,14.1691164327,71592.0,0.0,1.0
2021-03-29,14.15,14.19,14.1,14.11,14.0595100468,37823.0,0.0,1.0
2021-03-26,14.13,14.1599,14.1,14.1,14.0495458299,14454.0,0.0,1.0
2021-03-25,14.12,14.1416,14.05,14.13,14.0794384806,21504.0,0.0,1.0
2021-03-24,13.96,14.12,13.96,14.0024,13.9522950729,28414.0,0.0,1.0
2021-03-23,14.03,14.04,13.92,13.92,13.8701899257,43806.0,0.0,1.0
2021-03-22,13.99,14.07,13.99,14.06,14.0096889623,34144.0,0.0,1.0
2021-03-19,13.98,14.1,13.89,14.1,14.0495458299,53452.0,0.0,1.0
2021-03-18,13.98,14.03,13.84,13.98,13.9299752271,52641.0,0.0,1.0
2021-03-17,14.03,14.05,13.92,14.02,13.9698320947,30480.0,0.0,1.0
2021-03-16,14.01,14.09,13.98,14.06,14.0096889623,24573.0,0.0,1.0
2021-03-15,13.99,14.08,13.99,14.02,13.9698320947,29715.0,0.0,1.0
2021-03-12,14.06,14.06,13.93,13.98,13.9299752271,36168.0,0.052,1.0
2021-03-11,14.04,14.14,14.04,14.12,14.017335391,22785.0,0.0,1.0
2021-03-10,14.02,14.0799,13.94,14.05,13.9478443515,41057.0,0.0,1.0
2021-03-09,14.01,14.02,13.97,14.01,13.9081351861,17910.0,0.0,1.0
2021-03-08,13.93,13.975,13.93,13.96,13.8584987293,15990.0,0.0,1.0
2021-03-05,13.89,13.94,13.83,13.93,13.8287168553,66589.0,0.0,1.0
2021-03-04,13.98,14.02,13.9,13.9,13.7989349812,25797.0,0.0,1.0
2021-03-03,14.08,14.1,13.9,13.93,13.8287168553,177282.0,0.0,1.0
2021-03-02,14.08,14.094,14.0,14.0,13.8982078948,229292.0,0.0,1.0
2021-03-01,13.97,14.17,13.95,14.05,13.9478443515,67883.0,0.0,1.0
2021-02-26,13.92,13.9207,13.82,13.92,13.8187895639,54560.0,0.0,1.0
2021-02-25,13.97,14.04,13.77,13.88,13.7790803985,74374.0,0.0,1.0
2021-02-24,14.03,14.07,13.92,14.04,13.9379170602,72979.0,0.0,1.0
2021-02-23,14.05,14.05,13.91,14.05,13.9478443515,42850.0,0.0,1.0
2021-02-22,14.1,14.1,13.97,14.08,13.9776262256,71635.0,0.0,1.0
2021-02-19,14.16,14.16,14.03,14.06,13.9577716429,29136.0,0.0,1.0
2021-02-18,14.26,14.26,14.13,14.13,14.0272626823,38784.0,0.0,1.0
2021-02-17,14.33,14.33,14.22,14.23,14.1265355959,38113.0,0.0,1.0
2021-02-16,14.4,14.45,14.24,14.28,14.1761720526,43835.0,0.0,1.0
2021-02-12,14.43,14.5,14.4,14.4,14.2952995489,40267.0,0.0,1.0
2021-02-11,14.51,14.53,14.43,14.43,14.325081423,12559.0,0.052,1.0
2021-02-10,14.58,14.6144,14.5,14.53,14.3725613227,20344.0,0.0,1.0
2021-02-09,14.59,14.62,14.51,14.54,14.3824529685,26769.0,0.0,1.0
2021-02-08,14.51,14.5899,14.51,14.55,14.3923446143,63483.0,0.0,1.0
2021-02-05,14.46,14.55,14.46,14.53,14.3725613227,42695.0,0.0,1.0
2021-02-04,14.58,14.59,14.51,14.53,14.3725613227,27361.0,0.0,1.0
2021-02-03,14.53,14.56,14.51,14.51,14.3527780311,6650.0,0.0,1.0
2021-02-02,14.48,14.58,14.44,14.53,14.3725613227,32199.0,0.0,1.0
2021-02-01,14.55,14.6,14.5,14.54,14.3824529685,16810.0,0.0,1.0
2021-01-29,14.55,14.55,14.42,14.5,14.3428863854,42673.0,0.0,1.0
