date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,65.32,66.24,63.33,65.17,65.17,16799.0,0.0,1.0
2021-04-15,65.45,65.72,64.62,64.625,64.625,6630.0,0.0,1.0
2021-04-14,64.25,67.6407,63.09,64.17,64.17,14260.0,0.0,1.0
2021-04-13,64.01,66.2706,62.98,64.0,64.0,9990.0,0.0,1.0
2021-04-12,65.11,68.17,63.72,63.79,63.79,8060.0,0.0,1.0
2021-04-09,65.62,65.62,64.61,64.99,64.99,2070.0,0.0,1.0
2021-04-08,65.81,65.81,64.81,65.32,65.32,3873.0,0.0,1.0
2021-04-07,67.3,68.3,65.0,65.0,65.0,8274.0,0.0,1.0
2021-04-06,67.02,68.45,66.91,67.5,67.5,16193.0,0.0,1.0
2021-04-05,65.55,67.9,64.54,66.6,66.6,17067.0,0.0,1.0
2021-04-01,63.63,65.835,63.6,65.4,65.4,24618.0,0.0,1.0
2021-03-31,67.75,67.95,62.21,63.09,63.09,32215.0,0.0,1.0
2021-03-30,67.49,68.155,67.04,67.04,67.04,4439.0,0.0,1.0
2021-03-29,66.73,69.58,66.55,67.45,67.45,7385.0,0.0,1.0
2021-03-26,67.67,69.41,64.67,66.9,66.9,21772.0,0.0,1.0
2021-03-25,64.59,67.97,63.5001,67.97,67.97,24381.0,0.0,1.0
2021-03-24,68.21,68.91,63.4,64.4,64.4,13346.0,0.0,1.0
2021-03-23,69.18,69.52,67.15,67.15,67.15,16871.0,0.0,1.0
2021-03-22,71.3,73.2732,68.54,68.83,68.83,9616.0,0.0,1.0
2021-03-19,69.9,71.29,69.05,71.29,71.29,27167.0,0.0,1.0
2021-03-18,67.79,69.68,67.79,69.38,69.38,23374.0,0.0,1.0
2021-03-17,68.92,69.6683,68.09,68.68,68.68,3463.0,0.0,1.0
2021-03-16,68.43,68.94,68.235,68.64,68.64,9340.0,0.0,1.0
2021-03-15,68.29,69.53,68.0,69.5,69.5,5123.0,0.0,1.0
2021-03-12,68.47,68.47,67.985,68.46,68.46,3729.0,0.0,1.0
2021-03-11,70.04,70.04,68.23,69.68,69.68,6202.0,0.0,1.0
2021-03-10,68.88,69.51,67.8,68.82,68.82,8128.0,0.0,1.0
2021-03-09,67.8925,68.9,66.325,68.39,68.39,7115.0,0.0,1.0
2021-03-08,67.15,69.97,65.73,68.91,68.91,9378.0,0.0,1.0
2021-03-05,64.0,66.66,64.0,66.38,66.38,9518.0,0.0,1.0
2021-03-04,63.01,64.19,63.01,63.89,63.89,6840.0,0.0,1.0
2021-03-03,61.08,63.19,60.9,62.6,62.6,10056.0,0.0,1.0
2021-03-02,60.49,61.36,60.1249,60.63,60.63,9516.0,0.0,1.0
2021-03-01,61.6481,61.6481,60.19,60.7,60.7,5992.0,0.0,1.0
2021-02-26,62.035,62.035,59.32,59.76,59.76,10304.0,0.0,1.0
2021-02-25,62.5947,62.6499,61.025,61.24,61.24,11730.0,0.0,1.0
2021-02-24,61.2,62.92,60.85,62.62,62.62,14309.0,0.0,1.0
2021-02-23,60.78,62.6453,60.15,60.87,60.87,22933.0,0.0,1.0
2021-02-22,60.27,62.35,59.27,61.55,61.55,11850.0,0.0,1.0
2021-02-19,57.71,61.945,57.71,60.04,60.04,26063.0,0.35,1.0
2021-02-18,59.17,59.17,57.5,57.78,57.4451266766,7969.0,0.0,1.0
2021-02-17,58.07,59.3,58.0,58.33,57.9919390628,6260.0,0.0,1.0
2021-02-16,60.25,60.25,58.8,58.8,58.4592151018,12840.0,0.0,1.0
2021-02-12,60.46,60.46,59.6854,60.12,59.7715648286,8228.0,0.0,1.0
2021-02-11,61.47,62.99,60.4745,60.96,60.6066964729,6115.0,0.0,1.0
2021-02-10,62.0,62.0,60.5,60.97,60.6166385163,7005.0,0.0,1.0
2021-02-09,61.57,61.9994,60.5,60.51,60.1593045206,7719.0,0.0,1.0
2021-02-08,62.74,63.54,61.06,62.5,62.1377711542,14070.0,0.0,1.0
2021-02-05,60.3,61.78,60.3,61.47,61.1137406855,6178.0,0.0,1.0
2021-02-04,60.0,60.9,59.9,60.78,60.427739692,7251.0,0.0,1.0
2021-02-03,58.13,60.25,57.3,59.94,59.5926080477,11263.0,0.0,1.0
2021-02-02,58.71,59.25,57.3601,58.13,57.7930981951,8036.0,0.0,1.0
2021-02-01,55.68,58.77,53.96,58.19,57.8527504554,11898.0,0.0,1.0
2021-01-29,56.13,56.23,55.5,55.51,55.1882828283,8116.0,0.0,1.0
2021-01-28,56.42,57.1399,56.08,56.21,55.8842258652,6723.0,0.0,1.0
2021-01-27,56.1,56.88,56.05,56.08,55.7549793012,13038.0,0.0,1.0
2021-01-26,56.75,57.5,56.06,56.2,55.8742838218,7134.0,0.0,1.0
2021-01-25,57.53,57.62,56.05,56.56,56.2321973837,10716.0,0.0,1.0
2021-01-22,58.04,58.315,57.64,57.99,57.6539095877,8810.0,0.0,1.0
2021-01-21,58.57,59.8451,58.06,58.14,57.8030402385,7817.0,0.0,1.0
2021-01-20,57.8,59.29,57.625,58.47,58.1311276701,15810.0,0.0,1.0
2021-01-19,58.25,59.1198,57.09,58.0,57.6638516311,15961.0,0.0,1.0
2021-01-15,57.76,58.1,57.36,57.87,57.5346050671,7146.0,0.0,1.0
2021-01-14,58.2,58.24,57.2472,58.07,57.7334459348,4769.0,0.0,1.0
2021-01-13,57.525,58.68,57.14,57.14,56.8088359,5143.0,0.0,1.0
2021-01-12,58.14,58.46,58.0,58.46,58.1211856268,5601.0,0.0,1.0
2021-01-11,57.63,58.7,57.6,58.3,57.9621129326,3601.0,0.0,1.0
2021-01-08,58.44,59.26,57.4,57.56,57.2264017221,7451.0,0.0,1.0
2021-01-07,59.0,59.0,57.15,57.26,56.9281404206,11051.0,0.0,1.0
2021-01-06,56.62,60.0,56.55,57.21,56.8784302037,19791.0,0.0,1.0
2021-01-05,56.06,58.94,55.98,56.35,56.0234144726,20760.0,0.0,1.0
2021-01-04,55.7,56.545,55.57,55.72,55.3970657394,10443.0,0.0,1.0
2020-12-31,54.61,55.5799,54.51,55.22,54.8999635701,9341.0,0.0,1.0
2020-12-30,55.0,55.91,54.0,54.27,53.9554694486,13531.0,0.0,1.0
2020-12-29,54.58,55.86,54.0,54.9,54.5818181818,8781.0,0.0,1.0
2020-12-28,55.7,56.36,54.55,54.55,54.2338466634,9802.0,0.0,1.0
2020-12-24,54.51,54.51,53.88,54.38,54.0648319258,2745.0,0.0,1.0
2020-12-23,53.9,54.9899,53.0,54.56,54.2437887067,11435.0,0.0,1.0
2020-12-22,53.74,55.9,53.11,53.11,52.802192416,13007.0,0.0,1.0
2020-12-21,56.1429,56.25,53.9,53.9,53.5876138434,12820.0,0.0,1.0
2020-12-18,57.23,57.83,55.97,55.97,55.645616824,33436.0,0.0,1.0
2020-12-17,57.89,58.35,56.14,56.42,56.0930087763,22522.0,0.0,1.0
2020-12-16,59.41,59.91,57.42,57.42,57.0872131148,21269.0,0.0,1.0
2020-12-15,59.16,59.845,58.15,59.11,58.7674184468,14618.0,0.0,1.0
2020-12-14,59.78,60.48,59.55,59.55,59.2048683557,3460.0,0.0,1.0
2020-12-11,58.12,60.4426,58.12,59.68,59.3341149197,2836.0,0.0,1.0
2020-12-10,57.56,59.1453,57.56,58.8,58.4592151018,3335.0,0.0,1.0
2020-12-09,60.5,60.5,58.6,58.79,58.4492730585,4782.0,0.0,1.0
2020-12-08,57.04,60.44,57.0,60.44,60.0897102169,17778.0,0.0,1.0
2020-12-07,57.27,57.87,57.23,57.44,57.1070972015,4819.0,0.0,1.0
2020-12-04,57.29,58.4,57.29,57.87,57.5346050671,4246.0,0.0,1.0
2020-12-03,56.9999,57.41,56.49,57.41,57.0772710714,3201.0,0.0,1.0
2020-12-02,56.84,57.8,56.29,56.32,55.9935883424,4332.0,0.0,1.0
2020-12-01,57.09,58.7799,57.09,57.41,57.0772710714,5161.0,0.0,1.0
2020-11-30,57.85,57.85,56.09,56.8,56.4708064249,5355.0,0.0,1.0
2020-11-27,59.5146,59.5146,58.0701,58.3,57.9621129326,4261.0,0.0,1.0
2020-11-25,61.46,62.0,59.96,59.96,59.6124921345,4430.0,0.0,1.0
