date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,4.32,4.39,4.17,4.35,4.35,531122.0,0.0,1.0
2021-04-15,4.4,4.43,4.24,4.26,4.26,284758.0,0.0,1.0
2021-04-14,4.22,4.55,4.19,4.4,4.4,442021.0,0.0,1.0
2021-04-13,4.47,4.5,4.12,4.18,4.18,805948.0,0.0,1.0
2021-04-12,4.57,4.57,4.405,4.49,4.49,392094.0,0.0,1.0
2021-04-09,4.58,4.615,4.43,4.49,4.49,465941.0,0.0,1.0
2021-04-08,4.51,4.63,4.3701,4.62,4.62,428691.0,0.0,1.0
2021-04-07,4.98,4.98,4.46,4.52,4.52,1397726.0,0.0,1.0
2021-04-06,4.75,4.8,4.53,4.66,4.66,714189.0,0.0,1.0
2021-04-05,4.58,4.76,4.53,4.7,4.7,834032.0,0.0,1.0
2021-04-01,4.57,4.62,4.445,4.5,4.5,486274.0,0.0,1.0
2021-03-31,4.5,4.68,4.35,4.62,4.62,852199.0,0.0,1.0
2021-03-30,4.2,4.48,4.2,4.48,4.48,751700.0,0.0,1.0
2021-03-29,4.25,4.47,4.22,4.25,4.25,497992.0,0.0,1.0
2021-03-26,4.5,4.57,4.16,4.28,4.28,995954.0,0.0,1.0
2021-03-25,4.47,4.54,4.32,4.45,4.45,1535567.0,0.0,1.0
2021-03-24,4.8,4.84,4.27,4.34,4.34,1134923.0,0.0,1.0
2021-03-23,4.93,5.02,4.735,4.74,4.74,859638.0,0.0,1.0
2021-03-22,5.41,5.43,5.02,5.03,5.03,669429.0,0.0,1.0
2021-03-19,5.36,5.53,5.16,5.46,5.46,1582869.0,0.05,1.0
2021-03-18,5.63,5.7,5.435,5.5,5.4500907441,661590.0,0.0,1.0
2021-03-17,5.46,5.745,5.37,5.675,5.62350272232,789817.0,0.0,1.0
2021-03-16,5.97,6.0,5.46,5.52,5.4699092559,815717.0,0.0,1.0
2021-03-15,6.0,6.105,5.83,5.9,5.84646098004,808655.0,0.0,1.0
2021-03-12,5.5,6.0,5.46,5.99,5.93564428312,879800.0,0.0,1.0
2021-03-11,5.13,5.57,5.11,5.56,5.50954627949,919537.0,0.0,1.0
2021-03-10,4.63,5.37,4.6,5.22,5.17263157895,1857870.0,0.0,1.0
2021-03-09,4.69,4.93,4.5031,4.63,4.58798548094,1028314.0,0.0,1.0
2021-03-08,4.89,4.92,4.65,4.76,4.71680580762,969050.0,0.0,1.0
2021-03-05,4.65,4.76,4.41,4.75,4.70689655172,1138632.0,0.0,1.0
2021-03-04,4.13,4.6199,4.08,4.58,4.53843920145,1250694.0,0.0,1.0
2021-03-03,4.51,4.61,4.285,4.29,4.2510707804,678234.0,0.0,1.0
2021-03-02,4.46,4.63,4.46,4.57,4.52852994555,502153.0,0.0,1.0
2021-03-01,4.87,4.9,4.46,4.5,4.45916515426,1093174.0,0.0,1.0
2021-02-26,4.86,5.0185,4.67,4.72,4.67716878403,601237.0,0.0,1.0
2021-02-25,5.22,5.48,4.76,4.85,4.80598911071,1440501.0,0.0,1.0
2021-02-24,4.81,5.2,4.78,5.1,5.05372050817,1320861.0,0.0,1.0
2021-02-23,4.71,4.89,4.24,4.77,4.72671506352,953576.0,0.0,1.0
2021-02-22,4.7,4.9471,4.62,4.67,4.62762250454,731163.0,0.0,1.0
2021-02-19,4.51,4.89,4.51,4.76,4.71680580762,594779.0,0.0,1.0
2021-02-18,4.42,4.62,4.29,4.5,4.45916515426,593970.0,0.0,1.0
2021-02-17,4.25,4.54,4.21,4.45,4.40961887477,761094.0,0.0,1.0
2021-02-16,4.2,4.32,4.16,4.17,4.13215970962,481101.0,0.0,1.0
2021-02-12,4.07,4.18,4.06,4.13,4.09252268603,278770.0,0.0,1.0
2021-02-11,4.18,4.26,4.07,4.12,4.08261343013,317401.0,0.0,1.0
2021-02-10,4.11,4.3,4.0319,4.2,4.16188747731,510169.0,0.0,1.0
2021-02-09,4.17,4.21,4.02,4.06,4.02315789474,579877.0,0.0,1.0
2021-02-08,4.35,4.3796,4.18,4.22,4.18170598911,397288.0,0.0,1.0
2021-02-05,4.26,4.41,4.21,4.3,4.2609800363,639373.0,0.0,1.0
2021-02-04,4.29,4.29,4.125,4.2,4.16188747731,435052.0,0.0,1.0
2021-02-03,4.12,4.2615,4.06,4.19,4.15197822142,504765.0,0.0,1.0
2021-02-02,4.49,4.55,3.96,4.11,4.07270417423,831438.0,0.0,1.0
2021-02-01,4.39,4.53,4.28,4.39,4.35016333938,995608.0,0.0,1.0
2021-01-29,4.26,4.4,4.055,4.165,4.12720508167,1193568.0,0.0,1.0
2021-01-28,4.43,4.52,3.815,3.99,3.95379310345,1877365.0,0.0,1.0
2021-01-27,5.02,5.4294,4.475,4.825,4.78121597096,4714522.0,0.0,1.0
2021-01-26,3.94,3.97,3.77,3.95,3.91415607985,858181.0,0.0,1.0
2021-01-25,3.6,4.085,3.55,3.78,3.74569872958,1614169.0,0.0,1.0
2021-01-22,3.52,3.62,3.27,3.58,3.54751361162,838856.0,0.0,1.0
2021-01-21,3.74,3.75,3.0,3.59,3.55742286751,1498602.0,0.0,1.0
2021-01-20,3.73,3.776,3.6,3.72,3.68624319419,356104.0,0.0,1.0
2021-01-19,3.72,3.82,3.63,3.72,3.68624319419,621034.0,0.0,1.0
