date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.56,1.65,1.54,1.65,1.65,15894.0,0.0,1.0
2021-04-15,1.53,1.65,1.53,1.61,1.61,50508.0,0.0,1.0
2021-04-14,1.61,1.64,1.53,1.56,1.56,7115.0,0.0,1.0
2021-04-13,1.7,1.7,1.6,1.64,1.64,8342.0,0.0,1.0
2021-04-12,1.78,1.79,1.66,1.66,1.66,9518.0,0.0,1.0
2021-04-09,1.73,1.73,1.65,1.65,1.65,5654.0,0.0,1.0
2021-04-08,1.72,1.79,1.72,1.79,1.79,987.0,0.0,1.0
2021-04-07,1.71,1.7948,1.7,1.7001,1.7001,6779.0,0.0,1.0
2021-04-06,1.75,1.75,1.66,1.734,1.734,13200.0,0.0,1.0
2021-04-05,1.75,1.7699,1.71,1.7699,1.7699,73288.0,0.0,1.0
2021-04-01,1.62,1.715,1.588,1.715,1.715,26917.0,0.0,1.0
2021-03-31,1.5,1.54,1.5,1.52,1.52,7615.0,0.0,1.0
2021-03-30,1.62,1.62,1.45,1.61,1.61,41828.0,0.0,1.0
2021-03-29,1.65,1.7,1.6,1.65,1.65,36771.0,0.0,1.0
2021-03-26,1.43,1.75,1.43,1.65,1.65,38327.0,0.0,1.0
2021-03-25,1.35,1.51,1.18,1.51,1.51,201437.0,0.0,1.0
2021-03-24,1.66,1.66,1.26,1.34,1.34,118696.0,0.0,1.0
2021-03-23,1.74,1.765,1.61,1.63,1.63,22005.0,0.0,1.0
2021-03-22,1.9,1.9,1.65,1.74,1.74,19561.0,0.0,1.0
2021-03-19,1.74,1.88,1.68,1.84,1.84,36087.0,0.0,1.0
2021-03-18,1.73,1.8,1.6,1.74,1.74,40535.0,0.0,1.0
2021-03-17,1.61,1.72,1.51,1.51,1.51,40949.0,0.0,1.0
2021-03-16,1.63,1.71,1.565,1.665,1.665,96605.0,0.0,1.0
2021-03-15,1.61,1.7,1.545,1.65,1.65,84413.0,0.0,1.0
2021-03-12,1.55,1.65,1.5,1.63,1.63,94510.0,0.0,1.0
2021-03-11,1.4,1.74,1.4,1.47,1.47,258090.0,0.0,1.0
2021-03-10,1.35,1.45,1.3,1.42,1.42,86699.0,0.0,1.0
2021-03-09,1.32,1.53,1.25,1.37,1.37,113144.0,0.0,1.0
2021-03-08,1.4,1.45,1.28,1.34,1.34,84769.0,0.0,1.0
2021-03-05,1.41,1.55,1.26,1.4,1.4,132708.0,0.0,1.0
2021-03-04,1.53,1.53,1.43,1.45,1.45,173291.0,0.0,1.0
2021-03-03,1.55,1.6,1.51,1.55,1.55,57401.0,0.0,1.0
2021-03-02,1.65,1.7,1.48,1.515,1.515,141393.0,0.0,1.0
2021-03-01,1.67,1.72,1.59,1.6809,1.6809,84967.0,0.0,1.0
2021-02-26,1.6799,1.6799,1.46,1.65,1.65,156562.0,0.0,1.0
2021-02-25,1.65,1.7,1.58,1.6683,1.6683,80017.0,0.0,1.0
2021-02-24,1.65,1.8,1.6,1.64,1.64,139826.0,0.0,1.0
2021-02-23,1.75,1.7899,1.5,1.76,1.76,72788.0,0.0,1.0
2021-02-22,2.1,2.1,1.75,1.76,1.76,159808.0,0.0,1.0
2021-02-19,1.77,1.89,1.76,1.8,1.8,85266.0,0.0,1.0
2021-02-18,1.72,1.93,1.7,1.765,1.765,58880.0,0.0,1.0
2021-02-17,2.2,2.3878,1.8,1.82,1.82,104595.0,0.0,1.0
2021-02-16,2.59,2.59,2.03,2.125,2.125,161287.0,0.0,1.0
2021-02-12,2.95,3.12,2.27,2.325,2.325,334117.0,0.0,1.0
2021-02-11,2.89,2.95,2.2,2.8587,2.8587,650856.0,0.0,1.0
2021-02-10,3.41,3.41,2.78,2.85,2.85,15370.0,0.0,1.0
2021-02-09,2.96,4.0,2.47,3.01,3.01,4179.0,0.0,1.0
2021-02-08,2.5,3.0,2.48,3.0,3.0,112778.0,0.0,1.0
2021-02-05,2.97,2.97,2.425,2.5,2.5,55000.0,0.0,1.0
2021-02-04,2.35,3.27,2.3,2.5,2.5,2550.0,0.0,1.0
