date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,20.44,20.496,18.6,18.74,18.74,64044.0,0.0,1.0
2021-04-15,25.7,26.4999,20.78,21.0,21.0,130676.0,0.0,1.0
2021-04-14,21.94,25.0,21.9,23.89,23.89,172498.0,0.0,1.0
2021-04-13,18.73,21.06,18.18,20.95,20.95,65935.0,0.0,1.0
2021-04-12,17.91,18.74,17.66,18.74,18.74,13490.0,0.0,1.0
2021-04-09,18.26,18.295,17.26,17.85,17.85,116228.0,0.0,1.0
2021-04-08,18.14,18.965,17.75,18.28,18.28,74593.0,0.0,1.0
2021-04-07,20.05,20.3,17.67,18.0,18.0,67278.0,0.0,1.0
2021-04-06,20.6,21.34,19.68,19.99,19.99,54298.0,0.0,1.0
2021-04-05,20.65,21.3,19.06,20.6,20.6,58679.0,0.0,1.0
2021-04-01,19.56,21.65,18.7601,20.84,20.84,100708.0,0.0,1.0
2021-03-31,18.3,19.22,18.15,19.08,19.08,115321.0,0.0,1.0
2021-03-30,18.52,19.0,17.48,18.32,18.32,48325.0,0.0,1.0
2021-03-29,20.2,20.25,18.59,18.64,18.64,164554.0,0.0,1.0
2021-03-26,19.38,20.48,19.38,20.25,20.25,26201.0,0.0,1.0
2021-03-25,17.77,19.35,17.76,19.16,19.16,56027.0,0.0,1.0
2021-03-24,18.1,19.7999,17.765,17.95,17.95,59950.0,0.0,1.0
2021-03-23,19.01,19.615,17.7601,18.16,18.16,55765.0,0.0,1.0
2021-03-22,19.3,20.96,19.125,19.3,19.3,96536.0,0.0,1.0
2021-03-19,20.72,21.54,18.0,19.51,19.51,965747.0,0.0,1.0
2021-03-18,20.0,21.935,19.7874,20.01,20.01,83508.0,0.0,1.0
2021-03-17,21.22,22.06,19.501,19.55,19.55,159139.0,0.0,1.0
2021-03-16,22.36,23.71,21.5,21.74,21.74,61268.0,0.0,1.0
2021-03-15,24.73,25.82,22.26,22.77,22.77,73519.0,0.0,1.0
2021-03-12,22.91,25.4693,22.69,24.85,24.85,53231.0,0.0,1.0
2021-03-11,21.52,23.92,19.76,23.06,23.06,77316.0,0.0,1.0
2021-03-10,22.31,23.29,19.55,21.09,21.09,141452.0,0.0,1.0
2021-03-09,20.75,26.5,20.59,22.19,22.19,175721.0,0.0,1.0
2021-03-08,18.74,21.41,18.475,20.63,20.63,79577.0,0.0,1.0
2021-03-05,20.45,21.04,18.03,18.69,18.69,456107.0,0.0,1.0
2021-03-04,23.27,23.69,17.06,20.0,20.0,273556.0,0.0,1.0
2021-03-03,23.15,24.16,22.32,23.69,23.69,83034.0,0.0,1.0
2021-03-02,24.35,25.11,22.29,23.14,23.14,127698.0,0.0,1.0
2021-03-01,24.96,26.375,23.0715,24.36,24.36,149078.0,0.0,1.0
2021-02-26,25.97,26.99,24.1158,25.91,25.91,131689.0,0.0,1.0
2021-02-25,25.21,26.99,24.11,25.77,25.77,164189.0,0.0,1.0
2021-02-24,22.01,25.6,22.01,24.99,24.99,189741.0,0.0,1.0
2021-02-23,23.17,23.85,22.01,22.04,22.04,125295.0,0.0,1.0
2021-02-22,23.72,24.73,22.5,23.86,23.86,81294.0,0.0,1.0
2021-02-19,23.67,23.705,23.0,23.0,23.0,97435.0,0.0,1.0
2021-02-18,24.17,24.7552,23.0,23.94,23.94,99857.0,0.0,1.0
2021-02-17,23.01,24.99,22.9901,24.16,24.16,120222.0,0.0,1.0
2021-02-16,23.39,24.5,21.62,23.31,23.31,389568.0,0.0,1.0
2021-02-12,23.01,28.0,20.16,25.33,25.33,3490053.0,0.0,1.0
