date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,3.93,3.93,3.55,3.55,3.55,1354622.0,0.0,1.0
2021-04-15,3.9,3.93,3.8,3.89,3.89,1342296.0,0.0,1.0
2021-04-14,3.7,3.925,3.675,3.9,3.9,1868704.0,0.0,1.0
2021-04-13,3.78,3.81,3.61,3.67,3.67,1729462.0,0.0,1.0
2021-04-12,3.8,3.86,3.75,3.83,3.83,2287121.0,0.0,1.0
2021-04-09,3.67,3.81,3.66,3.78,3.78,1928094.0,0.0,1.0
2021-04-08,3.77,3.78,3.6,3.72,3.72,1049252.0,0.0,1.0
2021-04-07,3.69,3.8199,3.65,3.73,3.73,1028226.0,0.0,1.0
2021-04-06,3.83,3.905,3.67,3.67,3.67,1598780.0,0.0,1.0
2021-04-05,3.89,3.89,3.615,3.74,3.74,1419290.0,0.0,1.0
2021-04-01,3.73,3.87,3.665,3.87,3.87,1421138.0,0.0,1.0
2021-03-31,3.69,3.77,3.64,3.72,3.72,1213663.0,0.0,1.0
2021-03-30,3.6,3.77,3.6,3.69,3.69,790636.0,0.0,1.0
2021-03-29,3.75,3.8,3.555,3.67,3.67,1512817.0,0.0,1.0
2021-03-26,3.78,3.8501,3.66,3.81,3.81,1810381.0,0.0,1.0
2021-03-25,3.56,3.67,3.34,3.64,3.64,4107737.0,0.0,1.0
2021-03-24,3.87,3.92,3.59,3.6,3.6,2752441.0,0.0,1.0
2021-03-23,3.76,3.83,3.7,3.75,3.75,2209125.0,0.0,1.0
2021-03-22,4.0,4.04,3.7811,3.89,3.89,1885777.0,0.0,1.0
2021-03-19,4.0,4.2,3.9,4.02,4.02,5626732.0,0.0,1.0
2021-03-18,4.33,4.34,3.96,4.05,4.05,2245795.0,0.0,1.0
2021-03-17,4.33,4.455,4.3,4.38,4.38,1267763.0,0.0,1.0
2021-03-16,4.46,4.46,4.27,4.3,4.3,2528759.0,0.0,1.0
2021-03-15,4.76,4.82,4.49,4.57,4.57,1717056.0,0.0,1.0
2021-03-12,4.86,4.915,4.78,4.84,4.84,1986914.0,0.0,1.0
2021-03-11,5.03,5.07,4.86,4.92,4.92,2622526.0,0.0,1.0
2021-03-10,4.69,4.97,4.6301,4.93,4.93,2203698.0,0.0,1.0
2021-03-09,5.26,5.26,4.7,4.75,4.75,4169017.0,0.0,1.0
2021-03-08,5.72,5.74,5.08,5.3,5.3,2568946.0,0.0,1.0
2021-03-05,5.08,5.55,5.035,5.55,5.55,2773902.0,0.0,1.0
2021-03-04,4.94,5.14,4.63,4.84,4.84,2420698.0,0.0,1.0
2021-03-03,4.75,5.03,4.7,4.87,4.87,1493685.0,0.0,1.0
2021-03-02,4.97,5.09,4.675,4.68,4.68,1570597.0,0.0,1.0
2021-03-01,4.8,5.0,4.7,5.0,5.0,1932397.0,0.0,1.0
2021-02-26,4.52,4.71,4.24,4.65,4.65,1888953.0,0.0,1.0
2021-02-25,4.75,4.89,4.545,4.63,4.63,2015023.0,0.0,1.0
2021-02-24,4.2,4.69,4.18,4.68,4.68,1676039.0,0.0,1.0
2021-02-23,4.22,4.2738,3.9446,4.15,4.15,1141615.0,0.0,1.0
2021-02-22,3.87,4.37,3.84,4.16,4.16,1727685.0,0.0,1.0
2021-02-19,3.78,3.99,3.77,3.94,3.94,1019186.0,0.0,1.0
2021-02-18,3.8,3.85,3.69,3.79,3.79,1637731.0,0.0,1.0
2021-02-17,4.01,4.04,3.76,3.83,3.83,1559833.0,0.0,1.0
2021-02-16,4.0,4.07,3.9,4.0,4.0,2579244.0,0.0,1.0
2021-02-12,3.77,3.98,3.7,3.97,3.97,1049666.0,0.0,1.0
2021-02-11,3.89,3.995,3.66,3.8,3.8,1791968.0,0.0,1.0
2021-02-10,3.82,3.95,3.8,3.92,3.92,1101172.0,0.0,1.0
2021-02-09,3.85,3.89,3.73,3.81,3.81,1122573.0,0.0,1.0
2021-02-08,3.82,4.02,3.7907,3.89,3.89,1199174.0,0.0,1.0
2021-02-05,3.85,3.98,3.725,3.77,3.77,1341083.0,0.0,1.0
2021-02-04,3.61,3.79,3.55,3.79,3.79,1574685.0,0.0,1.0
2021-02-03,3.51,3.6497,3.51,3.6,3.6,1776479.0,0.0,1.0
2021-02-02,3.69,3.72,3.45,3.5,3.5,1300408.0,0.0,1.0
2021-02-01,3.34,3.66,3.165,3.53,3.53,3020592.0,0.0,1.0
2021-01-29,3.34,3.52,3.2801,3.32,3.32,2112470.0,0.0,1.0
2021-01-28,3.2,3.4,3.19,3.39,3.39,2827727.0,0.0,1.0
2021-01-27,3.3,3.46,3.06,3.15,3.15,4059213.0,0.0,1.0
2021-01-26,3.48,3.52,3.255,3.26,3.26,1266664.0,0.0,1.0
2021-01-25,3.51,3.54,3.3167,3.44,3.44,1455280.0,0.0,1.0
2021-01-22,3.33,3.6,3.32,3.59,3.59,1589702.0,0.0,1.0
2021-01-21,3.69,3.7,3.41,3.44,3.44,2917757.0,0.0,1.0
2021-01-20,3.88,3.93,3.61,3.69,3.69,1287535.0,0.0,1.0
2021-01-19,3.9,3.9,3.75,3.83,3.83,775199.0,0.0,1.0
2021-01-15,3.9,3.99,3.71,3.83,3.83,1821122.0,0.0,1.0
