date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,26.15,26.45,25.36,26.15,26.15,74449.0,0.0,1.0
2021-04-15,26.13,27.19,25.63,26.07,26.07,92902.0,0.0,1.0
2021-04-14,24.35,26.08,24.35,25.8,25.8,139608.0,0.0,1.0
2021-04-13,24.6,25.26,24.2577,24.43,24.43,71051.0,0.0,1.0
2021-04-12,25.2,25.39,24.3,24.53,24.53,233045.0,0.0,1.0
2021-04-09,26.26,26.85,25.03,25.43,25.43,117212.0,0.0,1.0
2021-04-08,26.63,27.37,26.15,26.4,26.4,499016.0,0.0,1.0
2021-04-07,28.18,28.29,26.01,26.41,26.41,157350.0,0.0,1.0
2021-04-06,29.99,30.22,28.06,28.27,28.27,141558.0,0.0,1.0
2021-04-05,29.98,30.2665,28.7,30.03,30.03,193227.0,0.0,1.0
2021-04-01,29.08,30.2,28.5,29.62,29.62,178790.0,0.0,1.0
2021-03-31,27.9,29.14,27.77,29.07,29.07,302117.0,0.0,1.0
2021-03-30,27.34,28.07,27.22,27.88,27.88,80282.0,0.0,1.0
2021-03-29,28.58,28.97,27.11,27.43,27.43,81713.0,0.0,1.0
2021-03-26,30.15,30.155,27.39,28.79,28.79,181293.0,0.0,1.0
2021-03-25,28.45,30.78,27.35,30.16,30.16,685915.0,0.0,1.0
2021-03-24,29.32,29.53,28.11,28.27,28.27,140565.0,0.0,1.0
2021-03-23,29.93,30.03,28.75,29.02,29.02,116590.0,0.0,1.0
2021-03-22,30.43,31.25,30.02,30.31,30.31,119805.0,0.0,1.0
2021-03-19,30.38,30.97,29.96,30.18,30.18,737879.0,0.0,1.0
2021-03-18,31.55,32.105,30.3,30.34,30.34,214476.0,0.0,1.0
2021-03-17,31.38,32.12,31.1001,31.93,31.93,370106.0,0.0,1.0
2021-03-16,30.62,31.99,30.0126,31.76,31.76,279268.0,0.0,1.0
2021-03-15,28.73,31.47,28.73,31.26,31.26,291393.0,0.0,1.0
2021-03-12,28.92,29.37,28.35,29.11,29.11,96016.0,0.0,1.0
2021-03-11,29.105,29.16,28.21,29.0,29.0,199676.0,0.0,1.0
2021-03-10,27.99,29.28,27.855,28.5,28.5,167827.0,0.0,1.0
2021-03-09,26.77,28.71,26.77,27.72,27.72,185271.0,0.0,1.0
2021-03-08,26.01,26.8776,25.35,26.29,26.29,247250.0,0.0,1.0
2021-03-05,27.49,27.68,24.65,25.81,25.81,299680.0,0.0,1.0
2021-03-04,28.28,29.0,25.93,27.0,27.0,515495.0,0.0,1.0
2021-03-03,27.12,28.7,26.49,28.36,28.36,242844.0,0.0,1.0
2021-03-02,27.01,27.3678,26.285,27.26,27.26,247850.0,0.0,1.0
2021-03-01,26.64,27.285,26.22,27.15,27.15,240772.0,0.0,1.0
2021-02-26,25.99,27.99,25.81,26.72,26.72,247311.0,0.0,1.0
2021-02-25,28.5,28.7399,25.62,25.67,25.67,833213.0,0.0,1.0
2021-02-24,28.46,28.99,28.14,28.5,28.5,203340.0,0.0,1.0
2021-02-23,28.15,28.7,27.3,28.21,28.21,163409.0,0.0,1.0
