date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,16.75,16.75,16.32,16.51,16.51,46660.0,0.0,1.0
2021-04-15,16.75,16.88,16.52,16.64,16.64,76492.0,0.0,1.0
2021-04-14,17.03,17.03,16.47,16.52,16.52,54302.0,0.0,1.0
2021-04-13,17.25,17.37,16.78,16.88,16.88,38146.0,0.0,1.0
2021-04-12,17.01,17.4,16.92,17.22,17.22,67065.0,0.0,1.0
2021-04-09,17.19,17.19,16.8796,17.06,17.06,39552.0,0.0,1.0
2021-04-08,17.09,17.218,16.63,16.95,16.95,54608.0,0.0,1.0
2021-04-07,17.65,17.65,17.13,17.15,17.15,67327.0,0.0,1.0
2021-04-06,18.08,18.195,17.47,17.58,17.58,71716.0,0.0,1.0
2021-04-05,17.7,18.18,17.5,18.07,18.07,65197.0,0.0,1.0
2021-04-01,17.63,17.72,17.16,17.58,17.58,62583.0,0.0,1.0
2021-03-31,17.79,17.9,17.53,17.55,17.55,78310.0,0.0,1.0
2021-03-30,17.57,17.88,17.41,17.73,17.73,56765.0,0.0,1.0
2021-03-29,17.42,17.82,17.42,17.5,17.5,82566.0,0.0,1.0
2021-03-26,16.81,17.33,16.75,17.29,17.29,66204.0,0.0,1.0
2021-03-25,16.01,16.9,15.89,16.73,16.73,83002.0,0.0,1.0
2021-03-24,17.12,17.22,16.2,16.25,16.25,88674.0,0.0,1.0
2021-03-23,16.94,17.2199,16.55,16.93,16.93,100029.0,0.0,1.0
2021-03-22,16.76,17.08,16.29,17.01,17.01,96723.0,0.0,1.0
2021-03-19,16.28,16.84,16.03,16.76,16.76,366700.0,0.0,1.0
2021-03-18,16.68,16.768,15.91,16.0,16.0,119042.0,0.0,1.0
2021-03-17,17.58,17.58,16.43,16.78,16.78,167328.0,0.0,1.0
2021-03-16,17.77,17.94,17.3,17.62,17.62,100948.0,0.0,1.0
2021-03-15,17.38,17.89,17.17,17.82,17.82,150051.0,0.0,1.0
2021-03-12,16.96,17.34,16.95,17.22,17.22,81890.0,0.0,1.0
2021-03-11,16.79,17.29,16.66,16.9,16.9,83604.0,0.0,1.0
2021-03-10,16.08,16.8778,15.91,16.59,16.59,139737.0,0.0,1.0
2021-03-09,15.99,16.0899,15.6635,15.7,15.7,98605.0,0.0,1.0
2021-03-08,15.77,16.06,15.54,15.86,15.86,104738.0,0.0,1.0
2021-03-05,15.04,15.71,14.82,15.69,15.69,136563.0,0.0,1.0
2021-03-04,15.23,15.8,14.6,14.98,14.98,129073.0,0.0,1.0
2021-03-03,14.68,15.3288,14.54,15.12,15.12,137053.0,0.0,1.0
2021-03-02,14.68,14.89,14.48,14.56,14.56,76109.0,0.0,1.0
2021-03-01,14.28,14.83,14.16,14.68,14.68,69337.0,0.0,1.0
2021-02-26,14.19,14.52,14.05,14.08,14.08,89386.0,0.07,1.0
2021-02-25,14.5,14.79,14.04,14.08,14.0103462898,96010.0,0.0,1.0
2021-02-24,14.58,14.64,14.07,14.46,14.3884664311,112463.0,0.0,1.0
2021-02-23,15.05,15.12,14.27,14.51,14.4382190813,126227.0,0.0,1.0
2021-02-22,15.25,15.48,15.01,15.2,15.1248056537,67712.0,0.0,1.0
2021-02-19,15.12,15.54,15.06,15.24,15.1646077739,107563.0,0.0,1.0
2021-02-18,15.0,15.11,14.65,15.06,14.9854982332,131809.0,0.0,1.0
2021-02-17,15.33,15.38,14.85,15.1,15.0253003534,130346.0,0.0,1.0
2021-02-16,15.68,15.79,14.96,15.2,15.1248056537,141552.0,0.0,1.0
2021-02-12,15.7,15.93,15.455,15.68,15.6024310954,69987.0,0.0,1.0
2021-02-11,16.23,16.29,15.51,15.72,15.6422332155,110771.0,0.0,1.0
2021-02-10,16.31,16.41,15.55,16.04,15.9606501767,132287.0,0.0,1.0
2021-02-09,16.49,16.6121,16.05,16.22,16.1397597173,125438.0,0.0,1.0
2021-02-08,15.98,16.47,15.69,16.43,16.3487208481,191415.0,0.0,1.0
2021-02-05,16.81,16.81,15.28,16.04,15.9606501767,212627.0,0.0,1.0
2021-02-04,16.3,16.53,15.88,16.47,16.3885229682,174486.0,0.0,1.0
2021-02-03,15.56,16.34,15.47,16.18,16.0999575972,102004.0,0.0,1.0
2021-02-02,16.07,16.08,15.25,15.72,15.6422332155,168857.0,0.0,1.0
2021-02-01,16.82,16.82,15.61,16.11,16.0303038869,157979.0,0.0,1.0
2021-01-29,16.4,17.31,16.4,16.65,16.5676325088,123444.0,0.0,1.0
2021-01-28,18.02,18.055,15.93,16.36,16.2790671378,149372.0,0.0,1.0
2021-01-27,17.66,18.75,17.06,18.02,17.9308551237,161128.0,0.0,1.0
2021-01-26,16.5,17.99,16.48,17.82,17.731844523,217632.0,0.0,1.0
2021-01-25,15.44,16.63,15.355,16.46,16.3785724382,129546.0,0.0,1.0
2021-01-22,15.12,15.49,15.01,15.41,15.3337667845,91765.0,0.0,1.0
2021-01-21,15.36,15.4,15.12,15.18,15.1049045936,111254.0,0.0,1.0
2021-01-20,15.37,15.67,15.0,15.36,15.2840141343,163203.0,0.0,1.0
2021-01-19,14.56,15.34,14.32,15.24,15.1646077739,188074.0,0.0,1.0
2021-01-15,14.88,14.9187,14.46,14.54,14.4680706714,74742.0,0.0,1.0
2021-01-14,14.78,15.13,14.65,14.99,14.915844523,137635.0,0.0,1.0
2021-01-13,14.53,14.84,14.5069,14.74,14.6670812721,52199.0,0.0,1.0
2021-01-12,14.35,14.81,14.27,14.46,14.3884664311,132726.0,0.0,1.0
2021-01-11,14.1,14.43,13.97,14.23,14.1596042403,78585.0,0.0,1.0
2021-01-08,14.26,14.26,13.79,14.2,14.1297526502,148800.0,0.0,1.0
2021-01-07,14.65,14.65,13.9316,14.16,14.08995053,117149.0,0.0,1.0
2021-01-06,14.36,14.93,14.36,14.65,14.5775265018,177602.0,0.0,1.0
2021-01-05,14.19,14.55,14.14,14.2,14.1297526502,154918.0,0.0,1.0
2021-01-04,13.81,14.18,13.71,14.07,14.0003957597,105736.0,0.0,1.0
2020-12-31,13.78,13.95,13.69,13.74,13.6720282686,127733.0,0.0,1.0
2020-12-30,13.69,13.89,13.43,13.73,13.6620777385,97454.0,0.0,1.0
2020-12-29,13.55,13.81,13.22,13.59,13.522770318,138046.0,0.0,1.0
2020-12-28,13.47,13.795,13.1,13.5,13.4332155477,120272.0,0.0,1.0
