date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,2.76,2.77,2.54,2.58,2.58,1087046.0,0.0,1.0
2021-04-15,2.62,2.67,2.56,2.61,2.61,439343.0,0.0,1.0
2021-04-14,2.93,2.999,2.575,2.595,2.595,739981.0,0.0,1.0
2021-04-13,3.01,3.05,2.9,2.96,2.96,399718.0,0.0,1.0
2021-04-12,3.09,3.14,3.0,3.0,3.0,151591.0,0.0,1.0
2021-04-09,3.26,3.2899,3.09,3.15,3.15,115523.0,0.0,1.0
2021-04-08,3.34,3.42,3.2,3.21,3.21,125163.0,0.0,1.0
2021-04-07,3.36,3.4,3.26,3.35,3.35,202767.0,0.0,1.0
2021-04-06,3.34,3.41,3.31,3.37,3.37,90245.0,0.0,1.0
2021-04-05,3.38,3.4036,3.22,3.35,3.35,82991.0,0.0,1.0
2021-04-01,3.29,3.385,3.2801,3.33,3.33,117753.0,0.0,1.0
2021-03-31,3.14,3.32,3.09,3.21,3.21,140860.0,0.0,1.0
2021-03-30,2.96,3.18,2.93,3.12,3.12,122388.0,0.0,1.0
2021-03-29,3.24,3.24,2.93,3.0,3.0,305662.0,0.0,1.0
2021-03-26,3.32,3.4,3.04,3.16,3.16,212730.0,0.0,1.0
2021-03-25,3.17,3.34,3.13,3.27,3.27,116226.0,0.0,1.0
2021-03-24,3.34,3.5,3.2,3.21,3.21,148882.0,0.0,1.0
2021-03-23,3.45,3.48,3.28,3.29,3.29,173568.0,0.0,1.0
2021-03-22,3.47,3.54,3.34,3.49,3.49,165254.0,0.0,1.0
2021-03-19,3.5,3.6,3.4,3.47,3.47,288941.0,0.0,1.0
2021-03-18,3.69,3.69,3.425,3.44,3.44,304174.0,0.0,1.0
2021-03-17,3.61,3.75,3.47,3.68,3.68,256937.0,0.0,1.0
2021-03-16,3.76,3.77,3.55,3.65,3.65,155076.0,0.0,1.0
2021-03-15,3.7,3.88,3.6559,3.71,3.71,258848.0,0.0,1.0
2021-03-12,3.8,3.8,3.64,3.74,3.74,230998.0,0.0,1.0
2021-03-11,3.8,3.8,3.63,3.79,3.79,273060.0,0.0,1.0
2021-03-10,3.78,3.97,3.55,3.66,3.66,342599.0,0.0,1.0
2021-03-09,3.3,3.59,3.3,3.51,3.51,255423.0,0.0,1.0
2021-03-08,3.32,3.37,3.11,3.21,3.21,276986.0,0.0,1.0
2021-03-05,3.43,3.4378,2.87,3.26,3.26,564879.0,0.0,1.0
2021-03-04,3.84,3.84,3.23,3.4,3.4,587782.0,0.0,1.0
2021-03-03,3.92,3.9971,3.7554,3.85,3.85,221596.0,0.0,1.0
2021-03-02,4.02,4.13,3.86,3.91,3.91,262877.0,0.0,1.0
2021-03-01,3.93,4.12,3.91,4.03,4.03,315310.0,0.0,1.0
2021-02-26,3.85,4.18,3.73,3.82,3.82,348247.0,0.0,1.0
2021-02-25,4.15,4.24,3.89,3.92,3.92,426909.0,0.0,1.0
2021-02-24,4.2763,4.34,3.96,4.15,4.15,408513.0,0.0,1.0
2021-02-23,4.4,4.46,3.97,4.17,4.17,490702.0,0.0,1.0
2021-02-22,4.33,4.84,4.31,4.47,4.47,701860.0,0.0,1.0
2021-02-19,4.15,4.4499,4.1,4.32,4.32,364059.0,0.0,1.0
2021-02-18,4.45,4.45,4.17,4.21,4.21,426305.0,0.0,1.0
2021-02-17,4.72,4.74,4.43,4.51,4.51,295980.0,0.0,1.0
2021-02-16,4.99,5.0,4.55,4.74,4.74,597786.0,0.0,1.0
2021-02-12,4.89,5.04,4.69,4.88,4.88,444100.0,0.0,1.0
2021-02-11,5.07,5.125,4.7505,4.8,4.8,392322.0,0.0,1.0
2021-02-10,5.17,5.2899,4.71,5.07,5.07,587947.0,0.0,1.0
2021-02-09,4.76,5.14,4.7,5.1,5.1,640685.0,0.0,1.0
2021-02-08,4.63,5.04,4.5501,4.76,4.76,829516.0,0.0,1.0
2021-02-05,4.55,4.69,4.37,4.51,4.51,661200.0,0.0,1.0
2021-02-04,4.64,4.65,4.38,4.49,4.49,428706.0,0.0,1.0
2021-02-03,4.49,4.76,4.41,4.61,4.61,658632.0,0.0,1.0
2021-02-02,4.35,4.49,4.2,4.47,4.47,565038.0,0.0,1.0
2021-02-01,4.16,4.3999,4.11,4.36,4.36,406794.0,0.0,1.0
2021-01-29,4.4,4.4,4.11,4.22,4.22,863508.0,0.0,1.0
2021-01-28,4.08,5.45,4.05,4.56,4.56,5606340.0,0.0,1.0
2021-01-27,3.59,4.13,3.43,4.07,4.07,1397953.0,0.0,1.0
2021-01-26,3.76,3.85,3.6601,3.74,3.74,497517.0,0.0,1.0
2021-01-25,3.85,3.91,3.51,3.72,3.72,1365010.0,0.0,1.0
2021-01-22,3.7,3.99,3.66,3.9,3.9,1337706.0,0.0,1.0
2021-01-21,3.77,3.85,3.68,3.72,3.72,823842.0,0.0,1.0
2021-01-20,4.01,4.03,3.61,3.76,3.76,718944.0,0.0,1.0
2021-01-19,3.57,3.96,3.51,3.91,3.91,830678.0,0.0,1.0
