date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,33.77,35.43,33.2,34.06,34.06,467486.0,0.0,1.0
2021-04-15,35.23,35.23,33.14,34.38,34.38,780753.0,0.0,1.0
2021-04-14,34.2,35.41,33.98,34.73,34.73,785127.0,0.0,1.0
2021-04-13,34.47,34.55,33.18,33.65,33.65,670686.0,0.0,1.0
2021-04-12,36.4,36.4,33.61,34.03,34.03,681180.0,0.0,1.0
2021-04-09,36.45,37.47,35.13,36.4,36.4,809687.0,0.0,1.0
2021-04-08,37.07,37.47,36.2716,36.81,36.81,361626.0,0.0,1.0
2021-04-07,38.38,38.38,35.92,36.53,36.53,593960.0,0.0,1.0
2021-04-06,36.01,38.69,35.8954,38.19,38.19,626134.0,0.0,1.0
2021-04-05,38.15,38.36,36.1,36.66,36.66,614303.0,0.0,1.0
2021-04-01,38.37,39.39,37.16,37.3,37.3,452934.0,0.0,1.0
2021-03-31,35.61,37.01,35.61,36.65,36.65,998984.0,0.0,1.0
2021-03-30,32.99,35.55,32.38,35.22,35.22,782557.0,0.0,1.0
2021-03-29,33.73,34.13,32.2201,33.27,33.27,961708.0,0.0,1.0
2021-03-26,34.72,35.18,32.5,34.03,34.03,925916.0,0.0,1.0
2021-03-25,31.73,34.69,31.5476,34.64,34.64,1848594.0,0.0,1.0
2021-03-24,38.25,38.98,32.56,33.31,33.31,1604156.0,0.0,1.0
2021-03-23,39.25,40.29,38.35,38.74,38.74,721766.0,0.0,1.0
2021-03-22,40.3,42.0,39.79,40.04,40.04,1124129.0,0.0,1.0
2021-03-19,38.6,40.34,37.75,40.07,40.07,2677367.0,0.0,1.0
2021-03-18,41.38,41.73,38.57,39.02,39.02,1480472.0,0.0,1.0
2021-03-17,39.15,42.5299,38.5244,42.44,42.44,672056.0,0.0,1.0
2021-03-16,42.32,43.92,40.6,41.04,41.04,982384.0,0.0,1.0
2021-03-15,41.61,43.58,41.61,42.47,42.47,1229880.0,0.0,1.0
2021-03-12,37.7622,42.0,37.01,41.64,41.64,1493421.0,0.0,1.0
2021-03-11,37.73,40.09,37.01,40.02,40.02,1570539.0,0.0,1.0
2021-03-10,39.54,40.3,35.46,35.64,35.64,1933471.0,0.0,1.0
2021-03-09,32.7643,38.98,32.7643,38.5,38.5,2945708.0,0.0,1.0
2021-03-08,32.01,33.25,30.515,30.76,30.76,2828896.0,0.0,1.0
2021-03-05,34.66,35.0,30.0301,33.55,33.55,2701537.0,0.0,1.0
2021-03-04,34.56,36.6,32.16,33.54,33.54,1964482.0,0.0,1.0
2021-03-03,38.7,39.31,35.86,36.31,36.31,1213300.0,0.0,1.0
