date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,43.15,43.49,42.0,42.79,42.79,11169.0,0.0,1.0
2021-04-15,43.27,43.27,42.26,42.77,42.77,10422.0,0.0,1.0
2021-04-14,42.03,43.39,42.03,43.1,43.1,16201.0,0.0,1.0
2021-04-13,43.1,43.1,42.355,42.42,42.42,11348.0,0.0,1.0
2021-04-12,43.48,43.727,42.68,43.1,43.1,14704.0,0.0,1.0
2021-04-09,44.15,44.15,42.76,43.13,43.13,15990.0,0.0,1.0
2021-04-08,43.13,44.16,43.03,44.16,44.16,21407.0,0.0,1.0
2021-04-07,43.84,43.9594,43.0,43.01,43.01,16252.0,0.0,1.0
2021-04-06,43.64,44.1938,43.51,43.57,43.57,16548.0,0.0,1.0
2021-04-05,43.65,43.85,43.54,43.67,43.67,11471.0,0.0,1.0
2021-04-01,42.19,43.81,41.71,43.67,43.67,16646.0,0.0,1.0
2021-03-31,42.83,42.88,42.34,42.51,42.51,29047.0,0.0,1.0
2021-03-30,42.864,43.46,42.77,42.77,42.77,10794.0,0.0,1.0
2021-03-29,43.72,43.73,42.59,42.59,42.59,20058.0,0.0,1.0
2021-03-26,43.43,44.125,43.26,43.87,43.87,12988.0,0.0,1.0
2021-03-25,41.81,42.9692,41.01,42.88,42.88,24173.0,0.0,1.0
2021-03-24,42.59,44.63,41.7,41.7,41.7,17121.0,0.0,1.0
2021-03-23,43.33,44.2,41.88,42.14,42.14,24292.0,0.0,1.0
2021-03-22,44.63,46.68,43.4,43.98,43.98,24917.0,0.0,1.0
2021-03-19,45.29,46.69,44.01,44.85,44.85,56395.0,0.0,1.0
2021-03-18,46.0,47.35,45.29,45.53,45.53,26147.0,0.0,1.0
2021-03-17,45.85,46.0,45.26,45.81,45.81,25254.0,0.0,1.0
2021-03-16,46.58,46.58,45.136,45.55,45.55,23123.0,0.0,1.0
2021-03-15,47.87,47.88,45.785,46.38,46.38,16725.0,0.0,1.0
2021-03-12,46.75,48.1899,46.75,47.7,47.7,30896.0,0.0,1.0
2021-03-11,46.51,46.9,45.5,46.48,46.48,30067.0,0.0,1.0
2021-03-10,45.34,46.89,45.34,46.15,46.15,32439.0,0.37,1.0
2021-03-09,46.96,47.22,45.49,46.08,45.7134995701,33948.0,0.0,1.0
2021-03-08,44.62,47.55,44.62,47.53,47.151966896,42986.0,0.0,1.0
2021-03-05,42.43,44.65,42.43,44.28,43.9278159931,29448.0,0.0,1.0
2021-03-04,42.83,43.49,41.03,41.67,41.3385748065,38148.0,0.0,1.0
2021-03-03,41.37,44.3,41.37,42.97,42.6282351677,40560.0,0.0,1.0
2021-03-02,39.96,41.57,39.71,41.27,40.9417562339,33901.0,0.0,1.0
2021-03-01,39.35,40.26,38.43,39.71,39.3941638005,69440.0,0.0,1.0
2021-02-26,36.78,38.74,36.745,38.49,38.1838671539,36431.0,0.0,1.0
2021-02-25,37.25,37.46,36.09,36.55,36.2592970765,34689.0,0.0,1.0
2021-02-24,36.5,37.64,35.76,36.74,36.4477858985,37569.0,0.0,1.0
2021-02-23,36.5,36.5,35.65,36.31,36.0212059329,31315.0,0.0,1.0
2021-02-22,35.9,36.205,35.57,35.99,35.7037510748,50407.0,0.0,1.0
2021-02-19,34.82,35.93,34.82,35.93,35.6442282889,29268.0,0.0,1.0
2021-02-18,35.65,35.93,34.82,34.94,34.6621023216,17559.0,0.0,1.0
2021-02-17,36.125,36.125,35.385,35.83,35.5450236457,27132.0,0.0,1.0
2021-02-16,35.905,36.04,35.32,35.48,35.1978073947,28385.0,0.0,1.0
2021-02-12,35.0,35.58,34.75,35.5,35.2176483233,12211.0,0.0,1.0
2021-02-11,35.55,35.6686,34.975,35.06,34.7811478934,15909.0,0.0,1.0
2021-02-10,35.97,35.97,35.36,35.45,35.1680460017,19012.0,0.0,1.0
2021-02-09,35.51,36.065,35.5,35.74,35.4557394669,28447.0,0.0,1.0
2021-02-08,35.02,35.93,34.83,35.91,35.6243873603,18312.0,0.0,1.0
2021-02-05,35.0,35.0,33.98,34.75,34.4736134996,26002.0,0.0,1.0
2021-02-04,34.47,35.11,34.4,35.11,34.830750215,17597.0,0.0,1.0
2021-02-03,33.37,34.48,33.37,34.47,34.1958404987,20590.0,0.0,1.0
2021-02-02,33.77,34.17,33.1,33.57,33.3029987102,25698.0,0.0,1.0
2021-02-01,32.08,33.32,31.91,33.21,32.9458619948,27821.0,0.0,1.0
2021-01-29,32.55,32.675,32.0,32.12,31.8645313844,21065.0,0.0,1.0
2021-01-28,32.74,33.04,31.73,32.32,32.0629406707,20972.0,0.0,1.0
2021-01-27,33.05,34.3,31.96,32.32,32.0629406707,35377.0,0.0,1.0
2021-01-26,34.15,34.46,33.28,33.6,33.3327601032,14947.0,0.0,1.0
2021-01-25,34.65,34.65,33.8,34.22,33.9478288908,25027.0,0.0,1.0
2021-01-22,33.4,36.0,33.4,34.74,34.4636930353,22280.0,0.0,1.0
2021-01-21,35.12,35.31,33.43,33.91,33.640294497,28029.0,0.0,1.0
2021-01-20,34.89,35.725,34.84,34.91,34.6323409286,33994.0,0.0,1.0
2021-01-19,34.92,35.47,34.25,35.07,34.7910683577,23276.0,0.0,1.0
2021-01-15,34.89,35.36,34.65,34.74,34.4636930353,18380.0,0.0,1.0
2021-01-14,34.825,35.73,34.7401,35.64,35.3565348237,13901.0,0.0,1.0
2021-01-13,35.86,35.86,34.85,35.04,34.7613069647,12396.0,0.0,1.0
2021-01-12,35.16,35.83,34.3186,35.78,35.4954213242,24288.0,0.0,1.0
2021-01-11,34.31,34.89,33.5,34.8,34.5232158212,22057.0,0.0,1.0
2021-01-08,35.81,35.81,33.92,34.61,34.3347269991,43426.0,0.0,1.0
2021-01-07,36.65,36.65,35.74,35.93,35.6442282889,35871.0,0.0,1.0
2021-01-06,34.41,37.125,34.36,36.08,35.7930352537,96416.0,0.0,1.0
2021-01-05,33.52,34.43,33.52,33.78,33.5113284609,78540.0,0.0,1.0
2021-01-04,34.21,34.3285,33.34,33.56,33.2930782459,27647.0,0.0,1.0
2020-12-31,33.774,34.24,33.46,33.95,33.6799763543,16616.0,0.0,1.0
2020-12-30,33.21,34.04,33.21,33.6,33.3327601032,18005.0,0.0,1.0
2020-12-29,34.1,34.11,33.21,33.51,33.2434759243,15067.0,0.0,1.0
2020-12-28,33.3,34.33,33.3,34.01,33.7394991402,21705.0,0.0,1.0
2020-12-24,32.94,33.1,32.75,32.95,32.6879299226,7834.0,0.0,1.0
2020-12-23,33.28,33.52,32.56,32.9,32.638327601,16504.0,0.0,1.0
2020-12-22,32.84,33.57,32.63,33.31,33.045066638,24896.0,0.0,1.0
2020-12-21,34.02,34.02,32.51,33.01,32.7474527085,22262.0,0.0,1.0
2020-12-18,33.8,34.44,33.2794,34.42,34.1462381771,92154.0,0.0,1.0
2020-12-17,33.78,33.78,33.06,33.7,33.4319647463,18869.0,0.0,1.0
2020-12-16,34.15,34.18,33.5133,33.81,33.5410898538,18457.0,0.35,1.0
2020-12-15,33.8,34.39,33.5591,34.19,33.5705463145,36268.0,0.0,1.0
2020-12-14,33.28,33.5947,33.02,33.37,32.7654030569,30507.0,0.0,1.0
2020-12-11,32.65,32.87,32.33,32.74,32.1468173833,22361.0,0.0,1.0
2020-12-10,32.72,33.54,32.45,33.02,32.4217443493,13295.0,0.0,1.0
2020-12-09,33.0,33.85,32.77,33.07,32.4708384504,23886.0,0.0,1.0
2020-12-08,32.7,33.0,32.61,33.0,32.4021067089,26378.0,0.0,1.0
2020-12-07,32.74,33.2,32.6,32.81,32.2155491248,63120.0,0.0,1.0
2020-12-04,32.51,33.27,32.0,33.18,32.5788454728,33404.0,0.0,1.0
2020-12-03,32.09,32.39,31.76,32.24,31.6558763726,19157.0,0.0,1.0
2020-12-02,31.41,32.51,31.1,32.09,31.5085940694,37997.0,0.0,1.0
2020-12-01,32.13,32.7087,30.86,31.44,30.8703707554,39139.0,0.0,1.0
2020-11-30,33.56,33.56,31.62,31.77,31.1943918225,28726.0,0.0,1.0
2020-11-27,34.44,34.44,33.16,33.89,33.275981708,9078.0,0.0,1.0
2020-11-25,34.14,34.49,33.4866,34.11,33.4919957528,22996.0,0.0,1.0
