date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,18.46,18.9,17.1,17.15,17.15,45895.0,0.0,1.0
2021-04-15,17.4,18.849,17.2,18.74,18.74,23219.0,0.0,1.0
2021-04-14,16.85,17.75,16.5701,17.51,17.51,27129.0,0.0,1.0
2021-04-13,16.4216,16.95,16.3465,16.94,16.94,15986.0,0.0,1.0
2021-04-12,16.2001,17.0,15.645,16.6,16.6,26539.0,0.0,1.0
2021-04-09,16.5148,16.5148,15.17,16.02,16.02,42999.0,0.0,1.0
2021-04-08,16.47,16.75,16.11,16.11,16.11,19745.0,0.0,1.0
2021-04-07,16.12,16.73,16.12,16.53,16.53,8355.0,0.0,1.0
2021-04-06,16.06,16.4036,16.06,16.13,16.13,9407.0,0.0,1.0
2021-04-05,16.25,16.65,16.0038,16.01,16.01,10634.0,0.0,1.0
2021-04-01,16.16,16.514,16.03,16.21,16.21,4844.0,0.0,1.0
2021-03-31,16.73,16.955,15.95,16.13,16.13,21507.0,0.0,1.0
2021-03-30,16.84,17.4541,16.05,16.71,16.71,26810.0,0.0,1.0
2021-03-29,15.53,16.68,15.45,16.44,16.44,40285.0,0.0,1.0
2021-03-26,15.18,16.15,15.18,15.55,15.55,17023.0,0.0,1.0
2021-03-25,16.5,16.5,14.22,15.6,15.6,76168.0,0.0,1.0
2021-03-24,16.41,17.33,16.3267,16.5,16.5,14027.0,0.0,1.0
2021-03-23,18.5,18.5,16.2005,16.26,16.26,40917.0,0.0,1.0
2021-03-22,18.8,18.8,18.5224,18.5689,18.5689,7022.0,0.0,1.0
2021-03-19,18.89,19.0,18.38,19.0,19.0,10538.0,0.0,1.0
2021-03-18,18.68,19.4399,18.45,18.83,18.83,44666.0,0.0,1.0
2021-03-17,18.5,18.9,18.5,18.71,18.71,11784.0,0.0,1.0
2021-03-16,19.44,19.44,18.1003,18.52,18.52,14404.0,0.0,1.0
2021-03-15,18.45,19.5,18.088,19.3,19.3,52749.0,0.0,1.0
2021-03-12,17.8668,18.2378,17.53,17.975,17.975,17623.0,0.0,1.0
2021-03-11,17.93,18.22,17.601,17.94,17.94,8941.0,0.0,1.0
2021-03-10,17.65,17.92,17.5401,17.69,17.69,5214.0,0.0,1.0
2021-03-09,17.44,17.99,17.423,17.82,17.82,8448.0,0.0,1.0
2021-03-08,17.5,18.26,17.37,17.44,17.44,8040.0,0.0,1.0
2021-03-05,18.25,18.25,17.26,17.89,17.89,9077.0,0.0,1.0
2021-03-04,17.5103,18.18,17.5103,18.0,18.0,9434.0,0.0,1.0
2021-03-03,17.9,17.9,17.5785,17.6417,17.6417,15327.0,0.0,1.0
2021-03-02,17.5082,17.85,17.4028,17.85,17.85,6541.0,0.0,1.0
2021-03-01,17.51,17.76,17.2965,17.4721,17.4721,10016.0,0.0,1.0
2021-02-26,18.0,18.0,17.32,17.6348,17.6348,11152.0,0.0,1.0
2021-02-25,17.95,17.95,17.51,17.8,17.8,10650.0,0.0,1.0
2021-02-24,17.29,18.16,17.1101,17.96,17.96,22471.0,0.0,1.0
2021-02-23,17.7155,17.7155,17.25,17.39,17.39,6856.0,0.0,1.0
2021-02-22,17.41,17.87,17.36,17.85,17.85,7412.0,0.0,1.0
2021-02-19,17.81,18.42,16.46,17.41,17.41,25151.0,0.45,1.0
2021-02-18,18.97,19.52,17.8315,18.25,17.7901735722,48537.0,0.0,1.0
2021-02-17,18.69,19.09,18.51,18.7,18.2288353863,24907.0,0.0,1.0
2021-02-16,18.35,18.98,17.9,18.98,18.5017805151,41545.0,0.0,1.0
2021-02-12,17.6,18.105,17.2388,17.785,17.3368896976,39050.0,0.0,1.0
2021-02-11,17.75,18.07,17.1,17.31,16.8738577828,6480.0,0.0,1.0
2021-02-10,17.73,18.13,17.571,17.68,17.2345352744,14566.0,0.0,1.0
2021-02-09,17.61,18.06,17.5,17.97,17.5172284434,8460.0,0.0,1.0
2021-02-08,17.5,17.84,17.49,17.61,17.1662989922,12362.0,0.0,1.0
2021-02-05,17.67,17.75,17.49,17.61,17.1662989922,4937.0,0.0,1.0
2021-02-04,17.8,17.85,17.3401,17.49,17.0493225084,10639.0,0.0,1.0
2021-02-03,16.96,18.16,16.78,17.8,17.3515117581,43435.0,0.0,1.0
2021-02-02,16.2499,16.98,16.2499,16.96,16.5326763718,31635.0,0.0,1.0
2021-02-01,15.57,16.2612,15.57,16.11,15.7040929451,24660.0,0.0,1.0
2021-01-29,15.85,15.8899,15.4,15.61,15.2166909295,15525.0,0.0,1.0
2021-01-28,15.59,15.85,15.5,15.51,15.1192105263,3634.0,0.0,1.0
2021-01-27,15.35,15.6595,15.2359,15.38,14.9924860022,18460.0,0.0,1.0
