date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,20.87,20.87,20.56,20.62,20.62,373331.0,0.0,1.0
2021-04-15,20.6,20.83,20.38,20.71,20.71,604768.0,0.0,1.0
2021-04-14,20.64,20.81,20.34,20.46,20.46,522785.0,0.0,1.0
2021-04-13,20.8,20.93,20.55,20.74,20.74,331638.0,0.0,1.0
2021-04-12,20.5,20.93,20.21,20.86,20.86,580406.0,0.0,1.0
2021-04-09,20.49,21.09,20.26,20.39,20.39,1381411.0,0.0,1.0
2021-04-08,20.25,20.76,19.94,20.16,20.16,3721449.0,0.0,1.0
2021-04-07,18.49,19.18,18.4684,19.12,19.12,604805.0,0.0,1.0
2021-04-06,18.25,18.81,18.2,18.49,18.49,580479.0,0.0,1.0
2021-04-05,18.64,18.94,18.4,18.89,18.89,580227.0,0.0,1.0
2021-04-01,18.65,18.65,18.21,18.4,18.4,256821.0,0.0,1.0
2021-03-31,18.3,18.72,18.16,18.49,18.49,334190.0,0.0,1.0
2021-03-30,18.22,18.28,18.035,18.24,18.24,79835.0,0.0,1.0
2021-03-29,18.3,18.34,18.01,18.08,18.08,111970.0,0.0,1.0
2021-03-26,18.16,18.4,18.16,18.3,18.3,363357.0,0.0,1.0
2021-03-25,17.82,18.21,17.71,18.11,18.11,151268.0,0.0,1.0
2021-03-24,17.9,18.34,17.82,17.9,17.9,132199.0,0.0,1.0
2021-03-23,17.72,18.0792,17.7,18.01,18.01,178607.0,0.0,1.0
2021-03-22,17.55,17.94,17.52,17.93,17.93,279079.0,0.0,1.0
2021-03-19,18.35,18.37,17.52,17.52,17.52,1377310.0,0.0,1.0
2021-03-18,18.74,18.8,18.22,18.22,18.22,477966.0,0.0,1.0
2021-03-17,18.5,18.75,18.25,18.47,18.47,360582.0,0.0,1.0
2021-03-16,18.52,18.53,18.32,18.45,18.45,172202.0,0.0,1.0
2021-03-15,18.04,18.5629,17.97,18.43,18.43,297638.0,0.0,1.0
2021-03-12,17.69,18.05,17.62,17.92,17.92,166491.0,0.2,1.0
2021-03-11,17.74,17.74,17.445,17.67,17.4749668874,129773.0,0.0,1.0
2021-03-10,17.76,17.85,17.47,17.74,17.5441942605,114851.0,0.0,1.0
2021-03-09,17.57,17.81,17.4,17.67,17.4749668874,205651.0,0.0,1.0
2021-03-08,17.68,17.93,17.45,17.47,17.2771743929,177749.0,0.0,1.0
2021-03-05,18.25,18.25,17.12,17.54,17.346401766,243954.0,0.0,1.0
2021-03-04,18.1062,18.2,17.72,17.84,17.6430905077,225748.0,0.0,1.0
2021-03-03,17.93,18.445,17.85,18.09,17.8903311258,182016.0,0.0,1.0
2021-03-02,18.1,18.31,17.46,17.86,17.6628697572,148699.0,0.0,1.0
2021-03-01,17.83,18.325,17.75,17.98,17.7815452539,170924.0,0.0,1.0
