date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,5.88,5.96,5.58,5.87,5.87,588290.0,0.0,1.0
2021-04-15,6.43,6.69,5.7533,5.96,5.96,926729.0,0.0,1.0
2021-04-14,6.28,7.29,6.2,6.4,6.4,4272567.0,0.0,1.0
2021-04-13,6.4881,6.64,6.1,6.34,6.34,526058.0,0.0,1.0
2021-04-12,7.57,7.58,6.51,6.52,6.52,820516.0,0.0,1.0
2021-04-09,7.69,8.1599,7.331,7.58,7.58,638974.0,0.0,1.0
2021-04-08,8.18,8.18,7.51,7.73,7.73,755997.0,0.0,1.0
2021-04-07,8.44,8.77,7.98,8.06,8.06,858708.0,0.0,1.0
2021-04-06,8.58,9.28,8.21,8.28,8.28,1400447.0,0.0,1.0
2021-04-05,7.9,9.64,7.7,8.55,8.55,4863507.0,0.0,1.0
2021-04-01,8.0,8.44,7.56,7.89,7.89,1361463.0,0.0,1.0
2021-03-31,8.16,8.58,7.8,7.9,7.9,1194926.0,0.0,1.0
2021-03-30,7.85,8.85,7.121,7.73,7.73,3272985.0,0.0,1.0
2021-03-29,9.1189,9.872,7.86,8.08,8.08,1190101.0,0.0,1.0
2021-03-26,9.7661,10.18,8.72,9.26,9.26,2072243.0,0.0,1.0
2021-03-25,8.18,11.35,7.92,10.0,10.0,6272049.0,0.0,1.0
2021-03-24,11.7079,12.29,9.2501,9.4,9.4,4880446.0,0.0,1.0
2021-03-23,13.31,15.15,10.64,11.12,11.12,20522760.0,0.0,1.0
2021-03-22,10.46,14.3,10.31,14.19,14.19,38854322.0,0.0,1.0
2021-03-19,10.24,12.35,9.7,11.43,11.43,23658021.0,0.0,1.0
2021-03-18,13.71,17.0,9.46,10.16,10.16,91904629.0,0.0,1.0
2021-03-17,5.75,11.28,5.29,10.6,10.6,99520292.0,0.0,1.0
2021-03-16,6.77,7.25,5.81,5.99,5.99,12692422.0,0.0,1.0
2021-03-15,4.61,9.65,4.36,9.3,9.3,45099116.0,0.0,1.0
2021-03-12,3.69,4.48,3.55,4.22,4.22,2267588.0,0.0,1.0
2021-03-11,3.51,4.06,3.42,3.74,3.74,1496802.0,0.0,1.0
2021-03-10,3.5,3.62,3.2941,3.44,3.44,447126.0,0.0,1.0
2021-03-09,3.13,3.55,3.04,3.45,3.45,1433573.0,0.0,1.0
2021-03-08,3.06,3.18,3.01,3.04,3.04,264428.0,0.0,1.0
2021-03-05,3.27,3.27,2.82,3.02,3.02,516211.0,0.0,1.0
2021-03-04,3.879,3.89,3.1001,3.19,3.19,690137.0,0.0,1.0
2021-03-03,4.15,4.34,3.87,3.87,3.87,515992.0,0.0,1.0
2021-03-02,4.03,4.42,3.96,4.21,4.21,650170.0,0.0,1.0
2021-03-01,3.92,4.34,3.9,4.07,4.07,1297484.0,0.0,1.0
2021-02-26,4.12,4.2,3.7601,3.91,3.91,656354.0,0.0,1.0
2021-02-25,4.42,4.4677,4.08,4.09,4.09,388475.0,0.0,1.0
2021-02-24,4.21,4.55,4.2,4.31,4.31,378354.0,0.0,1.0
2021-02-23,4.71,4.72,4.0,4.23,4.23,1184558.0,0.0,1.0
2021-02-22,5.035,5.11,4.82,4.94,4.94,580258.0,0.0,1.0
2021-02-19,5.38,5.475,5.04,5.11,5.11,740772.0,0.0,1.0
2021-02-18,5.4,5.6655,5.22,5.34,5.34,512258.0,0.0,1.0
2021-02-17,6.01,6.29,5.5,5.55,5.55,1268757.0,0.0,1.0
2021-02-16,5.68,6.58,5.52,6.34,6.34,3052308.0,0.0,1.0
2021-02-12,5.39,6.58,5.18,5.45,5.45,13079190.0,0.0,1.0
2021-02-11,5.0,5.3,4.71,4.83,4.83,1209054.0,0.0,1.0
2021-02-10,5.05,5.28,4.64,4.92,4.92,1958036.0,0.0,1.0
2021-02-09,4.71,5.24,4.62,5.15,5.15,2246132.0,0.0,1.0
2021-02-08,4.796,4.9,4.63,4.68,4.68,549895.0,0.0,1.0
2021-02-05,4.78,4.88,4.68,4.75,4.75,524369.0,0.0,1.0
