date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,144.6,147.01,143.875,144.39,144.39,3057.0,0.0,1.0
2021-04-15,147.42,147.42,143.03,143.03,143.03,4445.0,0.0,1.0
2021-04-14,149.635,149.675,146.85,146.85,146.85,8106.0,0.0,1.0
2021-04-13,148.0,149.9,148.0,149.05,149.05,3646.0,0.0,1.0
2021-04-12,151.525,151.525,149.9,150.7,150.7,2639.0,0.0,1.0
2021-04-09,152.0,155.77,150.0,152.36,152.36,15404.0,0.0,1.0
2021-04-08,155.4,155.4,152.4,153.9,153.9,9724.0,0.0,1.0
2021-04-07,157.03,157.03,153.95,153.95,153.95,4605.0,0.0,1.0
2021-04-06,162.29,162.32,155.42,159.0,159.0,6294.0,0.0,1.0
2021-04-05,157.24,162.66,157.24,160.64,160.64,5072.0,0.0,1.0
2021-04-01,156.08,162.77,156.08,156.61,156.61,6161.0,0.28,1.0
2021-03-31,155.28,164.255,155.28,157.88,157.598233157,13063.0,0.0,1.0
2021-03-30,161.0,161.99,157.73,160.52,160.233521576,6502.0,0.0,1.0
2021-03-29,160.49,164.76,160.49,164.45,164.156507744,4122.0,0.0,1.0
2021-03-26,151.95,157.06,145.0,157.06,156.779696603,111888.0,0.0,1.0
2021-03-25,147.01,152.59,146.23,150.94,150.670618905,4128.0,0.0,1.0
2021-03-24,149.2,153.4,145.325,149.0,148.734081203,17991.0,0.0,1.0
2021-03-23,148.04,150.44,145.22,149.0,148.734081203,6775.0,0.0,1.0
2021-03-22,153.0,153.33,149.165,149.4,149.133367327,5279.0,0.0,1.0
2021-03-19,151.29,153.24,148.44,153.24,152.966514118,37014.0,0.0,1.0
2021-03-18,157.02,157.64,147.32,148.51,148.244955701,5760.0,0.0,1.0
2021-03-17,159.65,160.27,155.25,157.38,157.099125502,7115.0,0.0,1.0
2021-03-16,156.6,157.88,155.48,157.0,156.719803684,5792.0,0.0,1.0
2021-03-15,161.38,161.415,159.035,160.47,160.18361081,4439.0,0.0,1.0
2021-03-12,166.25,168.23,165.98,166.85,166.552224488,5145.0,0.0,1.0
2021-03-11,163.1,165.5,160.835,162.67,162.379684492,5305.0,0.0,1.0
2021-03-10,165.0,166.25,163.37,163.37,163.078435209,11750.0,0.0,1.0
2021-03-09,156.23,161.24,156.23,161.0,160.712664924,9044.0,0.0,1.0
2021-03-08,154.15,162.47,152.9215,158.4,158.117305118,9959.0,0.0,1.0
2021-03-05,155.91,155.91,151.175,153.5,153.226050099,10725.0,0.0,1.0
2021-03-04,155.88,155.91,146.04,151.3,151.029976417,14664.0,0.0,1.0
2021-03-03,155.275,157.38,152.0,153.55,153.275960864,13459.0,0.0,1.0
