date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,23.02,23.1628,21.75,21.97,21.97,218248.0,0.0,1.0
2021-04-15,23.01,23.33,22.6,23.02,23.02,94100.0,0.0,1.0
2021-04-14,23.11,23.4499,23.09,23.21,23.21,75785.0,0.0,1.0
2021-04-13,22.32,23.355,22.0153,23.0,23.0,262185.0,0.0,1.0
2021-04-12,22.45,22.45,21.857,22.12,22.12,99366.0,0.0,1.0
2021-04-09,22.41,22.5,22.1056,22.34,22.34,104263.0,0.0,1.0
2021-04-08,22.05,22.5,21.56,22.42,22.42,58732.0,0.0,1.0
2021-04-07,22.85,22.85,21.93,22.01,22.01,67733.0,0.0,1.0
2021-04-06,22.15,22.93,22.07,22.33,22.33,104889.0,0.0,1.0
2021-04-05,22.01,22.5,21.5057,22.3,22.3,158655.0,0.0,1.0
2021-04-01,22.3662,22.5874,21.06,21.99,21.99,162972.0,0.0,1.0
2021-03-31,20.61,22.61,20.61,22.36,22.36,598140.0,0.0,1.0
2021-03-30,20.6,20.73,20.0501,20.605,20.605,114751.0,0.0,1.0
2021-03-29,20.43,20.99,20.06,20.39,20.39,198235.0,0.0,1.0
2021-03-26,19.95,20.57,19.75,20.2,20.2,152802.0,0.0,1.0
2021-03-25,20.0,20.38,19.3001,19.54,19.54,201962.0,0.0,1.0
2021-03-24,20.4,20.84,19.82,20.08,20.08,101150.0,0.0,1.0
2021-03-23,20.13,21.0,19.76,20.01,20.01,170514.0,0.0,1.0
2021-03-22,19.3,20.77,19.01,20.29,20.29,236159.0,0.0,1.0
2021-03-19,19.0,20.08,18.81,19.33,19.33,128656.0,0.0,1.0
2021-03-18,20.4,20.4,19.01,19.27,19.27,154970.0,0.0,1.0
2021-03-17,20.03,20.43,19.75,20.4,20.4,97543.0,0.0,1.0
2021-03-16,20.3,20.3225,19.7,20.1,20.1,100731.0,0.0,1.0
2021-03-15,19.96,20.4567,19.6101,19.95,19.95,80853.0,0.0,1.0
2021-03-12,18.87,19.9,18.87,19.88,19.88,117322.0,0.0,1.0
2021-03-11,18.41,18.75,18.1303,18.75,18.75,76941.0,0.0,1.0
2021-03-10,17.56,18.7499,17.51,18.51,18.51,91181.0,0.0,1.0
