date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,22.72,22.87,22.3,22.65,22.65,23728.0,0.0,1.0
2021-04-15,22.6,22.72,22.01,22.64,22.64,24445.0,0.0,1.0
2021-04-14,22.45,22.555,22.31,22.39,22.39,13083.0,0.0,1.0
2021-04-13,22.76,22.81,22.12,22.43,22.43,18324.0,0.0,1.0
2021-04-12,22.6,22.81,22.47,22.76,22.76,21043.0,0.0,1.0
2021-04-09,22.9,23.07,22.39,22.6,22.6,16377.0,0.0,1.0
2021-04-08,22.73,22.955,22.43,22.68,22.68,15774.0,0.0,1.0
2021-04-07,22.96,23.2466,22.21,22.61,22.61,31797.0,0.0,1.0
2021-04-06,22.94,23.6253,22.94,22.95,22.95,14267.0,0.0,1.0
2021-04-05,23.8,23.8,22.78,22.88,22.88,14773.0,0.0,1.0
2021-04-01,22.7,23.47,22.493,23.41,23.41,37468.0,0.0,1.0
2021-03-31,23.94,24.075,22.04,22.3,22.3,96672.0,0.0,1.0
2021-03-30,22.68,24.19,22.66,23.92,23.92,34855.0,0.0,1.0
2021-03-29,22.53,22.7,22.06,22.48,22.48,38726.0,0.0,1.0
2021-03-26,22.42,22.98,21.55,22.57,22.57,51351.0,0.0,1.0
2021-03-25,21.24,22.31,20.88,22.24,22.24,37082.0,0.0,1.0
2021-03-24,21.91,22.82,21.32,21.36,21.36,20176.0,0.0,1.0
2021-03-23,21.82,22.13,21.53,21.85,21.85,30601.0,0.0,1.0
2021-03-22,22.03,23.95,20.54,22.19,22.19,97207.0,0.0,1.0
2021-03-19,22.09,22.2,21.47,22.0,22.0,87330.0,0.0,1.0
2021-03-18,22.52,23.0,22.15,22.15,22.15,36084.0,0.0,1.0
2021-03-17,22.48,22.9095,21.75,22.33,22.33,35469.0,0.0,1.0
2021-03-16,22.9,22.9,22.01,22.12,22.12,24738.0,0.0,1.0
2021-03-15,23.1,23.1,22.465,22.9,22.9,28531.0,0.0,1.0
2021-03-12,22.05,23.4,22.05,23.34,23.34,40095.0,0.0,1.0
2021-03-11,23.25,23.39,22.1301,22.49,22.49,35003.0,0.0,1.0
2021-03-10,23.13,23.44,22.8801,23.05,23.05,35327.0,0.0,1.0
2021-03-09,23.57,23.98,22.84,22.88,22.88,41153.0,0.0,1.0
2021-03-08,24.19,24.7402,23.0,23.53,23.53,106522.0,0.0,1.0
2021-03-05,20.35,23.09,20.2,22.95,22.95,82127.0,0.0,1.0
2021-03-04,20.04,20.87,19.82,19.89,19.89,34160.0,0.0,1.0
2021-03-03,20.15,20.97,20.0,20.04,20.04,41065.0,0.0,1.0
2021-03-02,20.19,20.2,19.58,19.77,19.77,20721.0,0.0,1.0
2021-03-01,20.0,20.37,19.608,20.17,20.17,48389.0,0.0,1.0
2021-02-26,19.61,19.98,19.31,19.48,19.48,26065.0,0.0,1.0
2021-02-25,19.71,19.9663,19.3,19.5,19.5,21247.0,0.0,1.0
2021-02-24,18.76,19.86,18.76,19.7,19.7,48341.0,0.0,1.0
2021-02-23,18.7,19.11,18.32,18.62,18.62,29582.0,0.0,1.0
2021-02-22,18.56,18.9093,18.51,18.77,18.77,66793.0,0.0,1.0
2021-02-19,18.41,18.69,18.38,18.68,18.68,12537.0,0.0,1.0
2021-02-18,18.65,18.94,18.06,18.36,18.36,16315.0,0.0,1.0
2021-02-17,18.51,18.97,18.51,18.79,18.79,12844.0,0.0,1.0
2021-02-16,19.03,19.22,18.41,18.51,18.51,19111.0,0.0,1.0
2021-02-12,19.3,19.47,18.595,18.96,18.96,25067.0,0.0,1.0
2021-02-11,19.92,20.0,19.045,19.5,19.5,31099.0,0.0,1.0
2021-02-10,19.9,19.99,19.72,19.72,19.72,18182.0,0.0,1.0
2021-02-09,19.5,20.0,19.14,19.9,19.9,32140.0,0.0,1.0
2021-02-08,19.84,19.8785,19.08,19.74,19.74,35871.0,0.0,1.0
2021-02-05,18.9,19.53,18.8,19.53,19.53,25869.0,0.0,1.0
2021-02-04,18.67,19.18,18.63,18.83,18.83,27962.0,0.0,1.0
2021-02-03,18.33,18.54,17.89,18.54,18.54,23629.0,0.0,1.0
2021-02-02,18.0,18.63,17.7,18.33,18.33,21020.0,0.0,1.0
2021-02-01,17.35,17.99,17.25,17.95,17.95,25009.0,0.0,1.0
2021-01-29,17.92,17.92,17.25,17.31,17.31,30477.0,0.18,1.0
2021-01-28,18.19,18.56,17.94,18.04,17.8543396226,14258.0,0.0,1.0
2021-01-27,18.11,18.5,17.84,17.84,17.6563979417,45923.0,0.0,1.0
2021-01-26,19.3,19.3,18.32,18.32,18.131457976,25443.0,0.0,1.0
2021-01-25,18.58,18.87,18.04,18.8,18.6065180103,36339.0,0.0,1.0
2021-01-22,17.69,18.64,17.69,18.61,18.4184734134,27159.0,0.0,1.0
2021-01-21,18.53,19.3845,17.65,17.65,17.4683533448,35237.0,0.0,1.0
2021-01-20,17.52,17.71,17.32,17.38,17.2011320755,14985.0,0.0,1.0
2021-01-19,18.02,18.035,17.39,17.6,17.4188679245,26581.0,0.0,1.0
2021-01-15,18.03,18.37,18.02,18.02,17.8345454545,10832.0,0.0,1.0
2021-01-14,18.3,18.52,17.76,18.41,18.2205317324,13859.0,0.0,1.0
2021-01-13,18.27,18.61,18.0,18.0,17.8147512864,12868.0,0.0,1.0
2021-01-12,18.1301,18.815,18.1301,18.81,18.6164150943,10022.0,0.0,1.0
2021-01-11,18.35,18.37,18.0,18.35,18.1611492281,5391.0,0.0,1.0
2021-01-08,18.82,18.82,17.69,18.46,18.2700171527,23437.0,0.0,1.0
2021-01-07,18.83,19.045,18.41,18.96,18.7648713551,16455.0,0.0,1.0
2021-01-06,17.29,18.95,17.25,18.62,18.4283704974,24983.0,0.0,1.0
2021-01-05,16.6,17.18,16.6,16.9,16.7260720412,21815.0,0.0,1.0
2021-01-04,16.49,16.95,16.28,16.46,16.2906003431,24842.0,0.0,1.0
2020-12-31,16.71,16.8399,16.45,16.55,16.3796740995,20982.0,0.0,1.0
2020-12-30,16.8,16.965,16.43,16.85,16.6765866209,6665.0,0.0,1.0
2020-12-29,16.62,16.83,16.02,16.7,16.5281303602,34721.0,0.0,1.0
2020-12-28,17.19,17.4872,16.53,16.57,16.3994682676,40308.0,0.0,1.0
2020-12-24,17.13,17.13,16.9,16.9,16.7260720412,2377.0,0.0,1.0
2020-12-23,17.02,17.25,17.015,17.07,16.89432247,7387.0,0.0,1.0
2020-12-22,16.95,16.98,16.7,16.89,16.7161749571,6040.0,0.0,1.0
2020-12-21,16.72,16.94,16.3551,16.7,16.5281303602,21986.0,0.0,1.0
2020-12-18,17.93,17.93,16.61,16.7,16.5281303602,83145.0,0.0,1.0
2020-12-17,17.59,17.85,17.59,17.85,17.6662950257,10851.0,0.0,1.0
2020-12-16,18.7,18.7,17.67,17.78,17.5970154374,37444.0,0.0,1.0
2020-12-15,17.76,18.79,17.71,18.71,18.5174442539,18267.0,0.0,1.0
2020-12-14,17.58,17.81,17.57,17.57,17.3891766724,14515.0,0.0,1.0
2020-12-11,17.38,17.56,17.36,17.5,17.319897084,11267.0,0.0,1.0
2020-12-10,17.035,17.6,17.035,17.48,17.300102916,14898.0,0.0,1.0
2020-12-09,17.29,17.44,17.15,17.34,17.1615437393,29856.0,0.0,1.0
2020-12-08,16.69,17.18,16.56,17.18,17.0031903945,19997.0,0.0,1.0
2020-12-07,16.83,16.83,16.53,16.62,16.4489536878,8766.0,0.0,1.0
2020-12-04,16.74,16.9114,16.61,16.85,16.6765866209,14579.0,0.0,1.0
2020-12-03,16.21,17.0,16.21,16.51,16.3400857633,20304.0,0.0,1.0
2020-12-02,16.37,16.48,16.2701,16.44,16.270806175,11983.0,0.0,1.0
2020-12-01,16.56,16.62,16.07,16.15,15.9837907376,12431.0,0.0,1.0
2020-11-30,16.83,17.0,16.12,16.12,15.9540994854,17782.0,0.0,1.0
2020-11-27,16.8201,17.1,16.38,17.1,16.9240137221,6550.0,0.0,1.0
2020-11-25,17.18,17.3,16.55,17.13,16.9537049743,18522.0,0.0,1.0
2020-11-24,16.41,17.25,16.2065,17.25,17.0724699828,18535.0,0.0,1.0
2020-11-23,15.95,16.1409,15.95,16.09,15.9244082333,12702.0,0.0,1.0
2020-11-20,15.8,16.4693,15.5153,15.91,15.7462607204,31654.0,0.0,1.0
2020-11-19,15.88,16.05,15.73,16.05,15.8848198971,11054.0,0.0,1.0
2020-11-18,16.56,16.79,15.9,15.9,15.7363636364,15549.0,0.0,1.0
2020-11-17,16.43,16.81,16.43,16.47,16.3004974271,13060.0,0.0,1.0
2020-11-16,16.31,16.7999,16.2401,16.5,16.3301886792,19932.0,0.0,1.0
2020-11-13,15.56,15.99,15.56,15.8,15.6373927959,9290.0,0.0,1.0
2020-11-12,16.21,16.21,15.13,15.34,15.1821269297,12006.0,0.0,1.0
2020-11-11,16.66,16.66,16.1,16.29,16.1223499142,33690.0,0.0,1.0
