date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.74,9.74,9.7001,9.74,9.74,8549.0,0.0,1.0
2021-04-15,9.69,9.74,9.66,9.74,9.74,25297.0,0.0,1.0
2021-04-14,9.72,9.74,9.69,9.74,9.74,49398.0,0.0,1.0
2021-04-13,9.7,9.72,9.69,9.7,9.7,3148.0,0.0,1.0
2021-04-12,9.64,9.73,9.64,9.72,9.72,25509.0,0.0,1.0
2021-04-09,9.665,9.69,9.665,9.69,9.69,11255.0,0.0,1.0
2021-04-08,9.68,9.68,9.654,9.68,9.68,8806.0,0.0,1.0
2021-04-07,9.68,9.68,9.65,9.65,9.65,34032.0,0.0,1.0
2021-04-06,9.61,9.67,9.61,9.65,9.65,111057.0,0.0,1.0
2021-04-05,9.67,9.68,9.6,9.66,9.66,108279.0,0.0,1.0
2021-04-01,9.6,9.68,9.6,9.68,9.68,391940.0,0.0,1.0
2021-03-31,9.64,9.64,9.64,9.64,9.64,724.0,0.0,1.0
2021-03-30,9.6,9.68,9.6,9.68,9.68,60700.0,0.0,1.0
2021-03-29,9.6,9.6468,9.6,9.63,9.63,28086.0,0.0,1.0
2021-03-26,9.65,9.66,9.56,9.6,9.6,238950.0,0.0,1.0
2021-03-25,9.5004,9.63,9.5,9.55,9.55,147993.0,0.0,1.0
2021-03-24,9.62,9.62,9.547,9.6,9.6,16546.0,0.0,1.0
2021-03-23,9.6523,9.67,9.62,9.62,9.62,62892.0,0.0,1.0
2021-03-22,9.68,9.68,9.66,9.68,9.68,31009.0,0.0,1.0
2021-03-19,9.7,9.73,9.66,9.73,9.73,4261.0,0.0,1.0
2021-03-18,9.74,9.78,9.695,9.75,9.75,50778.0,0.0,1.0
2021-03-17,9.73,9.8,9.69,9.7,9.7,33046.0,0.0,1.0
2021-03-16,9.7313,9.7313,9.67,9.67,9.67,8279.0,0.0,1.0
2021-03-15,9.69,9.73,9.6701,9.6701,9.6701,2398.0,0.0,1.0
2021-03-12,9.8,9.8,9.7,9.7,9.7,16683.0,0.0,1.0
