date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,25.75,25.8,25.35,25.65,25.65,17033.0,0.0,1.0
2021-04-15,26.2,26.2,26.2,26.2,26.2,0.0,0.0,1.0
2021-04-14,25.8645,26.2,25.8645,26.2,26.2,2171.0,0.391,1.0
2021-04-13,26.55,26.55,25.932,25.932,25.5506900831,1063.0,0.0,1.0
2021-04-12,25.95,25.95,25.95,25.95,25.5684254071,75.0,0.0,1.0
2021-04-09,25.99,25.99,25.645,25.95,25.5684254071,3374.0,0.0,1.0
2021-04-08,25.37,25.65,25.37,25.65,25.2728366741,1069.0,0.0,1.0
2021-04-07,25.33,25.8598,25.33,25.698,25.3201308713,2528.0,0.0,1.0
2021-04-06,25.42,25.42,25.42,25.42,25.0462186454,5.0,0.0,1.0
2021-04-05,25.66,25.78,25.2612,25.42,25.0462186454,9246.0,0.0,1.0
2021-04-01,25.22,25.22,25.18,25.1803,24.8100432477,600.0,0.0,1.0
2021-03-31,25.11,25.27,25.11,25.27,24.8984242789,800.0,0.0,1.0
2021-03-30,25.7858,26.0,25.7858,26.0,25.6176901959,400.0,0.0,1.0
2021-03-29,25.9174,26.15,25.5,25.5,25.1250423075,1150.0,0.0,1.0
2021-03-26,25.5,25.65,25.5,25.55,25.1743070964,1074.0,0.0,1.0
2021-03-25,26.5598,26.5598,25.6742,25.6742,25.2966808319,2520.0,0.0,1.0
2021-03-24,25.75,25.85,25.49,25.6738,25.2962867135,4525.0,0.0,1.0
2021-03-23,25.47,25.47,25.4211,25.4211,25.0473024708,1183.0,0.0,1.0
2021-03-22,25.4,25.46,25.3,25.42,25.0462186454,3807.0,0.0,1.0
2021-03-19,25.4,25.4,25.22,25.4,25.0265127299,3591.0,0.0,1.0
2021-03-18,25.22,25.4,25.22,25.4,25.0265127299,400.0,0.0,1.0
2021-03-17,25.7,25.7,25.7,25.7,25.3221014629,1.0,0.0,1.0
2021-03-16,25.7,25.7,25.7,25.7,25.3221014629,200.0,0.0,1.0
2021-03-15,25.84,25.84,25.84,25.84,25.4600428716,3.0,0.0,1.0
2021-03-12,25.84,25.84,25.84,25.84,25.4600428716,284.0,0.0,1.0
2021-03-11,25.45,25.48,25.4,25.4,25.0265127299,2201.0,0.0,1.0
2021-03-10,25.575,25.575,25.575,25.575,25.1989394908,400.0,0.0,1.0
2021-03-09,25.4499,25.45,25.3361,25.45,25.0757775187,2000.0,0.0,1.0
2021-03-08,25.21,25.21,25.21,25.21,24.8393065323,0.0,0.0,1.0
2021-03-05,25.21,25.21,25.21,25.21,24.8393065323,646.0,0.0,1.0
2021-03-04,25.48,25.49,25.48,25.48,25.105336392,900.0,0.0,1.0
2021-03-03,25.4,25.4,25.4,25.4,25.0265127299,0.0,0.0,1.0
2021-03-02,25.4,25.4,25.3,25.4,25.0265127299,5560.0,0.0,1.0
2021-03-01,25.345,25.345,25.345,25.345,24.9723214621,602.0,0.0,1.0
2021-02-26,25.2,25.345,25.2,25.345,24.9723214621,3822.0,0.0,1.0
2021-02-25,26.62,26.62,25.29,25.29,24.9181301944,800.0,0.0,1.0
2021-02-24,25.2,27.02,25.2,25.5,25.1250423075,4997.0,0.0,1.0
2021-02-23,25.55,25.55,25.4,25.5,25.1250423075,3697.0,0.0,1.0
2021-02-22,25.55,25.55,25.55,25.55,25.1743070964,600.0,0.0,1.0
2021-02-19,25.41,25.52,25.41,25.51,25.1348952653,1704.0,0.0,1.0
2021-02-18,25.2001,25.3633,25.175,25.3633,24.9903523749,7920.0,0.0,1.0
2021-02-17,25.325,25.325,25.25,25.299,24.9269978564,1250.0,0.0,1.0
2021-02-16,25.25,25.3,25.15,25.15,24.7801887857,3650.0,0.0,1.0
2021-02-12,25.25,25.25,25.25,25.25,24.8787183634,1200.0,0.0,1.0
2021-02-11,25.45,25.45,25.45,25.45,25.0757775187,200.0,0.0,1.0
2021-02-10,25.15,25.275,25.1,25.275,24.9033507578,3000.0,0.0,1.0
2021-02-09,25.2,25.2,25.2,25.2,24.8294535745,314.0,0.0,1.0
2021-02-08,25.18,25.43,25.18,25.2,24.8294535745,4361.0,0.0,1.0
2021-02-05,25.11,25.44,25.05,25.1,24.7309239968,4243.0,0.0,1.0
2021-02-04,25.18,25.18,25.06,25.175,24.8048211801,500.0,0.0,1.0
2021-02-03,25.05,25.15,25.0,25.15,24.7801887857,6632.0,0.0,1.0
2021-02-02,25.08,25.08,25.0,25.0,24.6323944192,10590.0,0.0,1.0
2021-02-01,25.05,25.08,25.04,25.05,24.681659208,25178.0,0.0,1.0
2021-01-29,25.15,25.15,25.15,25.15,24.7801887857,33.0,0.0,1.0
2021-01-28,25.15,25.15,25.15,25.15,24.7801887857,107.0,0.0,1.0
2021-01-27,25.15,25.15,25.15,25.15,24.7801887857,245.0,0.0,1.0
2021-01-26,24.95,25.2,24.95,25.075,24.7062916024,3016.0,0.0,1.0
2021-01-25,25.1,25.2084,24.97,25.2084,24.837730059,2725.0,0.0,1.0
2021-01-22,24.95,24.9691,24.94,24.9691,24.6019487797,1465.0,0.0,1.0
