date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,39.71,40.02,39.41,39.81,39.81,582293.0,0.0,1.0
2021-04-15,39.88,39.88,38.52,39.36,39.36,543101.0,0.0,1.0
2021-04-14,38.82,40.3709,38.82,39.95,39.95,516179.0,0.0,1.0
2021-04-13,39.42,39.595,38.555,38.93,38.93,1052925.0,0.0,1.0
2021-04-12,39.93,40.1893,39.48,39.85,39.85,773109.0,0.0,1.0
2021-04-09,39.77,39.93,39.11,39.8,39.8,927729.0,0.28,1.0
2021-04-08,39.95,39.95,38.75,39.64,39.3630738523,1451397.0,0.0,1.0
2021-04-07,40.43,40.73,39.8,40.1,39.8198602794,676470.0,0.0,1.0
2021-04-06,40.51,40.91,39.78,40.1,39.8198602794,928834.0,0.0,1.0
2021-04-05,41.41,41.48,40.4,40.81,40.5249001996,719369.0,0.0,1.0
2021-04-01,40.85,41.11,39.92,40.61,40.3262974052,1110364.0,0.0,1.0
2021-03-31,41.2,41.35,40.75,40.85,40.5646207585,768475.0,0.0,1.0
2021-03-30,40.87,41.685,40.655,41.39,41.1008483034,717814.0,0.0,1.0
2021-03-29,41.4,42.11,40.16,40.59,40.3064371257,1022205.0,0.0,1.0
2021-03-26,41.505,42.46,41.01,41.81,41.5179141717,500237.0,0.0,1.0
2021-03-25,40.02,41.55,39.65,41.35,41.0611277445,659341.0,0.0,1.0
2021-03-24,41.19,41.85,40.11,40.17,39.8893712575,496113.0,0.0,1.0
2021-03-23,41.67,42.03,40.235,40.64,40.3560878244,695448.0,0.0,1.0
2021-03-22,41.56,43.03,41.56,42.12,41.825748503,669394.0,0.0,1.0
2021-03-19,42.99,44.41,42.35,43.64,43.3351297405,2261812.0,0.0,1.0
2021-03-18,44.79,45.83,43.81,44.09,43.7819860279,856386.0,0.0,1.0
2021-03-17,44.67,44.94,43.81,44.35,44.0401696607,516500.0,0.0,1.0
2021-03-16,45.09,45.09,44.1,44.28,43.9706586826,837238.0,0.0,1.0
2021-03-15,45.5,45.5,44.08,45.06,44.7452095808,525731.0,0.0,1.0
2021-03-12,44.86,45.5,44.61,45.47,45.1523453094,764777.0,0.0,1.0
2021-03-11,43.36,44.79,42.95,44.42,44.1096806387,844388.0,0.0,1.0
2021-03-10,44.0,44.88,43.09,43.55,43.245758483,1207324.0,0.0,1.0
2021-03-09,44.26,44.36,42.84,43.62,43.3152694611,852825.0,0.0,1.0
2021-03-08,43.63,44.71,42.97,44.29,43.9805888224,1207158.0,0.0,1.0
2021-03-05,42.58,43.435,41.37,43.34,43.0372255489,705288.0,0.0,1.0
2021-03-04,42.58,43.2,41.56,42.37,42.074001996,883025.0,0.0,1.0
2021-03-03,40.97,43.22,40.78,42.35,42.0541417166,1314711.0,0.0,1.0
2021-03-02,42.03,42.03,40.35,40.37,40.0879740519,672381.0,0.0,1.0
2021-03-01,42.35,42.4422,41.48,42.04,41.7463073852,899240.0,0.0,1.0
2021-02-26,41.002,41.76,40.1,41.22,40.9320359281,873242.0,0.0,1.0
2021-02-25,43.49,43.67,41.68,41.71,41.4186127745,641353.0,0.0,1.0
2021-02-24,41.89,43.19,41.525,43.03,42.7293912176,776460.0,0.0,1.0
2021-02-23,41.45,41.48,40.57,41.28,40.9916167665,667964.0,0.0,1.0
2021-02-22,40.45,41.7,40.29,41.41,41.1207085828,630645.0,0.0,1.0
2021-02-19,39.27,40.52,39.07,40.42,40.1376247505,601904.0,0.0,1.0
2021-02-18,38.94,39.45,38.54,38.9,38.628243513,580485.0,0.0,1.0
2021-02-17,40.28,40.28,39.18,39.29,39.0155189621,491884.0,0.0,1.0
2021-02-16,39.54,40.3459,39.21,40.11,39.8297904192,772725.0,0.0,1.0
2021-02-12,38.37,39.44,38.37,38.92,38.6481037924,339906.0,0.0,1.0
2021-02-11,38.75,39.6,38.01,38.815,38.5438373253,693219.0,0.0,1.0
2021-02-10,38.88,39.4,38.48,38.97,38.697754491,643390.0,0.0,1.0
2021-02-09,38.03,38.64,37.21,38.53,38.2608283433,753522.0,0.0,1.0
2021-02-08,38.14,38.25,37.67,37.99,37.7246007984,774852.0,0.0,1.0
2021-02-05,37.97,38.325,37.48,37.97,37.704740519,413602.0,0.0,1.0
2021-02-04,37.85,38.21,37.53,37.89,37.6252994012,846578.0,0.0,1.0
2021-02-03,37.3,37.57,36.5,37.51,37.2479540918,584142.0,0.0,1.0
2021-02-02,37.89,38.14,36.98,37.34,37.0791417166,1005131.0,0.0,1.0
2021-02-01,37.47,37.8,36.82,37.68,37.4167664671,880547.0,0.0,1.0
2021-01-29,37.81,38.24,36.7,37.16,36.9003992016,2378291.0,0.0,1.0
2021-01-28,38.95,39.19,37.33,37.41,37.1486526946,2987951.0,0.0,1.0
2021-01-27,36.96,39.645,36.6,38.83,38.5587325349,3215850.0,0.0,1.0
2021-01-26,37.27,37.38,36.61,37.32,37.0592814371,1346909.0,0.0,1.0
2021-01-25,36.14,37.09,34.59,36.65,36.3939620758,1407036.0,0.0,1.0
2021-01-22,35.06,36.19,34.35,35.96,35.7087824351,1669268.0,0.0,1.0
2021-01-21,34.7,34.83,33.9,34.08,33.8419161677,793229.0,0.0,1.0
2021-01-20,35.34,35.4799,34.27,34.62,34.3781437126,757588.0,0.0,1.0
2021-01-19,35.47,35.855,34.815,35.18,34.9342315369,847648.0,0.0,1.0
2021-01-15,34.98,35.88,34.78,35.27,35.0236027944,765812.0,0.0,1.0
2021-01-14,34.87,36.24,34.455,35.91,35.6591317365,925329.0,0.2775,1.0
2021-01-13,35.77,35.77,34.75,35.05,34.5382402035,887234.0,0.0,1.0
2021-01-12,34.53,36.24,34.38,36.03,35.5039313704,964147.0,0.0,1.0
2021-01-11,33.41,34.4,33.251,34.35,33.8484607986,673577.0,0.0,1.0
2021-01-08,35.03,35.27,33.47,33.8,33.3064912662,857160.0,0.0,1.0
2021-01-07,33.97,35.61,33.22,35.21,34.6959040675,1367232.0,0.0,1.0
2021-01-06,32.89,34.91,32.74,34.68,34.1736425181,1515054.0,0.0,1.0
2021-01-05,31.62,32.4,31.54,31.98,31.5130648134,621361.0,0.0,1.0
2021-01-04,31.55,31.97,30.78,31.52,31.0597812044,549062.0,0.0,1.0
2020-12-31,31.08,31.59,30.9,31.27,30.813431417,488302.0,0.0,1.0
2020-12-30,31.06,31.61,31.06,31.26,30.8035774255,364387.0,0.0,1.0
2020-12-29,31.47,31.47,30.6,30.83,30.379855791,372338.0,0.0,1.0
2020-12-28,31.29,31.7,30.89,31.41,30.9513872979,417381.0,0.0,1.0
2020-12-24,31.51,31.51,30.87,31.1,30.6459135615,132810.0,0.0,1.0
2020-12-23,30.9,31.5,30.9,31.46,31.0006572554,495614.0,0.0,1.0
2020-12-22,30.6,31.13,30.44,30.57,30.123652012,663529.0,0.0,1.0
2020-12-21,30.15,30.64,29.73,30.59,30.143359995,531444.0,0.0,1.0
2020-12-18,30.94,31.08,29.79,30.02,29.5816824796,1562607.0,0.0,1.0
2020-12-17,31.15,31.15,30.52,30.86,30.4094177655,612738.0,0.0,1.0
2020-12-16,30.99,31.31,30.71,31.23,30.774015451,545068.0,0.0,1.0
2020-12-15,30.88,30.98,30.28,30.93,30.478395706,615535.0,0.0,1.0
2020-12-14,31.41,31.46,30.34,30.55,30.103944029,492036.0,0.0,1.0
2020-12-11,30.9,31.66,30.9,31.01,30.557227638,436922.0,0.0,1.0
2020-12-10,31.08,31.46,30.84,31.45,30.9908032639,588117.0,0.0,1.0
2020-12-09,30.97,31.53,30.8,31.05,30.596643604,684863.0,0.0,1.0
2020-12-08,29.78,30.77,29.64,30.73,30.281315876,706966.0,0.0,1.0
2020-12-07,30.3,30.32,29.83,30.25,29.8083242841,667300.0,0.0,1.0
2020-12-04,29.62,30.47,29.425,30.44,29.9955501226,723530.0,0.0,1.0
2020-12-03,29.14,29.41,28.73,29.2,28.7736551767,420683.0,0.0,1.0
2020-12-02,28.23,29.13,28.09,29.03,28.6061373212,405860.0,0.0,1.0
2020-12-01,28.69,29.055,28.17,28.37,27.9557738823,701067.0,0.0,1.0
2020-11-30,28.93,29.0,27.74,27.96,27.5517602308,784946.0,0.0,1.0
2020-11-27,29.57,29.57,28.85,28.93,28.5075974062,462561.0,0.0,1.0
2020-11-25,29.43,29.85,29.02,29.63,29.1973768111,1010672.0,0.0,1.0
2020-11-24,28.66,29.82,28.26,29.52,29.0889829047,897222.0,0.0,1.0
2020-11-23,28.14,28.64,27.89,28.19,27.7784020353,701366.0,0.0,1.0
2020-11-20,27.94,27.99,27.33,27.79,27.3842423754,792469.0,0.0,1.0
2020-11-19,27.73,28.07,27.42,28.04,27.6305921628,420517.0,0.0,1.0
2020-11-18,28.8,29.11,27.91,27.95,27.5419062393,541453.0,0.0,1.0
2020-11-17,28.26,28.66,28.1467,28.57,28.1528537123,689940.0,0.0,1.0
2020-11-16,29.39,29.88,28.74,29.06,28.6356992957,929293.0,0.0,1.0
2020-11-13,28.12,28.7,28.05,28.52,28.1035837548,779725.0,0.0,1.0
2020-11-12,27.66,28.15,27.37,27.73,27.3251184264,1215960.0,0.0,1.0
2020-11-11,28.09,28.53,27.75,28.33,27.9163579163,1134734.0,0.0,1.0
2020-11-10,28.08,28.95,28.05,28.33,27.9163579163,1393148.0,0.0,1.0
2020-11-09,26.38,28.445,26.105,27.64,27.2364325029,2101080.0,0.0,1.0
2020-11-06,25.26,25.49,24.07,24.11,23.7579735038,711455.0,0.0,1.0
2020-11-05,24.24,25.4,24.24,25.09,24.7236646707,783559.0,0.0,1.0
2020-11-04,24.81,25.33,24.025,24.07,23.7185575378,1089560.0,0.0,1.0
2020-11-03,25.99,26.35,25.69,25.83,25.4528600416,992916.0,0.0,1.0
2020-11-02,25.23,25.7,24.62,25.49,25.1178243306,868729.0,0.0,1.0
2020-10-30,23.98,24.8,23.92,24.78,24.4181909342,4505731.0,0.0,1.0
2020-10-29,24.04,24.16,23.31,24.06,23.7087035463,1246097.0,0.0,1.0
2020-10-28,23.38,24.495,23.25,24.22,23.8663674103,1256934.0,0.0,1.0
