date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,0.85,0.85,0.8,0.84,0.84,76285.0,0.0,1.0
2021-04-15,0.84,0.895,0.84,0.895,0.895,6734.0,0.0,1.0
2021-04-14,0.8101,0.9699,0.8101,0.89,0.89,23546.0,0.0,1.0
2021-04-13,0.9295,0.97,0.85,0.97,0.97,26384.0,0.0,1.0
2021-04-12,0.9006,0.9395,0.85,0.93,0.93,25925.0,0.0,1.0
2021-04-09,0.98,0.98,0.9299,0.98,0.98,42323.0,0.0,1.0
2021-04-08,0.93,0.98,0.915,0.98,0.98,71704.0,0.0,1.0
2021-04-07,0.8409,0.97,0.8409,0.9305,0.9305,15046.0,0.0,1.0
2021-04-06,0.875001,0.9795,0.820201,0.895,0.895,81074.0,0.0,1.0
2021-04-05,0.88,0.91999,0.8,0.9,0.9,36608.0,0.0,1.0
2021-04-01,0.9,0.94,0.85,0.94,0.94,9477.0,0.0,1.0
2021-03-31,0.855,0.955,0.855,0.932812,0.932812,44683.0,0.0,1.0
2021-03-30,0.88,0.92,0.84,0.92,0.92,66774.0,0.0,1.0
2021-03-29,0.938899,0.938899,0.83,0.91,0.91,14252.0,0.0,1.0
2021-03-26,0.878,0.94,0.87,0.93,0.93,8982.0,0.0,1.0
2021-03-25,0.86,0.9341,0.86,0.9341,0.9341,19631.0,0.0,1.0
2021-03-24,1.03,1.06,0.77,0.88,0.88,116007.0,0.0,1.0
2021-03-23,1.185,1.19,1.02,1.02,1.02,19655.0,0.0,1.0
2021-03-22,1.1,1.31,1.07,1.1898,1.1898,75898.0,0.0,1.0
2021-03-19,1.01,1.18,1.01,1.0697,1.0697,85138.0,0.0,1.0
2021-03-18,1.283,1.283,1.05,1.06,1.06,28657.0,0.0,1.0
2021-03-17,1.01,1.07,1.0,1.07,1.07,10256.0,0.0,1.0
2021-03-16,1.34,1.34,0.971,1.0331,1.0331,114731.0,0.0,1.0
2021-03-15,1.35,1.38,1.0499,1.09,1.09,127817.0,0.0,1.0
2021-03-12,1.265,1.44,1.265,1.35,1.35,53091.0,0.0,1.0
2021-03-11,1.26,1.3,1.15,1.15,1.15,32448.0,0.0,1.0
2021-03-10,1.1601,1.23,1.11,1.21,1.21,25398.0,0.0,1.0
2021-03-09,1.4501,1.75,1.13,1.16,1.16,74882.0,0.0,1.0
2021-03-08,1.14,1.44,1.14,1.2,1.2,80347.0,0.0,1.0
2021-03-05,1.0,1.13,0.97,1.0,1.0,92437.0,0.0,1.0
2021-03-04,1.62,1.65,0.821,1.1,1.1,99800.0,0.0,1.0
2021-03-03,1.4501,1.78,1.4501,1.6999,1.6999,31942.0,0.0,1.0
2021-03-02,2.2,2.2,1.59,1.59,1.59,31376.0,0.0,1.0
2021-03-01,2.2,2.25,1.88,2.0,2.0,33549.0,0.0,1.0
