date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,4.14,4.4,4.04,4.2,4.2,74832.0,0.0,1.0
2021-04-15,4.26,4.35,3.8809,4.03,4.03,127573.0,0.0,1.0
2021-04-14,4.08,4.15,3.91,4.0,4.0,25486.0,0.0,1.0
2021-04-13,4.24,4.5,4.1,4.11,4.11,28806.0,0.0,1.0
2021-04-12,4.23,4.63,4.2201,4.46,4.46,71967.0,0.0,1.0
2021-04-09,4.18,4.55,4.18,4.31,4.31,80791.0,0.0,1.0
2021-04-08,4.1668,4.3,4.1457,4.17,4.17,4106.0,0.0,1.0
2021-04-07,4.3,4.38,4.1198,4.16,4.16,26550.0,0.0,1.0
2021-04-06,4.34,4.4499,4.2001,4.29,4.29,56953.0,0.0,1.0
2021-04-05,4.12,4.23,4.0801,4.18,4.18,23536.0,0.0,1.0
2021-04-01,3.9,4.1,3.8863,4.05,4.05,14386.0,0.0,1.0
2021-03-31,4.0349,4.0589,3.8,3.95,3.95,90089.0,0.0,1.0
2021-03-30,4.19,4.19,3.9073,4.09,4.09,34525.0,0.0,1.0
2021-03-29,4.19,4.4,4.19,4.21,4.21,17937.0,0.0,1.0
2021-03-26,4.37,4.39,4.1312,4.15,4.15,24880.0,0.0,1.0
2021-03-25,4.2546,4.27,4.04,4.2,4.2,30555.0,0.0,1.0
2021-03-24,4.44,4.48,4.26,4.27,4.27,12736.0,0.0,1.0
2021-03-23,4.54,4.54,4.36,4.44,4.44,16539.0,0.0,1.0
2021-03-22,4.5,4.5,4.31,4.3939,4.3939,13409.0,0.0,1.0
2021-03-19,4.57,4.63,4.41,4.53,4.53,31786.0,0.0,1.0
2021-03-18,4.56,4.68,4.5001,4.61,4.61,16823.0,0.0,1.0
2021-03-17,4.6,4.8,4.5192,4.68,4.68,39312.0,0.0,1.0
2021-03-16,4.63,4.7865,4.52,4.66,4.66,21073.0,0.0,1.0
2021-03-15,4.48,4.6,4.4464,4.59,4.59,26519.0,0.0,1.0
2021-03-12,4.44,4.59,4.3636,4.52,4.52,22189.0,0.0,1.0
2021-03-11,4.46,4.63,4.3601,4.55,4.55,54608.0,0.0,1.0
2021-03-10,4.3,4.49,4.22,4.4,4.4,73555.0,0.0,1.0
2021-03-09,4.38,4.59,4.07,4.17,4.17,111847.0,0.0,1.0
2021-03-08,3.89,5.52,3.88,4.35,4.35,213431.0,0.0,1.0
2021-03-05,3.79,3.89,3.61,3.83,3.83,71183.0,0.0,1.0
2021-03-04,4.15,4.23,3.7,3.74,3.74,115812.0,0.0,1.0
2021-03-03,4.36,4.5239,3.94,4.13,4.13,116810.0,0.0,1.0
2021-03-02,4.56,4.5874,4.31,4.32,4.32,84365.0,0.0,1.0
2021-03-01,4.3,4.63,4.3,4.59,4.59,98381.0,0.0,1.0
2021-02-26,4.47,4.48,4.25,4.36,4.36,91955.0,0.0,1.0
2021-02-25,4.78,4.9161,4.4,4.41,4.41,141229.0,0.0,1.0
2021-02-24,4.78,4.9499,4.74,4.77,4.77,37749.0,0.0,1.0
2021-02-23,4.5,5.0,4.31,4.72,4.72,350785.0,0.0,1.0
2021-02-22,5.25,5.25,4.96,4.97,4.97,109733.0,0.0,1.0
2021-02-19,5.32,5.65,5.1129,5.27,5.27,305245.0,0.0,1.0
2021-02-18,5.19,5.52,4.925,5.27,5.27,425029.0,0.0,1.0
2021-02-17,4.72,5.24,4.5311,5.01,5.01,336413.0,0.0,1.0
2021-02-16,5.13,5.1507,4.82,4.96,4.96,216699.0,0.0,1.0
2021-02-12,5.45,5.46,5.0,5.12,5.12,211411.0,0.0,1.0
2021-02-11,5.92,6.13,5.16,5.38,5.38,323265.0,0.0,1.0
2021-02-10,6.16,6.71,5.6,6.02,6.02,1233015.0,0.0,1.0
2021-02-09,8.1,8.42,7.56,8.2,8.2,190750.0,0.0,1.0
2021-02-08,7.0,8.8,6.5101,8.12,8.12,607472.0,0.0,1.0
2021-02-05,7.72,7.72,6.75,7.4,7.4,406758.0,0.0,1.0
2021-02-04,6.0,7.9,5.95,7.84,7.84,714227.0,0.0,1.0
2021-02-03,5.7,6.17,5.4511,5.78,5.78,186792.0,0.0,1.0
2021-02-02,5.62,5.86,5.4,5.64,5.64,115653.0,0.0,1.0
2021-02-01,5.53,5.7789,5.4,5.55,5.55,116131.0,0.0,1.0
2021-01-29,5.47,6.4399,5.09,5.56,5.56,828664.0,0.0,1.0
2021-01-28,5.2242,5.64,4.716,5.505,5.505,585408.0,0.0,1.0
2021-01-27,4.25,4.93,4.05,4.93,4.93,207226.0,0.0,1.0
2021-01-26,4.18,4.51,4.0,4.25,4.25,65117.0,0.0,1.0
2021-01-25,4.07,4.16,3.9101,4.1,4.1,43712.0,0.0,1.0
2021-01-22,4.12,4.198,3.9,4.04,4.04,55192.0,0.0,1.0
2021-01-21,4.18,4.52,4.04,4.06,4.06,69485.0,0.0,1.0
2021-01-20,4.11,4.2352,3.9,4.17,4.17,78424.0,0.0,1.0
2021-01-19,4.1,4.35,4.05,4.15,4.15,161244.0,0.0,1.0
2021-01-15,3.71,4.1999,3.71,3.99,3.99,160400.0,0.0,1.0
2021-01-14,3.76,3.8188,3.7,3.78,3.78,17270.0,0.0,1.0
2021-01-13,3.8,3.899,3.7,3.77,3.77,54274.0,0.0,1.0
2021-01-12,3.75,3.86,3.66,3.76,3.76,67707.0,0.0,1.0
2021-01-11,3.6,3.86,3.53,3.8,3.8,100647.0,0.0,1.0
2021-01-08,3.72,3.7201,3.59,3.64,3.64,20299.0,0.0,1.0
2021-01-07,3.5,3.81,3.5,3.72,3.72,49172.0,0.0,1.0
2021-01-06,3.66,3.77,3.61,3.61,3.61,47893.0,0.0,1.0
2021-01-05,3.59,3.71,3.59,3.69,3.69,17290.0,0.0,1.0
2021-01-04,3.63,3.71,3.6,3.62,3.62,7503.0,0.0,1.0
2020-12-31,3.56,3.71,3.5,3.56,3.56,29969.0,0.0,1.0
2020-12-30,3.6014,3.69,3.51,3.63,3.63,26176.0,0.0,1.0
