date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,19.77,19.77,18.18,18.22,18.22,318382.0,0.0,1.0
2021-04-15,19.96,20.9799,19.2,19.49,19.49,267116.0,0.0,1.0
2021-04-14,19.29,20.73,19.15,19.9,19.9,295128.0,0.0,1.0
2021-04-13,20.2,20.39,18.99,19.25,19.25,327212.0,0.0,1.0
2021-04-12,20.14,20.38,19.86,20.16,20.16,275549.0,0.0,1.0
2021-04-09,20.38,20.99,19.85,20.22,20.22,301918.0,0.0,1.0
2021-04-08,22.08,22.47,20.6501,20.76,20.76,288085.0,0.0,1.0
2021-04-07,21.53,22.13,21.1,21.85,21.85,257345.0,0.0,1.0
2021-04-06,22.25,22.395,21.01,21.52,21.52,325465.0,0.0,1.0
2021-04-05,21.28,22.36,21.035,22.24,22.24,279456.0,0.0,1.0
2021-04-01,19.81,21.2,19.81,20.93,20.93,366413.0,0.0,1.0
2021-03-31,18.6,20.0,17.72,19.75,19.75,685337.0,0.0,1.0
2021-03-30,19.0,19.89,17.88,18.66,18.66,1195045.0,0.0,1.0
2021-03-29,23.49,23.49,22.429,22.73,22.73,283500.0,0.0,1.0
2021-03-26,24.77,24.94,23.09,23.76,23.76,161048.0,0.0,1.0
2021-03-25,21.59,24.66,21.35,24.53,24.53,318210.0,0.0,1.0
2021-03-24,22.89,23.26,21.945,22.02,22.02,285667.0,0.0,1.0
2021-03-23,23.39,23.54,22.35,22.79,22.79,615599.0,0.0,1.0
2021-03-22,25.55,25.93,23.4,23.71,23.71,584069.0,0.0,1.0
2021-03-19,26.06,26.94,25.28,25.41,25.41,2829701.0,0.0,1.0
2021-03-18,27.01,27.445,25.3,25.71,25.71,613184.0,0.0,1.0
2021-03-17,26.65,28.3,26.095,27.25,27.25,584882.0,0.0,1.0
2021-03-16,26.95,27.81,25.78,26.72,26.72,355560.0,0.0,1.0
2021-03-15,26.28,28.0,26.24,27.07,27.07,342764.0,0.0,1.0
2021-03-12,25.44,26.42,24.93,26.38,26.38,174462.0,0.0,1.0
2021-03-11,23.66,25.9,23.34,25.74,25.74,322945.0,0.0,1.0
2021-03-10,24.87,25.1,23.16,23.44,23.44,326561.0,0.0,1.0
2021-03-09,25.01,25.24,24.54,24.77,24.77,381443.0,0.0,1.0
2021-03-08,24.07,25.405,23.9601,24.48,24.48,344699.0,0.0,1.0
2021-03-05,23.75,24.435,20.8,23.76,23.76,539858.0,0.0,1.0
2021-03-04,25.66,26.19,23.42,23.62,23.62,397755.0,0.0,1.0
2021-03-03,25.88,26.34,24.88,25.83,25.83,351794.0,0.0,1.0
2021-03-02,25.69,26.48,25.21,25.94,25.94,306604.0,0.0,1.0
2021-03-01,23.72,26.37,23.72,25.83,25.83,429298.0,0.0,1.0
2021-02-26,25.23,25.53,23.07,23.56,23.56,455961.0,0.0,1.0
