date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,24.4,24.4,23.75,23.75,23.75,5687.0,0.0,1.0
2021-04-15,24.01,24.45,23.94,23.94,23.94,9272.0,0.0,1.0
2021-04-14,23.69,24.22,23.69,23.75,23.75,10031.0,0.0,1.0
2021-04-13,24.245,24.245,23.15,23.27,23.27,6730.0,0.0,1.0
2021-04-12,24.2,24.2,23.35,23.35,23.35,10583.0,0.0,1.0
2021-04-09,23.99,23.99,23.06,23.3,23.3,5481.0,0.0,1.0
2021-04-08,23.45,23.52,22.96,23.28,23.28,9221.0,0.0,1.0
2021-04-07,23.84,23.84,22.1,23.0,23.0,16277.0,0.0,1.0
2021-04-06,25.02,25.3,23.03,23.7,23.7,14694.0,0.0,1.0
2021-04-05,24.17,24.97,23.97,24.42,24.42,7696.0,0.0,1.0
2021-04-01,23.48,24.48,23.48,23.76,23.76,5074.0,0.0,1.0
2021-03-31,24.765,24.84,23.63,23.64,23.64,13241.0,0.0,1.0
2021-03-30,24.3,24.78,24.14,24.22,24.22,5930.0,0.0,1.0
2021-03-29,24.07,24.52,24.06,24.2,24.2,5443.0,0.0,1.0
2021-03-26,24.76,24.76,24.34,24.35,24.35,3990.0,0.0,1.0
2021-03-25,24.05,24.83,24.05,24.43,24.43,6018.0,0.0,1.0
2021-03-24,24.73,24.74,24.05,24.05,24.05,7153.0,0.0,1.0
2021-03-23,24.55,24.63,24.06,24.06,24.06,4836.0,0.0,1.0
2021-03-22,24.99,24.99,24.24,24.52,24.52,9143.0,0.0,1.0
2021-03-19,25.3,25.454,24.35,24.99,24.99,39294.0,0.0,1.0
2021-03-18,24.74,26.25,24.74,25.43,25.43,9072.0,0.0,1.0
2021-03-17,25.86,26.01,25.85,25.87,25.87,3684.0,0.0,1.0
2021-03-16,27.18,27.18,26.06,26.48,26.48,4604.0,0.0,1.0
2021-03-15,28.38,28.38,26.98,27.55,27.55,6718.0,0.0,1.0
2021-03-12,28.91,29.0,28.12,28.44,28.44,6990.0,0.0,1.0
2021-03-11,28.85,29.69,27.945,29.05,29.05,33342.0,0.0,1.0
2021-03-10,28.9,29.6919,28.63,29.09,29.09,13200.0,0.0,1.0
2021-03-09,28.04,29.535,28.04,28.9,28.9,12414.0,0.0,1.0
2021-03-08,27.0,28.79,27.0,28.47,28.47,17202.0,0.0,1.0
2021-03-05,25.97,26.97,25.41,26.69,26.69,23659.0,0.0,1.0
2021-03-04,24.39,26.21,24.25,25.9,25.9,26533.0,0.0,1.0
2021-03-03,24.4,25.0,24.16,24.39,24.39,17721.0,0.0,1.0
2021-03-02,23.55,24.39,23.5352,23.93,23.93,10221.0,0.16,1.0
2021-03-01,24.04,24.1,23.5,23.97,23.8107970112,5172.0,0.0,1.0
2021-02-26,24.36,24.36,23.21,23.38,23.2247156496,8017.0,0.0,1.0
2021-02-25,24.86,24.86,24.07,24.31,24.1485388128,8176.0,0.0,1.0
2021-02-24,24.0,25.0,24.0,24.78,24.6154171856,11962.0,0.0,1.0
2021-02-23,24.02,24.69,23.6,24.24,24.079003736,10090.0,0.0,1.0
2021-02-22,23.14,24.29,23.12,23.22,23.0657783313,8989.0,0.0,1.0
2021-02-19,22.98,23.6973,22.98,23.18,23.0260440017,15363.0,0.0,1.0
2021-02-18,23.0,23.21,22.75,22.75,22.5988999585,39916.0,0.0,1.0
2021-02-17,23.01,23.53,23.0,23.3,23.1452469905,5887.0,0.0,1.0
2021-02-16,23.31,24.12,22.36,23.08,22.9267081777,54627.0,0.0,1.0
2021-02-12,22.52,23.33,22.5,23.33,23.1750477377,12779.0,0.0,1.0
2021-02-11,22.71,22.96,22.65,22.96,22.8075051889,14833.0,0.0,1.0
2021-02-10,22.76,23.1766,22.69,22.99,22.8373059361,32878.0,0.0,1.0
2021-02-09,22.627,22.86,22.627,22.74,22.5889663761,3352.0,0.0,1.0
2021-02-08,22.39,23.0,22.39,23.0,22.8472395185,12011.0,0.0,1.0
2021-02-05,21.55,22.28,21.55,22.28,22.1320215857,5307.0,0.0,1.0
2021-02-04,21.7287,22.02,21.41,21.65,21.5062058946,14285.0,0.0,1.0
2021-02-03,21.75,22.04,21.25,22.04,21.8936156081,10455.0,0.0,1.0
2021-02-02,20.84,21.47,20.5,21.47,21.3274014114,5874.0,0.0,1.0
2021-02-01,20.51,21.05,20.35,20.85,20.7115193026,7004.0,0.0,1.0
2021-01-29,20.37,20.48,20.02,20.1,19.9665006227,7178.0,0.0,1.0
2021-01-28,19.92,21.1099,19.92,20.57,20.4333789954,14139.0,0.0,1.0
2021-01-27,20.33,20.5,19.75,20.01,19.8770983811,14748.0,0.0,1.0
2021-01-26,21.45,21.45,20.4537,20.8,20.6618513906,21659.0,0.0,1.0
2021-01-25,22.02,22.11,21.28,21.51,21.367135741,15640.0,0.0,1.0
2021-01-22,21.51,22.56,21.51,22.38,22.2313574097,12018.0,0.0,1.0
2021-01-21,21.82,21.82,21.73,21.73,21.5856745538,2915.0,0.0,1.0
2021-01-20,22.88,23.17,22.51,23.17,23.0161104193,4356.0,0.0,1.0
