date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,18.42,18.5,18.16,18.2,18.2,31871.0,0.0,1.0
2021-04-15,18.36,18.4552,18.1,18.23,18.23,7952.0,0.0,1.0
2021-04-14,18.49,18.5,18.2,18.36,18.36,12165.0,0.0,1.0
2021-04-13,18.43,18.5,18.227,18.49,18.49,4309.0,0.0,1.0
2021-04-12,18.4,18.4647,18.1501,18.4647,18.4647,9438.0,0.0,1.0
2021-04-09,18.28,18.55,18.1,18.49,18.49,21545.0,0.0,1.0
2021-04-08,18.13,18.3,18.1,18.3,18.3,19564.0,0.0,1.0
2021-04-07,18.0,18.19,17.98,18.05,18.05,17886.0,0.0,1.0
2021-04-06,18.26,18.3,17.98,18.1,18.1,11401.0,0.0,1.0
2021-04-05,18.07,18.42,17.8,18.3,18.3,18608.0,0.0,1.0
2021-04-01,17.67,17.9994,17.67,17.86,17.86,25945.0,0.0,1.0
2021-03-31,17.71,17.98,17.65,17.72,17.72,20423.0,0.0,1.0
2021-03-30,17.4988,17.7,17.4319,17.54,17.54,16588.0,0.0,1.0
2021-03-29,17.6,17.6899,17.51,17.52,17.52,8200.0,0.0,1.0
2021-03-26,17.54,17.75,17.23,17.44,17.44,31971.0,0.0,1.0
2021-03-25,17.62,17.7,17.53,17.5828,17.5828,15672.0,0.0,1.0
2021-03-24,17.82,17.9119,17.613,17.82,17.82,10704.0,0.0,1.0
2021-03-23,17.37,18.16,17.37,17.99,17.99,21584.0,0.086,1.0
2021-03-22,17.33,17.59,17.25,17.4544,17.37135738,44237.0,0.0,1.0
2021-03-19,17.39,17.525,17.2501,17.335,17.2525254481,14987.0,0.0,1.0
2021-03-18,17.66,17.66,17.3922,17.43,17.3470734676,20597.0,0.0,1.0
2021-03-17,17.48,17.6,17.29,17.58,17.4963598141,29241.0,0.0,1.0
2021-03-16,17.65,17.72,17.47,17.52,17.4366452755,34761.0,0.0,1.0
2021-03-15,17.77,17.77,17.4778,17.6,17.5162646603,13187.0,0.0,1.0
2021-03-12,17.73,17.79,17.55,17.748,17.6635605222,8471.0,0.0,1.0
2021-03-11,17.73,17.73,17.5,17.59,17.5063122372,34907.0,0.0,1.0
2021-03-10,17.73,17.8304,17.5,17.5,17.4167404293,8290.0,0.0,1.0
2021-03-09,17.76,17.9,17.6,17.66,17.5759791989,17120.0,0.0,1.0
2021-03-08,17.68,17.86,17.4659,17.53,17.4465976986,19830.0,0.0,1.0
2021-03-05,17.71,17.71,17.245,17.49,17.4067880062,18048.0,0.0,1.0
2021-03-04,17.96,18.01,17.53,17.53,17.4465976986,52441.0,0.0,1.0
2021-03-03,18.06,18.1699,17.8,17.85,17.7650752379,17256.0,0.0,1.0
2021-03-02,18.02,18.2696,17.95,18.17,18.0835527772,36450.0,0.0,1.0
2021-03-01,17.65,17.9516,17.3272,17.92,17.8347421996,47081.0,0.0,1.0
2021-02-26,17.48,17.62,17.29,17.54,17.4565501217,24956.0,0.0,1.0
2021-02-25,17.67,17.67,16.82,17.23,17.1480250055,65406.0,0.0,1.0
2021-02-24,17.69,17.77,17.2515,17.615,17.531193295,38752.0,0.0,1.0
2021-02-23,17.92,17.9458,16.29,17.48,17.3968355831,140448.0,0.0,1.0
2021-02-22,18.63,18.75,17.9,18.0201,17.9343659549,47163.0,0.0,1.0
2021-02-19,18.67,18.8,18.61,18.655,18.5662452976,10340.0,0.0,1.0
2021-02-18,19.06,19.06,18.41,18.65,18.5612690861,27348.0,0.086,1.0
2021-02-17,19.05,19.063,18.85,19.04,18.8624339987,20171.0,0.0,1.0
2021-02-16,19.08,19.24,19.05,19.05,18.8723407392,43382.0,0.0,1.0
2021-02-12,19.53,19.73,19.28,19.31,19.1299159934,37753.0,0.0,1.0
2021-02-11,19.94,20.16,19.52,19.6118,19.4289014231,20395.0,0.0,1.0
2021-02-10,19.87,20.068,19.83,19.92,19.7342271667,23755.0,0.0,1.0
2021-02-09,19.81,20.2,19.69,20.07,19.8828282749,46737.0,0.0,1.0
2021-02-08,19.97,20.01,19.74,19.9703,19.7840580716,24863.0,0.0,1.0
2021-02-05,19.63,20.23,19.54,19.78,19.595532799,37345.0,0.0,1.0
2021-02-04,19.26,20.01,19.1501,19.67,19.486558653,73903.0,0.0,1.0
2021-02-03,19.29,19.39,19.15,19.15,18.9714081447,26853.0,0.0,1.0
2021-02-02,19.46,19.46,19.15,19.3,19.1200092528,14930.0,0.0,1.0
2021-02-01,19.09,19.39,19.08,19.2107,19.0315420598,27297.0,0.0,1.0
2021-01-29,19.44,19.5,19.0106,19.18,19.0011283663,25065.0,0.0,1.0
2021-01-28,19.15,19.35,19.0,19.17,18.9912216258,31986.0,0.0,1.0
2021-01-27,19.2,19.49,19.0001,19.05,18.8723407392,15716.0,0.0,1.0
2021-01-26,19.25,19.5,19.23,19.28,19.1001957718,14679.0,0.0,1.0
2021-01-25,19.35,19.5,19.21,19.33,19.1497294745,35969.0,0.0,1.0
2021-01-22,19.18,19.305,19.1298,19.24,19.0605688096,17572.0,0.0,1.0
2021-01-21,19.42,19.5,18.67,19.08,18.9020609608,23052.0,0.086,1.0
2021-01-20,19.42,19.67,19.0841,19.34,19.07366477,40404.0,0.0,1.0
2021-01-19,19.5,19.6,18.689,19.49,19.2215990883,25216.0,0.0,1.0
2021-01-15,18.9,19.0,18.49,18.89,18.6298618152,17984.0,0.0,1.0
