date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,43.3,44.8399,38.18,38.4,38.4,6955502.0,0.0,1.0
2021-04-15,37.81,44.25,36.86,42.58,42.58,10526794.0,0.0,1.0
2021-04-14,37.4,42.29,34.51,36.76,36.76,6603846.0,0.0,1.0
2021-04-13,30.67,39.88,30.56,38.11,38.11,8055544.0,0.0,1.0
2021-04-12,29.41,32.57,27.15,30.98,30.98,5887326.0,0.0,1.0
2021-04-09,25.5,26.88,24.4533,25.84,25.84,1388601.0,0.0,1.0
2021-04-08,26.5,27.37,25.31,25.5,25.5,786635.0,0.0,1.0
2021-04-07,29.33,29.3999,24.25,26.34,26.34,2214885.0,0.0,1.0
2021-04-06,28.99,33.49,26.05,29.7,29.7,7510651.0,0.0,1.0
2021-04-05,24.99,27.94,23.55,27.93,27.93,2193677.0,0.0,1.0
2021-04-01,19.27,25.73,19.18,23.38,23.38,3862527.0,0.0,1.0
2021-03-31,17.99,19.75,17.7,19.59,19.59,816012.0,0.0,1.0
2021-03-30,16.1,17.55,15.7,17.4,17.4,635227.0,0.0,1.0
2021-03-29,17.56,17.85,15.9,16.21,16.21,828634.0,0.0,1.0
2021-03-26,17.16,18.45,17.16,17.91,17.91,558932.0,0.0,1.0
2021-03-25,17.85,18.3762,16.4,17.18,17.18,974337.0,0.0,1.0
2021-03-24,21.02,21.38,17.66,18.63,18.63,3277364.0,0.0,1.0
2021-03-23,18.0,19.51,17.7001,18.3,18.3,1471275.0,0.0,1.0
2021-03-22,18.75,19.18,16.8001,17.34,17.34,554674.0,0.0,1.0
2021-03-19,17.25,19.44,16.56,18.3,18.3,1583615.0,0.0,1.0
2021-03-18,17.25,17.49,16.49,17.05,17.05,499250.0,0.0,1.0
2021-03-17,15.77,18.0,15.21,17.59,17.59,1028475.0,0.0,1.0
2021-03-16,14.08,15.87,13.7,15.76,15.76,765064.0,0.0,1.0
2021-03-15,13.25,14.5,13.1,14.24,14.24,247833.0,0.0,1.0
2021-03-12,12.86,13.25,12.5,13.25,13.25,114370.0,0.0,1.0
2021-03-11,12.5,13.14,12.32,12.95,12.95,192422.0,0.0,1.0
2021-03-10,12.49,12.6,12.06,12.54,12.54,132165.0,0.0,1.0
2021-03-09,12.08,12.83,12.0,12.23,12.23,135961.0,0.0,1.0
2021-03-08,12.32,12.46,11.8,12.1,12.1,208314.0,0.0,1.0
2021-03-05,11.63,12.457,11.02,12.36,12.36,325524.0,0.0,1.0
2021-03-04,12.65,12.8099,11.25,11.62,11.62,724702.0,0.0,1.0
2021-03-03,13.35,13.4999,12.71,12.82,12.82,237051.0,0.0,1.0
2021-03-02,13.4,13.5668,13.1801,13.35,13.35,83619.0,0.0,1.0
2021-03-01,13.42,13.74,12.91,13.36,13.36,205421.0,0.0,1.0
2021-02-26,13.2,13.42,12.5,13.18,13.18,544826.0,0.0,1.0
2021-02-25,13.92,13.99,13.04,13.39,13.39,324443.0,0.0,1.0
2021-02-24,13.53,14.1,13.15,14.1,14.1,437434.0,0.0,1.0
2021-02-23,13.4,13.6,12.3,13.37,13.37,1055991.0,0.0,1.0
2021-02-22,14.33,14.75,13.7,13.99,13.99,466430.0,0.0,1.0
2021-02-19,14.66,15.3,14.25,14.32,14.32,342471.0,0.0,1.0
2021-02-18,14.9,16.5,14.435,14.5,14.5,956588.0,0.0,1.0
2021-02-17,14.34,15.74,14.34,15.19,15.19,1220292.0,0.0,1.0
2021-02-16,13.0,16.58,12.5,13.65,13.65,2500032.0,0.0,1.0
2021-02-12,13.1,13.2972,11.8,12.32,12.32,604745.0,0.0,1.0
2021-02-11,14.54,14.94,12.8,12.98,12.98,1144228.0,0.0,1.0
2021-02-10,13.31,14.0,12.54,13.34,13.34,711760.0,0.0,1.0
2021-02-09,13.81,13.85,13.19,13.45,13.45,635777.0,0.0,1.0
2021-02-08,13.53,14.15,13.3467,13.92,13.92,804078.0,0.0,1.0
2021-02-05,12.55,12.7856,12.36,12.65,12.65,315161.0,0.0,1.0
2021-02-04,12.56,12.8,12.1318,12.45,12.45,354688.0,0.0,1.0
2021-02-03,12.73,12.8,12.37,12.63,12.63,122044.0,0.0,1.0
2021-02-02,12.45,12.83,12.2,12.83,12.83,242506.0,0.0,1.0
2021-02-01,12.8,12.89,12.18,12.37,12.37,837460.0,0.0,1.0
2021-01-29,12.11,12.5975,11.61,12.12,12.12,280257.0,0.0,1.0
2021-01-28,12.62,12.95,12.0001,12.6,12.6,309762.0,0.0,1.0
2021-01-27,12.53,13.55,12.14,12.85,12.85,456166.0,0.0,1.0
2021-01-26,11.85,13.24,11.85,13.08,13.08,823580.0,0.0,1.0
2021-01-25,11.41,11.9,11.4,11.9,11.9,441831.0,0.0,1.0
2021-01-22,11.42,11.58,11.11,11.5,11.5,246402.0,0.0,1.0
2021-01-21,11.44,11.52,11.2158,11.46,11.46,227697.0,0.0,1.0
2021-01-20,11.36,11.549,11.26,11.43,11.43,195039.0,0.0,1.0
2021-01-19,11.6,11.9,11.3,11.55,11.55,299737.0,0.0,1.0
2021-01-15,11.55,11.59,11.18,11.5,11.5,285480.0,0.0,1.0
2021-01-14,11.73,11.89,11.45,11.52,11.52,344920.0,0.0,1.0
2021-01-13,11.35,12.0,11.21,11.74,11.74,506841.0,0.0,1.0
2021-01-12,11.16,11.26,10.95,11.21,11.21,207103.0,0.0,1.0
2021-01-11,11.13,11.15,10.91,11.0,11.0,389181.0,0.0,1.0
2021-01-08,11.05,11.32,10.82,11.0,11.0,503479.0,0.0,1.0
2021-01-07,10.69,12.67,10.6,11.23,11.23,2014908.0,0.0,1.0
2021-01-06,10.74,10.75,10.51,10.6,10.6,382008.0,0.0,1.0
2021-01-05,11.5,11.6,10.6,10.74,10.74,804173.0,0.0,1.0
2021-01-04,10.64,11.5,10.4435,11.27,11.27,1108409.0,0.0,1.0
2020-12-31,10.69,10.69,10.5,10.51,10.51,230146.0,0.0,1.0
2020-12-30,10.6,10.7343,10.58,10.68,10.68,184740.0,0.0,1.0
2020-12-29,10.73,10.73,10.33,10.57,10.57,169291.0,0.0,1.0
2020-12-28,10.76,10.8,10.54,10.55,10.55,427816.0,0.0,1.0
2020-12-24,10.74,10.9433,10.58,10.65,10.65,244509.0,0.0,1.0
2020-12-23,10.59,10.65,10.47,10.57,10.57,200905.0,0.0,1.0
2020-12-22,10.64,10.9,10.43,10.45,10.45,225857.0,0.0,1.0
2020-12-21,10.31,10.65,10.307,10.53,10.53,176817.0,0.0,1.0
2020-12-18,10.36,10.4,10.3,10.33,10.33,115466.0,0.0,1.0
2020-12-17,10.35,10.388,10.26,10.35,10.35,109646.0,0.0,1.0
2020-12-16,10.35,10.48,10.3,10.38,10.38,234041.0,0.0,1.0
2020-12-15,10.57,10.59,10.33,10.38,10.38,187997.0,0.0,1.0
2020-12-14,10.75,10.75,10.31,10.45,10.45,261334.0,0.0,1.0
2020-12-11,10.9,10.95,10.47,10.69,10.69,457192.0,0.0,1.0
