date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,6.54,6.62,6.5,6.58,6.58,300602.0,0.0,1.0
2021-04-15,6.33,6.58,6.33,6.52,6.52,437312.0,0.0,1.0
2021-04-14,6.41,6.42,6.3,6.32,6.32,683012.0,0.0,1.0
2021-04-13,6.18,6.48,6.17,6.43,6.43,1034343.0,0.0,1.0
2021-04-12,6.09,6.13,6.08,6.1,6.1,276586.0,0.0,1.0
2021-04-09,6.1,6.16,6.07,6.11,6.11,362494.0,0.0,1.0
2021-04-08,6.0,6.1,5.9799,6.1,6.1,330503.0,0.0,1.0
2021-04-07,5.93,6.02,5.9035,6.01,6.01,238593.0,0.0,1.0
2021-04-06,5.87,5.96,5.87,5.93,5.93,168235.0,0.0,1.0
2021-04-05,5.82,5.8999,5.74,5.86,5.86,274919.0,0.0,1.0
2021-04-01,5.7,5.82,5.66,5.74,5.74,373140.0,0.0,1.0
2021-03-31,5.58,5.73,5.55,5.65,5.65,407774.0,0.0,1.0
2021-03-30,5.47,5.675,5.47,5.6,5.6,722938.0,0.0,1.0
2021-03-29,5.54,5.54,5.39,5.43,5.43,736277.0,0.0,1.0
2021-03-26,5.63,5.7,5.52,5.54,5.54,472275.0,0.0,1.0
2021-03-25,5.66,5.66,5.49,5.61,5.61,486400.0,0.0,1.0
2021-03-24,5.7,5.86,5.63,5.67,5.67,299143.0,0.0,1.0
2021-03-23,5.77,5.77,5.68,5.69,5.69,328425.0,0.0,1.0
2021-03-22,5.72,5.825,5.65,5.8,5.8,316966.0,0.0,1.0
2021-03-19,5.73,5.7899,5.62,5.71,5.71,513940.0,0.0,1.0
2021-03-18,5.89,5.92,5.72,5.73,5.73,300719.0,0.0,1.0
2021-03-17,5.96,6.05,5.8,5.89,5.89,606382.0,0.12,1.0
2021-03-16,6.21,6.218,6.0019,6.12,5.99780366057,483720.0,0.0,1.0
2021-03-15,6.04,6.21,5.971,6.21,6.08600665557,573646.0,0.0,1.0
2021-03-12,5.88,6.1,5.88,6.0,5.88019966722,527682.0,0.0,1.0
2021-03-11,5.83,5.905,5.78,5.87,5.7527953411,221327.0,0.0,1.0
2021-03-10,5.77,5.855,5.75,5.83,5.71359400998,208125.0,0.0,1.0
2021-03-09,5.8,5.85,5.705,5.73,5.6155906822,308948.0,0.0,1.0
2021-03-08,5.77,5.8,5.679,5.78,5.66459234609,310964.0,0.0,1.0
2021-03-05,5.75,5.77,5.55,5.77,5.65479201331,465069.0,0.0,1.0
2021-03-04,5.86,5.9,5.6,5.73,5.6155906822,388110.0,0.0,1.0
2021-03-03,5.75,5.87,5.75,5.82,5.7037936772,303156.0,0.0,1.0
2021-03-02,5.66,5.75,5.605,5.71,5.59599001664,473813.0,0.0,1.0
2021-03-01,5.82,5.88,5.58,5.62,5.50778702163,842680.0,0.0,1.0
2021-02-26,5.62,5.73,5.5,5.64,5.52738768719,745026.0,0.0,1.0
2021-02-25,5.8,5.82,5.515,5.55,5.43918469218,549287.0,0.0,1.0
2021-02-24,5.77,5.87,5.75,5.77,5.65479201331,271511.0,0.0,1.0
2021-02-23,5.7,5.73,5.585,5.72,5.60579034942,412639.0,0.0,1.0
2021-02-22,5.64,5.79,5.62,5.72,5.60579034942,445376.0,0.0,1.0
2021-02-19,5.64,5.71,5.58,5.69,5.57638935108,249864.0,0.0,1.0
2021-02-18,5.45,5.63,5.45,5.61,5.49798668885,403598.0,0.0,1.0
2021-02-17,5.52,5.63,5.51,5.52,5.40978369384,339359.0,0.0,1.0
2021-02-16,5.55,5.82,5.49,5.53,5.41958402662,771685.0,0.0,1.0
2021-02-12,5.58,5.599,5.43,5.55,5.43918469218,590223.0,0.0,1.0
2021-02-11,5.75,5.75,5.545,5.56,5.44898502496,944038.0,0.0,1.0
2021-02-10,5.78,5.99,5.6,5.68,5.5665890183,963284.0,0.0,1.0
2021-02-09,5.61,5.66,5.51,5.59,5.47838602329,489662.0,0.0,1.0
2021-02-08,5.75,5.77,5.66,5.66,5.54698835275,461007.0,0.0,1.0
2021-02-05,5.63,5.8,5.595,5.7,5.58618968386,675376.0,0.0,1.0
2021-02-04,5.47,5.66,5.47,5.62,5.50778702163,421406.0,0.0,1.0
2021-02-03,5.55,5.6,5.35,5.45,5.34118136439,410201.0,0.0,1.0
2021-02-02,5.29,5.57,5.29,5.55,5.43918469218,821851.0,0.0,1.0
2021-02-01,5.22,5.27,5.1501,5.25,5.14517470882,707663.0,0.0,1.0
2021-01-29,5.28,5.32,5.1,5.2,5.09617304493,837608.0,0.0,1.0
2021-01-28,5.33,5.34,5.23,5.29,5.18437603993,490277.0,0.0,1.0
2021-01-27,5.27,5.43,5.27,5.33,5.22357737105,668302.0,0.0,1.0
2021-01-26,5.27,5.36,5.25,5.34,5.23337770383,939606.0,0.0,1.0
2021-01-25,5.18,5.27,5.13,5.25,5.14517470882,719478.0,0.0,1.0
2021-01-22,5.19,5.2,5.09,5.16,5.05697171381,437302.0,0.0,1.0
2021-01-21,5.1,5.23,5.06,5.21,5.1059733777,493493.0,0.0,1.0
2021-01-20,5.09,5.13,5.03,5.06,4.95896838602,502207.0,0.0,1.0
2021-01-19,5.15,5.17,5.04,5.08,4.97856905158,572748.0,0.0,1.0
2021-01-15,5.12,5.13,5.03,5.12,5.0177703827,1036949.0,0.0,1.0
2021-01-14,5.0,5.1499,4.95,5.11,5.00797004992,576363.0,0.0,1.0
2021-01-13,4.75,5.0,4.75,5.0,4.90016638935,896963.0,0.0,1.0
2021-01-12,4.71,4.755,4.662,4.75,4.65515806988,218277.0,0.0,1.0
2021-01-11,4.75,4.85,4.675,4.7,4.60615640599,570136.0,0.0,1.0
2021-01-08,4.78,4.81,4.65,4.8,4.70415973378,401351.0,0.0,1.0
2021-01-07,4.6,4.8,4.59,4.77,4.67475873544,723598.0,0.0,1.0
2021-01-06,4.56,4.68,4.54,4.56,4.46895174709,824454.0,0.0,1.0
2021-01-05,4.45,4.58,4.41,4.56,4.46895174709,756197.0,0.0,1.0
2021-01-04,4.64,4.69,4.36,4.49,4.40034941764,1973948.0,0.0,1.0
2020-12-31,4.56,4.61,4.53,4.61,4.51795341098,290912.0,0.0,1.0
2020-12-30,4.56,4.6,4.56,4.58,4.48855241265,363090.0,0.0,1.0
2020-12-29,4.53,4.605,4.51,4.57,4.47875207987,667990.0,0.0,1.0
2020-12-28,4.53,4.57,4.5,4.53,4.43955074875,414697.0,0.0,1.0
2020-12-24,4.52,4.565,4.509,4.52,4.42975041597,193904.0,0.0,1.0
2020-12-23,4.52,4.597,4.5,4.51,4.41995008319,277492.0,0.0,1.0
2020-12-22,4.52,4.5799,4.47,4.47,4.38074875208,473738.0,0.0,1.0
2020-12-21,4.59,4.59,4.45,4.45,4.36114808652,622091.0,0.0,1.0
2020-12-18,4.5,4.65,4.41,4.6,4.5081530782,3159574.0,0.0,1.0
