date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,82.96,83.09,81.97,82.71,82.71,323267.0,0.0,1.0
2021-04-15,82.15,83.0,81.27,82.55,82.55,165081.0,0.0,1.0
2021-04-14,80.39,82.21,80.35,80.87,80.87,204339.0,0.0,1.0
2021-04-13,81.57,82.0,79.7,80.87,80.87,235504.0,0.0,1.0
2021-04-12,80.31,81.32,79.56,80.81,80.81,204364.0,0.0,1.0
2021-04-09,80.92,81.51,79.67,81.06,81.06,303903.0,0.0,1.0
2021-04-08,82.51,83.11,81.03,81.72,81.72,323393.0,0.0,1.0
2021-04-07,84.56,84.94,81.05,81.36,81.36,388458.0,0.0,1.0
2021-04-06,84.45,85.5,83.2,84.34,84.34,235222.0,0.0,1.0
2021-04-05,86.68,86.68,83.74,84.8,84.8,366252.0,0.0,1.0
2021-04-01,82.93,85.52,82.54,85.4,85.4,237182.0,0.0,1.0
2021-03-31,80.29,82.25,79.41,81.48,81.48,324445.0,0.0,1.0
2021-03-30,78.68,79.64,77.26,79.13,79.13,205564.0,0.0,1.0
2021-03-29,82.29,83.18,78.83,79.17,79.17,248986.0,0.0,1.0
2021-03-26,78.85,83.18,78.57,83.12,83.12,303982.0,0.0,1.0
2021-03-25,77.86,79.57,75.8,78.73,78.73,285940.0,0.0,1.0
2021-03-24,81.39,82.67,78.76,78.85,78.85,500531.0,0.0,1.0
2021-03-23,82.4,82.48,79.44,79.99,79.99,340471.0,0.0,1.0
2021-03-22,83.86,84.13,81.44,82.73,82.73,236667.0,0.0,1.0
2021-03-19,80.05,82.6,79.5,82.31,82.31,1005577.0,0.0,1.0
2021-03-18,83.38,83.699,80.03,80.3,80.3,287734.0,0.0,1.0
2021-03-17,82.88,85.0,81.37,84.72,84.72,260819.0,0.0,1.0
2021-03-16,84.43,85.0,83.08,83.52,83.52,338513.0,0.0,1.0
2021-03-15,82.33,83.34,81.37,83.31,83.31,273116.0,0.0,1.0
2021-03-12,82.69,83.5,81.22,82.53,82.53,489686.0,0.0,1.0
2021-03-11,83.59,84.53,83.02,84.34,84.34,327712.0,0.0,1.0
2021-03-10,83.19,83.71,80.59,80.82,80.82,387161.0,0.0,1.0
2021-03-09,80.32,82.91,80.0,81.7,81.7,522204.0,0.0,1.0
2021-03-08,82.55,82.89,77.41,77.82,77.82,405203.0,0.0,1.0
2021-03-05,85.25,85.45,80.44,83.12,83.12,848484.0,0.0,1.0
2021-03-04,86.53,87.29,81.8,82.95,82.95,442875.0,0.0,1.0
2021-03-03,88.48,88.48,85.91,86.62,86.62,329867.0,0.0,1.0
2021-03-02,91.53,91.53,87.3,87.35,87.35,470728.0,0.0,1.0
2021-03-01,90.35,91.37,88.67,91.35,91.35,334959.0,0.0,1.0
2021-02-26,85.48,89.36,84.54,88.37,88.37,382538.0,0.0,1.0
2021-02-25,91.84,92.38,85.255,85.43,85.43,386672.0,0.13,1.0
2021-02-24,90.98,94.0,89.75,92.79,92.6490147265,478628.0,0.0,1.0
2021-02-23,91.46,92.48,88.44,91.76,91.6205797101,558042.0,0.0,1.0
2021-02-22,93.58,95.34,91.71,92.76,92.6190603086,386010.0,0.0,1.0
2021-02-19,92.55,95.96,92.55,95.19,95.0453681627,566240.0,0.0,1.0
2021-02-18,91.72,91.98,89.05,91.39,91.2511418887,341182.0,0.0,1.0
2021-02-17,89.63,92.805,88.56,92.45,92.309531323,406494.0,0.0,1.0
2021-02-16,92.94,94.385,91.02,91.24,91.101369799,432736.0,0.0,1.0
2021-02-12,92.1,93.655,91.51,92.55,92.4093793829,293947.0,0.0,1.0
2021-02-11,89.81,92.68,89.33,92.1,91.9600631136,502799.0,0.0,1.0
2021-02-10,90.64,90.998,88.13,88.68,88.545259467,284685.0,0.0,1.0
2021-02-09,87.16,89.64,86.615,89.4,89.2641654979,387920.0,0.0,1.0
2021-02-08,83.74,87.73,83.74,87.57,87.4369460028,374314.0,0.0,1.0
2021-02-05,87.72,88.0,82.89,86.19,86.059042777,420400.0,0.0,1.0
2021-02-04,82.17,86.35,82.01,86.34,86.2088148668,543328.0,0.0,1.0
2021-02-03,86.23,88.94,80.2712,82.81,82.6841783544,1024969.0,0.0,1.0
2021-02-02,86.6,89.44,84.6954,88.9,88.7649251987,933337.0,0.0,1.0
2021-02-01,82.55,85.01,81.31,84.57,84.4415042076,449030.0,0.0,1.0
2021-01-29,84.15,85.73,80.51,80.55,80.427612202,613104.0,0.0,1.0
2021-01-28,85.84,85.98,83.37,84.18,84.0520967742,417293.0,0.0,1.0
2021-01-27,88.08,89.116,83.18,84.08,83.9522487144,544725.0,0.0,1.0
2021-01-26,92.7,94.49,90.3,90.5,90.3624941561,372891.0,0.0,1.0
2021-01-25,94.67,95.73,90.48,92.94,92.7987868163,199378.0,0.0,1.0
2021-01-22,91.66,94.67,91.57,94.37,94.226614072,265461.0,0.0,1.0
2021-01-21,93.8,93.8,92.33,93.06,92.9186044881,276366.0,0.0,1.0
2021-01-20,93.99,94.8,91.0,92.24,92.0998503974,381515.0,0.0,1.0
2021-01-19,93.84,94.92,89.71,93.11,92.968528518,754689.0,0.0,1.0
2021-01-15,95.83,95.83,91.8,92.02,91.8801846657,406350.0,0.0,1.0
2021-01-14,95.96,99.05,95.525,96.24,96.093772791,288551.0,0.0,1.0
2021-01-13,97.13,97.3,94.28,94.83,94.6859151473,513956.0,0.0,1.0
2021-01-12,94.53,97.09,94.09,96.76,96.6129827022,347063.0,0.0,1.0
2021-01-11,91.57,93.92,91.57,93.8,93.6574801309,275187.0,0.0,1.0
2021-01-08,92.92,93.85,90.53,92.71,92.5691362786,459417.0,0.0,1.0
2021-01-07,86.4,91.6,86.35,91.33,91.1912330528,476259.0,0.0,1.0
2021-01-06,83.07,87.01,82.3,85.31,85.1803798504,483477.0,0.0,1.0
2021-01-05,81.74,84.02,81.74,82.88,82.7540719963,381585.0,0.0,1.0
2021-01-04,82.52,84.6,80.33,82.28,82.1549836372,551361.0,0.0,1.0
2020-12-31,81.53,82.01,80.55,81.86,81.7356217859,159017.0,0.0,1.0
2020-12-30,79.44,81.62,79.44,81.02,80.8968980832,175917.0,0.0,1.0
2020-12-29,82.03,82.03,78.45,79.13,79.0097697522,222229.0,0.0,1.0
2020-12-28,80.88,82.0,80.45,81.33,81.2064270687,307187.0,0.0,1.0
2020-12-24,80.24,80.24,78.63,79.54,79.4191467976,66558.0,0.0,1.0
2020-12-23,79.6,80.83,78.95,79.56,79.4391164095,296274.0,0.0,1.0
2020-12-22,77.85,79.39,76.9,79.15,79.0297393642,209271.0,0.0,1.0
2020-12-21,75.84,77.38,75.18,77.29,77.1725654511,266968.0,0.0,1.0
2020-12-18,78.29,79.17,76.88,77.18,77.0627325853,766199.0,0.0,1.0
2020-12-17,78.82,79.4,77.2,77.9,77.7816386162,279566.0,0.0,1.0
2020-12-16,77.63,78.35,76.48,78.16,78.0412435718,361251.0,0.0,1.0
2020-12-15,76.07,77.6,75.26,77.5,77.3822463768,303773.0,0.0,1.0
2020-12-14,72.825,75.4698,72.825,74.74,74.6264399252,335305.0,0.0,1.0
2020-12-11,71.76,73.0,71.55,72.76,72.6494483403,235464.0,0.0,1.0
2020-12-10,73.7,73.7,72.0,72.19,72.0803143993,422054.0,0.0,1.0
2020-12-09,77.32,77.32,72.86,73.38,73.2685063114,578956.0,0.0,1.0
2020-12-08,75.65,77.65,75.54,77.35,77.232474287,191310.0,0.0,1.0
2020-12-07,75.78,76.11,74.34,75.45,75.3353611501,210666.0,0.0,1.0
2020-12-04,73.73,76.31,73.51,75.39,75.2754523142,230707.0,0.0,1.0
2020-12-03,74.55,74.7,73.33,73.42,73.3084455353,155302.0,0.0,1.0
2020-12-02,72.67,74.29,72.17,74.05,73.9374883123,344594.0,0.0,1.0
2020-12-01,72.39,73.43,71.36,73.05,72.9390077139,692883.0,0.0,1.0
2020-11-30,70.93,71.75,70.1444,71.39,71.2815299205,387546.0,0.0,1.0
2020-11-27,69.56,71.175,69.21,71.1,70.991970547,91902.0,0.11,1.0
2020-11-25,70.4,70.575,69.1204,69.64,69.4267775438,406689.0,0.0,1.0
2020-11-24,70.3,71.18,69.01,70.0,69.7856753025,306089.0,0.0,1.0
2020-11-23,70.48,70.49,68.69,69.7,69.4865938369,204206.0,0.0,1.0
2020-11-20,68.21,69.94,68.21,69.18,68.9681859632,460908.0,0.0,1.0
2020-11-19,67.51,69.03,67.51,68.82,68.6092882045,294360.0,0.0,1.0
2020-11-18,70.9,71.24,67.94,68.07,67.8615845406,316753.0,0.0,1.0
2020-11-17,68.75,71.265,68.75,70.88,70.6629809348,457792.0,0.0,1.0
2020-11-16,69.61,70.57,68.61,70.57,70.3539300871,448732.0,0.0,1.0
2020-11-13,68.58,69.27,67.53,68.85,68.6391963511,266543.0,0.0,1.0
2020-11-12,69.21,69.39,66.5,67.58,67.3730848134,348055.0,0.0,1.0
2020-11-11,67.57,69.34,66.87,69.21,68.9980941098,430722.0,0.0,1.0
2020-11-10,65.9,67.36,64.42,66.6,66.3960853592,332770.0,0.0,1.0
2020-11-09,69.37,70.67,66.62,66.83,66.6253811495,592654.0,0.0,1.0
2020-11-06,65.26,66.485,64.29,66.29,66.0870345114,204391.0,0.0,1.0
2020-11-05,63.5,65.63,63.26,65.14,64.94055556,345061.0,0.0,1.0
2020-11-04,61.51,62.8,60.585,62.47,62.2787305164,336839.0,0.0,1.0
2020-11-03,60.48,61.65,59.81,61.29,61.1023434184,382071.0,0.0,1.0
2020-11-02,61.09,61.17,57.9,59.81,59.6268748549,461867.0,0.0,1.0
2020-10-30,55.83,60.72,55.83,60.21,60.0256501423,567712.0,0.0,1.0
2020-10-29,55.29,58.91,55.09,58.37,58.1912838201,497333.0,0.0,1.0
2020-10-28,58.46,58.67,55.305,55.53,55.3599792792,424971.0,0.0,1.0
2020-10-27,61.21,61.6,59.26,59.39,59.2081608031,299883.0,0.0,1.0
2020-10-26,60.93,61.69,60.43,60.82,60.6337824557,453484.0,0.0,1.0
2020-10-23,60.89,61.87,60.29,61.63,61.4413024127,204797.0,0.0,1.0
2020-10-22,60.1,61.26,59.64,60.92,60.7334762775,334539.0,0.0,1.0
2020-10-21,59.89,60.95,59.78,59.92,59.7365380589,255300.0,0.0,1.0
2020-10-20,60.05,60.24,59.395,59.89,59.7066299124,233759.0,0.0,1.0
2020-10-19,60.89,61.79,59.445,59.52,59.3377627715,214587.0,0.0,1.0
2020-10-16,60.71,61.74,60.16,60.34,60.1552521107,226531.0,0.0,1.0
2020-10-15,59.56,60.64,59.09,60.55,60.3646091366,447399.0,0.0,1.0
2020-10-14,61.64,61.92,60.31,60.67,60.4842417229,252197.0,0.0,1.0
2020-10-13,62.2,62.47,60.89,61.5,61.3117004443,297376.0,0.0,1.0
2020-10-12,61.53,62.53,61.12,61.96,61.7702920249,364227.0,0.0,1.0
2020-10-09,59.28,61.12,58.67,60.57,60.384547901,390643.0,0.0,1.0
2020-10-08,57.2,58.95,57.2,58.45,58.2710388776,270386.0,0.0,1.0
2020-10-07,56.99,57.2,55.85,56.57,56.3967950266,343152.0,0.0,1.0
2020-10-06,56.01,57.36,55.79,56.36,56.1874380007,366265.0,0.0,1.0
2020-10-05,54.37,56.1,53.91,56.04,55.8684177707,315091.0,0.0,1.0
2020-10-02,54.13,54.74,53.68,53.79,53.6253067789,261364.0,0.0,1.0
2020-10-01,56.06,56.28,54.8,55.17,55.0010815205,487990.0,0.0,1.0
2020-09-30,55.19,56.675,55.05,55.4,55.2303773108,512021.0,0.0,1.0
2020-09-29,54.3,55.88,53.97,55.36,55.1904997821,362239.0,0.0,1.0
2020-09-28,53.6,54.48,52.93,54.3,54.1337452703,236974.0,0.0,1.0
2020-09-25,51.72,53.21,51.35,52.76,52.5984604137,285336.0,0.0,1.0
2020-09-24,51.43,53.63,51.3,52.31,52.1498382153,367289.0,0.0,1.0
2020-09-23,52.47,53.12,51.41,51.51,51.3522876404,234643.0,0.0,1.0
2020-09-22,52.71,52.97,51.69,52.66,52.4987665918,211829.0,0.0,1.0
2020-09-21,52.28,52.8,51.16,52.26,52.0999913044,379416.0,0.0,1.0
2020-09-18,54.4,54.4,52.76,53.56,53.3960109886,907301.0,0.0,1.0
2020-09-17,54.36,54.77,53.15,53.79,53.6253067789,360881.0,0.0,1.0
2020-09-16,55.21,55.63,54.155,54.45,54.2832860031,413303.0,0.0,1.0
2020-09-15,54.71,55.36,54.39,54.98,54.811663259,318145.0,0.0,1.0
2020-09-14,54.05,54.38,53.335,54.06,53.8944800979,227961.0,0.0,1.0
2020-09-11,54.79,54.98,52.9,53.06,52.8975418793,299348.0,0.0,1.0
2020-09-10,53.76,54.89,53.53,54.31,54.1437146525,854589.0,0.0,1.0
2020-09-09,52.34,53.77,51.65,53.58,53.4159497529,594569.0,0.0,1.0
2020-09-08,50.56,52.6,50.3352,51.29,51.1329612323,561868.0,0.0,1.0
2020-09-04,54.81,55.49,52.77,54.5,54.3331329141,262710.0,0.0,1.0
2020-09-03,57.08,57.08,54.5,54.92,54.7518469659,440368.0,0.0,1.0
2020-09-02,56.89,58.12,56.55,57.61,57.4336107739,318186.0,0.0,1.0
2020-09-01,55.85,56.91,55.17,56.82,56.6460295812,446108.0,0.0,1.0
2020-08-31,56.98,56.98,55.3375,55.97,55.7986320954,346862.0,0.0,1.0
2020-08-28,55.62,56.63,55.42,56.52,56.3469481157,196879.0,0.11,1.0
2020-08-27,57.78,57.78,55.49,55.6,55.3220963311,227904.0,0.0,1.0
2020-08-26,57.99,58.0369,57.04,57.53,57.242449675,242509.0,0.0,1.0
