date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,1.01,1.015,0.97,1.0,1.0,22157.0,0.0,1.0
2021-04-15,1.05,1.05,0.96,1.05,1.05,18474.0,0.0,1.0
2021-04-14,1.11,1.11,0.9301,1.02,1.02,23042.0,0.0,1.0
2021-04-13,0.95,1.04,0.9,1.04,1.04,30709.0,0.0,1.0
2021-04-12,1.02,1.065,0.9043,0.97,0.97,33576.0,0.0,1.0
2021-04-09,1.03,1.0469,0.94,1.02,1.02,28724.0,0.0,1.0
2021-04-08,1.0,1.23,0.91,1.04,1.04,49169.0,0.0,1.0
2021-04-07,1.08,1.08,0.96,0.9801,0.9801,137659.0,0.0,1.0
2021-04-06,1.04,1.1039,0.9002,1.08,1.08,58037.0,0.0,1.0
2021-04-05,1.24,1.24,0.9,0.954899,0.954899,56241.0,0.0,1.0
2021-04-01,1.1,1.15,1.05,1.05,1.05,20336.0,0.0,1.0
2021-03-31,1.15,1.15,0.99,1.01,1.01,33518.0,0.0,1.0
2021-03-30,1.15,1.2,1.04,1.06,1.06,11323.0,0.0,1.0
2021-03-29,1.12,1.26,1.07,1.15,1.15,24695.0,0.0,1.0
2021-03-26,1.195,1.2899,0.989,0.995,0.995,86722.0,0.0,1.0
2021-03-25,1.23,1.23,1.02,1.05,1.05,40781.0,0.0,1.0
2021-03-24,1.4,1.49,0.99,0.995,0.995,64702.0,0.0,1.0
2021-03-23,1.4,1.5,1.1,1.1,1.1,53976.0,0.0,1.0
2021-03-22,1.54,1.54,1.25,1.25,1.25,53289.0,0.0,1.0
2021-03-19,1.3,1.4,1.24,1.27,1.27,73139.0,0.0,1.0
2021-03-18,1.39,1.417,1.25,1.25,1.25,33661.0,0.0,1.0
2021-03-17,1.3,1.53,1.26,1.3,1.3,22901.0,0.0,1.0
2021-03-16,1.5,1.5,1.25,1.25,1.25,45058.0,0.0,1.0
2021-03-15,1.33,1.5381,1.31,1.43,1.43,25478.0,0.0,1.0
2021-03-12,1.43,1.48,1.34,1.34,1.34,67703.0,0.0,1.0
2021-03-11,1.5,1.5,1.3,1.38,1.38,47691.0,0.0,1.0
2021-03-10,1.8,1.8,1.3,1.3,1.3,42391.0,0.0,1.0
2021-03-09,1.58,1.66,1.35,1.35,1.35,69485.0,0.0,1.0
2021-03-08,1.68,1.68,1.2,1.3,1.3,53433.0,0.0,1.0
2021-03-05,1.2,1.685,1.2,1.4,1.4,69874.0,0.0,1.0
2021-03-04,1.75,1.75,1.09,1.16,1.16,98342.0,0.0,1.0
2021-03-03,1.86,2.97,1.46,1.46,1.46,42473.0,0.0,1.0
2021-03-02,2.1001,2.4,1.7,1.85,1.85,74714.0,0.0,1.0
2021-03-01,1.4,3.0,1.4,2.06,2.06,153574.0,0.0,1.0
