date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,24.02,24.1099,23.42,23.42,23.42,34269.0,0.0,1.0
2021-04-15,23.75,23.94,23.6,23.89,23.89,13520.0,0.0,1.0
2021-04-14,23.81,24.24,23.75,23.77,23.77,17821.0,0.0,1.0
2021-04-13,23.86,24.2899,23.84,23.92,23.92,17607.0,0.0,1.0
2021-04-12,24.23,24.43,23.85,23.85,23.85,15745.0,0.0,1.0
2021-04-09,24.4,25.0199,24.1,24.23,24.23,16594.0,0.0,1.0
2021-04-08,24.5,24.5,24.03,24.41,24.41,7009.0,0.0,1.0
2021-04-07,24.95,25.0,24.2,24.35,24.35,19500.0,0.0,1.0
2021-04-06,24.9,25.51,24.87,25.07,25.07,17566.0,0.0,1.0
2021-04-05,24.67,25.195,24.21,24.85,24.85,29351.0,0.0,1.0
2021-04-01,24.43,24.5768,24.25,24.55,24.55,11541.0,0.0,1.0
2021-03-31,25.5,25.85,24.03,24.09,24.09,37853.0,0.0,1.0
2021-03-30,24.21,25.5,24.06,25.38,25.38,29618.0,0.0,1.0
2021-03-29,24.36,25.5,23.83,24.22,24.22,14871.0,0.0,1.0
2021-03-26,24.74,25.03,24.11,24.58,24.58,9976.0,0.0,1.0
2021-03-25,24.01,24.53,23.6,24.52,24.52,13028.0,0.0,1.0
2021-03-24,24.48,25.9,23.8,23.8,23.8,27638.0,0.0,1.0
2021-03-23,23.95,24.92,23.595,24.1,24.1,31401.0,0.0,1.0
2021-03-22,24.7,24.87,23.82,23.82,23.82,19428.0,0.0,1.0
2021-03-19,25.29,25.88,24.59,24.67,24.67,57247.0,0.0,1.0
2021-03-18,25.54,26.01,25.0,25.0,25.0,34874.0,0.0,1.0
2021-03-17,25.0,26.12,24.56,24.68,24.68,14161.0,0.0,1.0
2021-03-16,26.16,26.16,24.85,24.98,24.98,12840.0,0.0,1.0
2021-03-15,27.21,27.21,26.19,26.35,26.35,11101.0,0.0,1.0
2021-03-12,27.74,27.74,27.0,27.15,27.15,11827.0,0.0,1.0
2021-03-11,27.61,27.75,27.0867,27.75,27.75,10267.0,0.0,1.0
2021-03-10,27.64,28.13,27.23,27.73,27.73,13089.0,0.0,1.0
2021-03-09,27.67,28.05,27.26,27.7,27.7,16564.0,0.0,1.0
2021-03-08,26.81,28.19,26.133,27.78,27.78,19380.0,0.32,1.0
2021-03-05,26.12,27.69,26.12,27.62,27.3054661922,20098.0,0.0,1.0
2021-03-04,25.75,26.6283,25.615,26.17,25.8719786477,34665.0,0.0,1.0
2021-03-03,24.72,25.89,24.72,25.6,25.3084697509,26261.0,0.0,1.0
2021-03-02,24.22,24.835,24.22,24.42,24.1419074733,11297.0,0.0,1.0
2021-03-01,24.34,24.45,24.1361,24.45,24.1715658363,12025.0,0.0,1.0
2021-02-26,24.57,24.7467,23.66,23.83,23.5586263345,16816.0,0.0,1.0
2021-02-25,25.01,25.78,24.35,24.35,24.0727046263,10778.0,0.0,1.0
2021-02-24,24.7999,24.95,24.75,24.79,24.5076939502,15701.0,0.0,1.0
2021-02-23,23.23,23.95,23.22,23.95,23.6772597865,16899.0,0.0,1.0
2021-02-22,22.79,23.52,22.79,23.3,23.0346619217,14188.0,0.0,1.0
2021-02-19,22.59,22.815,22.51,22.8,22.5403558719,11255.0,0.0,1.0
2021-02-18,22.95,23.3441,22.52,22.6,22.342633452,9245.0,0.0,1.0
2021-02-17,22.96,23.06,22.78,22.94,22.6787615658,8166.0,0.0,1.0
2021-02-16,23.45,23.45,22.56,22.8,22.5403558719,19970.0,0.0,1.0
2021-02-12,23.25,23.8746,22.915,23.085,22.8221103203,14469.0,0.0,1.0
2021-02-11,23.7,23.72,22.893,23.01,22.7479644128,66528.0,0.0,1.0
2021-02-10,23.75,23.8136,23.11,23.6,23.3312455516,26602.0,0.0,1.0
2021-02-09,23.77,23.91,23.3601,23.62,23.3510177936,8394.0,0.0,1.0
2021-02-08,22.98,23.9799,22.98,23.79,23.5190818505,14949.0,0.0,1.0
2021-02-05,23.69,23.69,22.515,22.97,22.7084199288,13985.0,0.0,1.0
2021-02-04,22.02,23.248,22.02,23.2,22.9358007117,16824.0,0.0,1.0
2021-02-03,22.2,22.458,21.92,22.0,21.7494661922,43114.0,0.0,1.0
2021-02-02,21.69,22.44,21.53,22.16,21.9076441281,11399.0,0.0,1.0
2021-02-01,21.76,21.91,21.13,21.5,21.2551601423,14524.0,0.0,1.0
2021-01-29,21.79,21.79,21.26,21.54,21.2947046263,14403.0,0.0,1.0
2021-01-28,21.66,22.421,21.5,21.92,21.6703772242,10363.0,0.0,1.0
2021-01-27,22.0,22.17,21.15,21.28,21.0376654804,18124.0,0.0,1.0
2021-01-26,22.83,23.5711,22.3,22.48,22.224,9189.0,0.0,1.0
2021-01-25,23.31,23.335,22.72,23.11,22.8468256228,9034.0,0.0,1.0
2021-01-22,22.75,23.565,22.75,23.43,23.1631814947,9701.0,0.0,1.0
2021-01-21,23.2125,23.4923,22.71,22.75,22.4909252669,7676.0,0.0,1.0
2021-01-20,23.24,23.45,22.68,22.71,22.4513807829,13308.0,0.0,1.0
2021-01-19,23.98,23.98,23.29,23.29,23.0247758007,6276.0,0.0,1.0
