date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,28.57,28.57,27.8,27.93,27.93,44311.0,0.0,1.0
2021-04-15,28.65,28.98,27.2,28.51,28.51,28527.0,0.0,1.0
2021-04-14,28.1,28.73,28.1,28.31,28.31,22344.0,0.0,1.0
2021-04-13,28.04,28.45,27.285,28.13,28.13,33212.0,0.0,1.0
2021-04-12,28.77,29.86,27.86,28.15,28.15,57314.0,0.0,1.0
2021-04-09,28.43,29.6695,27.985,28.5,28.5,31800.0,0.0,1.0
2021-04-08,28.09,28.5,27.935,28.37,28.37,33833.0,0.0,1.0
2021-04-07,28.48,28.49,27.77,28.26,28.26,42675.0,0.0,1.0
2021-04-06,29.09,29.31,28.18,28.29,28.29,46491.0,0.0,1.0
2021-04-05,28.9,29.5,27.8501,29.25,29.25,113935.0,0.0,1.0
2021-04-01,28.78,29.16,28.3201,28.97,28.97,50344.0,0.0,1.0
2021-03-31,30.01,30.6765,28.3701,28.72,28.72,200400.0,0.0,1.0
2021-03-30,29.56,31.0,29.56,30.41,30.41,169372.0,0.0,1.0
2021-03-29,28.89,29.775,28.5569,29.27,29.27,103164.0,0.0,1.0
2021-03-26,28.23,28.89,27.65,28.83,28.83,64725.0,0.0,1.0
2021-03-25,27.61,28.29,26.6217,27.72,27.72,66509.0,0.0,1.0
2021-03-24,27.54,28.86,27.51,27.51,27.51,51974.0,0.0,1.0
2021-03-23,28.75,28.78,27.11,27.16,27.16,96174.0,0.0,1.0
2021-03-22,29.32,29.5,28.49,28.9,28.9,70137.0,0.0,1.0
2021-03-19,28.45,29.33,28.21,29.33,29.33,285844.0,0.0,1.0
2021-03-18,28.3,28.5982,27.72,28.17,28.17,93962.0,0.0,1.0
2021-03-17,27.86,28.45,27.72,28.2,28.2,177401.0,0.0,1.0
2021-03-16,28.72,28.72,27.2,27.69,27.69,53037.0,0.0,1.0
2021-03-15,27.0,28.0,26.965,27.72,27.72,101454.0,0.0,1.0
2021-03-12,26.01,27.0,26.0,26.99,26.99,165468.0,0.0,1.0
2021-03-11,25.79,26.0,25.599,26.0,26.0,93037.0,0.0,1.0
2021-03-10,25.03,25.78,24.5347,25.76,25.76,59642.0,0.0,1.0
2021-03-09,24.9,25.43,24.68,25.06,25.06,38574.0,0.0,1.0
2021-03-08,24.58,25.45,24.1,25.0,25.0,96804.0,0.0,1.0
2021-03-05,24.08,24.58,23.54,24.46,24.46,52511.0,0.0,1.0
2021-03-04,23.76,24.74,23.34,23.7,23.7,79463.0,0.0,1.0
2021-03-03,23.15,24.45,23.15,23.86,23.86,48904.0,0.0,1.0
2021-03-02,23.57,24.67,23.04,23.1,23.1,54722.0,0.0,1.0
2021-03-01,22.6,23.86,22.6,23.78,23.78,58393.0,0.0,1.0
2021-02-26,22.56,22.7,21.75,22.11,22.11,35954.0,0.0,1.0
2021-02-25,22.5,22.5,21.66,22.15,22.15,37308.0,0.0,1.0
2021-02-24,21.96,23.0,21.96,22.54,22.54,54195.0,0.0,1.0
2021-02-23,21.87,22.03,21.73,21.82,21.82,40932.0,0.0,1.0
2021-02-22,21.52,22.0,21.52,21.83,21.83,24355.0,0.0,1.0
2021-02-19,20.68,21.89,20.68,21.77,21.77,36227.0,0.0,1.0
2021-02-18,20.96,21.3,20.42,20.68,20.68,34281.0,0.0,1.0
2021-02-17,21.18,21.65,21.07,21.11,21.11,22277.0,0.0,1.0
2021-02-16,20.91,21.45,20.91,21.18,21.18,37987.0,0.0,1.0
