date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,57.27,57.4993,56.52,56.89,56.89,259558.0,0.0,1.0
2021-04-15,58.38,58.38,56.31,56.92,56.92,331234.0,0.0,1.0
2021-04-14,56.75,58.45,56.6801,57.63,57.63,477525.0,0.0,1.0
2021-04-13,57.81,58.1929,56.22,57.01,57.01,420477.0,0.0,1.0
2021-04-12,58.02,58.98,57.0,57.86,57.86,366169.0,0.0,1.0
2021-04-09,57.76,58.4,56.95,58.13,58.13,563014.0,0.0,1.0
2021-04-08,57.85,58.05,56.71,57.8,57.8,471997.0,0.0,1.0
2021-04-07,58.73,59.4173,56.77,57.69,57.69,590990.0,0.0,1.0
2021-04-06,57.76,60.2496,57.53,58.72,58.72,647744.0,0.0,1.0
2021-04-05,58.73,59.11,56.94,57.93,57.93,441961.0,0.31,1.0
2021-04-01,58.89,59.16,57.77,58.98,58.6660611264,407088.0,0.0,1.0
2021-03-31,57.96,58.7,57.16,57.66,57.3530872253,464230.0,0.0,1.0
2021-03-30,56.55,58.16,55.8678,58.11,57.8006919643,408145.0,0.0,1.0
2021-03-29,59.04,59.49,56.15,56.54,56.2390487637,526065.0,0.0,1.0
2021-03-26,58.96,59.29,57.36,59.2,58.8848901099,442797.0,0.0,1.0
2021-03-25,55.07,58.45,54.59,57.83,57.5221823489,431419.0,0.0,1.0
2021-03-24,57.75,58.8,55.365,55.62,55.3239457418,517506.0,0.0,1.0
2021-03-23,58.99,59.25,56.5,57.01,56.7065470467,584336.0,0.0,1.0
2021-03-22,61.45,61.74,59.03,59.41,59.0937723214,422255.0,0.0,1.0
2021-03-19,59.36,61.7099,58.63,60.97,60.64546875,1088004.0,0.0,1.0
2021-03-18,61.68,62.22,59.59,59.84,59.5214835165,459813.0,0.0,1.0
2021-03-17,62.5,62.54,60.51,61.36,61.0333928571,469309.0,0.0,1.0
2021-03-16,64.26,64.3219,61.35,62.59,62.2568458104,612102.0,0.0,1.0
2021-03-15,64.08,64.79,62.92,64.25,63.9080099588,714403.0,0.0,1.0
2021-03-12,61.57,64.16,61.57,63.92,63.5797664835,720178.0,0.0,1.0
2021-03-11,61.69,62.5,60.7268,61.97,61.6401459478,630650.0,0.0,1.0
2021-03-10,59.88,61.92,59.0901,61.12,60.7946703297,605037.0,0.0,1.0
2021-03-09,59.65,61.05,59.29,59.52,59.2031868132,484098.0,0.0,1.0
2021-03-08,55.8,59.43,55.0,58.92,58.6063804945,1024575.0,0.0,1.0
2021-03-05,54.79,55.3121,51.87,54.83,54.5381507555,907726.0,0.0,1.0
2021-03-04,57.73,57.95,53.02,53.62,53.3345913462,1251806.0,0.0,1.0
2021-03-03,58.45,59.5,57.19,57.87,57.5619694368,645855.0,0.0,1.0
2021-03-02,60.34,60.9,58.25,58.86,58.5466998626,862976.0,0.0,1.0
2021-03-01,60.0,60.81,57.6,59.57,59.2529206731,965428.0,0.0,1.0
2021-02-26,52.505,58.52,52.25,57.76,57.4525549451,1351660.0,0.0,1.0
2021-02-25,56.88,58.34,53.7,54.79,54.4983636676,1327512.0,0.0,1.0
2021-02-24,53.45,55.365,53.1653,54.49,54.1999605082,824977.0,0.0,1.0
2021-02-23,53.68,54.87,52.59,54.17,53.8816638049,1022650.0,0.0,1.0
2021-02-22,51.97,54.69,51.58,54.5,54.2099072802,752359.0,0.0,1.0
2021-02-19,51.76,52.57,51.6,52.42,52.1409787088,390787.0,0.0,1.0
2021-02-18,51.14,52.2267,50.09,51.31,51.0368870192,817632.0,0.0,1.0
2021-02-17,51.7,51.87,50.55,51.14,50.8677918956,434554.0,0.0,1.0
2021-02-16,53.21,53.675,51.23,51.9,51.6237465659,477638.0,0.0,1.0
2021-02-12,52.92,53.49,52.5,53.4,53.1157623626,398353.0,0.0,1.0
2021-02-11,52.44,53.6,52.37,52.89,52.6084769918,400360.0,0.0,1.0
2021-02-10,53.22,53.58,51.38,52.3,52.0216174451,406052.0,0.0,1.0
2021-02-09,52.57,53.16,51.57,52.89,52.6084769918,654832.0,0.0,1.0
2021-02-08,50.0,52.71,49.7431,52.68,52.3995947802,739565.0,0.0,1.0
2021-02-05,47.96,49.68,46.31,49.61,49.345935783,995595.0,0.0,1.0
2021-02-04,47.28,48.0,46.03,47.75,47.4958361951,692783.0,0.0,1.0
2021-02-03,45.62,46.42,44.05,45.83,45.5860559753,478486.0,0.0,1.0
2021-02-02,45.01,47.09,44.33,46.15,45.9043526786,608081.0,0.0,1.0
2021-02-01,44.83,44.99,43.53,44.7,44.4620707418,528128.0,0.0,1.0
2021-01-29,43.46,45.22,42.92,43.3,43.0695226648,598362.0,0.0,1.0
2021-01-28,44.03,44.045,42.0989,43.2,42.9700549451,630178.0,0.0,1.0
2021-01-27,45.56,45.974,43.0,44.02,43.7856902473,773229.0,0.0,1.0
2021-01-26,47.08,47.22,46.01,46.59,46.3420106456,415669.0,0.0,1.0
2021-01-25,48.25,48.59,46.08,46.46,46.2127026099,427099.0,0.0,1.0
2021-01-22,47.14,48.005,46.7,47.91,47.6549845467,339007.0,0.0,1.0
2021-01-21,47.65,48.28,47.22,47.23,46.9786040522,365134.0,0.0,1.0
2021-01-20,46.59,47.99,46.59,47.69,47.4361555632,377361.0,0.0,1.0
2021-01-19,47.77,47.99,46.38,46.84,46.5906799451,519532.0,0.0,1.0
2021-01-15,47.0229,48.27,45.47,47.36,47.1079120879,1165851.0,0.0,1.0
2021-01-14,45.97,49.08,45.71,48.84,48.5800343407,802794.0,0.0,1.0
2021-01-13,44.39,45.83,44.195,45.66,45.4169608516,650231.0,0.0,1.0
2021-01-12,43.07,44.9,43.0,44.69,44.4521239698,686184.0,0.0,1.0
2021-01-11,42.11,43.0656,41.5,42.75,42.522450206,425063.0,0.0,1.0
2021-01-08,43.47,43.73,42.07,42.58,42.3533550824,512229.0,0.0,1.0
2021-01-07,43.78,44.13,42.68,43.45,43.2187242445,670594.0,0.0,1.0
2021-01-06,40.0,43.53,40.0,43.48,43.2485645604,1104696.0,0.0,1.0
2021-01-05,37.96,39.76,37.96,39.7,39.4886847527,711803.0,0.0,1.0
2021-01-04,38.5,38.85,36.99,38.14,37.9369883242,695986.0,0.0,1.0
2020-12-31,38.23,38.71,37.7,38.29,38.0861899038,324539.0,0.0,1.0
2020-12-30,38.06,38.7,37.98,38.38,38.1757108516,288896.0,0.0,1.0
2020-12-29,38.38,38.38,37.19,37.93,37.7281061126,434432.0,0.0,1.0
2020-12-28,38.67,38.9499,37.88,38.17,37.9668286401,394216.0,0.0,1.0
2020-12-24,38.35,38.35,37.3,38.16,37.9568818681,229138.0,0.0,1.0
2020-12-23,39.92,40.0767,38.235,38.35,38.1458705357,524779.0,0.0,1.0
2020-12-22,41.25,41.42,39.25,39.69,39.4787379808,1904493.0,0.0,1.0
2020-12-21,36.78,40.33,36.39,39.24,39.0311332418,1262593.0,0.0,1.0
2020-12-18,35.58,36.08,35.125,35.22,35.0325309066,1491535.0,0.0,1.0
2020-12-17,34.96,35.42,34.41,35.4,35.2115728022,367941.0,0.0,1.0
2020-12-16,34.8,35.0483,34.17,34.85,34.6645003434,289688.0,0.0,1.0
2020-12-15,34.26,34.53,33.6,34.5,34.3163633242,386425.0,0.0,1.0
2020-12-14,34.29,34.325,33.73,33.92,33.7394505495,377449.0,0.31,1.0
2020-12-11,34.75,35.0,33.93,34.14,33.6507403377,349184.0,0.0,1.0
2020-12-10,34.56,35.13,34.26,34.94,34.4392755535,272956.0,0.0,1.0
2020-12-09,34.65,35.41,34.23,34.9,34.3998487927,567190.0,0.0,1.0
