date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,34.85,35.445,32.85,33.13,33.13,378779.0,0.0,1.0
2021-04-15,33.59,35.5,33.33,34.99,34.99,596212.0,0.0,1.0
2021-04-14,32.61,33.87,32.36,33.21,33.21,506143.0,0.0,1.0
2021-04-13,30.23,32.63,30.23,32.45,32.45,559105.0,0.0,1.0
2021-04-12,31.29,31.34,29.18,30.49,30.49,554081.0,0.0,1.0
2021-04-09,31.18,32.035,30.68,31.3,31.3,316144.0,0.0,1.0
2021-04-08,31.01,31.97,30.4,30.9,30.9,558652.0,0.0,1.0
2021-04-07,31.51,31.58,30.53,30.66,30.66,261187.0,0.0,1.0
2021-04-06,32.29,33.105,31.335,31.6,31.6,366714.0,0.0,1.0
2021-04-05,31.58,32.58,31.0,32.57,32.57,568099.0,0.0,1.0
2021-04-01,28.59,29.86,28.16,28.83,28.83,449242.0,0.0,1.0
2021-03-31,28.1,28.59,27.04,28.08,28.08,1053456.0,0.0,1.0
2021-03-30,28.27,28.38,26.69,28.06,28.06,1115996.0,0.0,1.0
2021-03-29,32.39,32.43,28.8201,28.89,28.89,500595.0,0.0,1.0
2021-03-26,33.0,33.7994,30.86,32.71,32.71,450084.0,0.0,1.0
2021-03-25,31.25,33.56,30.36,33.43,33.43,738753.0,0.0,1.0
2021-03-24,34.98,34.98,31.87,32.01,32.01,486245.0,0.0,1.0
2021-03-23,35.41,35.41,33.98,34.45,34.45,311089.0,0.0,1.0
2021-03-22,37.09,37.65,35.41,35.86,35.86,347185.0,0.0,1.0
2021-03-19,35.29,37.18,34.97,37.07,37.07,944496.0,0.0,1.0
2021-03-18,35.86,37.86,35.17,35.3,35.3,335790.0,0.0,1.0
2021-03-17,34.44,37.37,34.1269,36.9,36.9,316507.0,0.0,1.0
2021-03-16,35.03,36.0,34.01,34.98,34.98,358970.0,0.0,1.0
2021-03-15,36.2,36.95,34.955,35.29,35.29,473802.0,0.0,1.0
2021-03-12,38.51,39.19,35.43,36.45,36.45,709791.0,0.0,1.0
2021-03-11,35.95,39.1,34.7,39.01,39.01,1130544.0,0.0,1.0
2021-03-10,33.15,35.93,32.66,35.64,35.64,466567.0,0.0,1.0
2021-03-09,32.34,33.48,31.7,32.38,32.38,321470.0,0.0,1.0
2021-03-08,33.92,33.95,30.81,31.49,31.49,617495.0,0.0,1.0
2021-03-05,33.79,34.59,31.6996,34.01,34.01,625361.0,0.0,1.0
2021-03-04,34.15,35.97,33.0,33.39,33.39,707792.0,0.0,1.0
2021-03-03,36.19,36.28,34.09,34.55,34.55,588261.0,0.0,1.0
