date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,7.31,7.42,7.1301,7.32,7.32,95523.0,0.0,1.0
2021-04-15,7.4,7.4,7.2177,7.31,7.31,52492.0,0.0,1.0
2021-04-14,7.45,7.4947,7.3101,7.36,7.36,66771.0,0.0,1.0
2021-04-13,7.55,7.6,7.42,7.46,7.46,56226.0,0.0,1.0
2021-04-12,7.56,7.6,7.4,7.55,7.55,81316.0,0.0,1.0
2021-04-09,7.52,7.75,7.3,7.56,7.56,251695.0,0.0,1.0
2021-04-08,7.8,8.0,7.25,7.46,7.46,705274.0,0.0,1.0
2021-04-07,7.4,7.94,7.02,7.5,7.5,1109438.0,0.0,1.0
2021-04-06,6.75,7.02,6.73,6.99,6.99,27057.0,0.0,1.0
2021-04-05,6.76,6.9847,6.67,6.75,6.75,27941.0,0.0,1.0
2021-04-01,6.41,6.75,6.41,6.75,6.75,10853.0,0.0,1.0
2021-03-31,6.41,6.6341,6.29,6.37,6.37,13238.0,0.0,1.0
2021-03-30,6.35,6.5514,6.29,6.45,6.45,6800.0,0.0,1.0
2021-03-29,6.35,6.47,6.3,6.3,6.3,45649.0,0.0,1.0
2021-03-26,6.35,6.5,6.27,6.36,6.36,26422.0,0.0,1.0
2021-03-25,6.3,6.409,6.15,6.25,6.25,50567.0,0.0,1.0
2021-03-24,6.41,6.57,6.41,6.48,6.48,17974.0,0.0,1.0
2021-03-23,6.84,6.84,6.3041,6.36,6.36,18363.0,0.0,1.0
2021-03-22,6.85,7.0644,6.79,6.87,6.87,16844.0,0.0,1.0
2021-03-19,6.65,7.1,6.61,6.8,6.8,91305.0,0.0,1.0
2021-03-18,6.8025,6.98,6.63,6.66,6.66,37417.0,0.0,1.0
2021-03-17,6.78,7.1,6.63,7.0,7.0,23872.0,0.0,1.0
2021-03-16,7.01,7.1095,6.6678,6.76,6.76,43140.0,0.0,1.0
2021-03-15,6.67,7.02,6.67,7.0,7.0,71657.0,0.0,1.0
2021-03-12,6.83,6.9,6.67,6.75,6.75,37510.0,0.0,1.0
2021-03-11,6.81,6.915,6.6105,6.77,6.77,63992.0,0.0,1.0
2021-03-10,6.76,6.9197,6.55,6.7,6.7,51710.0,0.0,1.0
2021-03-09,6.69,6.943,6.4336,6.6,6.6,60132.0,0.0,1.0
2021-03-08,6.35,6.68,6.22,6.57,6.57,106683.0,0.0,1.0
2021-03-05,6.11,6.34,5.75,6.32,6.32,109816.0,0.0,1.0
2021-03-04,6.53,6.53,6.02,6.09,6.09,53003.0,0.0,1.0
2021-03-03,6.69,6.73,6.54,6.62,6.62,23034.0,0.0,1.0
2021-03-02,6.5625,6.7046,6.52,6.69,6.69,50969.0,0.0,1.0
2021-03-01,6.35,6.685,6.28,6.51,6.51,36975.0,0.0,1.0
2021-02-26,6.19,6.35,6.14,6.27,6.27,42463.0,0.0,1.0
2021-02-25,6.41,6.4982,6.185,6.28,6.28,83263.0,0.0,1.0
2021-02-24,6.21,6.46,6.21,6.43,6.43,78258.0,0.0,1.0
2021-02-23,6.32,6.33,6.01,6.14,6.14,142435.0,0.0,1.0
2021-02-22,6.8,6.9199,6.35,6.43,6.43,182358.0,0.0,1.0
2021-02-19,6.56,7.79,6.56,6.77,6.77,1155417.0,0.0,1.0
2021-02-18,6.75,6.75,6.48,6.56,6.56,21401.0,0.0,1.0
2021-02-17,6.91,6.91,6.62,6.75,6.75,38513.0,0.0,1.0
2021-02-16,7.1,7.2,6.8196,6.93,6.93,59652.0,0.0,1.0
2021-02-12,6.75,7.0,6.6293,6.99,6.99,76902.0,0.0,1.0
2021-02-11,7.07,7.14,6.52,6.75,6.75,112246.0,0.0,1.0
2021-02-10,7.01,7.01,6.5,7.0,7.0,163706.0,0.0,1.0
2021-02-09,6.44,8.39,6.31,6.92,6.92,1663231.0,0.0,1.0
2021-02-08,6.07,6.37,5.97,6.37,6.37,41956.0,0.0,1.0
2021-02-05,6.29,6.3458,6.02,6.07,6.07,31734.0,0.0,1.0
2021-02-04,6.24,6.3618,6.2,6.29,6.29,14648.0,0.06,1.0
2021-02-03,6.41,6.41,6.21,6.23,6.17113385827,15483.0,0.0,1.0
2021-02-02,6.26,6.4724,6.255,6.39,6.32962204724,15496.0,0.0,1.0
2021-02-01,6.5,6.5,6.25,6.3,6.24047244094,18860.0,0.0,1.0
2021-01-29,6.49,6.5,6.31,6.38,6.31971653543,18686.0,0.0,1.0
2021-01-28,6.24,6.49,6.02,6.42,6.35933858268,53350.0,0.0,1.0
2021-01-27,6.3,6.49,6.27,6.28,6.22066141732,19711.0,0.0,1.0
2021-01-26,6.73,6.79,6.4,6.4435,6.38261653543,43673.0,0.0,1.0
2021-01-25,6.52,6.67,6.31,6.67,6.60697637795,41078.0,0.0,1.0
2021-01-22,6.37,6.52,6.26,6.52,6.45839370079,53690.0,0.0,1.0
2021-01-21,6.2,6.41,6.0,6.37,6.30981102362,120425.0,0.0,1.0
2021-01-20,6.23,6.3,6.12,6.16,6.10179527559,37246.0,0.0,1.0
2021-01-19,6.25,6.299,6.1,6.19,6.13151181102,107291.0,0.0,1.0
2021-01-15,6.0,6.15,5.87,6.12,6.06217322835,57610.0,0.0,1.0
2021-01-14,5.6,6.9,5.6,5.98,5.92349606299,755416.0,0.0,1.0
2021-01-13,5.8,5.8,5.57,5.6,5.54708661417,40722.0,0.0,1.0
2021-01-12,5.9,6.0,5.7743,5.83,5.77491338583,83473.0,0.0,1.0
2021-01-11,5.7,5.99,5.7,5.85,5.79472440945,213953.0,0.0,1.0
2021-01-08,5.75,5.9,5.61,5.88,5.82444094488,121575.0,0.0,1.0
2021-01-07,5.5,5.8599,5.25,5.68,5.62633070866,550124.0,0.0,1.0
2021-01-06,4.7,4.91,4.6601,4.7,4.65559055118,56777.0,0.0,1.0
2021-01-05,4.94,5.0,4.69,4.7,4.65559055118,52725.0,0.0,1.0
2021-01-04,4.7,4.95,4.57,4.89,4.84379527559,32539.0,0.0,1.0
