date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,117.0,117.8699,116.19,117.63,117.63,346179.0,0.0,1.0
2021-04-15,113.2542,117.0699,113.08,116.26,116.26,435820.0,0.0,1.0
2021-04-14,112.63,113.67,112.08,112.59,112.59,339576.0,0.0,1.0
2021-04-13,111.71,112.835,111.34,112.18,112.18,309562.0,0.0,1.0
2021-04-12,110.5,111.82,110.17,110.81,110.81,227441.0,0.0,1.0
2021-04-09,109.61,111.49,108.5,110.61,110.61,292224.0,0.0,1.0
2021-04-08,112.06,112.44,110.71,110.96,110.96,329559.0,0.0,1.0
2021-04-07,111.97,112.1,110.055,110.49,110.49,273137.0,0.0,1.0
2021-04-06,112.27,113.23,111.69,111.97,111.97,463309.0,0.0,1.0
2021-04-05,111.44,112.665,110.1,110.71,110.71,413125.0,0.0,1.0
2021-04-01,108.0,112.07,107.74,111.45,111.45,515838.0,0.0,1.0
2021-03-31,105.98,108.24,105.61,107.62,107.62,668307.0,0.3,1.0
2021-03-30,105.64,107.205,105.17,105.6,105.306449222,398954.0,0.0,1.0
2021-03-29,105.0,107.9,104.06,107.79,107.490361379,503244.0,0.0,1.0
2021-03-26,103.37,106.34,102.95,105.94,105.645504077,484008.0,0.0,1.0
2021-03-25,103.44,104.1,102.55,103.36,103.072676056,379816.0,0.0,1.0
2021-03-24,105.11,105.79,103.6,103.68,103.391786509,429985.0,0.0,1.0
2021-03-23,106.06,106.06,103.92,104.71,104.418923277,494351.0,0.0,1.0
2021-03-22,105.57,108.82,104.5,106.8,106.503113417,764011.0,0.0,1.0
2021-03-19,106.26,107.0,104.6,105.81,105.515865456,1598150.0,0.0,1.0
2021-03-18,108.07,108.1,105.25,105.76,105.466004448,412266.0,0.0,1.0
2021-03-17,105.98,110.18,105.7,109.36,109.055997035,397047.0,0.0,1.0
2021-03-16,108.1,108.14,105.97,106.05,105.755198295,556697.0,0.0,1.0
2021-03-15,110.0,110.11,106.13,108.08,107.779555226,741968.0,0.0,1.0
2021-03-12,107.58,109.79,107.13,109.53,109.225524463,333867.0,0.0,1.0
2021-03-11,108.0,109.49,107.18,109.14,108.836608599,484984.0,0.0,1.0
2021-03-10,106.69,107.92,104.6,107.43,107.13136212,374941.0,0.0,1.0
2021-03-09,106.83,108.7,105.11,106.21,105.914753521,459716.0,0.0,1.0
2021-03-08,104.38,104.97,102.62,104.0,103.710896961,340632.0,0.0,1.0
2021-03-05,103.46,104.855,101.86,104.74,104.448839881,333276.0,0.0,1.0
2021-03-04,103.95,106.54,102.23,103.79,103.501480726,503529.0,0.0,1.0
2021-03-03,103.45,104.68,101.79,103.59,103.302036694,489969.0,0.0,1.0
2021-03-02,103.98,106.96,103.42,106.3,106.004503336,460694.0,0.0,1.0
2021-03-01,105.37,105.9,103.04,103.7,103.411730912,507564.0,0.0,1.0
2021-02-26,105.0,105.4799,102.83,103.71,103.421703113,709262.0,0.0,1.0
2021-02-25,106.6,109.04,105.28,106.06,105.765170497,382456.0,0.0,1.0
2021-02-24,105.975,108.6,105.73,107.59,107.290917346,435013.0,0.0,1.0
2021-02-23,109.08,109.22,105.8842,106.91,106.612807635,533995.0,0.0,1.0
2021-02-22,109.06,111.27,108.61,110.32,110.013328391,649608.0,0.0,1.0
2021-02-19,108.58,108.95,106.78,107.82,107.520277984,958335.0,0.0,1.0
2021-02-18,107.18,108.79,106.3201,108.22,107.919166049,454349.0,0.0,1.0
2021-02-17,107.8,108.0,105.36,107.23,106.931918087,736367.0,0.0,1.0
2021-02-16,110.67,111.15,108.24,108.53,108.228304299,614673.0,0.0,1.0
2021-02-12,110.39,111.74,109.1515,111.03,110.721354707,673110.0,0.0,1.0
2021-02-11,110.17,111.45,109.215,110.49,110.182855819,654581.0,0.0,1.0
2021-02-10,109.56,110.4,108.0141,110.25,109.94352298,477194.0,0.0,1.0
2021-02-09,109.94,110.25,107.91,109.07,108.766803188,349905.0,0.0,1.0
2021-02-08,106.53,110.24,105.71,109.36,109.055997035,577312.0,0.0,1.0
2021-02-05,104.79,106.175,103.72,105.69,105.396199036,343744.0,0.0,1.0
2021-02-04,106.2,106.2,102.44,104.13,103.840535582,456639.0,0.0,1.0
2021-02-03,105.89,106.28,104.57,105.72,105.426115641,312257.0,0.0,1.0
2021-02-02,105.46,106.43,105.0044,105.74,105.446060044,350234.0,0.0,1.0
2021-02-01,109.27,110.9599,106.18,107.53,107.231084136,357803.0,0.0,1.0
2021-01-29,106.51,110.69,106.395,106.88,106.58289103,791917.0,0.0,1.0
2021-01-28,103.86,106.9,103.125,104.3,104.01006301,583446.0,0.0,1.0
2021-01-27,103.54,104.0,99.32,102.15,101.866039659,475817.0,0.0,1.0
2021-01-26,104.75,105.63,104.01,104.22,103.930285397,227323.0,0.0,1.0
2021-01-25,105.43,106.16,103.01,104.74,104.448839881,410402.0,0.0,1.0
2021-01-22,104.0,106.28,103.43,104.94,104.648283914,202248.0,0.0,1.0
2021-01-21,107.45,107.9,105.095,105.49,105.196755004,305513.0,0.0,1.0
2021-01-20,107.1,108.67,106.22,107.91,107.610027798,453917.0,0.0,1.0
2021-01-19,104.93,106.46,103.94,105.86,105.565726464,710078.0,0.0,1.0
2021-01-15,105.02,105.15,102.94,104.15,103.860479985,596658.0,0.0,1.0
2021-01-14,106.59,107.43,105.215,105.4,105.107005189,556082.0,0.0,1.0
2021-01-13,107.52,108.0,105.36,105.58,105.286504818,446918.0,0.0,1.0
2021-01-12,106.08,107.92,105.24,107.57,107.270972943,623792.0,0.0,1.0
2021-01-11,105.63,107.07,104.6411,106.08,105.7851149,354127.0,0.0,1.0
2021-01-08,107.3,107.3199,103.7601,105.6,105.306449222,577173.0,0.0,1.0
2021-01-07,109.13,109.84,108.0,109.42,109.115830245,424091.0,0.3,1.0
2021-01-06,110.31,112.42,108.54,111.05,110.438506641,560586.0,0.0,1.0
2021-01-05,110.99,111.14,108.49,110.64,110.030764293,435771.0,0.0,1.0
2021-01-04,109.9264,111.39,108.19,110.28,109.672746622,519071.0,0.0,1.0
2020-12-31,108.16,108.33,105.73,106.36,105.77433198,328391.0,0.0,1.0
2020-12-30,108.12,109.16,107.4403,108.2,107.604200077,285232.0,0.0,1.0
2020-12-29,107.19,108.246,106.5,107.55,106.957779282,367798.0,0.0,1.0
2020-12-28,109.73,111.5499,106.71,106.8,106.211909133,275031.0,0.0,1.0
2020-12-24,108.48,109.0456,107.25,108.65,108.051722166,135346.0,0.0,1.0
2020-12-23,109.55,110.155,108.03,108.75,108.151171519,306276.0,0.0,1.0
2020-12-22,110.14,111.74,108.98,109.145,108.543996464,375309.0,0.0,1.0
2020-12-21,111.84,113.43,109.68,110.41,109.802030781,534927.0,0.0,1.0
2020-12-18,115.47,115.47,111.35,111.84,111.224156531,1187071.0,0.0,1.0
2020-12-17,112.34,115.6599,112.34,115.36,114.724773761,510960.0,0.0,1.0
2020-12-16,109.25,110.725,108.1,110.43,109.821920652,563475.0,0.0,1.0
2020-12-15,108.58,110.15,108.47,108.9,108.300345549,437532.0,0.0,1.0
2020-12-14,109.01,109.765,106.95,107.11,106.520202128,497056.0,0.0,1.0
2020-12-11,110.31,111.74,109.12,109.26,108.65836322,192068.0,0.0,1.0
2020-12-10,112.13,112.59,110.3,110.44,109.831865587,249690.0,0.0,1.0
2020-12-09,112.09,112.5,109.58,111.07,110.458396512,287579.0,0.0,1.0
2020-12-08,113.0,113.34,110.785,112.68,112.059531097,386312.0,0.0,1.0
2020-12-07,110.0,113.3,109.98,112.67,112.049586162,456783.0,0.0,1.0
2020-12-04,110.52,111.335,109.285,110.27,109.662801687,303947.0,0.0,1.0
2020-12-03,111.74,112.35,109.42,110.76,110.150103517,287011.0,0.0,1.0
2020-12-02,113.0,113.39,111.3273,111.95,111.333550819,306972.0,0.0,1.0
2020-12-01,112.56,112.87,109.6,112.5,111.880522261,393415.0,0.0,1.0
2020-11-30,109.085,110.58,107.45,110.47,109.861700393,509960.0,0.0,1.0
2020-11-27,107.59,110.14,107.5,109.97,109.364453627,272949.0,0.0,1.0
2020-11-25,108.95,110.8099,108.7223,109.5,108.897041668,431624.0,0.0,1.0
2020-11-24,106.18,110.12,106.18,107.5,106.908054605,635761.0,0.0,1.0
2020-11-23,109.79,111.055,107.278,109.6,108.996491021,505213.0,0.0,1.0
2020-11-20,111.62,111.91,109.45,109.97,109.364453627,647531.0,0.0,1.0
2020-11-19,110.12,111.24,108.0,109.83,109.225224533,437412.0,0.0,1.0
2020-11-18,116.25,116.34,111.945,111.98,111.363385625,414285.0,0.0,1.0
2020-11-17,117.61,119.29,115.62,115.84,115.202130656,303682.0,0.0,1.0
2020-11-16,118.29,119.35,117.485,118.5,117.847483449,251028.0,0.0,1.0
2020-11-13,118.0,119.575,117.78,118.69,118.03643722,221277.0,0.0,1.0
2020-11-12,117.03,119.1,116.38,116.99,116.345798217,356938.0,0.0,1.0
2020-11-11,115.87,117.96,115.52,116.75,116.107119769,414001.0,0.0,1.0
2020-11-10,121.36,122.37,116.98,117.36,116.713760823,531915.0,0.0,1.0
2020-11-09,120.99,124.32,118.4,120.4,119.737021158,520726.0,0.0,1.0
2020-11-06,125.04,126.46,123.925,126.17,125.475248833,347734.0,0.0,1.0
2020-11-05,123.58,126.64,122.72,122.93,122.253089792,711786.0,0.0,1.0
2020-11-04,122.33,123.7,120.15,121.87,121.198926649,333742.0,0.0,1.0
2020-11-03,122.93,123.13,121.285,121.69,121.019917813,230685.0,0.0,1.0
2020-11-02,120.41,122.63,119.29,121.46,120.791184301,367671.0,0.0,1.0
2020-10-30,119.23,120.9765,116.835,118.81,118.155776443,342985.0,0.0,1.0
2020-10-29,114.87,118.8119,114.87,118.36,117.708254354,303644.0,0.0,1.0
2020-10-28,119.0,119.0,114.72,116.62,115.97783561,534906.0,0.0,1.0
2020-10-27,120.1,121.81,119.15,121.33,120.661900142,190174.0,0.0,1.0
2020-10-26,121.07,122.49,119.729,120.19,119.528177516,188519.0,0.0,1.0
2020-10-23,121.19,122.55,120.375,121.99,121.318265873,257088.0,0.0,1.0
2020-10-22,120.39,122.09,119.57,121.78,121.109422231,316050.0,0.0,1.0
2020-10-21,122.01,123.98,121.09,121.6,120.930413395,249365.0,0.0,1.0
2020-10-20,122.15,122.15,119.01,121.2,120.532615983,259140.0,0.0,1.0
2020-10-19,123.24,123.876,119.16,119.6,118.941426333,254564.0,0.0,1.0
2020-10-16,123.9,124.35,122.2,122.47,121.795622768,242030.0,0.0,1.0
2020-10-15,122.64,125.63,122.2706,123.84,123.158078905,220471.0,0.0,1.0
2020-10-14,125.27,126.4,124.3667,124.76,124.073012954,243259.0,0.0,1.0
2020-10-13,122.05,124.18,121.0,123.91,123.227693453,299513.0,0.0,1.0
2020-10-12,121.43,124.15,121.0,123.3,122.621052398,307810.0,0.0,1.0
2020-10-09,121.01,121.98,119.12,121.49,120.821019107,407901.0,0.0,1.0
2020-10-08,118.58,119.74,117.685,118.77,118.115996702,319553.0,0.0,1.0
2020-10-07,118.57,119.18,116.78,117.46,116.813210176,344846.0,0.0,1.0
2020-10-06,121.86,122.1,117.29,117.3,116.654091211,335286.0,0.0,1.0
2020-10-05,119.79,122.28,119.11,120.4,119.737021158,690998.0,0.0,1.0
2020-10-02,119.75,120.63,118.45,119.4,118.742527627,341764.0,0.0,1.0
2020-10-01,120.57,122.12,119.12,120.42,119.756911029,346604.0,0.28,1.0
2020-09-30,119.71,120.75,118.29,120.17,119.231052181,374757.0,0.0,1.0
2020-09-29,119.74,122.81,119.71,119.98,119.042536746,284203.0,0.0,1.0
2020-09-28,119.75,120.52,118.01,119.2,118.268631273,282129.0,0.0,1.0
2020-09-25,117.95,118.98,116.97,118.08,117.157382388,325706.0,0.0,1.0
2020-09-24,115.06,120.81,114.99,119.53,118.596052819,419770.0,0.0,1.0
2020-09-23,121.8,122.17,115.72,115.91,115.004337675,470080.0,0.0,1.0
2020-09-22,123.33,124.67,121.75,123.21,122.247299154,347507.0,0.0,1.0
2020-09-21,119.26,123.06,119.26,122.64,121.681752846,546474.0,0.0,1.0
2020-09-18,128.52,129.59,123.03,123.47,122.505267645,973886.0,0.0,1.0
2020-09-17,127.59,128.91,126.5,128.09,127.089169293,329937.0,0.0,1.0
2020-09-16,131.88,132.19,129.57,130.61,129.589479283,371788.0,0.0,1.0
2020-09-15,132.18,132.66,129.06,130.23,129.212448411,335460.0,0.0,1.0
2020-09-14,131.52,131.77,127.82,130.95,129.926822694,602432.0,0.0,1.0
2020-09-11,131.69,133.43,130.05,130.45,129.430729442,287649.0,0.0,1.0
2020-09-10,133.55,134.5,130.74,130.76,129.738307258,336094.0,0.0,1.0
2020-09-09,129.74,133.335,129.74,132.74,131.702836536,361668.0,0.0,1.0
2020-09-08,128.59,131.44,124.77,128.57,127.565418815,419646.0,0.0,1.0
2020-09-04,133.54,134.78,128.29,130.56,129.539869958,872868.0,0.0,1.0
