date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,25.15,25.18,25.11,25.15,25.15,40322.0,0.0,1.0
2021-04-15,25.22,25.22,25.14,25.17,25.17,44181.0,0.0,1.0
2021-04-14,25.15,25.2,25.13,25.18,25.18,76639.0,0.1184,1.0
2021-04-13,25.15,25.24,25.15,25.2,25.0820577713,116918.0,0.0,1.0
2021-04-12,25.12,25.2,25.12,25.15,25.0322917837,96961.0,0.0,1.0
2021-04-09,25.08,25.16,25.06,25.15,25.0322917837,69409.0,0.0,1.0
2021-04-08,25.1,25.13,25.06,25.06,24.9427130059,51299.0,0.0,1.0
2021-04-07,25.17,25.17,25.07,25.07,24.9526662035,42140.0,0.0,1.0
2021-04-06,25.28,25.3,25.13,25.15,25.0322917837,74691.0,0.0,1.0
2021-04-05,25.2,25.29,25.16,25.27,25.151730154,40977.0,0.0,1.0
2021-04-01,25.1,25.18,25.05,25.11,24.9924789936,48593.0,0.0,1.0
2021-03-31,25.05,25.14,24.98,25.05,24.9327598084,156146.0,0.0,1.0
2021-03-30,25.0,25.14,24.78,25.07,24.9526662035,158167.0,0.0,1.0
