date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,14.25,14.49,14.25,14.45,14.45,44003.0,0.0,1.0
2021-04-15,14.08,14.25,14.05,14.24,14.24,26063.0,0.0,1.0
2021-04-14,14.01,14.25,14.0,14.01,14.01,27707.0,0.0,1.0
2021-04-13,14.01,14.2,13.96,14.01,14.01,38219.0,0.0,1.0
2021-04-12,14.023,14.13,14.0,14.05,14.05,32452.0,0.0,1.0
2021-04-09,13.98,14.1,13.91,13.91,13.91,21616.0,0.0,1.0
2021-04-08,13.6,14.0,13.6,13.97,13.97,20788.0,0.0,1.0
2021-04-07,13.51,13.56,13.41,13.41,13.41,24352.0,0.0,1.0
2021-04-06,13.86,13.93,13.4,13.4,13.4,17382.0,0.0,1.0
2021-04-05,14.01,14.01,13.525,13.62,13.62,16929.0,0.0,1.0
2021-04-01,13.59,13.99,13.41,13.86,13.86,25822.0,0.0,1.0
2021-03-31,13.83,13.83,13.4,13.56,13.56,14340.0,0.0,1.0
2021-03-30,13.53,13.9518,13.44,13.64,13.64,12016.0,0.0,1.0
2021-03-29,13.61,13.68,13.4,13.53,13.53,11832.0,0.0,1.0
2021-03-26,13.76,13.89,13.76,13.82,13.82,26173.0,0.0,1.0
2021-03-25,13.44,13.84,13.28,13.62,13.62,17750.0,0.0,1.0
2021-03-24,13.51,13.95,13.3076,13.35,13.35,25834.0,0.0,1.0
2021-03-23,13.56,13.9474,13.28,13.28,13.28,16751.0,0.0,1.0
2021-03-22,14.2,14.2,13.55,13.56,13.56,22333.0,0.0,1.0
2021-03-19,13.56,14.35,13.47,14.35,14.35,109285.0,0.0,1.0
2021-03-18,13.66,14.185,13.5,13.57,13.57,14760.0,0.0,1.0
2021-03-17,13.75,13.77,13.53,13.53,13.53,7190.0,0.0,1.0
2021-03-16,13.99,13.99,13.57,13.57,13.57,7606.0,0.0,1.0
2021-03-15,14.35,14.4598,13.89,14.14,14.14,26232.0,0.0,1.0
2021-03-12,14.3,14.46,14.2419,14.41,14.41,16976.0,0.0,1.0
2021-03-11,14.25,14.3,14.0901,14.3,14.3,17074.0,0.0,1.0
2021-03-10,13.93,14.25,13.81,14.19,14.19,32638.0,0.0,1.0
2021-03-09,13.91,14.12,13.41,14.01,14.01,30812.0,0.0,1.0
2021-03-08,13.86,14.14,13.6,13.97,13.97,36173.0,0.0,1.0
2021-03-05,13.76,14.18,13.71,13.84,13.84,26902.0,0.0,1.0
2021-03-04,13.93,14.0,13.45,13.7,13.7,39861.0,0.0,1.0
2021-03-03,13.5,13.85,13.5,13.74,13.74,21761.0,0.07,1.0
2021-03-02,13.34,13.6999,13.34,13.45,13.3818247647,16153.0,0.0,1.0
2021-03-01,13.32,13.73,13.17,13.55,13.4813178856,11838.0,0.0,1.0
2021-02-26,13.33,13.54,13.08,13.08,13.0137002172,14987.0,0.0,1.0
2021-02-25,13.91,13.91,13.16,13.16,13.093294714,18787.0,0.0,1.0
2021-02-24,13.63,13.95,13.6042,13.95,13.8792903693,30910.0,0.0,1.0
2021-02-23,13.04,13.64,13.04,13.48,13.4116727009,13236.0,0.0,1.0
2021-02-22,12.88,13.08,12.88,13.0,12.9341057205,53988.0,0.0,1.0
2021-02-19,12.94,13.02,12.77,13.0,12.9341057205,17663.0,0.0,1.0
2021-02-18,13.18,13.18,12.75,12.75,12.6853729182,14442.0,0.0,1.0
2021-02-17,13.27,13.33,13.15,13.15,13.0833454019,8191.0,0.0,1.0
2021-02-16,13.315,13.59,13.25,13.25,13.1828385228,12887.0,0.0,1.0
2021-02-12,13.26,13.35,13.25,13.35,13.2823316437,12750.0,0.0,1.0
2021-02-11,13.115,13.46,13.11,13.25,13.1828385228,11095.0,0.0,1.0
2021-02-10,13.16,13.34,13.15,13.15,13.0833454019,10093.0,0.0,1.0
2021-02-09,13.01,13.34,13.01,13.25,13.1828385228,15924.0,0.0,1.0
2021-02-08,12.9999,13.08,12.92,13.08,13.0137002172,27829.0,0.0,1.0
2021-02-05,13.015,13.08,12.96,13.04,12.9739029689,14955.0,0.0,1.0
2021-02-04,12.97,13.04,12.88,13.04,12.9739029689,9582.0,0.0,1.0
2021-02-03,12.94,13.0,12.87,12.94,12.8744098479,19620.0,0.0,1.0
2021-02-02,13.12,13.12,12.84,12.96,12.8943084721,27181.0,0.0,1.0
2021-02-01,12.67,13.0,12.61,12.81,12.7450687907,22838.0,0.0,1.0
2021-01-29,12.78,13.05,12.56,12.66,12.5958291093,32846.0,0.0,1.0
2021-01-28,13.0,13.1899,12.55,12.86,12.7948153512,43368.0,0.0,1.0
2021-01-27,13.2,13.2,12.81,12.81,12.7450687907,30528.0,0.0,1.0
2021-01-26,13.25,13.35,13.2,13.21,13.1430412744,19737.0,0.0,1.0
2021-01-25,13.41,13.45,13.25,13.37,13.3022302679,12780.0,0.0,1.0
2021-01-22,13.41,13.54,13.26,13.54,13.4713685735,21551.0,0.0,1.0
2021-01-21,13.42,13.65,13.36,13.36,13.2922809558,20460.0,0.0,1.0
2021-01-20,13.55,13.6055,13.43,13.43,13.3619261405,11836.0,0.0,1.0
2021-01-19,13.65,13.67,13.48,13.51,13.4415206372,16895.0,0.0,1.0
2021-01-15,13.69,13.69,13.44,13.57,13.5012165098,8671.0,0.0,1.0
2021-01-14,13.56,13.905,13.55,13.78,13.7101520637,6996.0,0.0,1.0
2021-01-13,13.8,13.8,13.28,13.6,13.5310644461,14602.0,0.0,1.0
2021-01-12,13.5,13.72,13.4663,13.72,13.6504561912,22882.0,0.0,1.0
2021-01-11,13.6653,13.6653,13.55,13.55,13.4813178856,5822.0,0.0,1.0
2021-01-08,13.78,13.85,13.62,13.67,13.6007096307,11504.0,0.0,1.0
2021-01-07,13.97,14.11,13.8,13.95,13.8792903693,35303.0,0.0,1.0
2021-01-06,13.79,14.2,13.73,13.89,13.8195944967,53785.0,0.0,1.0
2021-01-05,13.53,13.79,13.5,13.67,13.6007096307,17986.0,0.0,1.0
2021-01-04,13.79,13.8086,13.54,13.55,13.4813178856,16892.0,0.0,1.0
2020-12-31,13.82,13.84,13.66,13.66,13.5907603186,13555.0,0.0,1.0
2020-12-30,13.84,13.93,13.82,13.9,13.8295438088,8335.0,0.0,1.0
2020-12-29,13.7328,13.86,13.64,13.86,13.7897465605,20628.0,0.0,1.0
2020-12-28,13.68,13.8,13.68,13.68,13.6106589428,8012.0,0.0,1.0
2020-12-24,13.72,13.73,13.48,13.48,13.4116727009,4922.0,0.0,1.0
2020-12-23,13.3579,13.7,13.331,13.7,13.630557567,21629.0,0.0,1.0
2020-12-22,13.38,13.45,12.91,13.21,13.1430412744,21361.0,0.0,1.0
2020-12-21,13.55,13.55,13.13,13.31,13.2425343954,14400.0,0.0,1.0
2020-12-18,13.74,13.85,13.4721,13.71,13.6405068791,88866.0,0.0,1.0
2020-12-17,13.4079,13.7,13.36,13.63,13.5609123823,17768.0,0.0,1.0
2020-12-16,13.47,13.5,13.36,13.36,13.2922809558,23318.0,0.0,1.0
2020-12-15,13.0,13.49,13.0,13.35,13.2823316437,24171.0,0.0,1.0
