date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,10.46,10.55,10.45,10.47,10.47,4324.0,0.0,1.0
2021-04-15,10.59,10.59,10.43,10.5,10.5,43235.0,0.0,1.0
2021-04-14,10.6,10.6,10.48,10.5,10.5,7666.0,0.0,1.0
2021-04-13,10.59,10.6,10.54,10.54,10.54,3916.0,0.0,1.0
2021-04-12,10.73,10.73,10.56,10.6,10.6,11788.0,0.0,1.0
2021-04-09,10.63,10.72,10.59,10.7,10.7,5087.0,0.0,1.0
2021-04-08,10.36,10.68,10.36,10.65,10.65,24053.0,0.0,1.0
2021-04-07,10.6,10.63,10.43,10.43,10.43,48248.0,0.0,1.0
2021-04-06,10.47,10.69,10.47,10.53,10.53,6493.0,0.0,1.0
2021-04-05,10.6501,10.75,10.58,10.59,10.59,21055.0,0.0,1.0
2021-04-01,10.55,10.74,10.475,10.67,10.67,18112.0,0.0,1.0
2021-03-31,10.38,10.5999,10.34,10.49,10.49,98005.0,0.0,1.0
2021-03-30,10.36,10.4,10.29,10.38,10.38,2556432.0,0.0,1.0
2021-03-29,10.48,10.48,10.33,10.36,10.36,35991.0,0.0,1.0
2021-03-26,10.43,10.475,10.36,10.415,10.415,32216.0,0.0,1.0
2021-03-25,10.3,10.49,10.25,10.43,10.43,31795.0,0.0,1.0
2021-03-24,10.65,10.65,10.43,10.43,10.43,59247.0,0.0,1.0
2021-03-23,10.69,10.9,10.51,10.51,10.51,6661.0,0.0,1.0
2021-03-22,11.42,11.42,10.75,10.86,10.86,104594.0,0.0,1.0
2021-03-19,10.72,10.81,10.69,10.76,10.76,11867.0,0.0,1.0
2021-03-18,10.72,10.84,10.72,10.72,10.72,15923.0,0.0,1.0
2021-03-17,10.77,10.95,10.69,10.88,10.88,10221.0,0.0,1.0
2021-03-16,10.87,11.0247,10.72,10.77,10.77,13309.0,0.0,1.0
2021-03-15,10.92,11.08,10.8,10.92,10.92,188363.0,0.0,1.0
2021-03-12,11.03,11.04,10.9,11.0,11.0,19310.0,0.0,1.0
2021-03-11,11.1,11.17,10.95,11.0,11.0,112749.0,0.0,1.0
2021-03-10,10.75,11.03,10.6,10.97,10.97,154129.0,0.0,1.0
2021-03-09,11.02,11.05,10.68,10.7,10.7,201506.0,0.0,1.0
2021-03-08,11.0,11.07,10.69,10.92,10.92,2575717.0,0.0,1.0
2021-03-05,10.75,10.92,10.5,10.92,10.92,209475.0,0.0,1.0
2021-03-04,10.75,10.89,10.25,10.85,10.85,522630.0,0.0,1.0
2021-03-03,10.81,10.96,10.6,10.76,10.76,379936.0,0.0,1.0
2021-03-02,11.76,11.76,10.91,10.99,10.99,413891.0,0.0,1.0
2021-03-01,11.74,12.06,11.445,11.7,11.7,616871.0,0.0,1.0
2021-02-26,11.81,11.99,11.39,11.6,11.6,254236.0,0.0,1.0
2021-02-25,12.64,12.71,11.51,11.62,11.62,854850.0,0.0,1.0
2021-02-24,13.0894,13.15,11.6,12.58,12.58,6181447.0,0.0,1.0
2021-02-23,12.11,12.11,11.5043,11.78,11.78,993735.0,0.0,1.0
2021-02-22,12.54,12.57,12.26,12.33,12.33,63223.0,0.0,1.0
2021-02-19,12.56,12.7499,12.4,12.41,12.41,125196.0,0.0,1.0
2021-02-18,12.5,12.75,12.32,12.39,12.39,216403.0,0.0,1.0
2021-02-17,12.5,12.89,12.5,12.5,12.5,153195.0,0.0,1.0
2021-02-16,12.95,13.08,12.24,12.55,12.55,598111.0,0.0,1.0
2021-02-12,12.4,12.6,12.22,12.22,12.22,107656.0,0.0,1.0
2021-02-11,12.75,12.751,12.22,12.4,12.4,125226.0,0.0,1.0
2021-02-10,12.66,12.66,12.3001,12.45,12.45,80389.0,0.0,1.0
2021-02-09,12.38,12.797,12.3,12.5601,12.5601,140318.0,0.0,1.0
2021-02-08,12.9,13.14,12.16,12.38,12.38,435467.0,0.0,1.0
2021-02-05,12.25,13.0148,12.25,12.78,12.78,410119.0,0.0,1.0
2021-02-04,12.11,12.35,12.0867,12.3,12.3,117712.0,0.0,1.0
2021-02-03,11.89,12.24,11.89,12.05,12.05,157151.0,0.0,1.0
2021-02-02,11.7,12.2,11.65,11.93,11.93,249948.0,0.0,1.0
2021-02-01,11.55,11.7,11.2,11.6,11.6,383097.0,0.0,1.0
2021-01-29,11.2,11.2,11.0,11.17,11.17,255221.0,0.0,1.0
2021-01-28,11.02,11.2099,10.9,11.16,11.16,203384.0,0.0,1.0
2021-01-27,11.5,11.5,10.81,10.81,10.81,651228.0,0.0,1.0
2021-01-26,11.75,11.75,11.5,11.65,11.65,453441.0,0.0,1.0
2021-01-25,11.8,12.01,11.71,11.82,11.82,858212.0,0.0,1.0
2021-01-22,11.32,11.89,11.3,11.7,11.7,865540.0,0.0,1.0
2021-01-21,11.3,11.4,10.97,11.37,11.37,106432.0,0.0,1.0
2021-01-20,11.35,11.42,11.225,11.27,11.27,130888.0,0.0,1.0
2021-01-19,11.26,11.3299,10.88,11.25,11.25,315172.0,0.0,1.0
2021-01-15,11.35,11.35,11.05,11.12,11.12,133168.0,0.0,1.0
2021-01-14,11.15,11.47,11.0601,11.35,11.35,419675.0,0.0,1.0
2021-01-13,11.2,11.3,11.0,11.085,11.085,332659.0,0.0,1.0
2021-01-12,11.7,11.7,11.05,11.24,11.24,267115.0,0.0,1.0
2021-01-11,11.07,11.07,10.93,11.0,11.0,65013.0,0.0,1.0
2021-01-08,11.1,11.1,10.95,11.0,11.0,53102.0,0.0,1.0
2021-01-07,10.95,11.1899,10.88,11.1,11.1,54054.0,0.0,1.0
2021-01-06,10.8502,10.95,10.83,10.89,10.89,184814.0,0.0,1.0
2021-01-05,10.89,10.89,10.8,10.82,10.82,57267.0,0.0,1.0
2021-01-04,11.2,11.2,10.75,10.93,10.93,234128.0,0.0,1.0
2020-12-31,11.1,11.15,10.8,11.15,11.15,233199.0,0.0,1.0
2020-12-30,10.89,11.1,10.75,11.1,11.1,569474.0,0.0,1.0
2020-12-29,10.81,10.88,10.6,10.805,10.805,192155.0,0.0,1.0
2020-12-28,10.8,10.93,10.685,10.81,10.81,261868.0,0.0,1.0
2020-12-24,10.65,10.747,10.5,10.64,10.64,188464.0,0.0,1.0
2020-12-23,10.65,10.805,10.55,10.64,10.64,179073.0,0.0,1.0
2020-12-22,10.6498,10.7,10.57,10.6,10.6,481734.0,0.0,1.0
2020-12-21,10.55,10.67,10.55,10.6,10.6,157741.0,0.0,1.0
2020-12-18,10.59,10.59,10.535,10.55,10.55,72923.0,0.0,1.0
2020-12-17,10.57,10.6,10.56,10.6,10.6,298808.0,0.0,1.0
2020-12-16,10.44,10.59,10.4,10.57,10.57,434854.0,0.0,1.0
2020-12-15,10.58,10.58,10.45,10.49,10.49,103910.0,0.0,1.0
2020-12-14,10.5,10.65,10.45,10.58,10.58,263416.0,0.0,1.0
2020-12-11,10.45,10.45,10.38,10.415,10.415,1309880.0,0.0,1.0
2020-12-10,10.21,10.45,10.2,10.27,10.27,5647232.0,0.0,1.0
