date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,9.8,9.91,9.8,9.84,9.84,32120.0,0.0,1.0
2021-04-15,9.85,9.85,9.85,9.85,9.85,50.0,0.0,1.0
2021-04-14,9.84,9.9,9.84,9.85,9.85,333883.0,0.0,1.0
2021-04-13,9.84,9.9,9.84,9.88,9.88,27548.0,0.0,1.0
2021-04-12,9.75,9.91,9.75,9.9,9.9,10914.0,0.0,1.0
2021-04-09,9.82,9.92,9.82,9.8934,9.8934,266639.0,0.0,1.0
2021-04-08,9.9306,9.9306,9.8,9.8,9.8,1534.0,0.0,1.0
2021-04-07,9.865,9.8899,9.865,9.8899,9.8899,297.0,0.0,1.0
2021-04-06,9.9,9.9,9.835,9.835,9.835,10791.0,0.0,1.0
2021-04-05,10.0606,10.0755,9.8475,9.9,9.9,9992.0,0.0,1.0
2021-04-01,9.81,9.84,9.8,9.8,9.8,1117.0,0.0,1.0
2021-03-31,9.8,9.8,9.8,9.8,9.8,261.0,0.0,1.0
2021-03-30,9.85,9.85,9.7,9.8,9.8,1664.0,0.0,1.0
