date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,8.49,8.49,8.06,8.37,8.37,193704.0,0.0,1.0
2021-04-15,8.66,8.6838,8.31,8.51,8.51,145179.0,0.0,1.0
2021-04-14,8.69,8.74,8.485,8.56,8.56,162486.0,0.0,1.0
2021-04-13,8.64,8.8,8.4,8.61,8.61,169988.0,0.0,1.0
2021-04-12,9.01,9.02,8.45,8.58,8.58,235812.0,0.0,1.0
2021-04-09,9.08,9.1,8.94,9.03,9.03,158830.0,0.0,1.0
2021-04-08,9.22,9.4323,8.83,9.13,9.13,244354.0,0.0,1.0
2021-04-07,9.25,9.31,8.84,8.87,8.87,265752.0,0.0,1.0
2021-04-06,9.08,9.24,9.0,9.2,9.2,188138.0,0.0,1.0
2021-04-05,9.03,9.185,8.82,9.1,9.1,319073.0,0.0,1.0
2021-04-01,9.2,9.3,8.94,9.01,9.01,521533.0,0.0,1.0
2021-03-31,8.08,9.08,8.0604,8.97,8.97,801234.0,0.0,1.0
2021-03-30,7.95,8.17,7.87,8.0,8.0,268883.0,0.0,1.0
2021-03-29,8.4,8.49,7.77,7.84,7.84,434353.0,0.0,1.0
2021-03-26,8.4,8.63,8.2448,8.49,8.49,194640.0,0.0,1.0
2021-03-25,8.61,8.625,8.28,8.3,8.3,439390.0,0.0,1.0
2021-03-24,8.44,8.99,8.43,8.66,8.66,691759.0,0.0,1.0
2021-03-23,8.4235,8.57,8.13,8.43,8.43,436170.0,0.0,1.0
2021-03-22,8.26,8.39,8.11,8.35,8.35,391821.0,0.0,1.0
2021-03-19,8.14,8.39,8.02,8.19,8.19,445702.0,0.0,1.0
2021-03-18,8.32,8.57,8.13,8.16,8.16,342725.0,0.0,1.0
2021-03-17,8.14,8.49,8.04,8.42,8.42,539601.0,0.0,1.0
2021-03-16,8.25,8.41,8.0,8.16,8.16,403010.0,0.0,1.0
2021-03-15,8.29,8.37,7.87,8.22,8.22,513099.0,0.0,1.0
2021-03-12,8.05,8.31,7.89,8.23,8.23,506121.0,0.0,1.0
2021-03-11,8.01,8.3,7.84,8.18,8.18,673846.0,0.0,1.0
2021-03-10,8.41,8.72,7.74,7.79,7.79,905433.0,0.0,1.0
2021-03-09,8.19,8.82,8.18,8.4,8.4,4625452.0,0.0,1.0
2021-03-08,8.0056,8.65,7.8,8.34,8.34,1232729.0,0.0,1.0
2021-03-05,9.98,10.0,7.83,8.09,8.09,2451123.0,0.0,1.0
2021-03-04,9.2,10.72,9.2,10.14,10.14,3403074.0,0.0,1.0
2021-03-03,8.69,9.15,8.5769,8.7,8.7,549065.0,0.0,1.0
2021-03-02,8.35,8.75,8.22,8.68,8.68,308063.0,0.0,1.0
2021-03-01,7.94,8.45,7.78,8.32,8.32,305871.0,0.0,1.0
2021-02-26,7.54,7.86,7.36,7.77,7.77,289504.0,0.0,1.0
2021-02-25,7.9,8.05,7.6,7.66,7.66,204785.0,0.0,1.0
2021-02-24,7.6,7.905,7.38,7.88,7.88,165453.0,0.0,1.0
2021-02-23,7.69,7.8,7.11,7.52,7.52,380448.0,0.0,1.0
2021-02-22,8.38,8.39,7.7508,7.87,7.87,403515.0,0.0,1.0
2021-02-19,8.11,8.36,8.08,8.355,8.355,197392.0,0.0,1.0
2021-02-18,8.38,8.39,8.01,8.11,8.11,142251.0,0.0,1.0
2021-02-17,8.45,8.5,8.11,8.39,8.39,194836.0,0.0,1.0
2021-02-16,8.62,8.6699,8.27,8.54,8.54,255980.0,0.0,1.0
2021-02-12,8.5,8.52,8.12,8.51,8.51,172903.0,0.0,1.0
2021-02-11,8.45,8.6,8.04,8.5,8.5,274227.0,0.0,1.0
2021-02-10,8.75,8.77,8.3,8.43,8.43,194722.0,0.0,1.0
2021-02-09,8.52,8.78,8.35,8.75,8.75,305798.0,0.0,1.0
2021-02-08,8.05,8.6689,7.91,8.53,8.53,566992.0,0.0,1.0
2021-02-05,8.08,8.16,7.84,7.9,7.9,405945.0,0.0,1.0
2021-02-04,8.18,8.28,7.96,8.03,8.03,333365.0,0.0,1.0
