date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2021-04-16,30.2,30.74,29.64,30.62,30.62,326390.0,0.0,1.0
2021-04-15,30.23,30.246,29.47,29.99,29.99,215171.0,0.0,1.0
2021-04-14,29.63,30.4,29.56,29.92,29.92,175427.0,0.0,1.0
2021-04-13,30.11,30.35,29.3832,29.6,29.6,250958.0,0.0,1.0
2021-04-12,30.1,30.34,29.82,30.22,30.22,185726.0,0.0,1.0
2021-04-09,30.0,30.32,29.88,30.13,30.13,205469.0,0.0,1.0
2021-04-08,30.01,30.25,29.55,29.86,29.86,209130.0,0.0,1.0
2021-04-07,29.85,30.44,29.733,30.02,30.02,476631.0,0.0,1.0
2021-04-06,29.97,30.5,29.49,29.85,29.85,294849.0,0.0,1.0
2021-04-05,30.14,30.4499,29.81,30.12,30.12,284980.0,0.0,1.0
2021-04-01,30.1,30.3,29.02,29.85,29.85,376485.0,0.0,1.0
2021-03-31,30.22,30.84,29.58,29.88,29.88,533824.0,0.0,1.0
2021-03-30,28.24,30.03,28.21,30.02,30.02,295747.0,0.0,1.0
2021-03-29,29.17,29.34,28.05,28.24,28.24,354166.0,0.0,1.0
2021-03-26,27.0,29.2,26.86,29.17,29.17,634822.0,0.0,1.0
2021-03-25,26.53,26.59,25.41,26.5,26.5,545844.0,0.0,1.0
2021-03-24,27.48,27.99,26.72,26.77,26.77,580978.0,0.0,1.0
2021-03-23,28.56,28.6186,26.73,27.17,27.17,550063.0,0.0,1.0
2021-03-22,29.14,29.34,28.0,28.6,28.6,782357.0,0.0,1.0
2021-03-19,30.58,30.7,29.3,29.36,29.36,1956902.0,0.0,1.0
2021-03-18,32.62,34.24,32.51,32.75,32.75,356633.0,0.0,1.0
2021-03-17,32.35,32.8,31.93,32.49,32.49,230663.0,0.0,1.0
2021-03-16,32.88,32.9513,31.64,32.39,32.39,242039.0,0.0,1.0
2021-03-15,33.34,33.77,32.6801,33.12,33.12,395859.0,0.0,1.0
2021-03-12,31.81,32.97,31.56,32.79,32.79,291235.0,0.0,1.0
2021-03-11,30.95,31.6799,30.73,31.56,31.56,269358.0,0.0,1.0
2021-03-10,29.41,30.845,29.29,30.73,30.73,249596.0,0.0,1.0
2021-03-09,29.0,29.32,28.67,29.21,29.21,226567.0,0.0,1.0
2021-03-08,28.81,29.35,28.43,28.65,28.65,234032.0,0.0,1.0
2021-03-05,29.14,29.68,27.25,28.71,28.71,284887.0,0.0,1.0
2021-03-04,29.98,30.34,27.8974,28.59,28.59,491326.0,0.0,1.0
2021-03-03,29.55,30.79,29.55,29.95,29.95,502056.0,0.0,1.0
2021-03-02,30.38,30.79,29.41,29.55,29.55,248958.0,0.0,1.0
2021-03-01,29.61,30.6,29.55,30.29,30.29,260701.0,0.0,1.0
2021-02-26,29.89,29.89,28.3124,28.94,28.94,419303.0,0.0,1.0
2021-02-25,30.64,30.75,29.92,29.99,29.99,399591.0,0.0,1.0
2021-02-24,29.31,30.68,29.31,30.64,30.64,381343.0,0.0,1.0
2021-02-23,28.89,29.49,27.6,29.17,29.17,589702.0,0.0,1.0
2021-02-22,27.29,29.6,27.21,29.03,29.03,682417.0,0.0,1.0
2021-02-19,27.1,27.71,26.9301,27.39,27.39,272140.0,0.0,1.0
2021-02-18,27.1,27.3,26.54,26.9,26.9,224485.0,0.0,1.0
2021-02-17,26.51,27.33,26.26,27.21,27.21,348622.0,0.0,1.0
2021-02-16,28.0978,28.0978,26.67,26.88,26.88,380719.0,0.0,1.0
2021-02-12,27.33,27.81,26.11,27.74,27.74,550203.0,0.0,1.0
2021-02-11,27.42,27.8199,26.69,27.09,27.09,511096.0,0.0,1.0
2021-02-10,28.01,28.26,27.26,27.49,27.49,425514.0,0.0,1.0
2021-02-09,28.5,28.51,27.57,28.01,28.01,458512.0,0.0,1.0
2021-02-08,29.5,29.58,28.13,28.48,28.48,557928.0,0.0,1.0
2021-02-05,31.0,31.0,28.18,29.17,29.17,484209.0,0.0,1.0
2021-02-04,30.05,30.86,29.54,30.66,30.66,348351.0,0.0,1.0
2021-02-03,30.55,30.9199,29.6696,29.95,29.95,396754.0,0.0,1.0
2021-02-02,29.59,29.975,29.0504,29.79,29.79,1550000.0,0.0,1.0
2021-02-01,29.3,29.46,28.325,29.1,29.1,514679.0,0.0,1.0
2021-01-29,29.47,29.47,28.05,28.42,28.42,412027.0,0.0,1.0
2021-01-28,29.87,30.03,29.29,29.4,29.4,317396.0,0.0,1.0
2021-01-27,29.48,30.07,28.52,29.43,29.43,401820.0,0.0,1.0
2021-01-26,31.37,31.37,30.37,30.43,30.43,252603.0,0.0,1.0
2021-01-25,31.67,32.0,28.41,31.18,31.18,1162523.0,0.0,1.0
2021-01-22,32.16,32.45,31.51,32.0,32.0,467352.0,0.0,1.0
2021-01-21,33.73,33.8436,32.41,32.455,32.455,369030.0,0.0,1.0
2021-01-20,34.37,34.37,33.08,33.57,33.57,281187.0,0.0,1.0
2021-01-19,35.0,36.1,33.75,34.22,34.22,735711.0,0.0,1.0
2021-01-15,34.12,34.92,33.53,34.44,34.44,402774.0,0.0,1.0
2021-01-14,34.86,35.55,34.35,34.41,34.41,1028210.0,0.0,1.0
2021-01-13,35.75,35.87,34.0,34.27,34.27,387912.0,0.0,1.0
2021-01-12,34.56,36.575,34.05,35.74,35.74,240382.0,0.0,1.0
2021-01-11,33.47,34.39,32.8829,34.21,34.21,215592.0,0.0,1.0
2021-01-08,33.81,34.4,32.6,33.58,33.58,289568.0,0.0,1.0
2021-01-07,32.75,33.91,32.3,33.68,33.68,328985.0,0.0,1.0
2021-01-06,29.31,33.22,29.31,32.28,32.28,549376.0,0.0,1.0
2021-01-05,27.69,29.3999,27.69,29.06,29.06,240857.0,0.0,1.0
2021-01-04,30.027,30.1672,27.56,27.72,27.72,234852.0,0.0,1.0
2020-12-31,28.93,29.49,28.77,29.11,29.11,199711.0,0.0,1.0
2020-12-30,28.0,29.09,27.795,28.95,28.95,189436.0,0.0,1.0
2020-12-29,28.35,28.4787,27.51,27.86,27.86,136585.0,0.0,1.0
2020-12-28,28.06,28.59,27.75,28.3,28.3,155422.0,0.0,1.0
2020-12-24,27.99,28.145,27.54,27.63,27.63,94610.0,0.0,1.0
2020-12-23,28.21,28.53,27.62,28.07,28.07,203987.0,0.0,1.0
2020-12-22,27.68,28.33,27.35,27.81,27.81,141650.0,0.0,1.0
2020-12-21,27.64,28.2478,27.11,27.42,27.42,265976.0,0.0,1.0
2020-12-18,27.035,28.97,27.035,27.77,27.77,398399.0,0.0,1.0
2020-12-17,28.8308,28.8308,26.73,27.365,27.365,259731.0,0.0,1.0
2020-12-16,28.22,28.29,27.45,27.69,27.69,388133.0,0.0,1.0
2020-12-15,28.05,28.7389,28.0,28.15,28.15,266788.0,0.0,1.0
2020-12-14,28.48,29.2499,27.52,27.83,27.83,373497.0,0.0,1.0
2020-12-11,29.2,29.8,27.35,27.7,27.7,477122.0,0.0,1.0
2020-12-10,28.9,29.47,28.43,29.11,29.11,262241.0,0.0,1.0
2020-12-09,29.57,29.97,28.56,28.92,28.92,313715.0,0.0,1.0
2020-12-08,27.74,29.67,27.65,29.34,29.34,334102.0,0.0,1.0
2020-12-07,28.02,28.4753,27.1,27.82,27.82,182937.0,0.0,1.0
2020-12-04,27.17,29.13,26.75,28.08,28.08,547776.0,0.0,1.0
2020-12-03,25.13,26.94,25.0144,26.44,26.44,267860.0,0.0,1.0
2020-12-02,25.04,25.14,24.51,24.91,24.91,244138.0,0.0,1.0
2020-12-01,26.7,26.88,25.07,25.08,25.08,254324.0,0.0,1.0
2020-11-30,25.85,26.75,25.08,26.3,26.3,215827.0,0.0,1.0
2020-11-27,25.92,25.92,25.24,25.71,25.71,80589.0,0.0,1.0
2020-11-25,25.79,25.82,25.25,25.64,25.64,168338.0,0.0,1.0
2020-11-24,25.92,26.09,25.41,25.95,25.95,411137.0,0.0,1.0
2020-11-23,25.42,26.48,25.22,25.3,25.3,295763.0,0.0,1.0
2020-11-20,25.43,25.93,24.6,25.22,25.22,281532.0,0.0,1.0
2020-11-19,26.1,26.3199,25.27,25.58,25.58,255139.0,0.0,1.0
2020-11-18,25.72,27.38,25.55,26.15,26.15,281692.0,0.0,1.0
2020-11-17,26.2,26.3634,25.5,25.6,25.6,333387.0,0.0,1.0
2020-11-16,23.98,27.03,23.95,26.15,26.15,714462.0,0.0,1.0
2020-11-13,22.91,23.27,22.3,22.56,22.56,107861.0,0.0,1.0
2020-11-12,24.3181,24.3181,22.13,22.58,22.58,288797.0,0.0,1.0
2020-11-11,22.24,24.59,21.72,24.06,24.06,710015.0,0.0,1.0
2020-11-10,22.01,22.5477,21.62,22.0,22.0,188435.0,0.0,1.0
2020-11-09,22.0,22.72,21.43,21.68,21.68,172286.0,0.0,1.0
2020-11-06,20.78,21.48,20.52,20.77,20.77,146844.0,0.0,1.0
2020-11-05,21.04,21.44,20.43,20.5,20.5,341324.0,0.0,1.0
2020-11-04,22.15,22.5,20.4201,21.02,21.02,242742.0,0.0,1.0
2020-11-03,21.71,22.5,21.68,22.41,22.41,176803.0,0.0,1.0
2020-11-02,20.77,21.39,20.77,21.39,21.39,112548.0,0.0,1.0
2020-10-30,19.92,20.44,19.8579,20.38,20.38,134154.0,0.0,1.0
2020-10-29,19.51,20.16,19.31,20.06,20.06,135016.0,0.0,1.0
2020-10-28,19.85,20.19,19.27,19.48,19.48,183298.0,0.0,1.0
2020-10-27,21.21,21.21,20.09,20.28,20.28,90016.0,0.0,1.0
2020-10-26,21.22,21.3573,20.4801,21.12,21.12,160351.0,0.0,1.0
2020-10-23,21.1,21.35,20.59,21.23,21.23,162034.0,0.0,1.0
2020-10-22,21.55,21.7,20.84,21.12,21.12,96500.0,0.0,1.0
2020-10-21,21.0,21.7,20.8906,21.42,21.42,159320.0,0.0,1.0
2020-10-20,20.79,21.27,20.51,21.01,21.01,102467.0,0.0,1.0
2020-10-19,20.6,21.01,20.4501,20.63,20.63,89334.0,0.0,1.0
2020-10-16,20.45,20.83,20.22,20.4,20.4,172422.0,0.0,1.0
2020-10-15,19.76,20.54,19.64,20.51,20.51,118168.0,0.0,1.0
2020-10-14,20.25,20.47,19.81,19.88,19.88,87934.0,0.0,1.0
2020-10-13,20.08,20.33,19.81,20.25,20.25,71000.0,0.0,1.0
2020-10-12,19.93,20.5,19.82,20.21,20.21,139597.0,0.0,1.0
2020-10-09,19.54,19.975,19.49,19.91,19.91,88457.0,0.0,1.0
2020-10-08,19.9,20.15,19.38,19.68,19.68,165067.0,0.0,1.0
2020-10-07,19.12,19.875,19.0,19.74,19.74,165438.0,0.0,1.0
2020-10-06,19.04,19.55,18.82,18.93,18.93,270900.0,0.0,1.0
2020-10-05,18.7,19.0,18.64,18.84,18.84,128210.0,0.0,1.0
2020-10-02,18.09,18.72,18.011,18.52,18.52,204827.0,0.0,1.0
2020-10-01,18.31,18.63,18.15,18.4,18.4,264445.0,0.0,1.0
2020-09-30,18.71,18.93,18.15,18.2,18.2,120103.0,0.0,1.0
2020-09-29,18.5,18.94,18.41,18.64,18.64,291142.0,0.0,1.0
2020-09-28,18.38,18.69,17.89,18.57,18.57,195358.0,0.0,1.0
2020-09-25,17.49,18.25,17.26,18.1,18.1,143071.0,0.0,1.0
2020-09-24,17.43,17.61,17.05,17.32,17.32,158410.0,0.0,1.0
2020-09-23,17.59,17.93,17.28,17.38,17.38,222261.0,0.0,1.0
2020-09-22,17.47,17.72,17.2,17.64,17.64,250083.0,0.0,1.0
2020-09-21,18.08,18.08,17.03,17.47,17.47,261766.0,0.0,1.0
2020-09-18,18.55,19.395,18.36,18.36,18.36,1632761.0,0.0,1.0
2020-09-17,18.21,18.63,17.54,17.89,17.89,336369.0,0.0,1.0
2020-09-16,18.09,18.77,17.94,18.59,18.59,889665.0,0.0,1.0
2020-09-15,18.05,18.19,17.84,17.94,17.94,248716.0,0.0,1.0
2020-09-14,17.9,18.02,17.66,17.96,17.96,158529.0,0.0,1.0
2020-09-11,17.9,18.12,17.63,17.77,17.77,168825.0,0.0,1.0
2020-09-10,18.26,18.26,17.53,17.81,17.81,355000.0,0.0,1.0
2020-09-09,18.13,18.38,17.95,18.17,18.17,204708.0,0.0,1.0
2020-09-08,18.49,18.49,17.92,17.94,17.94,211781.0,0.0,1.0
2020-09-04,18.7,18.86,18.1,18.63,18.63,206909.0,0.0,1.0
2020-09-03,19.0,19.0,18.14,18.38,18.38,206019.0,0.0,1.0
2020-09-02,19.28,19.45,18.875,18.95,18.95,183616.0,0.0,1.0
2020-09-01,18.78,19.22,18.4,19.21,19.21,198512.0,0.0,1.0
2020-08-31,18.46,18.92,18.13,18.69,18.69,305211.0,0.0,1.0
2020-08-28,17.81,18.94,17.69,18.56,18.56,549167.0,0.0,1.0
2020-08-27,17.43,18.08,17.37,17.72,17.72,365474.0,0.0,1.0
2020-08-26,17.59,17.72,17.03,17.4,17.4,575479.0,0.0,1.0
2020-08-25,18.04,18.56,17.44,17.81,17.81,483305.0,0.0,1.0
2020-08-24,18.97,18.98,18.4,18.75,18.75,235254.0,0.0,1.0
2020-08-21,19.02,19.06,18.41,18.68,18.68,542256.0,0.0,1.0
